season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437080,1,91,Bournemouth,Away,946,7958,Jermain Defoe,jermain-defoe,F,True,,,,3.0,,3.0,1.0,1.0,,,,,,,,1.0,2.0,1.0,,,1.0,,,,,,1.0,,26.0,,,,,,,,1.0,,6.6,,,,,,,,,,3.0,,3.0,0,,5.0,,,,
2017-18,7437080,1,91,Bournemouth,Away,8994,18726,Artur Boruc,artur-boruc,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,91,Bournemouth,Away,11764,20037,Marc Pugh,marc-pugh,M,False,,,,11.0,9.0,20.0,1.0,,1.0,,,,1.0,,,1.0,4.0,,,,,,,,,,1.0,,45.0,,,,,,,,6.0,,6.1,,,,,1.0,,,1.0,,14.0,9.0,23.0,0,,27.0,1.0,,,
2017-18,7437080,1,91,Bournemouth,Away,13918,40349,Asmir Begović,asmir-begovic,G,False,,,7.0,,16.0,16.0,,1.0,9.0,,,,,,,,,1.0,,,,,,,,,,,90.0,,,,,,,,8.0,,7.4,3.0,5.0,,,,,,15.0,,5.0,19.0,24.0,0,,37.0,,1.0,,
2017-18,7437080,1,91,Bournemouth,Away,14695,15237,Andrew Surman,andrew-surman,M,False,,,3.0,66.0,27.0,93.0,2.0,4.0,5.0,,,,,,,,2.0,6.0,,,,,,,,,1.0,,90.0,,1.0,,,,,,13.0,,7.3,,,1.0,2.0,,,,6.0,,76.0,30.0,106.0,1,1.0,112.0,,1.0,,1.0
2017-18,7437080,1,91,Bournemouth,Away,15152,15149,Simon Francis,simon-francis,D,False,1.0,,,25.0,20.0,44.0,2.0,4.0,3.0,,,,,,,2.0,4.0,9.0,,,,,,,,1.0,,,80.0,,,,,,,,22.0,,7.0,,,,3.0,2.0,9.0,,5.0,,38.0,25.0,54.0,0,2.0,88.0,2.0,1.0,2.0,
2017-18,7437080,1,91,Bournemouth,Away,19343,40387,Dan Gosling,dan-gosling,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,91,Bournemouth,Away,21501,41320,Charlie Daniels,charlie-daniels,D,False,1.0,,2.0,39.0,19.0,57.0,1.0,,6.0,,,1.0,,,,,1.0,3.0,,,,,,,,,,,90.0,,,,,,,,15.0,,6.6,,,,1.0,,1.0,,10.0,,48.0,23.0,70.0,1,2.0,83.0,1.0,1.0,,1.0
2017-18,7437080,1,91,Bournemouth,Away,39121,48615,Harry Arter,harry-arter,M,False,,,8.0,68.0,30.0,98.0,,,4.0,,,,,,,1.0,3.0,3.0,,,1.0,,,,,2.0,,,90.0,,,,,,,,9.0,,7.3,,,1.0,,1.0,,,12.0,,75.0,30.0,105.0,1,3.0,114.0,,,,3.0
2017-18,7437080,1,91,Bournemouth,Away,42707,56917,Steve Cook,steve-cook,D,False,,,3.0,22.0,27.0,49.0,,2.0,5.0,,,,,,,1.0,1.0,6.0,,,,,,,,1.0,1.0,,90.0,,,,,,,,17.0,,6.7,,,,3.0,,,,12.0,,32.0,31.0,63.0,0,1.0,75.0,,3.0,,1.0
2017-18,7437080,1,91,Bournemouth,Away,44566,54469,Adam Smith,adam-smith,D,True,,,,3.0,1.0,4.0,,,,,,,,,,1.0,1.0,,,,,,,,,,,,10.0,,,,,,,,2.0,,6.4,,,,1.0,,1.0,,,,4.0,1.0,4.0,0,,7.0,,,,
2017-18,7437080,1,91,Bournemouth,Away,98437,88498,Benik Afobe,benik-afobe,F,False,1.0,,,6.0,1.0,6.0,2.0,1.0,,,,,,,,1.0,3.0,2.0,,,,,,,,,1.0,,64.0,,,,,,,,3.0,,6.6,,,,1.0,,2.0,,,,7.0,1.0,6.0,0,,15.0,1.0,2.0,,
2017-18,7437080,1,91,Bournemouth,Away,100621,78007,Joshua King,joshua-king,F,False,,,,12.0,9.0,21.0,3.0,1.0,1.0,,,2.0,,,,3.0,7.0,5.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,8.0,,6.9,,,,1.0,3.0,,,,,15.0,9.0,24.0,2,,37.0,2.0,1.0,3.0,
2017-18,7437080,1,91,Bournemouth,Away,138261,90105,Ryan Fraser,ryan-fraser,M,False,1.0,,1.0,33.0,8.0,40.0,,,4.0,,,1.0,,,,2.0,2.0,3.0,,,,,,,,,2.0,,90.0,1.0,,,,,,,13.0,,7.1,,,,,,6.0,,3.0,,42.0,8.0,44.0,2,1.0,62.0,1.0,2.0,,1.0
2017-18,7437080,1,91,Bournemouth,Away,149663,126184,Nathan Aké,nathan-ake,D,False,,,1.0,13.0,41.0,54.0,,4.0,9.0,,,,,,,,,9.0,,,,,,,,1.0,,,90.0,1.0,,,,,,,7.0,,7.5,,,,3.0,,1.0,,3.0,,16.0,45.0,60.0,1,4.0,71.0,,1.0,,4.0
2017-18,7437080,1,91,Bournemouth,Away,185955,103912,Jordon Ibe,jordon-ibe,M,True,1.0,,,19.0,4.0,22.0,,,4.0,,,1.0,,,,2.0,4.0,4.0,,,,,,,,,,,45.0,,,,,,,,12.0,,6.6,,,,2.0,2.0,4.0,,1.0,,25.0,5.0,26.0,1,2.0,42.0,,2.0,,2.0
2017-18,7437080,1,91,Bournemouth,Away,303638,149484,Tyrone Mings,tyrone-mings,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437080,1,91,Bournemouth,Away,377108,178304,Lys Mousset,lys-mousset,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437730,2,91,Bournemouth,Home,946,7958,Jermain Defoe,jermain-defoe,F,True,,,,4.0,,4.0,,,,,,,,,,1.0,1.0,,,,,,,,,,1.0,,31.0,,,,,,,,1.0,,6.4,,,,,,,,,,4.0,,4.0,0,,5.0,,,,
2017-18,7437730,2,91,Bournemouth,Home,8994,18726,Artur Boruc,artur-boruc,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437730,2,91,Bournemouth,Home,11764,20037,Marc Pugh,marc-pugh,M,True,1.0,,,8.0,3.0,10.0,1.0,,1.0,,,,,,,2.0,3.0,3.0,,,,,,,,1.0,,,30.0,,1.0,,,,,,8.0,,6.6,,,,2.0,2.0,1.0,,1.0,,13.0,3.0,15.0,0,,28.0,1.0,1.0,2.0,
2017-18,7437730,2,91,Bournemouth,Home,13918,40349,Asmir Begović,asmir-begovic,G,False,,,5.0,2.0,12.0,14.0,,,10.0,,,,,,,,,,,,,,,1.0,,,,,90.0,,,,,,,,8.0,,6.8,3.0,5.0,,1.0,,,,12.0,,7.0,14.0,21.0,0,,36.0,,,,
2017-18,7437730,2,91,Bournemouth,Home,14695,15237,Andrew Surman,andrew-surman,M,False,1.0,,6.0,26.0,23.0,48.0,4.0,1.0,4.0,,,,1.0,,,2.0,7.0,5.0,,,,,,,,2.0,,,90.0,,,,,,,,18.0,,6.9,,,,5.0,,3.0,,10.0,1.0,38.0,26.0,61.0,0,3.0,79.0,1.0,1.0,,2.0
2017-18,7437730,2,91,Bournemouth,Home,19343,40387,Dan Gosling,dan-gosling,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
