season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,metersCoveredHighSpeedRunningKm,metersCoveredJoggingKm,metersCoveredRunningKm,metersCoveredSprintingKm,metersCoveredWalkingKm,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2025-26,14025013,1,91,Bournemouth,Away,44566,54469,Adam Smith,adam-smith,D,False,,,3.0,6.0,10.0,16.0,5.0,3.0,4.0,2.0,1.0,,,,,,,6.0,5.0,,,0.0849516,,,1.0,0.0,,,,,1.0,1.0,,0.71,4.49,1.48,0.39,2.84,89.0,,,,,,,,14.0,1.0,,6.2,,,,32.970676018846,7.0,,1.0,,8.0,,14.0,11.0,25.0,14.69329502942,8.2192138310181,0,1.0,48.0,2.0,1.0,,
2025-26,14025013,1,91,Bournemouth,Away,548660,168991,Philip Billing,philip-billing,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025013,1,91,Bournemouth,Away,800419,200785,Tyler Adams,tyler-adams,M,False,,,1.0,9.0,19.0,28.0,,1.0,5.0,6.0,,,,3.0,,,,5.0,6.0,,,0.103165,,,1.0,0.0,,,,,4.0,,,0.86,4.19,2.41,0.44,2.87,89.0,,1.0,,,,,,12.0,,,6.7,,,,48.738502644537,3.0,1.0,,,5.0,1.0,16.0,23.0,39.0,6.1213689585843,,0,5.0,58.0,,,,
2025-26,14025013,1,91,Bournemouth,Away,830659,221466,Marcos Senesi,marcos-senesi,D,False,1.0,,3.0,7.0,14.0,21.0,3.0,1.0,11.0,2.0,,,,1.0,,,,5.0,4.0,,,0.0520142,,,1.0,0.0,,,,,1.0,1.0,,0.44,4.85,1.41,0.18,2.79,90.0,,,,,,,,12.0,,,5.9,,,,77.415069263629,11.0,,2.0,,12.0,,16.0,15.0,31.0,22.262861291979,,0,3.0,52.0,1.0,,,2.0
2025-26,14025013,1,91,Bournemouth,Away,855731,111317,David Brooks,david-brooks,M,False,2.0,,,10.0,2.0,12.0,,,9.0,5.0,1.0,,2.0,4.0,,,1.0,7.0,4.0,,,0.191665,0.1857,,1.0,1.0,,,,,,3.0,,0.72,4.27,1.3,0.6,2.76,84.0,,,,,,,,13.0,1.0,,6.7,,,,85.814912061586,,3.0,4.0,,,,15.0,3.0,18.0,65.026241141712,42.10271108848,2,2.0,34.0,2.0,,2.0,2.0
2025-26,14025013,1,91,Bournemouth,Away,882604,457569,Đorđe Petrović,dorde-petrovic,G,False,,2.0,12.0,5.0,17.0,22.0,,,4.0,8.0,,,,,,,,,,,,0.00079631,,,,0.0,,-0.9536,2.0,,,,,0.02,1.26,0.13,0.0,3.64,90.0,,,,,,,,13.0,,1.0,7.4,4.0,6.0,,16.870843274961,4.0,,,2.0,25.0,,18.0,17.0,35.0,8.9087381880871,,0,,52.0,,,,
2025-26,14025013,1,91,Bournemouth,Away,892924,424044,Hamed Junior Traorè,hamed-junior-traore,M,True,,,,,2.0,2.0,2.0,,1.0,2.0,,,,,,,,3.0,1.0,,,1.052e-05,,,,1.0,,,,,,1.0,,0.17,1.19,0.38,0.06,0.73,16.0,,,,,,,,2.0,,,6.5,,,,7.982607092924,1.0,1.0,1.0,,,,0.0,2.0,2.0,7.5947577548315,,0,1.0,7.0,,,,
2025-26,14025013,1,91,Bournemouth,Away,895576,201658,Marcus Tavernier,marcus-tavernier,M,False,,,2.0,20.0,7.0,27.0,1.0,1.0,12.0,10.0,,1.0,1.0,,,,2.0,5.0,8.0,,,0.0575432,0.3199,0.0675,,0.0,,,,,1.0,1.0,,0.73,5.12,2.26,0.35,3.07,90.0,1.0,,,,,,,19.0,2.0,,6.7,,,,100.90069675047,6.0,5.0,5.0,,6.0,,26.0,9.0,35.0,23.549725502195,28.211221995257,2,3.0,65.0,1.0,1.0,3.0,3.0
2025-26,14025013,1,91,Bournemouth,Away,934354,437730,Antoine Semenyo,antoine-semenyo,M,False,,,2.0,5.0,2.0,7.0,6.0,5.0,9.0,3.0,,1.0,,,,,1.0,11.0,8.0,,,0.0190187,0.907,0.7474,2.0,0.0,2.0,,,,1.0,,,0.71,4.75,1.4,0.31,3.15,90.0,2.0,,,,,,,18.0,3.0,,8.7,,,1.0,139.26215503034,,3.0,,,3.0,,11.0,4.0,15.0,65.572752839869,82.090040517598,3,1.0,37.0,3.0,1.0,1.0,1.0
2025-26,14025013,1,91,Bournemouth,Away,962408,242882,Bafodé Diakité,bafode-diakite,D,False,,,1.0,3.0,27.0,30.0,2.0,1.0,6.0,8.0,,,,,,,,2.0,4.0,,,0.00272059,,,,0.0,,,,,1.0,,,0.44,4.56,1.62,0.22,3.01,90.0,,,,,,,,13.0,,,5.8,,,,36.12809843554,6.0,,,,8.0,,12.0,29.0,41.0,18.888141525974,,0,2.0,59.0,2.0,1.0,,2.0
2025-26,14025013,1,91,Bournemouth,Away,978150,436893,Julián Araujo,julian-araujo,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025013,1,91,Bournemouth,Away,991001,444172,Will Dennis,will-dennis,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025013,1,91,Bournemouth,Away,998490,444102,Evanilson,evanilson,F,False,,,,3.0,6.0,9.0,7.0,3.0,4.0,2.0,,,,,,,,8.0,3.0,,,0.00371629,0.2861,,1.0,0.0,,,,,,,,0.57,5.22,1.2,0.35,2.81,90.0,,,,,,,,5.0,1.0,,6.1,,,3.0,45.245825224501,3.0,,,,,1.0,6.0,7.0,13.0,-2.6792318019234,13.674368577744,3,,22.0,1.0,,,
2025-26,14025013,1,91,Bournemouth,Away,999028,494521,Adrien Truffert,truffert-adrien,D,False,2.0,,,6.0,8.0,14.0,1.0,1.0,8.0,4.0,1.0,,,,,,,5.0,3.0,,,0.129129,,,2.0,0.0,,,,,,1.0,,0.8,4.72,1.59,0.66,2.79,90.0,,1.0,,,,,,8.0,,,6.1,,,,71.37633684766,3.0,2.0,4.0,,1.0,,7.0,11.0,18.0,43.581370058189,,0,2.0,41.0,,,,2.0
2025-26,14025013,1,91,Bournemouth,Away,1104986,503139,Alex Scott,alex-scott,M,False,,,,3.0,16.0,19.0,1.0,2.0,8.0,2.0,,,,,,,1.0,4.0,6.0,,,0.00466704,,,1.0,0.0,,,,,1.0,,,0.99,4.3,1.97,0.17,1.95,74.0,,,,,,,,10.0,1.0,,6.5,,,,83.991278905272,,3.0,3.0,,1.0,,7.0,16.0,23.0,23.777247285245,31.811470022619,0,,34.0,1.0,2.0,2.0,
2025-26,14025013,1,91,Bournemouth,Away,1156586,463981,James Hill,james-hill,D,True,,,,,1.0,1.0,,,,,,,,,,,,,,,,2.514e-05,,,,0.0,,,,,1.0,,,0.06,0.27,0.12,0.05,0.18,1.0,,,,,,,,2.0,,,,,,,,1.0,,,,1.0,,1.0,1.0,2.0,,,0,,6.0,,,,
2025-26,14025013,1,91,Bournemouth,Away,1201520,575901,Julio Soler,julio-soler,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025013,1,91,Bournemouth,Away,1426228,560262,Eli Junior Kroupi,eli-junior-kroupi,F,True,,,,,1.0,1.0,,,,,,,,,,,,1.0,,,,2.038e-05,,,,0.0,,,,,,,,0.06,0.32,0.19,0.04,0.16,1.0,,,,,,,,1.0,,,,,,,,,1.0,,,,,,1.0,1.0,,,0,,2.0,,,,
2025-26,14025013,1,91,Bournemouth,Away,2007889,606775,Ben Winterburn,ben-winterburn,M,True,,,,,,,1.0,,,,,,,,,,,1.0,,,,,,,,0.0,,,,,,,,0.13,0.67,0.31,0.01,0.35,13.0,,,,,,,,1.0,,,6.3,,,,,,,,,,,1.0,,1.0,,,0,,2.0,,,,
2025-26,14025013,1,91,Bournemouth,Away,2023409,606774,Remy Rees-Dottin,remy-rees-dottin,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2025-26,14025062,2,91,Bournemouth,Home,44566,54469,Adam Smith,adam-smith,D,False,,,1.0,25.0,15.0,40.0,1.0,,,1.0,,,,,,,,2.0,2.0,,,0.00910992,,,1.0,0.0,,,,,,,,,,,,,90.0,,,,,,,,7.0,,,7.0,,,,,2.0,,1.0,,4.0,,29.0,16.0,45.0,,,0,,58.0,1.0,2.0,,
2025-26,14025062,2,91,Bournemouth,Home,322391,158499,Ryan Christie,ryan-christie,M,True,,,3.0,15.0,6.0,21.0,1.0,,,1.0,,,1.0,,,,,4.0,2.0,,,0.0225944,0.0561,,1.0,0.0,,,,,1.0,1.0,,,,,,,24.0,,,,,,,,5.0,,,6.9,,,,,,2.0,,,3.0,,18.0,6.0,24.0,,,1,,30.0,,2.0,,
2025-26,14025062,2,91,Bournemouth,Home,800419,200785,Tyler Adams,tyler-adams,M,False,,,3.0,27.0,10.0,37.0,2.0,1.0,,3.0,,,,1.0,,,,5.0,5.0,,,0.0138636,0.0287,0.2252,2.0,0.0,,,,,1.0,,,,,,,,88.0,1.0,2.0,,,,,,5.0,,,7.0,,,,,1.0,1.0,,,6.0,,29.0,12.0,41.0,,,1,2.0,55.0,1.0,2.0,1.0,1.0
2025-26,14025062,2,91,Bournemouth,Home,830659,221466,Marcos Senesi,marcos-senesi,D,False,,,6.0,16.0,32.0,48.0,1.0,1.0,,4.0,,,,2.0,,,,3.0,2.0,,,0.00936228,,,,0.0,,,,,2.0,,,,,,,,90.0,,,,,,,,9.0,,,7.3,,,,,11.0,,1.0,,11.0,,23.0,33.0,56.0,,,0,1.0,72.0,,,,1.0
2025-26,14025062,2,91,Bournemouth,Home,851596,222683,Justin Kluivert,justin-kluivert,M,True,,,,5.0,,5.0,1.0,,,,,,1.0,1.0,,,,4.0,,,,0.0115619,0.1134,,1.0,0.0,,,,,,1.0,,,,,,,12.0,,,,,,,,3.0,,,6.2,,,1.0,,,1.0,,,,,6.0,,6.0,,,2,,13.0,1.0,,,
2025-26,14025062,2,91,Bournemouth,Home,855731,111317,David Brooks,david-brooks,M,False,2.0,,2.0,12.0,5.0,17.0,,,,2.0,1.0,,2.0,,,,1.0,4.0,3.0,,,0.671504,0.1658,,1.0,0.0,,,,,,1.0,,,,,,,66.0,,,,,,,,11.0,,,7.8,,,1.0,,2.0,4.0,4.0,,2.0,,13.0,6.0,19.0,,,3,,39.0,1.0,1.0,2.0,
2025-26,14025062,2,91,Bournemouth,Home,882604,457569,Đorđe Petrović,dorde-petrovic,G,False,,1.0,3.0,3.0,9.0,12.0,,1.0,,5.0,,,,,,,,,1.0,,,0.00152201,,,,0.0,,0.2372,1.0,,,,,,,,,,90.0,,,,,,,,9.0,,1.0,6.9,1.0,1.0,,,2.0,,,1.0,12.0,,11.0,10.0,21.0,,,0,,28.0,,,,
2025-26,14025062,2,91,Bournemouth,Home,895576,201658,Marcus Tavernier,marcus-tavernier,M,False,,,3.0,23.0,5.0,28.0,,1.0,,2.0,,,,,,,2.0,3.0,3.0,,,0.214434,0.1937,0.6787,,0.0,1.0,,,,1.0,,,,,,,,78.0,2.0,,,,,,,9.0,,,8.0,,,,,1.0,3.0,2.0,,3.0,1.0,25.0,5.0,30.0,,,2,,44.0,,,2.0,
2025-26,14025062,2,91,Bournemouth,Home,934354,437730,Antoine Semenyo,antoine-semenyo,M,False,,,,23.0,5.0,28.0,6.0,1.0,,5.0,,2.0,1.0,1.0,,,4.0,14.0,2.0,,,0.0722581,0.6793,0.0258,2.0,1.0,,,,1.0,,3.0,,,,,,,90.0,1.0,,,,,,,18.0,,,6.0,,,2.0,,,2.0,2.0,,1.0,,27.0,5.0,32.0,,,4,,57.0,3.0,,1.0,
