playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,expectedAssists,fiftyFifty,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,offsides,cleanSheets,goalsConcededOutsideBox,penaltyGoalsConceded,successfulLaunches,blocks,penaltiesConceded,throwInsToOppositionPlayer,lastPlayerTackle,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,ownGoalScored,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,penaltiesSaved,savesFromPenalty,goals,awayGoals,homeGoals,rightFootGoals,leftFootGoals,handballsConceded,foulWonPenalty,clearancesOffTheLine,setPiecesGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,penaltiesTaken,penaltyGoals,secondGoalAssists,headedGoals,redCards2ndYellow
225902,Boubakary Soumaré,Midfielder,Leicester,13,France,2022-23,0.0,0.0,9.0,93.0,0.4647,52.0,,,1.0,,57.0,1.0,2.0,109.0,26.0,,9.0,34.0,20.0,125.0,1.0,900.0,,6.0,,32.0,,1.0,,1635.0,,,14.0,112.0,30.0,94.0,743.0,,2.0,27.0977,11.0,26.0,30.0,,79.0,285.0,22.0,0.0,205.0,11.0,239.0,119.0,26.0,,23.0,6.0,357.0,23.0,1.0,27.0,,173.0,18.0,893.0,1.0,,180.0,34.0,15.0,216.0,31.0,33.0,,32.0,160.0,1161.0,,11.0,,,2.0,419.0,22.0,0.0307,16.0,45.0,1.0,1.0,1.0,7.0,3.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
106837,Dennis Praet,Midfielder,Leicester,13,Belgium,2022-23,0.0,0.0,1.0,43.0,0.4126,20.0,2.0,2.0,1.0,1.0886,12.0,3.0,2.0,46.0,22.0,,3.0,11.0,6.0,55.0,13.0,248.0,,16.0,2.0,12.0,,2.0,1.0,639.0,1.0,,11.0,27.0,25.0,26.0,184.0,,14.0,11.2577,3.0,5.0,10.0,2.0,32.0,36.0,8.0,0.0,70.0,10.0,74.0,48.0,22.0,,3.0,7.0,110.0,5.0,13.0,17.0,2.0,58.0,1.0,240.0,1.0,7.0,99.0,9.0,6.0,66.0,9.0,5.0,,9.0,72.0,368.0,5.0,6.0,,,3.0,85.0,7.0,1.0671,9.0,17.0,1.0,1.0,,5.0,1.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,1.0,1.0,0.0,1.0,,,,,,,,,,,,,
201666,Harvey Barnes,Midfielder,Leicester,13,England,2022-23,0.0,0.0,3.0,217.0,2.1819,67.0,18.0,34.0,5.0,7.5935,26.0,54.0,5.0,181.0,34.0,1.0,13.0,24.0,32.0,193.0,37.0,727.0,3.0,2.0,,87.0,7.0,7.0,14.0,2718.0,14.0,2.0,58.0,119.0,62.0,90.0,525.0,,140.0,42.6047,18.0,10.0,51.0,15.0,159.0,281.0,37.0,0.0,336.0,31.0,211.0,101.0,34.0,7.0,12.0,53.0,380.0,39.0,37.0,95.0,15.0,249.0,29.0,725.0,20.0,19.0,412.0,14.0,27.0,37.0,38.0,8.0,,9.0,198.0,1240.0,8.0,11.0,,3.0,5.0,161.0,15.0,8.926,12.0,41.0,7.0,9.0,3.0,12.0,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,13.0,7.0,6.0,10.0,3.0,2.0,,,,,,,,,,,
172780,James Maddison,Midfielder,Leicester,13,England,2022-23,0.0,0.0,10.0,142.0,5.7402,45.0,32.0,29.0,2.0,8.156,51.0,53.0,13.0,165.0,30.0,9.0,22.0,19.0,28.0,208.0,27.0,1013.0,24.0,2.0,69.0,14.0,7.0,35.0,12.0,2484.0,12.0,2.0,10.0,180.0,47.0,176.0,753.0,20.0,107.0,43.7991,60.0,4.0,54.0,8.0,132.0,247.0,79.0,3.0,322.0,18.0,290.0,101.0,30.0,7.0,25.0,40.0,590.0,40.0,88.0,71.0,8.0,308.0,4.0,966.0,24.0,33.0,424.0,26.0,46.0,276.0,31.0,13.0,42.0,52.0,200.0,1607.0,4.0,7.0,1.0,24.0,13.0,250.0,17.0,8.5766,43.0,36.0,5.0,6.0,3.0,14.0,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,10.0,6.0,4.0,8.0,2.0,,1.0,,2.0,13.0,13.0,0.8436,2.0,1.0,,,
461587,Kasey McAteer,Midfielder,Leicester,13,Ireland,2022-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
215413,Kiernan Dewsbury-Hall,Midfielder,Leicester,13,England,2022-23,0.0,1.0,3.0,135.0,2.5825,66.0,7.0,6.0,4.0,1.2956,53.0,19.0,9.0,173.0,31.0,2.0,16.0,32.0,28.0,235.0,28.0,1095.0,5.0,3.0,7.0,28.0,2.0,9.0,2.0,2315.0,2.0,,13.0,146.0,68.0,131.0,804.0,1.0,54.0,34.3668,37.0,21.0,40.0,2.0,122.0,270.0,35.0,0.0,281.0,42.0,335.0,149.0,31.0,2.0,24.0,26.0,507.0,32.0,37.0,58.0,2.0,253.0,15.0,1084.0,13.0,5.0,417.0,29.0,43.0,249.0,37.0,28.0,6.0,56.0,241.0,1606.0,3.0,11.0,1.0,5.0,14.0,362.0,20.0,2.3766,62.0,58.0,8.0,1.0,3.0,8.0,2.0,2.0,13.0,,,,,,,,,,,,,,,,,,,,,2.0,1.0,1.0,,2.0,4.0,,,,,,,,,,,1.0
51938,Marc Albrighton,Midfielder,Leicester,13,England,2022-23,0.0,0.0,0.0,12.0,0.4097,4.0,,1.0,1.0,0.8637,4.0,2.0,1.0,28.0,6.0,,,1.0,1.0,35.0,19.0,112.0,,5.0,7.0,2.0,,6.0,,233.0,,,1.0,9.0,14.0,8.0,75.0,4.0,5.0,2.3117,6.0,4.0,3.0,,11.0,5.0,2.0,0.0,21.0,4.0,39.0,13.0,6.0,,3.0,,50.0,3.0,22.0,2.0,,19.0,1.0,109.0,1.0,3.0,66.0,1.0,2.0,36.0,2.0,1.0,2.0,2.0,32.0,179.0,6.0,1.0,,,,33.0,1.0,0.3435,7.0,7.0,2.0,1.0,,,,,2.0,,1.0,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
86881,Nampalys Mendy,Midfielder,Leicester,13,Senegal,2022-23,0.0,0.0,1.0,26.0,0.135,13.0,,1.0,1.0,0.1721,13.0,2.0,1.0,42.0,19.0,,1.0,8.0,7.0,48.0,1.0,409.0,,12.0,,10.0,,,,751.0,,1.0,6.0,34.0,27.0,30.0,350.0,,2.0,10.6998,2.0,2.0,13.0,,20.0,129.0,10.0,0.0,60.0,16.0,84.0,46.0,19.0,,4.0,3.0,140.0,9.0,1.0,4.0,,50.0,4.0,398.0,1.0,,63.0,9.0,7.0,121.0,9.0,13.0,,11.0,75.0,508.0,1.0,5.0,,,2.0,221.0,7.0,0.1233,6.0,28.0,,,,4.0,,,4.0,,,,,,,,,,,,,,,,,,,,,1.0,0.0,1.0,1.0,,,,,,,,,,,,,
519223,Sammy Braybrooke,Midfielder,Leicester,13,England,2022-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
461584,Wanya Marçal,Midfielder,Leicester,13,Portugal,2022-23,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
