matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803166,1,2015-08-09 13:30:00,20,Southampton,Away,157.0,25.0,1.0,6.0,5.0,5.0,1.0,158.0,4.0,,1.0,14.0,5.0,36.0,309.0,,1.0,16.0,14.0,21.0,8.0,2.0,,,,,,,,,,,12.0,,,,,,1.0,9.0,6.0,3.0,48.0,63.0,1.0,1.0,,8.0,8.0,3.0,10.0,1.0,,6.0,7.0,4.0,,8.0,1.0,49.0,54.0,8.0,23.0,11.0,,1.0,59.0,12.0,9.0,1.0,,2.0,2.0,,153.0,2.0,,2.0,2.0,,,6.0,2.0,1.0,,13.0,,34.0,34.0,3.0,1.0,88.0,67.0,42.0,6.0,,6.0,6.0,4.0,370.0,3.0,,37.0,48.0,28.0,,,,,140.0,131.0,3.0,27.0,28.0,43.7,,1.0,8.0,0.0,100.0,1.0,1.0,2.0,,,,7.0,,2.0,74.0,294.0,7.0,12.0,173.0,44.0,32.0,12.0,5.0,18.0,13.0,,117.0,11.0,234.0,1.0,,26.0,5.0,66.0,3.0,389.0,1.0,0.0,14.0,18.0,1.0,19.0,4.0,606.0,20.0,7.0,6.0,14.0,0.0
803175,2,2015-08-15 12:45:00,20,Southampton,Home,139.0,20.0,3.0,7.0,4.0,1.0,,259.0,3.0,,5.0,6.0,11.0,38.0,391.0,,,19.0,17.0,15.0,10.0,3.0,,,,,,,,,,,13.0,,,,,,,6.0,7.0,3.0,54.0,64.0,,,,3.0,13.0,4.0,6.0,,,9.0,12.0,17.0,,7.0,1.0,48.0,46.0,3.0,15.0,9.0,1.0,,78.0,11.0,9.0,,1.0,2.0,2.0,,161.0,,,,,,,3.0,,,,9.0,,13.0,13.0,1.0,5.0,112.0,68.0,49.0,9.0,,8.0,5.0,4.0,441.0,4.0,1.0,54.0,86.0,49.0,,,,,138.0,134.0,5.0,26.0,26.0,54.4,,,13.0,0.0,131.0,1.0,,1.0,,,,9.0,,3.0,115.0,375.0,6.0,13.0,143.0,38.0,19.0,12.0,8.0,39.0,31.0,,160.0,2.0,354.0,,,12.0,11.0,58.0,1.0,458.0,,0.0,17.0,18.0,1.0,23.0,4.0,660.0,14.0,5.0,9.0,15.0,0.0
803188,3,2015-08-23 16:00:00,20,Southampton,Away,126.0,16.0,2.0,9.0,7.0,3.0,2.0,191.0,6.0,,4.0,13.0,11.0,35.0,308.0,,,14.0,25.0,23.0,9.0,4.0,,,,,,,,,,,10.0,,,,,,2.0,7.0,6.0,7.0,49.0,72.0,,,,10.0,18.0,,11.0,,,2.0,11.0,6.0,,10.0,,62.0,51.0,10.0,24.0,13.0,,1.0,76.0,11.0,10.0,,2.0,1.0,2.0,,174.0,,,,,,,10.0,,,,13.0,,28.0,28.0,1.0,4.0,91.0,85.0,45.0,5.0,,9.0,4.0,4.0,386.0,6.0,2.0,46.0,68.0,31.0,,,,,159.0,155.0,5.0,28.0,32.0,48.0,,,18.0,0.0,98.0,,,,,,,10.0,,3.0,87.0,292.0,8.0,13.0,154.0,38.0,28.0,10.0,2.0,21.0,19.0,,136.0,12.0,279.0,,,37.0,12.0,80.0,2.0,412.0,,0.0,14.0,14.0,,18.0,2.0,613.0,14.0,5.0,2.0,11.0,0.0
803197,4,2015-08-30 13:30:00,20,Southampton,Home,200.0,25.0,2.0,13.0,11.0,1.0,,264.0,6.0,,4.0,3.0,22.0,25.0,451.0,1.0,,21.0,15.0,22.0,14.0,2.0,,,1.0,,1.0,2.0,,,,,17.0,,,,,,,3.0,3.0,3.0,67.0,68.0,3.0,1.0,3.0,1.0,9.0,2.0,4.0,,,6.0,24.0,7.0,,9.0,1.0,37.0,57.0,1.0,14.0,8.0,,,58.0,4.0,12.0,1.0,,3.0,1.0,2.0,195.0,2.0,,2.0,2.0,,,7.0,3.0,1.0,,10.0,,15.0,15.0,2.0,4.0,155.0,83.0,60.0,4.0,2.0,11.0,7.0,8.0,514.0,2.0,,81.0,86.0,47.0,,,,,136.0,131.0,5.0,27.0,30.0,61.1,,,9.0,0.0,116.0,,1.0,1.0,,2.0,,13.0,,3.0,118.0,434.0,5.0,18.0,215.0,37.0,19.0,15.0,5.0,37.0,32.0,,160.0,5.0,355.0,1.0,,15.0,24.0,48.0,2.0,533.0,1.0,0.0,23.0,16.0,8.0,22.0,0.0,733.0,8.0,10.0,6.0,14.0,0.0
803208,5,2015-09-12 15:00:00,20,Southampton,Away,249.0,30.0,1.0,5.0,4.0,5.0,,279.0,5.0,,6.0,12.0,14.0,55.0,523.0,,1.0,23.0,21.0,20.0,13.0,1.0,,,,,,,,,,,13.0,,,,,,,5.0,5.0,3.0,90.0,70.0,1.0,1.0,,4.0,17.0,5.0,6.0,,,5.0,15.0,13.0,,11.0,,52.0,42.0,4.0,17.0,8.0,,,80.0,5.0,5.0,,,1.0,,,196.0,,,,,,,7.0,,2.0,,10.0,,18.0,18.0,2.0,6.0,152.0,86.0,54.0,4.0,,6.0,8.0,4.0,600.0,3.0,2.0,91.0,82.0,40.0,,,,,162.0,159.0,3.0,35.0,24.0,64.9,,1.0,17.0,0.0,176.0,1.0,,1.0,,,,6.0,,2.0,147.0,511.0,9.0,14.0,276.0,52.0,20.0,15.0,5.0,33.0,28.0,,182.0,16.0,371.0,3.0,,27.0,15.0,88.0,2.0,614.0,,0.0,15.0,12.0,1.0,25.0,0.0,816.0,14.0,6.0,5.0,8.0,0.0
803216,6,2015-09-20 16:00:00,20,Southampton,Home,141.0,17.0,2.0,11.0,9.0,3.0,1.0,169.0,3.0,2.0,1.0,14.0,9.0,28.0,299.0,,,13.0,15.0,17.0,9.0,2.0,,,,,,,,,,,10.0,,,,,1.0,1.0,3.0,6.0,4.0,59.0,59.0,2.0,1.0,2.0,2.0,13.0,1.0,6.0,,,5.0,10.0,5.0,,11.0,,42.0,61.0,2.0,5.0,2.0,1.0,,68.0,6.0,13.0,2.0,,1.0,1.0,,157.0,1.0,,1.0,1.0,,,5.0,2.0,,,3.0,1.0,17.0,17.0,1.0,1.0,77.0,79.0,43.0,5.0,,5.0,7.0,8.0,358.0,2.0,2.0,48.0,43.0,36.0,,,,,132.0,127.0,2.0,26.0,29.0,40.8,1.0,,13.0,0.0,89.0,,,,,,,6.0,,3.0,80.0,282.0,10.0,12.0,158.0,31.0,10.0,15.0,5.0,21.0,16.0,,123.0,10.0,245.0,,2.0,38.0,9.0,64.0,1.0,382.0,,0.0,15.0,21.0,,16.0,2.0,556.0,13.0,11.0,5.0,12.0,0.0
803231,7,2015-09-26 15:00:00,20,Southampton,Home,142.0,25.0,2.0,6.0,4.0,5.0,,151.0,6.0,2.0,3.0,15.0,6.0,37.0,287.0,2.0,,17.0,13.0,17.0,8.0,1.0,,,,,1.0,1.0,,,,,12.0,,,,,,1.0,11.0,4.0,7.0,53.0,70.0,1.0,,1.0,5.0,19.0,3.0,5.0,,,4.0,13.0,6.0,1.0,6.0,3.0,42.0,50.0,5.0,19.0,9.0,,,46.0,18.0,13.0,,,1.0,,1.0,150.0,1.0,1.0,1.0,,1.0,,7.0,1.0,2.0,,11.0,,17.0,17.0,4.0,3.0,89.0,71.0,44.0,3.0,1.0,5.0,5.0,6.0,353.0,3.0,2.0,61.0,32.0,35.0,1.0,1.0,1.0,,141.0,135.0,2.0,31.0,31.0,41.5,,,19.0,0.0,88.0,1.0,2.0,3.0,,,,8.0,,3.0,70.0,267.0,7.0,10.0,165.0,43.0,25.0,5.0,4.0,23.0,19.0,,105.0,13.0,238.0,2.0,2.0,37.0,9.0,67.0,6.0,380.0,2.0,0.0,17.0,17.0,,17.0,3.0,564.0,10.0,4.0,4.0,12.0,0.0
803236,8,2015-10-03 17:30:00,20,Southampton,Away,142.0,17.0,,,,3.0,,117.0,4.0,,3.0,8.0,11.0,26.0,259.0,1.0,1.0,19.0,19.0,26.0,6.0,,1.0,,1.0,,,1.0,,,,,9.0,,,,,,3.0,8.0,4.0,6.0,54.0,66.0,3.0,2.0,1.0,4.0,23.0,4.0,5.0,,2.0,6.0,3.0,3.0,,17.0,,59.0,65.0,4.0,23.0,17.0,,,57.0,14.0,13.0,1.0,,4.0,3.0,1.0,160.0,3.0,,3.0,2.0,1.0,1.0,8.0,2.0,1.0,,19.0,,17.0,17.0,1.0,3.0,62.0,78.0,37.0,4.0,2.0,1.0,8.0,5.0,338.0,3.0,1.0,46.0,40.0,23.0,,,,,169.0,162.0,4.0,32.0,26.0,39.8,,1.0,23.0,0.0,84.0,1.0,1.0,2.0,,,1.0,4.0,1.0,3.0,58.0,246.0,14.0,9.0,167.0,24.0,30.0,13.0,6.0,15.0,9.0,2.0,104.0,9.0,208.0,2.0,,36.0,12.0,68.0,3.0,360.0,1.0,0.0,13.0,19.0,1.0,22.0,5.0,572.0,17.0,8.0,6.0,15.0,0.0
803245,9,2015-10-17 15:00:00,20,Southampton,Home,158.0,16.0,3.0,7.0,4.0,2.0,,118.0,3.0,,4.0,6.0,8.0,28.0,269.0,1.0,,13.0,21.0,29.0,8.0,1.0,,,,,,,1.0,,,1.0,9.0,,,,,2.0,,7.0,16.0,11.0,44.0,56.0,1.0,2.0,1.0,2.0,28.0,2.0,10.0,,,6.0,12.0,3.0,2.0,15.0,1.0,65.0,61.0,2.0,51.0,32.0,,1.0,45.0,16.0,9.0,,,2.0,1.0,,158.0,1.0,1.0,1.0,,1.0,,14.0,,2.0,,33.0,2.0,18.0,18.0,3.0,4.0,80.0,75.0,43.0,7.0,,4.0,6.0,6.0,331.0,8.0,3.0,41.0,38.0,27.0,,,,,149.0,142.0,1.0,28.0,18.0,50.6,2.0,1.0,28.0,0.0,78.0,3.0,2.0,5.0,,,,6.0,1.0,3.0,51.0,254.0,13.0,11.0,189.0,29.0,58.0,15.0,5.0,21.0,16.0,,80.0,11.0,192.0,2.0,,21.0,9.0,62.0,1.0,360.0,1.0,0.0,14.0,15.0,,16.0,2.0,599.0,11.0,11.0,6.0,12.0,0.0
803257,10,2015-10-25 16:15:00,20,Southampton,Away,132.0,27.0,2.0,6.0,4.0,5.0,1.0,153.0,10.0,1.0,2.0,10.0,20.0,35.0,279.0,,1.0,23.0,15.0,20.0,4.0,2.0,,,,,,,,,,,5.0,,,,,,2.0,6.0,8.0,7.0,48.0,64.0,3.0,2.0,1.0,3.0,23.0,2.0,14.0,,,7.0,10.0,2.0,,11.0,,62.0,63.0,3.0,25.0,13.0,,,64.0,11.0,8.0,,,1.0,1.0,,171.0,1.0,,1.0,,1.0,,12.0,,,,15.0,,23.0,23.0,2.0,2.0,79.0,82.0,43.0,10.0,1.0,3.0,4.0,3.0,357.0,5.0,2.0,57.0,43.0,41.0,,,,,167.0,159.0,,24.0,36.0,39.7,,,23.0,0.0,85.0,,1.0,1.0,1.0,,,3.0,1.0,3.0,91.0,259.0,12.0,8.0,147.0,44.0,33.0,18.0,7.0,20.0,13.0,,159.0,13.0,256.0,,1.0,34.0,22.0,75.0,2.0,383.0,1.0,1.0,8.0,29.0,4.0,25.0,0.0,607.0,12.0,6.0,7.0,18.0,0.0
