matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444474,1,2024-08-17 15:00:00,20,Southampton,Away,235.0,12.0,,4.0,4.0,,,348.0,2.0,,3.0,2.0,12.0,19.0,579.0,1.0,,18.0,7.0,9.0,15.0,,1.0,1.0,,,1.0,,,15.0,,,,,2.0,6.0,3.0,,13.0,6.0,114.0,41.0,2.0,3.0,,,6.0,11.0,1.0,,,12.0,14.0,7.0,,9.0,,40.0,43.0,,14.0,6.0,1.0,,,,,,,67.0,16.0,15.0,,4.0,2.0,1.0,170.0,,,,,,,3.0,,2.0,,6.0,,3.0,3.0,,3.0,179.0,43.0,33.0,3.0,,4.0,11.0,4.0,625.0,2.0,2.0,89.0,74.0,50.0,,,,,,126.0,126.0,1.0,15.0,19.0,77.8,,,,1.0,23.0,0.0,186.0,,,,1.0,1.0,4.0,2.0,,5.0,185.0,557.0,6.0,15.0,256.0,23.0,14.0,13.0,7.0,30.0,23.0,,1.0,222.0,2.0,423.0,2.0,,3.0,12.0,26.0,2.0,649.0,3.0,0.0,19.0,13.0,1.0,18.0,4.0,822.0,48.0,10.0,6.0,12.0,6.0,0.0
2444487,2,2024-08-24 15:00:00,20,Southampton,Home,346.0,7.0,,2.0,2.0,,,252.0,9.0,,8.0,,13.0,11.0,596.0,,,12.0,11.0,4.0,3.0,1.0,1.0,,,,,,,4.0,,,,,,9.0,14.0,9.0,2.0,3.0,101.0,47.0,,,,2.0,9.0,3.0,7.0,,,4.0,10.0,1.0,,12.0,2.0,56.0,42.0,2.0,17.0,9.0,,2.0,,,,,,45.0,14.0,13.0,,2.0,,,150.0,,,,,,,9.0,,1.0,,9.0,,2.0,2.0,,8.0,201.0,58.0,48.0,10.0,,,4.0,1.0,629.0,6.0,4.0,70.0,65.0,26.0,,,,,,114.0,114.0,1.0,16.0,22.0,64.6,,,,,14.0,0.0,204.0,5.0,2.0,7.0,,,1.0,,,5.0,112.0,570.0,9.0,4.0,361.0,12.0,17.0,19.0,3.0,14.0,11.0,,,145.0,,309.0,1.0,,5.0,13.0,24.0,,656.0,1.0,0.0,5.0,18.0,,13.0,3.0,838.0,21.0,13.0,7.0,4.0,12.0,0.0
2444491,3,2024-08-31 15:00:00,20,Southampton,Away,255.0,11.0,2.0,4.0,2.0,,,297.0,8.0,,8.0,3.0,12.0,16.0,548.0,,2.0,13.0,9.0,3.0,11.0,2.0,3.0,,1.0,,1.0,,,13.0,,1.0,,,,5.0,15.0,5.0,9.0,9.0,115.0,47.0,2.0,2.0,,,3.0,5.0,6.0,,,8.0,12.0,3.0,,12.0,2.0,39.0,35.0,,17.0,6.0,3.0,,,,,,,57.0,7.0,10.0,,1.0,,1.0,155.0,1.0,,1.0,1.0,,,9.0,1.0,,,6.0,1.0,9.0,9.0,1.0,8.0,170.0,36.0,22.0,2.0,1.0,5.0,9.0,6.0,595.0,5.0,,62.0,79.0,25.0,,,,,,116.0,116.0,1.0,15.0,20.0,63.4,1.0,,,,18.0,0.0,181.0,2.0,2.0,4.0,,,7.0,,,4.0,155.0,523.0,3.0,14.0,290.0,18.0,17.0,12.0,5.0,20.0,15.0,109783.52,,181.0,2.0,351.0,1.0,,22.0,12.0,44.0,2.0,621.0,2.0,0.0,18.0,15.0,4.0,13.0,1.0,792.0,31.0,8.0,7.0,8.0,10.0,0.0
2444507,4,2024-09-14 12:30:00,20,Southampton,Home,264.0,12.0,,1.0,1.0,,1.0,158.0,5.0,1.0,7.0,1.0,13.0,13.0,421.0,,,10.0,7.0,4.0,3.0,1.0,,,,,,,,3.0,1.0,,,,2.0,6.0,11.0,9.0,6.0,,94.0,40.0,1.0,3.0,,,8.0,1.0,14.0,,,,4.0,1.0,,9.0,3.0,54.0,41.0,,16.0,4.0,,,,,,,,37.0,11.0,12.0,,2.0,2.0,,145.0,,,,,,,5.0,,1.0,,4.0,,11.0,11.0,1.0,7.0,109.0,48.0,31.0,7.0,,1.0,3.0,4.0,460.0,7.0,2.0,39.0,64.0,14.0,,,,,1.0,101.0,101.0,3.0,17.0,12.0,44.2,,,,,14.0,0.0,132.0,3.0,4.0,7.0,1.0,,1.0,,,5.0,69.0,402.0,8.0,4.0,289.0,24.0,16.0,17.0,,7.0,7.0,111262.33,,89.0,2.0,198.0,2.0,1.0,11.0,14.0,32.0,,480.0,1.0,1.0,6.0,21.0,1.0,11.0,1.0,646.0,18.0,11.0,4.0,,14.0,0.0
2444517,5,2024-09-21 15:00:00,20,Southampton,Home,280.0,13.0,,,,1.0,,148.0,7.0,2.0,3.0,1.0,14.0,15.0,428.0,,3.0,8.0,18.0,9.0,7.0,,,2.0,,,,,1.0,9.0,,,1.0,,2.0,10.0,8.0,5.0,9.0,2.0,91.0,39.0,4.0,3.0,1.0,1.0,5.0,3.0,8.0,,,2.0,4.0,1.0,,12.0,3.0,59.0,50.0,1.0,33.0,17.0,,,,,,,,43.0,16.0,16.0,,3.0,2.0,,132.0,1.0,,1.0,1.0,,,7.0,1.0,1.0,,17.0,1.0,15.0,15.0,1.0,3.0,135.0,53.0,34.0,10.0,1.0,4.0,4.0,3.0,467.0,3.0,,48.0,46.0,17.0,,,,,,98.0,98.0,4.0,12.0,17.0,53.6,1.0,2.0,,,8.0,0.0,134.0,4.0,1.0,5.0,2.0,2.0,5.0,,,5.0,59.0,407.0,5.0,8.0,305.0,25.0,33.0,15.0,2.0,9.0,7.0,106650.84,2.0,82.0,4.0,196.0,1.0,2.0,17.0,17.0,36.0,3.0,492.0,,0.0,11.0,16.0,5.0,10.0,4.0,666.0,23.0,3.0,10.0,2.0,7.0,0.0
2444520,6,2024-09-30 20:00:00,20,Southampton,Away,333.0,14.0,1.0,3.0,2.0,3.0,1.0,169.0,6.0,1.0,5.0,8.0,24.0,23.0,499.0,1.0,,23.0,9.0,17.0,6.0,1.0,,,,,,,,7.0,,,,,2.0,8.0,9.0,5.0,6.0,3.0,97.0,47.0,,,1.0,,7.0,3.0,8.0,,,4.0,6.0,1.0,1.0,12.0,1.0,48.0,62.0,,22.0,11.0,,1.0,,,,,,48.0,12.0,19.0,,3.0,3.0,,195.0,,,,,,,6.0,,1.0,1.0,11.0,,8.0,8.0,3.0,5.0,138.0,54.0,33.0,7.0,,3.0,4.0,3.0,548.0,5.0,,56.0,42.0,18.0,,,,,,128.0,128.0,2.0,21.0,15.0,59.8,,,,1.0,20.0,0.0,147.0,1.0,2.0,3.0,,,3.0,,,5.0,81.0,472.0,7.0,7.0,368.0,20.0,22.0,15.0,4.0,14.0,10.0,116258.45,,111.0,4.0,223.0,1.0,1.0,23.0,24.0,44.0,1.0,577.0,1.0,0.0,9.0,20.0,,23.0,5.0,789.0,16.0,18.0,7.0,4.0,12.0,0.0
2444530,7,2024-10-05 15:00:00,20,Southampton,Away,216.0,13.0,1.0,1.0,,1.0,,122.0,17.0,,2.0,3.0,5.0,13.0,337.0,,,5.0,9.0,15.0,3.0,1.0,1.0,1.0,,,,,,7.0,,,,,,4.0,20.0,9.0,5.0,3.0,59.0,33.0,1.0,2.0,,1.0,10.0,5.0,14.0,,,1.0,4.0,2.0,,9.0,2.0,48.0,45.0,1.0,33.0,17.0,2.0,1.0,,,,,,32.0,9.0,10.0,,,,,124.0,1.0,,1.0,1.0,,1.0,17.0,1.0,,,17.0,2.0,9.0,9.0,2.0,2.0,97.0,41.0,20.0,13.0,,,5.0,2.0,362.0,10.0,1.0,40.0,34.0,9.0,,,,,,97.0,97.0,,15.0,11.0,41.4,,3.0,,1.0,13.0,0.0,115.0,2.0,1.0,3.0,,1.0,1.0,1.0,1.0,4.0,40.0,306.0,10.0,5.0,242.0,23.0,33.0,13.0,1.0,7.0,6.0,108608.28,2.0,55.0,7.0,160.0,,,14.0,5.0,34.0,,395.0,,0.0,8.0,15.0,1.0,7.0,3.0,564.0,8.0,14.0,6.0,1.0,10.0,0.0
2444547,8,2024-10-19 15:00:00,20,Southampton,Home,170.0,11.0,4.0,5.0,1.0,1.0,,132.0,11.0,,3.0,7.0,9.0,20.0,297.0,1.0,,12.0,7.0,12.0,7.0,4.0,4.0,,,,,,,8.0,,,,,,5.0,14.0,4.0,14.0,,65.0,34.0,2.0,1.0,2.0,4.0,7.0,2.0,7.0,,,10.0,5.0,2.0,,18.0,1.0,54.0,49.0,4.0,30.0,11.0,,,,,,,,47.0,10.0,10.0,1.0,,2.0,,133.0,1.0,,1.0,1.0,,,11.0,2.0,,,11.0,1.0,9.0,9.0,,3.0,62.0,50.0,27.0,6.0,1.0,5.0,7.0,7.0,333.0,4.0,2.0,54.0,47.0,28.0,1.0,1.0,1.0,,,129.0,129.0,6.0,14.0,7.0,42.0,,3.0,,,13.0,0.0,99.0,1.0,,1.0,2.0,,5.0,1.0,,5.0,69.0,274.0,7.0,12.0,187.0,27.0,30.0,18.0,10.0,19.0,9.0,,,99.0,3.0,191.0,,,23.0,10.0,46.0,1.0,359.0,2.0,1.0,14.0,21.0,1.0,16.0,5.0,570.0,29.0,16.0,6.0,10.0,16.0,0.0
2444558,9,2024-10-26 15:00:00,20,Southampton,Away,338.0,12.0,,1.0,1.0,1.0,,97.0,8.0,,9.0,2.0,16.0,13.0,434.0,,,10.0,6.0,8.0,4.0,1.0,,,,,,,,4.0,,1.0,,,1.0,5.0,13.0,9.0,5.0,,84.0,34.0,1.0,1.0,,,8.0,1.0,9.0,1.0,,1.0,,1.0,,3.0,1.0,36.0,37.0,,30.0,13.0,,1.0,,,,,,18.0,9.0,9.0,,,,,116.0,,,,,,,8.0,,1.0,,13.0,1.0,6.0,6.0,2.0,9.0,138.0,30.0,21.0,12.0,,2.0,3.0,2.0,459.0,8.0,2.0,25.0,36.0,13.0,,,,,,71.0,71.0,,13.0,5.0,43.1,1.0,,,,13.0,0.0,141.0,3.0,4.0,6.0,,,2.0,1.0,,5.0,39.0,415.0,8.0,5.0,358.0,19.0,30.0,15.0,1.0,2.0,1.0,,,54.0,4.0,123.0,1.0,,9.0,18.0,25.0,2.0,479.0,,0.0,5.0,14.0,1.0,11.0,3.0,631.0,14.0,8.0,6.0,1.0,9.0,0.0
2444567,10,2024-11-02 15:00:00,20,Southampton,Home,332.0,10.0,1.0,6.0,5.0,,1.0,214.0,8.0,,7.0,1.0,5.0,20.0,540.0,,1.0,6.0,6.0,7.0,7.0,1.0,1.0,,,,,,,7.0,,,,,1.0,7.0,10.0,6.0,8.0,1.0,102.0,52.0,1.0,1.0,,4.0,3.0,2.0,11.0,,,3.0,10.0,4.0,,9.0,3.0,51.0,49.0,4.0,22.0,10.0,,2.0,,,,,,58.0,14.0,16.0,,4.0,2.0,,164.0,1.0,,1.0,1.0,,,9.0,1.0,2.0,,10.0,,7.0,7.0,,7.0,161.0,56.0,47.0,6.0,1.0,5.0,4.0,2.0,561.0,3.0,1.0,33.0,88.0,20.0,,,,,,105.0,105.0,3.0,21.0,19.0,65.3,,,,1.0,7.0,0.0,162.0,2.0,3.0,5.0,2.0,,5.0,,,5.0,101.0,515.0,3.0,9.0,357.0,19.0,22.0,24.0,3.0,19.0,16.0,,,121.0,2.0,251.0,2.0,,9.0,5.0,33.0,3.0,589.0,,0.0,9.0,14.0,2.0,8.0,4.0,783.0,22.0,16.0,12.0,3.0,8.0,0.0
