matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
694909,1,2013-08-17 15:00:00,20,Southampton,Away,177.0,23.0,3.0,6.0,3.0,2.0,1.0,141.0,6.0,2.0,10.0,4.0,9.0,49.0,312.0,,,17.0,18.0,13.0,4.0,,,,,,,,,,1.0,,,6.0,1.0,,,,1.0,7.0,6.0,5.0,,,64.0,42.0,,,1.0,2.0,11.0,3.0,5.0,,,8.0,13.0,9.0,,9.0,,59.0,41.0,2.0,38.0,18.0,,,56.0,25.0,14.0,1.0,,4.0,3.0,,132.0,,,,,,,7.0,,1.0,1.0,18.0,,16.0,16.0,1.0,11.0,96.0,69.0,31.0,4.0,,2.0,2.0,3.0,387.0,4.0,1.0,,51.0,74.0,17.0,,,,1.0,155.0,154.0,1.0,11.0,18.0,53.3,,,,1.0,11.0,0.0,108.0,1.0,,1.0,,,2.0,,3.0,65.0,304.0,5.0,4.0,202.0,40.0,39.0,13.0,8.0,33.0,25.0,,103.0,9.0,231.0,2.0,2.0,40.0,9.0,83.0,2.0,400.0,,0.0,8.0,11.0,1.0,22.0,0.0,620.0,,13.0,6.0,8.0,9.0,0.0
694918,2,2013-08-24 15:00:00,20,Southampton,Home,211.0,20.0,2.0,10.0,8.0,2.0,1.0,258.0,5.0,,5.0,1.0,18.0,56.0,459.0,,,15.0,15.0,32.0,12.0,1.0,,,,1.0,,,2.0,,,,,13.0,,,,,1.0,5.0,4.0,4.0,,,76.0,61.0,1.0,1.0,,5.0,12.0,3.0,2.0,,1.0,5.0,6.0,14.0,1.0,15.0,1.0,49.0,62.0,5.0,38.0,23.0,,,83.0,11.0,13.0,,,4.0,2.0,2.0,166.0,1.0,1.0,1.0,,1.0,,9.0,,1.0,,23.0,,14.0,14.0,,5.0,153.0,87.0,60.0,2.0,,6.0,8.0,6.0,527.0,1.0,1.0,,78.0,84.0,33.0,,,,,139.0,139.0,5.0,18.0,31.0,66.6,,,,1.0,13.0,0.0,145.0,2.0,,2.0,2.0,,8.0,,3.0,109.0,449.0,10.0,14.0,225.0,42.0,38.0,14.0,5.0,27.0,22.0,,156.0,7.0,342.0,1.0,1.0,9.0,22.0,77.0,1.0,540.0,,0.0,17.0,12.0,2.0,19.0,2.0,760.0,,10.0,8.0,5.0,10.0,0.0
694927,3,2013-08-31 15:00:00,20,Southampton,Away,193.0,18.0,,4.0,4.0,3.0,1.0,181.0,5.0,3.0,3.0,5.0,22.0,27.0,370.0,,1.0,26.0,21.0,24.0,6.0,1.0,,,,,,,1.0,,,,,6.0,,,1.0,,1.0,8.0,8.0,6.0,,,80.0,60.0,,,,1.0,14.0,4.0,6.0,,1.0,4.0,9.0,3.0,,11.0,2.0,70.0,58.0,1.0,16.0,8.0,,,63.0,15.0,10.0,,,4.0,2.0,1.0,204.0,,,,,,,8.0,,4.0,,8.0,1.0,3.0,3.0,,4.0,95.0,96.0,52.0,5.0,,3.0,4.0,2.0,468.0,4.0,2.0,,48.0,60.0,19.0,,,,,178.0,178.0,4.0,31.0,19.0,57.8,1.0,,,1.0,14.0,0.0,101.0,3.0,,3.0,,,5.0,,3.0,84.0,363.0,7.0,7.0,227.0,37.0,16.0,25.0,4.0,18.0,14.0,,128.0,6.0,271.0,4.0,3.0,34.0,26.0,66.0,6.0,480.0,,0.0,11.0,19.0,2.0,33.0,0.0,687.0,,5.0,6.0,4.0,16.0,0.0
694936,4,2013-09-15 16:00:00,20,Southampton,Home,151.0,16.0,4.0,10.0,6.0,2.0,2.0,161.0,8.0,2.0,11.0,6.0,11.0,17.0,302.0,1.0,1.0,29.0,17.0,23.0,6.0,4.0,,1.0,,,,,,,,,,9.0,,,,1.0,2.0,3.0,4.0,2.0,,,63.0,52.0,1.0,1.0,,3.0,20.0,5.0,9.0,,,10.0,8.0,2.0,,18.0,,54.0,63.0,3.0,44.0,26.0,,,56.0,12.0,9.0,,,5.0,4.0,,165.0,,,,,,,10.0,,1.0,1.0,26.0,1.0,16.0,16.0,,11.0,91.0,81.0,47.0,5.0,,4.0,6.0,5.0,401.0,,3.0,,44.0,36.0,27.0,,,,,161.0,161.0,1.0,13.0,24.0,58.7,1.0,,,,20.0,0.0,94.0,1.0,,1.0,2.0,1.0,5.0,2.0,2.0,75.0,294.0,7.0,10.0,180.0,38.0,44.0,6.0,10.0,24.0,14.0,1.0,122.0,14.0,257.0,1.0,2.0,17.0,16.0,36.0,,413.0,2.0,0.0,15.0,26.0,5.0,30.0,1.0,666.0,,11.0,5.0,10.0,18.0,0.0
694944,5,2013-09-21 15:00:00,20,Southampton,Away,113.0,9.0,1.0,3.0,2.0,1.0,,158.0,3.0,,3.0,8.0,11.0,19.0,268.0,,,20.0,18.0,14.0,7.0,,,,,,,,,,,,,10.0,,,,,1.0,1.0,4.0,6.0,,,65.0,65.0,1.0,1.0,,2.0,13.0,2.0,24.0,,,6.0,7.0,5.0,1.0,13.0,2.0,70.0,66.0,2.0,29.0,14.0,,,59.0,9.0,6.0,,,1.0,2.0,,167.0,1.0,1.0,1.0,,1.0,,9.0,,4.0,,14.0,,11.0,11.0,,3.0,65.0,83.0,34.0,6.0,,2.0,6.0,7.0,361.0,1.0,,,57.0,51.0,24.0,,,,,174.0,174.0,6.0,22.0,26.0,44.8,,,,,13.0,0.0,76.0,1.0,4.0,5.0,,,3.0,,3.0,80.0,262.0,7.0,8.0,136.0,28.0,29.0,15.0,5.0,19.0,14.0,,131.0,6.0,256.0,4.0,,36.0,13.0,50.0,5.0,373.0,,0.0,12.0,38.0,2.0,29.0,1.0,598.0,,13.0,8.0,6.0,32.0,0.0
694956,6,2013-09-28 15:00:00,20,Southampton,Home,198.0,20.0,1.0,2.0,1.0,6.0,,254.0,4.0,1.0,3.0,3.0,19.0,31.0,450.0,,,21.0,29.0,14.0,5.0,1.0,,,1.0,,,1.0,2.0,,,,,7.0,,,,,,1.0,3.0,5.0,,,85.0,59.0,,1.0,,3.0,20.0,3.0,9.0,,,8.0,10.0,4.0,,18.0,,69.0,45.0,3.0,35.0,17.0,,,61.0,11.0,11.0,2.0,,4.0,1.0,2.0,178.0,1.0,,,1.0,,,8.0,1.0,1.0,,17.0,,13.0,13.0,1.0,3.0,138.0,92.0,58.0,2.0,,5.0,2.0,4.0,520.0,6.0,,,90.0,96.0,23.0,,,,,151.0,151.0,2.0,22.0,31.0,60.8,,,,,20.0,0.0,136.0,,,,1.0,,5.0,,3.0,126.0,437.0,17.0,7.0,213.0,45.0,35.0,9.0,7.0,22.0,15.0,1.0,173.0,9.0,346.0,1.0,2.0,14.0,24.0,55.0,1.0,537.0,,0.0,12.0,15.0,4.0,24.0,1.0,765.0,,14.0,5.0,8.0,13.0,0.0
694967,7,2013-10-06 13:30:00,20,Southampton,Home,152.0,14.0,3.0,7.0,4.0,2.0,,139.0,5.0,,3.0,6.0,14.0,26.0,284.0,,1.0,21.0,13.0,15.0,8.0,,,,,,,1.0,1.0,,,,,8.0,,,,,1.0,6.0,10.0,7.0,,,69.0,64.0,,,,4.0,13.0,3.0,9.0,,1.0,7.0,12.0,3.0,,8.0,4.0,48.0,49.0,4.0,23.0,12.0,,,61.0,13.0,8.0,1.0,,1.0,,1.0,128.0,1.0,,1.0,1.0,,,10.0,2.0,3.0,,12.0,,15.0,15.0,2.0,3.0,80.0,69.0,36.0,4.0,1.0,4.0,5.0,4.0,349.0,2.0,2.0,,27.0,59.0,16.0,,,,,139.0,139.0,5.0,20.0,26.0,42.6,,,,1.0,13.0,0.0,90.0,3.0,4.0,7.0,1.0,,5.0,,3.0,69.0,273.0,7.0,9.0,173.0,35.0,23.0,10.0,6.0,21.0,15.0,,110.0,12.0,215.0,3.0,,21.0,16.0,49.0,5.0,367.0,,0.0,12.0,23.0,3.0,23.0,3.0,572.0,,14.0,4.0,7.0,17.0,0.0
694975,8,2013-10-19 15:00:00,20,Southampton,Away,180.0,10.0,3.0,8.0,5.0,1.0,1.0,182.0,4.0,,3.0,8.0,9.0,35.0,354.0,,,23.0,10.0,14.0,12.0,3.0,,,,,,,1.0,,,,,13.0,,,,,1.0,5.0,10.0,2.0,,,62.0,53.0,2.0,2.0,,,12.0,2.0,6.0,,,4.0,13.0,8.0,,14.0,4.0,52.0,55.0,,23.0,9.0,,,74.0,19.0,9.0,,,3.0,2.0,1.0,159.0,1.0,,,1.0,,,5.0,,,1.0,9.0,,8.0,8.0,,3.0,107.0,82.0,47.0,4.0,1.0,8.0,8.0,7.0,436.0,2.0,4.0,,44.0,65.0,23.0,,,,,163.0,163.0,4.0,17.0,28.0,53.6,,,,1.0,12.0,0.0,126.0,3.0,1.0,4.0,2.0,,9.0,1.0,3.0,86.0,340.0,9.0,16.0,210.0,31.0,23.0,9.0,4.0,27.0,23.0,,137.0,3.0,271.0,,,31.0,11.0,62.0,2.0,454.0,,0.0,18.0,27.0,,27.0,3.0,664.0,,15.0,5.0,4.0,22.0,0.0
694987,9,2013-10-26 17:30:00,20,Southampton,Home,322.0,28.0,2.0,8.0,6.0,3.0,,235.0,1.0,,5.0,7.0,16.0,36.0,549.0,,,14.0,18.0,20.0,13.0,,,,,,,,,,,,,16.0,,,,,,5.0,1.0,,,,122.0,65.0,3.0,1.0,2.0,1.0,20.0,5.0,11.0,,,10.0,14.0,7.0,,12.0,,56.0,70.0,1.0,21.0,12.0,,,54.0,12.0,8.0,2.0,,1.0,,,165.0,2.0,,2.0,1.0,1.0,,1.0,1.0,2.0,1.0,12.0,1.0,11.0,11.0,1.0,5.0,179.0,82.0,59.0,3.0,,7.0,8.0,6.0,620.0,,,,61.0,78.0,17.0,,,,,141.0,141.0,2.0,21.0,34.0,66.2,,,,,20.0,0.0,168.0,,,,1.0,,9.0,,2.0,96.0,536.0,7.0,15.0,342.0,43.0,21.0,19.0,10.0,31.0,21.0,,136.0,8.0,323.0,2.0,,18.0,16.0,54.0,4.0,634.0,,0.0,20.0,28.0,2.0,18.0,0.0,840.0,,9.0,15.0,10.0,20.0,0.0
694997,10,2013-11-02 15:00:00,20,Southampton,Away,197.0,15.0,2.0,5.0,3.0,4.0,1.0,201.0,9.0,1.0,7.0,4.0,22.0,15.0,393.0,,1.0,27.0,15.0,15.0,4.0,2.0,,,,2.0,,,2.0,,,,,5.0,,,,,,3.0,5.0,4.0,,,70.0,69.0,2.0,1.0,1.0,2.0,21.0,1.0,10.0,,,5.0,14.0,4.0,,15.0,2.0,59.0,53.0,2.0,28.0,10.0,1.0,1.0,68.0,13.0,13.0,1.0,,4.0,2.0,2.0,191.0,1.0,,1.0,1.0,,,12.0,1.0,,,10.0,,15.0,15.0,1.0,7.0,124.0,90.0,38.0,5.0,,4.0,3.0,2.0,497.0,1.0,3.0,,57.0,68.0,18.0,,,,,187.0,187.0,5.0,25.0,31.0,60.8,,,,,21.0,0.0,123.0,1.0,1.0,2.0,2.0,,7.0,,1.0,83.0,386.0,11.0,7.0,226.0,39.0,28.0,19.0,5.0,25.0,20.0,,129.0,12.0,307.0,,1.0,27.0,24.0,47.0,2.0,508.0,,0.0,10.0,14.0,2.0,31.0,1.0,747.0,,17.0,11.0,5.0,13.0,0.0
