matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128287,1.0,2020-09-12 15:00:00,20,Southampton,Away,242.0,24.0,1.0,3.0,2.0,1.0,1.0,219.0,6.0,1.0,8.0,5.0,5.0,33.0,458.0,,,28.0,30.0,30.0,5.0,1.0,1.0,,,2.0,,,2.0,,,5.0,,,,,1.0,6.0,5.0,,7.0,2.0,,86.0,54.0,2.0,2.0,,3.0,14.0,1.0,10.0,,1.0,3.0,8.0,5.0,,10.0,,65.0,77.0,3.0,15.0,5.0,,,20.0,66.0,11.0,14.0,,,4.0,2.0,2.0,212.0,,,,,,7.0,,,,1.0,,,,1.0,5.0,,9.0,9.0,,,8.0,123.0,105.0,52.0,7.0,,1.0,5.0,5.0,557.0,,,,2.0,,67.0,91.0,32.0,,,,,,177.0,177.0,5.0,28.0,11.0,70.6,,,,,14.0,0.0,,,,159.0,2.0,,2.0,1.0,,3.0,,,3.0,8.0,94.0,438.0,8.0,6.0,270.0,50.0,15.0,11.0,3.0,18.0,15.0,,140.0,4.0,328.0,2.0,1.0,26.0,6.0,74.0,,580.0,,0.0,9.0,28.0,,32.0,1.0,787.0,21.0,19.0,,6.0,3.0,18.0,0.0
2128304,2.0,2020-09-20 12:00:00,20,Southampton,Home,182.0,16.0,,,,2.0,,172.0,1.0,2.0,2.0,5.0,2.0,19.0,354.0,,,7.0,31.0,16.0,5.0,1.0,,,,,,1.0,1.0,,,9.0,1.0,,,1.0,3.0,8.0,7.0,2.0,9.0,5.0,,56.0,50.0,,2.0,1.0,,21.0,2.0,8.0,,1.0,3.0,6.0,1.0,,5.0,1.0,61.0,52.0,,7.0,3.0,,,30.0,72.0,17.0,17.0,2.0,,4.0,2.0,1.0,163.0,1.0,,1.0,1.0,,1.0,,,1.0,,,,,3.0,3.0,1.0,8.0,8.0,,,2.0,121.0,63.0,33.0,2.0,,3.0,4.0,7.0,431.0,,,2.0,1.0,,80.0,43.0,21.0,,,,,1.0,150.0,150.0,3.0,20.0,23.0,52.5,1.0,3.0,,,21.0,0.0,,,,120.0,1.0,,1.0,,,5.0,1.0,,3.0,11.0,69.0,333.0,13.0,7.0,206.0,41.0,7.0,14.0,3.0,12.0,9.0,,131.0,6.0,266.0,,2.0,21.0,3.0,58.0,2.0,460.0,1.0,0.0,14.0,8.0,,13.0,4.0,611.0,19.0,15.0,,11.0,3.0,6.0,0.0
2128307,3.0,2020-09-26 20:00:00,20,Southampton,Away,173.0,15.0,1.0,2.0,1.0,3.0,,170.0,,1.0,2.0,5.0,3.0,15.0,341.0,2.0,,25.0,30.0,30.0,2.0,1.0,1.0,,,,,,,,,4.0,,,,,,6.0,5.0,5.0,3.0,2.0,,77.0,62.0,1.0,,1.0,3.0,20.0,2.0,3.0,,,2.0,3.0,1.0,,10.0,2.0,58.0,52.0,3.0,37.0,23.0,,,19.0,48.0,10.0,7.0,1.0,,,,,208.0,1.0,,1.0,1.0,,4.0,,,1.0,,,,,,23.0,,9.0,9.0,,,2.0,98.0,105.0,43.0,8.0,,2.0,2.0,1.0,460.0,,,4.0,3.0,,91.0,36.0,16.0,,,,,,188.0,188.0,2.0,23.0,29.0,46.6,,,,2.0,20.0,0.0,,,,97.0,1.0,1.0,2.0,,,2.0,,,2.0,8.0,53.0,334.0,10.0,4.0,212.0,40.0,37.0,9.0,2.0,6.0,4.0,,90.0,13.0,274.0,,1.0,30.0,3.0,58.0,1.0,480.0,2.0,0.0,5.0,12.0,1.0,32.0,0.0,679.0,12.0,19.0,,4.0,2.0,8.0,0.0
2128324,4.0,2020-10-04 12:00:00,20,Southampton,Home,216.0,19.0,,3.0,3.0,1.0,2.0,187.0,2.0,1.0,8.0,5.0,1.0,23.0,400.0,1.0,1.0,26.0,12.0,13.0,6.0,2.0,2.0,,,,,,,,,9.0,,,,,2.0,11.0,3.0,2.0,8.0,5.0,,103.0,74.0,,1.0,,,23.0,1.0,9.0,,,5.0,3.0,3.0,,12.0,,54.0,50.0,,4.0,2.0,,,27.0,52.0,19.0,10.0,,,2.0,3.0,,184.0,1.0,,1.0,1.0,,6.0,,,2.0,,,,,2.0,2.0,,15.0,15.0,1.0,,8.0,114.0,73.0,38.0,1.0,2.0,5.0,4.0,7.0,504.0,,,2.0,3.0,,72.0,57.0,30.0,,,,,,176.0,176.0,5.0,24.0,32.0,61.6,,,,,23.0,0.0,,,,121.0,1.0,1.0,3.0,,,5.0,,,2.0,14.0,66.0,389.0,6.0,9.0,249.0,35.0,4.0,12.0,4.0,13.0,9.0,,109.0,7.0,286.0,,1.0,27.0,3.0,65.0,1.0,522.0,1.0,0.0,13.0,21.0,1.0,32.0,2.0,706.0,22.0,16.0,,6.0,5.0,14.0,0.0
2128326,5.0,2020-10-17 15:00:00,20,Southampton,Away,199.0,20.0,,1.0,1.0,,1.0,183.0,3.0,,1.0,5.0,5.0,34.0,381.0,,,24.0,25.0,9.0,6.0,,1.0,,,,,,,,1.0,9.0,,,,,3.0,6.0,11.0,,9.0,4.0,,77.0,62.0,1.0,,2.0,,24.0,2.0,7.0,,,2.0,5.0,3.0,1.0,7.0,2.0,56.0,41.0,,8.0,3.0,,,34.0,69.0,9.0,10.0,2.0,,3.0,3.0,,172.0,2.0,,1.0,1.0,1.0,7.0,,,2.0,1.0,,,,1.0,3.0,1.0,7.0,7.0,,,2.0,127.0,76.0,38.0,6.0,,3.0,5.0,6.0,481.0,,,3.0,2.0,,91.0,58.0,26.0,,,,,,178.0,178.0,8.0,24.0,28.0,46.6,,,1.0,,24.0,0.0,,,,127.0,2.0,,2.0,,,5.0,,,3.0,17.0,94.0,367.0,11.0,8.0,229.0,50.0,8.0,18.0,2.0,13.0,11.0,,153.0,6.0,287.0,1.0,,21.0,5.0,78.0,1.0,503.0,1.0,0.0,13.0,13.0,1.0,31.0,1.0,682.0,20.0,17.0,,9.0,2.0,5.0,0.0
2128343,6.0,2020-10-25 14:00:00,20,Southampton,Home,310.0,18.0,2.0,3.0,1.0,,,232.0,,,5.0,2.0,14.0,14.0,539.0,,,17.0,10.0,5.0,9.0,1.0,2.0,,,,,,,,,11.0,,,,,,7.0,3.0,3.0,10.0,3.0,,104.0,57.0,,,,3.0,15.0,1.0,13.0,,,4.0,9.0,1.0,,7.0,,48.0,52.0,3.0,20.0,11.0,,,27.0,32.0,11.0,11.0,1.0,,1.0,2.0,,167.0,2.0,,2.0,2.0,,2.0,,,2.0,,,,,1.0,11.0,,8.0,8.0,2.0,,5.0,173.0,69.0,48.0,5.0,1.0,6.0,6.0,6.0,597.0,,,3.0,1.0,,80.0,45.0,25.0,,,,,,116.0,116.0,1.0,21.0,30.0,54.3,,,,1.0,15.0,0.0,,,,166.0,1.0,1.0,2.0,,,6.0,,,2.0,12.0,83.0,531.0,6.0,12.0,333.0,34.0,20.0,26.0,4.0,16.0,12.0,,110.0,3.0,293.0,,,12.0,14.0,35.0,1.0,610.0,1.0,0.0,13.0,18.0,,18.0,1.0,805.0,24.0,14.0,,18.0,4.0,9.0,0.0
2128346,7.0,2020-11-01 12:00:00,20,Southampton,Away,129.0,8.0,1.0,2.0,1.0,2.0,1.0,89.0,,,2.0,3.0,1.0,8.0,216.0,,,13.0,25.0,15.0,4.0,1.0,1.0,,2.0,,,,2.0,,,4.0,,,1.0,,1.0,7.0,14.0,5.0,4.0,5.0,,56.0,49.0,1.0,,1.0,3.0,9.0,1.0,12.0,,,1.0,,,1.0,11.0,4.0,68.0,51.0,3.0,32.0,15.0,,,27.0,41.0,17.0,11.0,1.0,,3.0,1.0,2.0,122.0,2.0,1.0,1.0,1.0,1.0,6.0,,,1.0,1.0,,,,,15.0,1.0,10.0,10.0,2.0,,3.0,77.0,63.0,18.0,11.0,2.0,4.0,3.0,4.0,287.0,,,7.0,1.0,,49.0,41.0,7.0,1.0,1.0,1.0,,,133.0,133.0,,24.0,17.0,44.1,1.0,,,1.0,9.0,0.0,,,,57.0,6.0,1.0,7.0,,,4.0,,,3.0,13.0,37.0,208.0,4.0,7.0,158.0,32.0,32.0,9.0,1.0,2.0,1.0,,68.0,2.0,156.0,1.0,,20.0,2.0,48.0,2.0,312.0,,0.0,9.0,19.0,,20.0,2.0,488.0,7.0,12.0,,6.0,1.0,11.0,0.0
2128363,8.0,2020-11-06 20:00:00,20,Southampton,Home,264.0,12.0,3.0,4.0,1.0,2.0,,204.0,2.0,,3.0,,9.0,15.0,464.0,,,20.0,8.0,10.0,10.0,1.0,3.0,,,,,,,,,12.0,,,,,,8.0,3.0,1.0,9.0,6.0,,115.0,65.0,,,,1.0,17.0,5.0,9.0,,,7.0,2.0,2.0,,9.0,1.0,41.0,61.0,1.0,10.0,4.0,,,29.0,44.0,12.0,10.0,1.0,,1.0,1.0,,166.0,1.0,,1.0,1.0,,3.0,,,2.0,,,,,1.0,4.0,1.0,12.0,12.0,1.0,,3.0,150.0,71.0,41.0,3.0,1.0,2.0,10.0,8.0,545.0,,,1.0,,,60.0,38.0,25.0,,,,,,146.0,146.0,11.0,19.0,31.0,60.7,,,,,17.0,0.0,,,,130.0,2.0,,2.0,,,2.0,,,2.0,17.0,54.0,451.0,7.0,12.0,299.0,34.0,10.0,13.0,7.0,12.0,5.0,,93.0,5.0,274.0,,,16.0,10.0,48.0,4.0,561.0,,0.0,15.0,32.0,,24.0,1.0,751.0,20.0,20.0,,9.0,8.0,23.0,0.0
2128375,9.0,2020-11-23 20:00:00,20,Southampton,Away,275.0,22.0,,4.0,4.0,1.0,2.0,151.0,6.0,,3.0,3.0,7.0,24.0,422.0,,3.0,13.0,20.0,17.0,6.0,,,,,,,,,,,6.0,,,,,1.0,12.0,15.0,5.0,5.0,2.0,,86.0,54.0,2.0,1.0,1.0,2.0,12.0,2.0,15.0,,,4.0,3.0,2.0,,5.0,4.0,60.0,58.0,2.0,14.0,7.0,,,29.0,37.0,14.0,14.0,1.0,,3.0,4.0,,155.0,1.0,,1.0,1.0,,8.0,,,1.0,1.0,,,,,7.0,,3.0,3.0,,,3.0,136.0,77.0,42.0,7.0,,3.0,4.0,2.0,492.0,,,6.0,,,57.0,46.0,21.0,,,,,,139.0,139.0,1.0,22.0,26.0,54.7,,2.0,,1.0,12.0,0.0,,,,139.0,6.0,2.0,8.0,,,3.0,,,2.0,12.0,47.0,405.0,6.0,7.0,302.0,46.0,14.0,14.0,3.0,12.0,9.0,,73.0,5.0,226.0,1.0,,16.0,7.0,55.0,1.0,516.0,,0.0,7.0,20.0,3.0,17.0,0.0,691.0,19.0,21.0,,8.0,4.0,15.0,0.0
2128383,10.0,2020-11-29 14:00:00,20,Southampton,Home,274.0,16.0,1.0,1.0,,4.0,,145.0,4.0,,4.0,4.0,6.0,22.0,418.0,,,17.0,17.0,13.0,5.0,,3.0,,1.0,,,,1.0,,,6.0,,,,,,7.0,10.0,5.0,5.0,5.0,,75.0,74.0,,,,1.0,21.0,2.0,9.0,,,5.0,3.0,3.0,1.0,13.0,2.0,56.0,58.0,1.0,17.0,8.0,,1.0,33.0,39.0,12.0,12.0,,,3.0,2.0,1.0,172.0,1.0,1.0,1.0,,1.0,7.0,,,,1.0,,,,1.0,8.0,1.0,12.0,12.0,2.0,,4.0,145.0,70.0,38.0,9.0,1.0,1.0,5.0,5.0,501.0,,,4.0,,,62.0,58.0,19.0,,,,,,164.0,164.0,5.0,30.0,31.0,49.9,,3.0,,1.0,21.0,0.0,,,,133.0,2.0,1.0,3.0,,,3.0,,,3.0,19.0,42.0,401.0,10.0,6.0,309.0,37.0,17.0,18.0,5.0,13.0,8.0,,81.0,8.0,229.0,1.0,,14.0,7.0,49.0,,525.0,1.0,0.0,10.0,22.0,,19.0,1.0,731.0,15.0,24.0,,12.0,5.0,13.0,0.0
