matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059704,1.0,2019-08-10 15:00:00,20,Southampton,Away,123.0,17.0,3.0,5.0,2.0,2.0,,131.0,3.0,1.0,1.0,13.0,4.0,32.0,249.0,,,18.0,23.0,22.0,5.0,,3.0,,,1.0,,1.0,,,,,6.0,,,,,,1.0,3.0,8.0,2.0,5.0,6.0,,59.0,57.0,1.0,1.0,,,21.0,3.0,14.0,1.0,7.0,3.0,1.0,,16.0,1.0,68.0,41.0,,18.0,6.0,,1.0,72.0,12.0,6.0,,,1.0,,1.0,177.0,,,,,,,11.0,,,,,,,,1.0,6.0,,10.0,10.0,4.0,1.0,80.0,99.0,31.0,2.0,,3.0,2.0,3.0,365.0,,,1.0,2.0,,57.0,48.0,27.0,,,,,,205.0,205.0,1.0,29.0,23.0,53.5,,,,,21.0,0.0,,,,77.0,1.0,,1.0,,1.0,,5.0,,3.0,62.0,235.0,9.0,5.0,157.0,45.0,18.0,11.0,6.0,10.0,4.0,,125.0,8.0,246.0,,1.0,52.0,4.0,98.0,1.0,393.0,,0.0,11.0,7.0,,34.0,0.0,579.0,29.0,16.0,6.0,7.0,5.0,0.0
1059720,2.0,2019-08-17 15:00:00,20,Southampton,Home,89.0,15.0,1.0,5.0,4.0,1.0,1.0,108.0,2.0,1.0,3.0,3.0,1.0,25.0,192.0,,,20.0,19.0,15.0,6.0,2.0,4.0,,,,,,,,,,9.0,,,,,,1.0,8.0,9.0,6.0,9.0,5.0,,50.0,59.0,4.0,4.0,,3.0,19.0,4.0,10.0,,5.0,6.0,6.0,,6.0,3.0,45.0,44.0,3.0,27.0,14.0,1.0,,58.0,10.0,4.0,,,1.0,2.0,,129.0,,,,,,,8.0,,,1.0,1.0,,,,1.0,14.0,,10.0,10.0,1.0,3.0,53.0,71.0,27.0,9.0,,5.0,3.0,3.0,277.0,,,2.0,1.0,,57.0,54.0,24.0,,,,,,150.0,150.0,7.0,22.0,22.0,36.2,,,,,19.0,0.0,,,,64.0,3.0,1.0,4.0,,,,7.0,1.0,3.0,46.0,181.0,13.0,8.0,108.0,36.0,27.0,11.0,5.0,19.0,14.0,,100.0,7.0,207.0,2.0,1.0,28.0,1.0,73.0,4.0,296.0,,0.0,14.0,15.0,1.0,26.0,2.0,497.0,23.0,14.0,10.0,5.0,8.0,0.0
1059724,3.0,2019-08-24 15:00:00,20,Southampton,Away,154.0,10.0,3.0,4.0,1.0,,,147.0,2.0,1.0,5.0,5.0,2.0,17.0,297.0,,,12.0,24.0,15.0,7.0,1.0,3.0,1.0,,2.0,,2.0,,,,1.0,7.0,,,,,,,5.0,9.0,3.0,6.0,6.0,,56.0,62.0,3.0,2.0,1.0,2.0,16.0,3.0,11.0,,5.0,1.0,1.0,,11.0,2.0,61.0,53.0,2.0,22.0,12.0,,,50.0,10.0,9.0,,,2.0,,2.0,152.0,2.0,,1.0,2.0,,,10.0,,,2.0,,,,,,12.0,,4.0,4.0,,5.0,101.0,67.0,28.0,8.0,1.0,3.0,7.0,4.0,376.0,,,3.0,1.0,,88.0,42.0,21.0,,,,,,145.0,145.0,9.0,24.0,23.0,49.3,,,,,16.0,0.0,,,,86.0,2.0,1.0,3.0,,2.0,1.0,5.0,1.0,3.0,60.0,289.0,12.0,10.0,171.0,24.0,22.0,16.0,5.0,7.0,2.0,1.0,110.0,2.0,231.0,,1.0,23.0,2.0,54.0,,395.0,,0.0,12.0,19.0,1.0,22.0,3.0,580.0,22.0,17.0,11.0,5.0,12.0,0.0
1059740,4.0,2019-08-31 12:30:00,20,Southampton,Home,136.0,17.0,1.0,3.0,2.0,1.0,,143.0,2.0,1.0,4.0,6.0,3.0,22.0,276.0,,,17.0,27.0,18.0,5.0,1.0,3.0,1.0,,,,,,,,,7.0,,,,,,,11.0,13.0,8.0,5.0,5.0,,42.0,67.0,1.0,1.0,,1.0,23.0,3.0,10.0,,2.0,13.0,4.0,1.0,9.0,3.0,70.0,55.0,1.0,25.0,14.0,,,48.0,17.0,6.0,,,,,,157.0,1.0,,1.0,,1.0,,10.0,,,,,,,,2.0,14.0,,19.0,19.0,,4.0,86.0,76.0,31.0,3.0,,4.0,3.0,2.0,353.0,,,4.0,2.0,,62.0,44.0,22.0,,,,,,161.0,161.0,7.0,27.0,25.0,41.4,,,1.0,,23.0,0.0,,,,90.0,4.0,3.0,7.0,1.0,,1.0,5.0,,3.0,69.0,269.0,15.0,7.0,159.0,34.0,25.0,16.0,2.0,19.0,17.0,1.0,110.0,7.0,235.0,,1.0,28.0,4.0,64.0,,375.0,,1.0,10.0,25.0,,22.0,1.0,598.0,17.0,20.0,6.0,2.0,15.0,0.0
1059748,5.0,2019-09-14 15:00:00,20,Southampton,Away,201.0,12.0,1.0,3.0,2.0,1.0,,165.0,4.0,,4.0,5.0,5.0,19.0,363.0,,,15.0,16.0,20.0,7.0,1.0,1.0,,,,,,,,,,8.0,,,,,1.0,2.0,5.0,13.0,4.0,8.0,3.0,,72.0,65.0,4.0,3.0,1.0,5.0,18.0,1.0,16.0,,6.0,7.0,6.0,,15.0,2.0,59.0,67.0,5.0,28.0,16.0,,,56.0,7.0,10.0,,,2.0,1.0,,177.0,1.0,,,1.0,,,10.0,,,1.0,,,,,1.0,16.0,1.0,9.0,9.0,1.0,4.0,100.0,79.0,35.0,12.0,1.0,2.0,7.0,7.0,443.0,,,4.0,1.0,,60.0,53.0,30.0,,,,,,165.0,165.0,5.0,29.0,25.0,51.8,1.0,,,1.0,18.0,0.0,,,,118.0,2.0,2.0,4.0,,1.0,,3.0,,3.0,53.0,349.0,8.0,9.0,233.0,26.0,28.0,26.0,6.0,20.0,14.0,,95.0,5.0,254.0,,,34.0,5.0,60.0,1.0,467.0,,0.0,11.0,18.0,1.0,23.0,1.0,692.0,20.0,13.0,20.0,6.0,9.0,0.0
1059760,6.0,2019-09-20 20:00:00,20,Southampton,Home,185.0,15.0,1.0,6.0,5.0,1.0,,250.0,2.0,,2.0,6.0,8.0,26.0,429.0,1.0,,28.0,26.0,22.0,17.0,1.0,1.0,,,,,,,,,,23.0,1.0,,,,,,3.0,3.0,3.0,13.0,12.0,,71.0,62.0,,1.0,1.0,3.0,26.0,8.0,12.0,,4.0,15.0,5.0,,5.0,,54.0,68.0,3.0,13.0,3.0,1.0,,69.0,8.0,8.0,,,1.0,,,186.0,,,,,,,6.0,,,,,,,,,3.0,,9.0,9.0,,2.0,153.0,91.0,50.0,5.0,1.0,11.0,7.0,6.0,534.0,,,2.0,1.0,,81.0,101.0,39.0,,,,,1.0,178.0,178.0,11.0,13.0,36.0,64.8,,,,1.0,26.0,0.0,,,,144.0,,,,,1.0,,11.0,,3.0,113.0,416.0,17.0,18.0,219.0,36.0,13.0,11.0,4.0,24.0,20.0,,162.0,6.0,359.0,,,33.0,8.0,70.0,1.0,554.0,2.0,0.0,25.0,30.0,,35.0,1.0,783.0,38.0,18.0,8.0,4.0,20.0,0.0
1059770,7.0,2019-09-28 15:00:00,20,Southampton,Away,160.0,20.0,2.0,5.0,3.0,,1.0,292.0,5.0,,2.0,4.0,4.0,25.0,447.0,,,19.0,18.0,17.0,7.0,3.0,2.0,1.0,,,1.0,1.0,,,,,9.0,,,,,,2.0,13.0,6.0,3.0,8.0,6.0,,75.0,57.0,,,1.0,1.0,15.0,2.0,11.0,,6.0,9.0,8.0,,15.0,,68.0,52.0,1.0,12.0,7.0,,,68.0,16.0,5.0,1.0,,4.0,3.0,1.0,160.0,,,,,,,6.0,,,1.0,,,,,,7.0,,11.0,11.0,,2.0,145.0,60.0,34.0,6.0,,5.0,5.0,6.0,506.0,,,1.0,,,99.0,50.0,37.0,,,,,,139.0,139.0,10.0,17.0,28.0,58.6,,,,,15.0,0.0,,,,138.0,2.0,,2.0,,,1.0,6.0,,3.0,153.0,436.0,6.0,10.0,172.0,36.0,12.0,14.0,5.0,25.0,20.0,1.0,193.0,3.0,371.0,,,14.0,5.0,49.0,1.0,518.0,3.0,0.0,14.0,24.0,,23.0,2.0,717.0,26.0,20.0,6.0,6.0,12.0,0.0
1059779,8.0,2019-10-06 14:00:00,20,Southampton,Home,164.0,9.0,,1.0,1.0,,1.0,112.0,1.0,,2.0,8.0,8.0,17.0,275.0,,1.0,15.0,22.0,17.0,5.0,1.0,2.0,,,1.0,,1.0,,,,,5.0,,,,,,2.0,5.0,7.0,6.0,6.0,4.0,,57.0,76.0,,1.0,1.0,,23.0,1.0,3.0,,3.0,5.0,1.0,,8.0,3.0,51.0,64.0,,12.0,3.0,1.0,,50.0,8.0,15.0,1.0,,2.0,3.0,1.0,173.0,,,,,,,5.0,,,1.0,,,,,1.0,3.0,,9.0,9.0,1.0,2.0,93.0,86.0,31.0,5.0,,4.0,2.0,3.0,375.0,,,2.0,4.0,,68.0,32.0,21.0,,,,,,177.0,177.0,11.0,29.0,29.0,43.3,,,,,23.0,0.0,,,,77.0,1.0,2.0,3.0,,,,6.0,,3.0,52.0,259.0,12.0,6.0,200.0,31.0,12.0,22.0,3.0,11.0,9.0,,101.0,8.0,211.0,,1.0,43.0,10.0,73.0,1.0,400.0,,0.0,10.0,23.0,1.0,21.0,0.0,585.0,14.0,12.0,11.0,3.0,9.0,0.0
1059791,9.0,2019-10-19 15:00:00,20,Southampton,Away,156.0,15.0,2.0,3.0,1.0,,1.0,135.0,1.0,1.0,4.0,3.0,2.0,12.0,288.0,,1.0,12.0,24.0,19.0,6.0,4.0,2.0,1.0,,,1.0,1.0,,,,,9.0,,,,,,2.0,11.0,2.0,2.0,12.0,2.0,,55.0,64.0,,,1.0,,18.0,4.0,13.0,,3.0,3.0,2.0,,5.0,,62.0,45.0,,19.0,12.0,,,57.0,17.0,9.0,1.0,,3.0,1.0,1.0,152.0,,,,,,,5.0,,,1.0,2.0,,,,3.0,12.0,,13.0,13.0,1.0,4.0,93.0,87.0,40.0,1.0,,4.0,6.0,5.0,365.0,,,,3.0,,65.0,34.0,23.0,1.0,1.0,1.0,,,143.0,143.0,6.0,19.0,31.0,43.0,,2.0,,,18.0,0.0,,,,85.0,,,,,,1.0,5.0,1.0,2.0,51.0,278.0,12.0,10.0,175.0,29.0,19.0,15.0,3.0,9.0,6.0,1.0,95.0,3.0,219.0,2.0,1.0,30.0,4.0,58.0,2.0,385.0,,0.0,14.0,9.0,1.0,18.0,2.0,559.0,18.0,18.0,9.0,3.0,4.0,0.0
1059799,10.0,2019-10-25 20:00:00,20,Southampton,Home,72.0,12.0,1.0,1.0,,,,102.0,1.0,,,3.0,5.0,16.0,173.0,,,12.0,10.0,10.0,4.0,,1.0,1.0,,,1.0,1.0,,,,,4.0,,,,,,,2.0,16.0,9.0,3.0,3.0,,46.0,66.0,,,,2.0,26.0,1.0,24.0,1.0,2.0,4.0,,,19.0,1.0,63.0,60.0,2.0,18.0,6.0,1.0,1.0,54.0,3.0,11.0,,,2.0,1.0,1.0,120.0,,,,,,,6.0,,,,,,,,,6.0,,17.0,17.0,4.0,,54.0,65.0,19.0,7.0,,1.0,3.0,3.0,240.0,,,5.0,,,41.0,55.0,15.0,1.0,1.0,1.0,,,160.0,160.0,3.0,25.0,30.0,27.4,,,,,26.0,0.0,,,,52.0,5.0,1.0,6.0,,,1.0,2.0,,3.0,36.0,159.0,16.0,4.0,95.0,31.0,18.0,26.0,2.0,7.0,5.0,1.0,73.0,2.0,184.0,,,24.0,5.0,59.0,1.0,272.0,,1.0,6.0,20.0,,23.0,0.0,483.0,10.0,17.0,19.0,2.0,12.0,0.0
