matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFreekickMiss,attFreekickTarget,attFreekickTotal,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855181,1,2016-08-13 15:00:00,20,Southampton,Home,221.0,19.0,,3.0,3.0,,1.0,277.0,1.0,,4.0,1.0,26.0,28.0,495.0,,,21.0,19.0,9.0,15.0,1.0,3.0,,2.0,2.0,,,16.0,,,,,,,3.0,2.0,1.0,4.0,11.0,13.0,87.0,78.0,,,,3.0,13.0,8.0,8.0,,,6.0,11.0,13.0,,22.0,,60.0,44.0,3.0,19.0,9.0,,,72.0,8.0,11.0,1.0,,4.0,1.0,2.0,183.0,,,,,,6.0,,,,10.0,,16.0,16.0,,4.0,153.0,86.0,51.0,2.0,,6.0,10.0,6.0,565.0,,3.0,74.0,84.0,45.0,,,,,,156.0,156.0,5.0,27.0,41.0,64.3,,,1.0,,13.0,0.0,160.0,,,,,1.0,10.0,,3.0,122.0,484.0,3.0,16.0,231.0,29.0,21.0,14.0,6.0,31.0,25.0,171.0,1.0,383.0,,,13.0,26.0,57.0,1.0,583.0,2.0,0.0,24.0,13.0,3.0,25.0,1.0,795.0,29.0,7.0,11.0,6.0,10.0,0.0
855184,2,2016-08-19 20:00:00,20,Southampton,Away,156.0,23.0,,6.0,6.0,1.0,1.0,303.0,1.0,,4.0,4.0,26.0,37.0,453.0,,,18.0,13.0,6.0,10.0,2.0,,,,1.0,,,9.0,,,,,,,3.0,7.0,7.0,5.0,7.0,6.0,90.0,56.0,,,,3.0,20.0,3.0,16.0,,,,12.0,10.0,,6.0,1.0,48.0,44.0,3.0,15.0,7.0,,,67.0,8.0,10.0,,,3.0,1.0,1.0,154.0,,,,,,8.0,,1.0,,8.0,,16.0,16.0,1.0,4.0,150.0,73.0,40.0,4.0,,9.0,3.0,1.0,511.0,1.0,,118.0,86.0,26.0,1.0,1.0,1.0,,,118.0,118.0,2.0,23.0,26.0,56.6,,,,,20.0,0.0,139.0,1.0,2.0,3.0,,,9.0,,3.0,139.0,439.0,8.0,12.0,175.0,34.0,22.0,8.0,,23.0,23.0,176.0,3.0,381.0,1.0,,19.0,29.0,71.0,2.0,533.0,,0.0,13.0,25.0,1.0,21.0,0.0,716.0,21.0,5.0,3.0,,20.0,0.0
855198,3,2016-08-27 15:00:00,20,Southampton,Home,173.0,9.0,1.0,4.0,3.0,,1.0,222.0,5.0,,6.0,7.0,18.0,20.0,391.0,,1.0,18.0,20.0,11.0,8.0,,1.0,1.0,,2.0,,,13.0,,,,,,,,9.0,4.0,1.0,1.0,15.0,75.0,57.0,,,,3.0,16.0,4.0,11.0,,,5.0,9.0,6.0,,12.0,,58.0,45.0,3.0,24.0,10.0,,,66.0,15.0,8.0,,,3.0,1.0,2.0,172.0,1.0,,,1.0,,6.0,1.0,,,15.0,,20.0,20.0,,6.0,107.0,64.0,38.0,5.0,,1.0,8.0,7.0,465.0,1.0,2.0,72.0,65.0,31.0,1.0,1.0,1.0,,,133.0,133.0,2.0,24.0,24.0,63.8,,,1.0,,16.0,0.0,126.0,,1.0,1.0,,,5.0,,3.0,110.0,378.0,7.0,9.0,191.0,16.0,31.0,11.0,5.0,21.0,16.0,160.0,6.0,310.0,,,25.0,18.0,45.0,4.0,480.0,1.0,0.0,16.0,16.0,2.0,20.0,2.0,671.0,16.0,6.0,10.0,5.0,12.0,0.0
855203,4,2016-09-10 15:00:00,20,Southampton,Away,180.0,16.0,,4.0,4.0,1.0,,182.0,7.0,,1.0,8.0,16.0,32.0,358.0,,1.0,10.0,13.0,19.0,9.0,,,,1.0,1.0,,1.0,9.0,,,,,,,1.0,4.0,15.0,2.0,6.0,5.0,77.0,66.0,1.0,2.0,,3.0,25.0,2.0,14.0,,,1.0,8.0,7.0,,9.0,,48.0,51.0,3.0,24.0,14.0,,,67.0,8.0,10.0,,,1.0,,1.0,174.0,,,,,,13.0,,3.0,,16.0,1.0,18.0,18.0,3.0,1.0,99.0,75.0,41.0,6.0,,4.0,5.0,5.0,427.0,8.0,1.0,53.0,66.0,22.0,1.0,1.0,1.0,,,142.0,142.0,4.0,26.0,30.0,43.3,,3.0,,,25.0,0.0,107.0,,,,,,4.0,,3.0,80.0,341.0,12.0,9.0,197.0,31.0,31.0,10.0,1.0,16.0,15.0,131.0,8.0,276.0,3.0,,28.0,19.0,72.0,2.0,457.0,,0.0,11.0,16.0,1.0,14.0,5.0,640.0,10.0,11.0,6.0,1.0,14.0,0.0
855218,5,2016-09-18 14:15:00,20,Southampton,Home,148.0,25.0,2.0,10.0,8.0,2.0,,227.0,3.0,,4.0,8.0,11.0,47.0,365.0,,1.0,21.0,19.0,18.0,14.0,2.0,3.0,,1.0,1.0,,,15.0,,,,1.0,,,,7.0,6.0,3.0,13.0,6.0,73.0,64.0,3.0,3.0,,3.0,17.0,4.0,7.0,,2.0,7.0,18.0,9.0,,10.0,1.0,52.0,44.0,3.0,10.0,8.0,,,60.0,14.0,9.0,,,1.0,,1.0,166.0,,,,,,7.0,1.0,1.0,,9.0,1.0,20.0,20.0,1.0,4.0,87.0,85.0,60.0,1.0,,9.0,7.0,6.0,422.0,1.0,1.0,44.0,109.0,41.0,,,,,,136.0,136.0,,22.0,34.0,53.0,1.0,,,,17.0,0.0,116.0,3.0,,3.0,,1.0,9.0,,3.0,99.0,354.0,10.0,16.0,157.0,34.0,14.0,12.0,7.0,34.0,27.0,143.0,9.0,319.0,1.0,,25.0,11.0,77.0,5.0,442.0,1.0,0.0,19.0,11.0,1.0,24.0,1.0,644.0,27.0,12.0,8.0,7.0,9.0,0.0
855231,6,2016-09-25 16:00:00,20,Southampton,Away,190.0,12.0,,3.0,3.0,3.0,1.0,199.0,7.0,,2.0,4.0,19.0,33.0,386.0,3.0,4.0,16.0,17.0,12.0,13.0,,,,,,,1.0,17.0,,,,,,,1.0,9.0,7.0,6.0,15.0,3.0,80.0,53.0,2.0,1.0,2.0,2.0,19.0,4.0,9.0,1.0,,2.0,5.0,6.0,,6.0,,47.0,45.0,2.0,31.0,26.0,,,53.0,14.0,9.0,1.0,,3.0,3.0,,170.0,2.0,,2.0,2.0,,11.0,3.0,1.0,,30.0,,12.0,12.0,2.0,2.0,109.0,78.0,46.0,7.0,1.0,4.0,11.0,9.0,451.0,5.0,2.0,67.0,73.0,28.0,,,,,,116.0,116.0,5.0,23.0,19.0,54.9,,,,,19.0,0.0,113.0,1.0,,,,1.0,5.0,,3.0,84.0,371.0,10.0,15.0,211.0,24.0,38.0,6.0,2.0,16.0,14.0,119.0,10.0,277.0,1.0,,22.0,19.0,65.0,,472.0,4.0,0.0,18.0,19.0,4.0,17.0,2.0,652.0,26.0,7.0,5.0,2.0,13.0,0.0
855235,7,2016-10-02 14:15:00,20,Southampton,Away,284.0,23.0,1.0,7.0,6.0,1.0,,248.0,8.0,,1.0,3.0,20.0,37.0,525.0,,2.0,21.0,19.0,22.0,8.0,,,,,,,1.0,11.0,,,,,1.0,,,4.0,5.0,4.0,8.0,3.0,104.0,70.0,1.0,1.0,,3.0,13.0,3.0,5.0,,,6.0,11.0,10.0,,14.0,,49.0,54.0,3.0,15.0,9.0,,1.0,61.0,9.0,8.0,,,1.0,1.0,,210.0,,,,,,11.0,,,,9.0,1.0,10.0,10.0,1.0,1.0,163.0,104.0,65.0,3.0,,2.0,6.0,5.0,605.0,3.0,,86.0,94.0,40.0,,,,,,152.0,152.0,4.0,29.0,34.0,61.9,1.0,,,,13.0,0.0,150.0,,1.0,1.0,,1.0,3.0,,3.0,95.0,507.0,4.0,8.0,305.0,44.0,19.0,7.0,6.0,28.0,22.0,139.0,8.0,350.0,,,24.0,21.0,77.0,2.0,627.0,2.0,0.0,11.0,19.0,2.0,22.0,0.0,796.0,20.0,10.0,5.0,6.0,14.0,0.0
855249,8,2016-10-16 16:00:00,20,Southampton,Home,175.0,22.0,4.0,13.0,9.0,5.0,,307.0,4.0,,,7.0,22.0,42.0,469.0,,1.0,23.0,25.0,20.0,22.0,3.0,7.0,,,,,1.0,26.0,1.0,,,,,,,8.0,4.0,2.0,24.0,10.0,103.0,49.0,3.0,3.0,2.0,2.0,13.0,11.0,2.0,,,8.0,19.0,14.0,,10.0,,49.0,47.0,2.0,13.0,10.0,,,75.0,11.0,10.0,3.0,1.0,1.0,,,197.0,1.0,1.0,1.0,,1.0,10.0,,,,11.0,,8.0,8.0,,,120.0,87.0,52.0,4.0,,7.0,19.0,14.0,531.0,1.0,,90.0,115.0,50.0,1.0,1.0,1.0,,1.0,135.0,135.0,3.0,17.0,29.0,64.6,,,,,13.0,0.0,133.0,,,,,,9.0,2.0,3.0,140.0,453.0,8.0,26.0,189.0,38.0,19.0,12.0,8.0,41.0,33.0,179.0,9.0,405.0,,,25.0,23.0,76.0,,553.0,1.0,0.0,34.0,8.0,2.0,23.0,1.0,750.0,46.0,10.0,10.0,8.0,6.0,0.0
855259,9,2016-10-23 13:30:00,20,Southampton,Away,105.0,11.0,,1.0,1.0,6.0,,119.0,7.0,,2.0,10.0,6.0,28.0,223.0,,,21.0,16.0,15.0,3.0,,,,,,,1.0,6.0,,,,,,,,7.0,8.0,6.0,3.0,3.0,41.0,64.0,,,1.0,4.0,31.0,1.0,18.0,,,3.0,6.0,3.0,,15.0,1.0,62.0,69.0,4.0,26.0,13.0,,,52.0,10.0,11.0,1.0,1.0,2.0,1.0,,154.0,,,,,,16.0,1.0,1.0,,14.0,,18.0,18.0,3.0,2.0,63.0,66.0,30.0,10.0,,1.0,2.0,2.0,289.0,4.0,,63.0,43.0,21.0,,,,,,150.0,150.0,4.0,33.0,22.0,35.3,,2.0,,,31.0,0.0,61.0,2.0,,2.0,,,3.0,,3.0,45.0,207.0,17.0,3.0,128.0,30.0,35.0,13.0,3.0,13.0,10.0,86.0,14.0,204.0,1.0,,32.0,6.0,73.0,4.0,319.0,,0.0,6.0,35.0,1.0,23.0,3.0,549.0,16.0,16.0,9.0,3.0,24.0,0.0
855266,10,2016-10-30 16:00:00,20,Southampton,Home,147.0,17.0,1.0,7.0,6.0,2.0,1.0,268.0,5.0,,2.0,4.0,17.0,29.0,408.0,,,22.0,16.0,18.0,7.0,1.0,1.0,,1.0,1.0,,,6.0,,,,,,,2.0,6.0,9.0,4.0,6.0,4.0,82.0,45.0,,,,1.0,22.0,3.0,13.0,,,7.0,12.0,7.0,,18.0,4.0,69.0,64.0,1.0,13.0,10.0,,,72.0,13.0,16.0,,,7.0,2.0,1.0,162.0,,,,,,7.0,,,,10.0,1.0,16.0,16.0,2.0,2.0,132.0,70.0,47.0,3.0,,6.0,2.0,1.0,460.0,2.0,2.0,107.0,93.0,42.0,,,,,,138.0,138.0,4.0,21.0,16.0,54.8,,,,,22.0,0.0,110.0,3.0,2.0,5.0,,,6.0,,3.0,128.0,386.0,11.0,8.0,160.0,30.0,13.0,17.0,6.0,27.0,21.0,172.0,8.0,353.0,,,21.0,19.0,56.0,2.0,486.0,,0.0,10.0,23.0,1.0,24.0,0.0,692.0,19.0,7.0,8.0,7.0,17.0,0.0
