matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292817,1.0,2022-08-06 15:00:00,20,Southampton,Away,125.0,15.0,,3.0,3.0,,1.0,215.0,2.0,,3.0,2.0,3.0,15.0,337.0,1.0,,8.0,13.0,11.0,6.0,1.0,,,,,,,,1.0,,,,6.0,,,,,3.0,2.0,15.0,4.0,6.0,4.0,,77.0,66.0,,,,2.0,22.0,3.0,7.0,,,2.0,8.0,6.0,,17.0,3.0,49.0,45.0,2.0,19.0,11.0,,,18.0,62.0,6.0,11.0,,,3.0,2.0,,125.0,1.0,,1.0,1.0,,,4.0,,,1.0,2.0,,,,1.0,11.0,,13.0,13.0,1.0,3.0,103.0,57.0,27.0,10.0,1.0,4.0,4.0,2.0,385.0,,,3.0,,1.0,56.0,77.0,31.0,,,,,,130.0,130.0,10.0,26.0,20.0,42.5,,3.0,,,22.0,0.0,,,,105.0,3.0,2.0,5.0,3.0,,5.0,,,5.0,9.0,116.0,322.0,11.0,8.0,147.0,37.0,19.0,16.0,2.0,18.0,16.0,,153.0,,281.0,2.0,,19.0,3.0,51.0,,410.0,1.0,0.0,10.0,14.0,1.0,14.0,0.0,596.0,23.0,12.0,9.0,2.0,6.0,0.0
2292828,2.0,2022-08-13 15:00:00,20,Southampton,Home,131.0,14.0,,4.0,4.0,1.0,,105.0,1.0,1.0,4.0,3.0,6.0,22.0,232.0,,1.0,13.0,23.0,17.0,6.0,,1.0,1.0,,1.0,,,1.0,,,,,11.0,,,,,,5.0,11.0,2.0,9.0,5.0,,54.0,69.0,2.0,,2.0,,22.0,3.0,6.0,,,2.0,5.0,6.0,,19.0,3.0,65.0,62.0,,17.0,8.0,,,28.0,66.0,10.0,11.0,,1.0,2.0,2.0,1.0,147.0,2.0,,2.0,2.0,,,6.0,,,2.0,,,,,1.0,8.0,,14.0,14.0,,4.0,66.0,70.0,27.0,5.0,1.0,3.0,5.0,4.0,313.0,,,3.0,1.0,,50.0,48.0,31.0,,,,,,165.0,165.0,6.0,25.0,32.0,42.6,,,1.0,,22.0,0.0,,,,65.0,3.0,,3.0,1.0,1.0,7.0,,,4.0,15.0,62.0,221.0,9.0,8.0,155.0,39.0,17.0,25.0,2.0,15.0,13.0,1.0,111.0,3.0,192.0,,1.0,19.0,6.0,56.0,1.0,332.0,,0.0,14.0,17.0,2.0,25.0,1.0,549.0,16.0,12.0,17.0,2.0,9.0,0.0
2292835,3.0,2022-08-20 15:00:00,20,Southampton,Away,101.0,25.0,3.0,7.0,5.0,2.0,1.0,146.0,3.0,,2.0,6.0,1.0,29.0,240.0,,,10.0,17.0,20.0,3.0,3.0,3.0,,,,,,,,,,,4.0,,,,1.0,1.0,9.0,4.0,2.0,6.0,3.0,,57.0,71.0,3.0,1.0,2.0,,20.0,1.0,9.0,,,5.0,6.0,7.0,,8.0,,55.0,63.0,,22.0,9.0,,,23.0,61.0,15.0,11.0,,,,1.0,,140.0,2.0,,2.0,1.0,1.0,,6.0,,,1.0,2.0,,,,,9.0,1.0,10.0,10.0,1.0,2.0,67.0,62.0,28.0,2.0,,5.0,3.0,3.0,312.0,,,2.0,2.0,,44.0,53.0,29.0,,,,,,147.0,147.0,3.0,34.0,24.0,38.0,1.0,,3.0,1.0,20.0,0.0,,,,71.0,,,,,,5.0,,,3.0,15.0,65.0,228.0,10.0,8.0,125.0,48.0,22.0,20.0,5.0,18.0,14.0,,110.0,6.0,228.0,2.0,,24.0,1.0,70.0,1.0,335.0,1.0,0.0,9.0,19.0,,20.0,3.0,525.0,21.0,13.0,13.0,5.0,12.0,0.0
2292848,4.0,2022-08-27 12:30:00,20,Southampton,Home,101.0,19.0,3.0,9.0,6.0,3.0,1.0,174.0,2.0,2.0,4.0,7.0,,26.0,266.0,,1.0,19.0,26.0,19.0,13.0,2.0,4.0,,,,,,,,,,,13.0,,,,,,2.0,9.0,2.0,14.0,3.0,,64.0,66.0,1.0,1.0,,2.0,13.0,2.0,7.0,2.0,,5.0,13.0,6.0,,8.0,2.0,50.0,56.0,2.0,10.0,5.0,,,28.0,66.0,4.0,14.0,,,1.0,4.0,,132.0,,,,,,,4.0,,,,,,,,1.0,5.0,,13.0,13.0,2.0,4.0,84.0,72.0,31.0,3.0,,9.0,6.0,5.0,346.0,,,5.0,1.0,,41.0,86.0,48.0,,,,,,158.0,158.0,5.0,26.0,28.0,48.3,,,,,13.0,0.0,,,,84.0,4.0,1.0,3.0,2.0,,10.0,,,4.0,12.0,94.0,253.0,6.0,15.0,114.0,34.0,10.0,12.0,4.0,27.0,23.0,,151.0,10.0,277.0,,2.0,26.0,,59.0,1.0,364.0,,0.0,17.0,17.0,1.0,29.0,0.0,571.0,40.0,16.0,6.0,5.0,8.0,0.0
2292859,5.0,2022-08-30 19:45:00,20,Southampton,Home,64.0,10.0,1.0,2.0,1.0,3.0,,96.0,,,3.0,9.0,4.0,17.0,158.0,,,17.0,16.0,13.0,5.0,1.0,2.0,1.0,,,,,,,,,,7.0,,,,,,6.0,8.0,2.0,4.0,5.0,,41.0,70.0,3.0,2.0,1.0,,31.0,2.0,5.0,,,5.0,7.0,2.0,,9.0,2.0,62.0,47.0,,29.0,14.0,,,26.0,57.0,15.0,9.0,,,1.0,1.0,,127.0,1.0,,1.0,1.0,,,4.0,,,1.0,1.0,,,,,14.0,,13.0,13.0,1.0,3.0,40.0,66.0,27.0,3.0,2.0,,7.0,7.0,237.0,,,4.0,,,37.0,60.0,27.0,,,,,,164.0,164.0,4.0,28.0,27.0,32.2,,,3.0,1.0,31.0,0.0,,,,51.0,3.0,,3.0,2.0,1.0,,,,3.0,13.0,61.0,150.0,16.0,7.0,87.0,21.0,29.0,23.0,5.0,15.0,10.0,1.0,111.0,7.0,187.0,1.0,,40.0,4.0,61.0,,259.0,1.0,0.0,9.0,19.0,1.0,28.0,2.0,478.0,19.0,13.0,6.0,5.0,13.0,0.0
2292869,6.0,2022-09-03 15:00:00,20,Southampton,Away,122.0,21.0,1.0,5.0,4.0,2.0,,200.0,3.0,2.0,4.0,2.0,4.0,22.0,317.0,,1.0,11.0,14.0,10.0,8.0,1.0,1.0,,,,,1.0,1.0,,,,,10.0,,,1.0,,,7.0,6.0,1.0,7.0,5.0,,78.0,66.0,1.0,1.0,,1.0,24.0,4.0,9.0,,,6.0,9.0,9.0,,9.0,1.0,48.0,53.0,1.0,18.0,6.0,,,15.0,73.0,14.0,10.0,,,2.0,4.0,1.0,159.0,,,,,,,7.0,,,,2.0,,,,1.0,6.0,1.0,10.0,10.0,2.0,4.0,83.0,58.0,36.0,5.0,,5.0,4.0,1.0,388.0,,,1.0,1.0,,67.0,73.0,40.0,,,,,,139.0,139.0,6.0,30.0,24.0,49.2,1.0,,,,24.0,0.0,,,,86.0,1.0,,1.0,,,7.0,1.0,,5.0,4.0,115.0,307.0,12.0,9.0,145.0,43.0,18.0,18.0,6.0,27.0,22.0,,168.0,5.0,288.0,2.0,2.0,11.0,5.0,50.0,,406.0,,0.0,12.0,20.0,1.0,16.0,2.0,593.0,36.0,8.0,13.0,6.0,12.0,0.0
2292878,7.0,2023-03-15 19:30:00,20,Southampton,Home,224.0,17.0,,4.0,4.0,1.0,,244.0,3.0,3.0,4.0,5.0,6.0,25.0,464.0,,,20.0,24.0,17.0,4.0,,1.0,,,1.0,,,1.0,,,,,5.0,,,,,,8.0,7.0,4.0,3.0,4.0,,100.0,68.0,,,,1.0,16.0,3.0,10.0,,,3.0,15.0,12.0,,14.0,1.0,67.0,53.0,1.0,12.0,7.0,,,26.0,62.0,14.0,8.0,,1.0,2.0,1.0,1.0,184.0,,,,,,,6.0,,,,,,,,,7.0,,3.0,3.0,,4.0,139.0,68.0,40.0,3.0,,2.0,2.0,1.0,545.0,,,4.0,1.0,,86.0,63.0,38.0,,,,,,163.0,163.0,6.0,30.0,25.0,66.4,,,,,32.0,0.0,,,,140.0,2.0,1.0,2.0,,,3.0,1.0,,4.0,8.0,107.0,451.0,16.0,4.0,259.0,40.0,12.0,18.0,3.0,31.0,28.0,,149.0,6.0,335.0,,3.0,14.0,6.0,62.0,1.0,563.0,1.0,0.0,7.0,16.0,1.0,22.0,1.0,755.0,23.0,12.0,12.0,3.0,6.0,0.0
2292880,8.0,2022-09-16 20:00:00,20,Southampton,Away,178.0,15.0,,2.0,2.0,1.0,2.0,101.0,6.0,,6.0,5.0,5.0,19.0,277.0,,,20.0,29.0,20.0,2.0,1.0,1.0,,,,,,,,,,,3.0,,,,,2.0,7.0,6.0,5.0,3.0,4.0,,60.0,79.0,,,,,18.0,3.0,6.0,,,3.0,5.0,3.0,,12.0,1.0,82.0,72.0,,26.0,12.0,,,19.0,46.0,13.0,13.0,,,3.0,4.0,,134.0,,,,,,,7.0,,,,1.0,,,,1.0,12.0,,12.0,12.0,,6.0,78.0,75.0,35.0,6.0,,1.0,2.0,1.0,358.0,,,5.0,1.0,,39.0,44.0,29.0,,,,,,175.0,175.0,1.0,33.0,39.0,47.3,,,,,18.0,0.0,,,,104.0,2.0,,2.0,1.0,,3.0,,,5.0,11.0,25.0,263.0,6.0,3.0,208.0,45.0,26.0,34.0,3.0,15.0,12.0,,71.0,7.0,183.0,1.0,,19.0,5.0,57.0,,376.0,,0.0,7.0,28.0,,25.0,1.0,624.0,12.0,22.0,11.0,3.0,18.0,0.0
2292898,9.0,2022-10-01 15:00:00,20,Southampton,Home,176.0,15.0,1.0,9.0,8.0,,1.0,195.0,5.0,1.0,4.0,7.0,2.0,25.0,362.0,1.0,,27.0,19.0,13.0,13.0,1.0,4.0,,,,,,1.0,,,,,14.0,,,,,2.0,6.0,6.0,6.0,15.0,7.0,,74.0,58.0,3.0,3.0,,1.0,25.0,7.0,7.0,,,7.0,11.0,8.0,,13.0,,60.0,52.0,1.0,17.0,8.0,,,24.0,60.0,11.0,10.0,,,2.0,2.0,1.0,154.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,,8.0,,8.0,8.0,1.0,4.0,96.0,68.0,38.0,6.0,1.0,6.0,9.0,6.0,426.0,,,3.0,1.0,,62.0,74.0,35.0,,,,,,139.0,139.0,3.0,23.0,28.0,54.2,,3.0,,,25.0,0.0,,,,121.0,2.0,1.0,3.0,,,9.0,,,4.0,11.0,95.0,346.0,12.0,15.0,199.0,31.0,17.0,17.0,6.0,27.0,21.0,,136.0,2.0,273.0,1.0,1.0,24.0,2.0,56.0,,445.0,2.0,0.0,22.0,22.0,,30.0,2.0,670.0,39.0,11.0,7.0,7.0,11.0,0.0
2292906,10.0,2022-10-08 15:00:00,20,Southampton,Away,202.0,19.0,,,,,,115.0,6.0,,8.0,,2.0,26.0,317.0,,,9.0,11.0,10.0,2.0,,3.0,,,,,,,,,,,2.0,,,,,,4.0,20.0,1.0,,5.0,,88.0,54.0,,,,1.0,14.0,2.0,9.0,,,1.0,8.0,,,4.0,2.0,43.0,38.0,1.0,20.0,12.0,1.0,,25.0,38.0,8.0,3.0,,,,,,136.0,,,,,,,12.0,,,,1.0,,,,,12.0,,11.0,11.0,3.0,8.0,80.0,56.0,25.0,9.0,,2.0,,,370.0,,,4.0,3.0,,57.0,48.0,10.0,,,,,,119.0,119.0,4.0,19.0,21.0,34.8,,,,,19.0,0.0,,,,89.0,4.0,,4.0,,,3.0,,,4.0,13.0,60.0,301.0,14.0,2.0,225.0,62.0,20.0,17.0,1.0,9.0,8.0,,84.0,,177.0,2.0,,3.0,2.0,67.0,1.0,393.0,,0.0,5.0,19.0,,10.0,1.0,562.0,3.0,14.0,6.0,1.0,9.0,0.0
