playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,successfulCrossesOpenPlay,expectedAssists,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,setPiecesGoals,offsides,iboxTarget,shotsOnTargetInBox,successfulCornersIntoBox,leftFootGoals,freekickTotal,attemptsFromSetPieces,handballsConceded,secondGoalAssists,expectedGoalsFreekick,cleanSheets,unsuccessfulLayoffs,throwInsToOppositionPlayer,goalKicks,gkSuccessfulDistribution,gkUnsuccessfulDistribution,penaltiesTaken,rightFootGoals,penaltyGoals,hitWoodwork,foulWonPenalty,lastPlayerTackle,ownGoalScored,penaltiesConceded,savesMade,savesMadeFromOutsideBox,catches,savesMadeCaught,penaltiesFaced,punches,goalkeeperSmother,drops,savesMadeParried,savesMadeFromInsideBox
552030,Aidan Francis-Clarke,Defender,Luton,102,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
165183,Amari'i Bell,Defender,Luton,102,Jamaica,2023-24,0.0,0.0,0.0,77.0,1.0,0.4462,,2.0,1.0,0.3067,50.0,2.0,2.0,98.0,21.0,,1.0,21.0,161.0,12.0,789.0,,,,,,43.0,1.0,1.0,1722.0,22.0,96.0,1.0,41.0,75.0,599.0,6.0,2.0,40.3787,8.0,5.0,55.0,41.0,,55.0,230.0,16.0,0.0,173.0,18.0,,391.0,98.0,21.0,1.0,17.0,15.0,267.0,40.0,,12.0,20.0,,130.0,21.0,770.0,,4.0,229.0,33.0,10.0,15.0,93.0,22.0,25.0,,,29.0,75.0,1111.0,16.0,3.0,,30.0,362.0,18.0,0.2604,63.0,62.0,,,1.0,1.0,,,,,,,,1.0,,13.0,4.0,3.0,1.0,,,,,,,,,,,,,,,,,,
547668,Axel Piesold,Defender,Luton,102,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
634640,Christian Chigozie,Defender,Luton,102,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
209293,Daiki Hashioka,Defender,Luton,102,Japan,2023-24,0.0,0.0,0.0,35.0,3.0,0.2588,1.0,,,,11.0,1.0,,29.0,10.0,,,6.0,45.0,6.0,256.0,,,1.0,4.0,,25.0,,3.0,595.0,12.0,30.0,3.0,12.0,17.0,203.0,2.0,1.0,12.0027,3.0,1.0,20.0,21.0,,23.0,44.0,6.0,0.0,65.0,5.0,,103.0,26.0,10.0,,6.0,1.0,81.0,18.0,,6.0,7.0,,40.0,13.0,255.0,1.0,,70.0,5.0,1.0,7.0,76.0,10.0,8.0,,,8.0,33.0,371.0,13.0,3.0,1.0,10.0,133.0,5.0,0.1057,16.0,15.0,,,,,,,,,,,,,,4.0,,,,,,,,,,2.0,,,,,,,,,,,
108411,Dan Potts,Defender,Luton,102,England,2023-24,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
199056,Gabriel Osho,Defender,Luton,102,Nigeria,2023-24,0.0,0.0,3.0,85.0,1.0,0.2215,1.0,2.0,1.0,1.2625,41.0,9.0,,63.0,21.0,,,21.0,123.0,2.0,702.0,2.0,1.0,,,,75.0,,1.0,1848.0,38.0,98.0,5.0,20.0,61.0,552.0,21.0,2.0,47.1462,2.0,7.0,88.0,47.0,1.0,47.0,195.0,14.0,0.0,183.0,17.0,1.0,274.0,103.0,21.0,,19.0,5.0,166.0,42.0,2.0,2.0,15.0,1.0,108.0,37.0,694.0,7.0,3.0,154.0,22.0,7.0,20.0,174.0,23.0,31.0,,,27.0,59.0,1007.0,,2.0,,30.0,414.0,14.0,1.0889,60.0,45.0,,1.0,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,
476369,Issa Kaboré,Defender,Luton,102,Burkina Faso,2023-24,0.0,0.0,7.0,92.0,14.0,1.8776,2.0,1.0,8.0,0.1376,52.0,4.0,1.0,98.0,24.0,2.0,1.0,21.0,130.0,52.0,541.0,,,,3.0,,38.0,,14.0,1732.0,20.0,117.0,2.0,55.0,99.0,396.0,18.0,,36.3941,14.0,4.0,46.0,39.0,2.0,72.0,52.0,30.0,0.0,209.0,11.0,,228.0,102.0,24.0,,24.0,18.0,212.0,37.0,,52.0,26.0,2.0,171.0,18.0,535.0,3.0,13.0,285.0,28.0,18.0,11.0,153.0,27.0,16.0,,1.0,15.0,108.0,1047.0,108.0,8.0,,21.0,213.0,21.0,0.2201,32.0,56.0,,2.0,1.0,1.0,,,,,,,,,,43.0,,,,,,,,,,1.0,,,,,,,,,,,
611011,Joe Johnson,Defender,Luton,102,England,2023-24,0.0,0.0,1.0,4.0,,0.0024,,,,,,,,,2.0,,,,4.0,,34.0,,,,2.0,,1.0,,,75.0,1.0,,2.0,,,25.0,,,2.7613,,3.0,,5.0,,3.0,7.0,,0.0,4.0,,,13.0,3.0,2.0,,,,5.0,3.0,,,1.0,,3.0,,33.0,,,7.0,,,,5.0,1.0,,,,5.0,9.0,37.0,,,,2.0,25.0,1.0,,4.0,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,
208904,Mads Andersen,Defender,Luton,102,Denmark,2023-24,0.0,0.0,1.0,12.0,,0.0109,,1.0,,0.7561,6.0,3.0,,18.0,8.0,,,4.0,30.0,,115.0,1.0,0.0,,4.0,,17.0,,,399.0,6.0,19.0,,4.0,8.0,78.0,4.0,1.0,5.5099,,2.0,29.0,6.0,,6.0,22.0,2.0,0.0,31.0,3.0,1.0,68.0,25.0,8.0,,1.0,1.0,23.0,6.0,1.0,,1.0,,14.0,11.0,115.0,2.0,,37.0,5.0,,6.0,18.0,6.0,8.0,,,7.0,7.0,186.0,2.0,2.0,,10.0,62.0,3.0,0.2608,12.0,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
