matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2292810,1,2022-08-05 20:00:00,31,Crystal Palace,Home,293.0,31.0,1.0,3.0,2.0,,,197.0,3.0,,2.0,1.0,5.0,33.0,487.0,,1.0,22.0,14.0,10.0,8.0,,,,,,,,,1.0,,,,,9.0,,,,,,,1.0,11.0,9.0,2.0,9.0,1.0,105.0,59.0,2.0,2.0,,,17.0,6.0,13.0,,,3.0,11.0,3.0,,16.0,1.0,72.0,53.0,,19.0,7.0,,,27.0,65.0,16.0,9.0,,3.0,2.0,,160.0,,,,,,,4.0,,1.0,,7.0,,8.0,8.0,2.0,2.0,155.0,80.0,47.0,5.0,,2.0,6.0,2.0,543.0,4.0,1.0,1.0,76.0,65.0,30.0,,,,,142.0,142.0,8.0,25.0,23.0,56.3,,,,1.0,17.0,0.0,142.0,1.0,,1.0,,1.0,,2.0,,,4.0,7.0,92.0,471.0,6.0,8.0,308.0,58.0,19.0,29.0,3.0,19.0,16.0,,142.0,2.0,273.0,1.0,,9.0,5.0,66.0,1.0,562.0,,0.0,10.0,18.0,2.0,25.0,1.0,770.0,29.0,17.0,16.0,3.0,9.0,0.0
2292825,2,2022-08-15 20:00:00,31,Crystal Palace,Away,125.0,18.0,1.0,2.0,1.0,,,66.0,14.0,,9.0,3.0,3.0,25.0,189.0,,2.0,11.0,9.0,16.0,5.0,1.0,2.0,1.0,,,,,,,,,,,5.0,,,,,1.0,,,4.0,16.0,8.0,5.0,2.0,36.0,72.0,4.0,3.0,1.0,,15.0,,10.0,,,2.0,4.0,3.0,,13.0,1.0,46.0,59.0,,38.0,25.0,,,27.0,37.0,8.0,7.0,1.0,,,,133.0,1.0,,1.0,1.0,,1.0,16.0,1.0,2.0,1.0,25.0,1.0,18.0,18.0,2.0,9.0,61.0,58.0,26.0,4.0,,4.0,3.0,3.0,245.0,10.0,,,25.0,35.0,15.0,,,,,143.0,143.0,,38.0,22.0,27.4,1.0,2.0,,1.0,15.0,0.0,44.0,3.0,,3.0,,,1.0,4.0,,,5.0,16.0,33.0,164.0,7.0,7.0,158.0,44.0,38.0,20.0,2.0,9.0,7.0,2.0,61.0,4.0,125.0,2.0,,18.0,4.0,63.0,2.0,274.0,,0.0,7.0,23.0,2.0,17.0,4.0,495.0,12.0,23.0,13.0,2.0,14.0,0.0
2292831,3,2022-08-20 15:00:00,31,Crystal Palace,Home,206.0,26.0,3.0,4.0,1.0,,,176.0,6.0,,4.0,1.0,4.0,29.0,378.0,,,21.0,13.0,9.0,9.0,2.0,2.0,1.0,,,,,1.0,,,,,,12.0,,,1.0,,,,1.0,9.0,11.0,2.0,15.0,2.0,80.0,54.0,3.0,3.0,2.0,2.0,24.0,3.0,5.0,,2.0,4.0,5.0,1.0,,18.0,1.0,60.0,50.0,2.0,11.0,7.0,,,17.0,56.0,16.0,13.0,2.0,2.0,,1.0,155.0,2.0,,1.0,2.0,,1.0,6.0,2.0,,,7.0,,3.0,3.0,1.0,4.0,105.0,63.0,43.0,2.0,,5.0,8.0,9.0,428.0,2.0,,,77.0,59.0,19.0,,,,1.0,121.0,121.0,6.0,22.0,20.0,50.8,,,3.0,,24.0,0.0,108.0,3.0,1.0,4.0,,,1.0,5.0,1.0,,5.0,7.0,91.0,359.0,14.0,13.0,228.0,45.0,11.0,22.0,4.0,10.0,6.0,1.0,122.0,2.0,230.0,,,7.0,4.0,52.0,1.0,448.0,,0.0,17.0,14.0,,24.0,2.0,639.0,36.0,15.0,14.0,4.0,9.0,0.0
2292846,4,2022-08-27 15:00:00,31,Crystal Palace,Away,141.0,16.0,1.0,1.0,,,,56.0,8.0,,7.0,2.0,,18.0,196.0,,,11.0,14.0,7.0,1.0,,1.0,,,,,,,,,,,,1.0,,,,,,,,4.0,14.0,4.0,1.0,1.0,52.0,46.0,1.0,,1.0,,3.0,,10.0,,,1.0,3.0,,1.0,7.0,,43.0,35.0,,27.0,12.0,,,19.0,36.0,8.0,14.0,,1.0,1.0,,105.0,1.0,1.0,1.0,,1.0,,11.0,,2.0,,12.0,,5.0,5.0,2.0,7.0,56.0,47.0,16.0,6.0,,,2.0,2.0,233.0,4.0,2.0,,33.0,32.0,7.0,,,,,100.0,100.0,2.0,30.0,5.0,25.7,,3.0,,1.0,10.0,0.0,52.0,1.0,,1.0,,1.0,,,,,4.0,10.0,28.0,173.0,3.0,2.0,169.0,41.0,27.0,10.0,1.0,5.0,4.0,,55.0,1.0,101.0,2.0,,17.0,,60.0,1.0,265.0,,0.0,2.0,9.0,1.0,12.0,2.0,412.0,3.0,11.0,5.0,1.0,6.0,0.0
2292852,5,2022-08-30 19:30:00,31,Crystal Palace,Home,196.0,22.0,1.0,2.0,1.0,,,189.0,3.0,,6.0,6.0,8.0,40.0,383.0,,,18.0,12.0,14.0,9.0,1.0,1.0,2.0,,,,,,,,,,,12.0,,,,,1.0,,,7.0,8.0,1.0,7.0,6.0,89.0,71.0,,,,,10.0,3.0,6.0,,,4.0,5.0,2.0,,9.0,,43.0,50.0,,26.0,16.0,,,32.0,49.0,11.0,8.0,,,,,164.0,1.0,,,1.0,,,8.0,1.0,3.0,,16.0,1.0,9.0,9.0,1.0,6.0,97.0,87.0,56.0,6.0,1.0,5.0,6.0,4.0,451.0,1.0,1.0,,50.0,79.0,20.0,,,,,136.0,136.0,7.0,33.0,23.0,48.9,1.0,2.0,,,10.0,0.0,122.0,2.0,,2.0,,,2.0,6.0,1.0,,4.0,13.0,85.0,371.0,4.0,11.0,220.0,45.0,26.0,12.0,3.0,10.0,7.0,2.0,116.0,4.0,262.0,3.0,,20.0,8.0,74.0,1.0,472.0,,0.0,13.0,21.0,,18.0,1.0,667.0,20.0,23.0,7.0,4.0,12.0,0.0
2292866,6,2022-09-03 15:00:00,31,Crystal Palace,Away,174.0,19.0,2.0,3.0,1.0,1.0,1.0,111.0,7.0,2.0,2.0,1.0,6.0,18.0,282.0,,,16.0,14.0,14.0,12.0,2.0,4.0,1.0,,,,,,,,,,,12.0,,,,,,,3.0,6.0,20.0,3.0,8.0,11.0,52.0,53.0,,,,2.0,18.0,6.0,4.0,1.0,1.0,5.0,2.0,1.0,,9.0,4.0,48.0,66.0,2.0,35.0,19.0,,,30.0,43.0,12.0,18.0,,4.0,4.0,,138.0,,,,,,,11.0,,,,19.0,,13.0,13.0,1.0,2.0,82.0,61.0,31.0,13.0,,3.0,11.0,9.0,331.0,11.0,,,43.0,35.0,19.0,,,,,126.0,126.0,4.0,30.0,15.0,48.3,,,,1.0,18.0,0.0,90.0,6.0,,5.0,,,1.0,4.0,,,3.0,15.0,54.0,265.0,9.0,14.0,202.0,47.0,35.0,20.0,5.0,12.0,7.0,1.0,83.0,4.0,172.0,,2.0,12.0,6.0,53.0,1.0,362.0,,0.0,19.0,23.0,1.0,18.0,2.0,604.0,22.0,16.0,11.0,5.0,17.0,0.0
2292872,7,2023-01-18 20:00:00,31,Crystal Palace,Home,144.0,17.0,2.0,5.0,3.0,2.0,,155.0,5.0,,4.0,5.0,2.0,24.0,294.0,,1.0,16.0,9.0,13.0,4.0,3.0,3.0,,1.0,,,1.0,2.0,,,,,,4.0,,,,,,,1.0,7.0,8.0,7.0,5.0,5.0,62.0,89.0,,,,1.0,14.0,2.0,2.0,,,3.0,9.0,4.0,,14.0,1.0,51.0,51.0,1.0,18.0,10.0,,,25.0,53.0,9.0,10.0,,4.0,1.0,2.0,180.0,,,,,,,9.0,,,1.0,10.0,1.0,21.0,21.0,,4.0,72.0,76.0,42.0,3.0,1.0,2.0,5.0,5.0,379.0,3.0,2.0,,33.0,72.0,26.0,,,,,178.0,178.0,3.0,42.0,38.0,39.4,,,1.0,1.0,24.0,0.0,85.0,1.0,2.0,3.0,,2.0,,3.0,1.0,,4.0,13.0,78.0,282.0,14.0,7.0,182.0,31.0,18.0,22.0,3.0,17.0,14.0,,114.0,12.0,234.0,1.0,,28.0,4.0,59.0,,399.0,,0.0,10.0,24.0,1.0,21.0,1.0,635.0,21.0,22.0,4.0,3.0,11.0,0.0
2292882,8,2023-03-15 19:30:00,31,Crystal Palace,Away,203.0,11.0,,3.0,3.0,1.0,1.0,145.0,5.0,1.0,4.0,2.0,3.0,19.0,345.0,,1.0,14.0,10.0,3.0,8.0,1.0,2.0,,,,,,1.0,,,,,1.0,7.0,,,,,,,1.0,13.0,6.0,5.0,6.0,5.0,77.0,68.0,2.0,2.0,,1.0,11.0,2.0,4.0,,,4.0,7.0,2.0,,11.0,1.0,53.0,42.0,1.0,14.0,3.0,,,34.0,35.0,20.0,13.0,,2.0,2.0,1.0,148.0,,,,,,,9.0,,,1.0,3.0,,13.0,13.0,1.0,4.0,98.0,55.0,25.0,1.0,,5.0,4.0,3.0,405.0,1.0,1.0,,57.0,52.0,22.0,,,,,135.0,135.0,7.0,28.0,29.0,42.9,,,,,21.0,0.0,107.0,3.0,1.0,4.0,,,,6.0,,,4.0,14.0,70.0,326.0,11.0,9.0,232.0,42.0,14.0,20.0,2.0,13.0,11.0,,97.0,1.0,211.0,,1.0,13.0,4.0,55.0,,430.0,,0.0,11.0,15.0,2.0,15.0,2.0,618.0,20.0,18.0,11.0,4.0,11.0,0.0
2292892,9,2022-10-01 15:00:00,31,Crystal Palace,Home,173.0,5.0,1.0,2.0,1.0,1.0,,100.0,6.0,2.0,3.0,4.0,4.0,13.0,271.0,,,12.0,11.0,9.0,5.0,1.0,2.0,,,,,,,,,,,,4.0,,,,,,,1.0,5.0,10.0,3.0,4.0,3.0,70.0,59.0,1.0,,1.0,1.0,10.0,,6.0,,,5.0,5.0,1.0,,4.0,,43.0,49.0,1.0,14.0,6.0,,,36.0,35.0,11.0,12.0,1.0,2.0,2.0,,132.0,1.0,,1.0,1.0,,,10.0,1.0,2.0,,6.0,,7.0,7.0,,4.0,85.0,54.0,31.0,2.0,,4.0,3.0,3.0,320.0,3.0,1.0,,38.0,53.0,11.0,,,,,128.0,128.0,2.0,27.0,23.0,36.0,,3.0,,,20.0,0.0,61.0,1.0,,1.0,,,,4.0,,,4.0,18.0,44.0,253.0,10.0,7.0,203.0,16.0,14.0,22.0,3.0,11.0,8.0,,71.0,3.0,156.0,2.0,2.0,17.0,5.0,45.0,1.0,348.0,,0.0,7.0,18.0,1.0,15.0,1.0,515.0,14.0,20.0,10.0,5.0,10.0,0.0
2292904,10,2022-10-09 14:00:00,31,Crystal Palace,Home,209.0,18.0,1.0,4.0,3.0,,2.0,116.0,8.0,,10.0,5.0,2.0,26.0,321.0,,,23.0,13.0,15.0,6.0,2.0,1.0,,,1.0,,,2.0,,,1.0,,,8.0,,,,,,,2.0,10.0,7.0,3.0,10.0,3.0,66.0,69.0,3.0,1.0,2.0,,27.0,3.0,8.0,,1.0,5.0,9.0,1.0,,18.0,1.0,62.0,63.0,,19.0,6.0,,,21.0,45.0,13.0,23.0,1.0,3.0,3.0,2.0,161.0,2.0,1.0,1.0,1.0,1.0,,8.0,1.0,3.0,,6.0,,13.0,13.0,1.0,10.0,99.0,67.0,36.0,3.0,1.0,3.0,7.0,5.0,386.0,4.0,,,67.0,41.0,21.0,,,,,169.0,169.0,10.0,26.0,22.0,54.5,,,3.0,,27.0,0.0,92.0,2.0,1.0,3.0,,1.0,,5.0,,,4.0,11.0,58.0,294.0,17.0,10.0,248.0,42.0,19.0,18.0,3.0,16.0,13.0,,91.0,1.0,186.0,3.0,,22.0,2.0,60.0,2.0,418.0,,0.0,13.0,18.0,1.0,29.0,3.0,666.0,19.0,23.0,7.0,5.0,7.0,0.0
