matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
803163,1,2015-08-08 15:00:00,31,Crystal Palace,Away,69.0,8.0,1.0,5.0,4.0,4.0,,136.0,4.0,,,6.0,10.0,21.0,200.0,,2.0,15.0,10.0,8.0,7.0,,,,,,,,,,,1.0,10.0,,,,,,,11.0,6.0,11.0,44.0,49.0,4.0,1.0,3.0,1.0,8.0,2.0,3.0,1.0,,4.0,11.0,2.0,1.0,13.0,2.0,50.0,46.0,1.0,28.0,15.0,,,47.0,20.0,14.0,,,3.0,2.0,,123.0,3.0,,3.0,2.0,1.0,11.0,2.0,,2.0,16.0,,12.0,12.0,2.0,,49.0,56.0,24.0,1.0,2.0,2.0,8.0,7.0,236.0,3.0,1.0,,48.0,59.0,23.0,,,,,124.0,118.0,2.0,20.0,21.0,37.1,,,8.0,0.0,56.0,3.0,2.0,4.0,,1.0,,2.0,,3.0,82.0,184.0,5.0,10.0,83.0,15.0,34.0,17.0,3.0,18.0,15.0,,116.0,10.0,207.0,,,29.0,12.0,62.0,2.0,272.0,1.0,0.0,11.0,14.0,2.0,19.0,0.0,450.0,6.0,10.0,4.0,14.0,0.0
803172,2,2015-08-16 13:30:00,31,Crystal Palace,Home,144.0,12.0,2.0,6.0,4.0,3.0,,164.0,5.0,1.0,2.0,11.0,10.0,29.0,302.0,,,13.0,19.0,15.0,4.0,2.0,,,,,,1.0,,,,,7.0,,,,,1.0,1.0,9.0,17.0,4.0,61.0,70.0,1.0,1.0,,5.0,18.0,3.0,7.0,1.0,1.0,6.0,14.0,8.0,1.0,15.0,2.0,66.0,54.0,5.0,23.0,13.0,,2.0,61.0,14.0,12.0,,,2.0,1.0,,160.0,1.0,,1.0,1.0,,7.0,1.0,1.0,,15.0,1.0,19.0,19.0,3.0,2.0,81.0,72.0,45.0,6.0,,2.0,5.0,4.0,352.0,8.0,2.0,1.0,53.0,59.0,35.0,,,,,155.0,143.0,2.0,39.0,22.0,40.8,1.0,,18.0,0.0,74.0,5.0,1.0,5.0,,1.0,,4.0,,3.0,85.0,282.0,5.0,7.0,159.0,26.0,35.0,21.0,6.0,29.0,23.0,,126.0,11.0,246.0,1.0,1.0,24.0,10.0,58.0,3.0,376.0,,0.0,11.0,18.0,1.0,15.0,1.0,600.0,12.0,9.0,6.0,13.0,0.0
803182,3,2015-08-22 15:00:00,31,Crystal Palace,Home,125.0,11.0,1.0,5.0,4.0,1.0,1.0,163.0,5.0,,2.0,7.0,7.0,23.0,283.0,2.0,,14.0,27.0,24.0,10.0,1.0,,,,,1.0,1.0,,,,,12.0,,,,,,2.0,5.0,7.0,5.0,62.0,74.0,2.0,2.0,,,7.0,3.0,9.0,,,6.0,15.0,6.0,1.0,12.0,1.0,61.0,59.0,,15.0,11.0,,1.0,58.0,12.0,14.0,,1.0,5.0,2.0,1.0,158.0,2.0,1.0,2.0,1.0,1.0,11.0,1.0,2.0,,15.0,,11.0,11.0,,2.0,77.0,66.0,36.0,4.0,1.0,6.0,7.0,6.0,327.0,3.0,,1.0,84.0,49.0,37.0,,,,,140.0,134.0,6.0,24.0,38.0,49.9,,,7.0,0.0,60.0,2.0,,2.0,,,,7.0,,3.0,97.0,266.0,1.0,14.0,135.0,21.0,21.0,7.0,5.0,28.0,23.0,,136.0,6.0,250.0,2.0,,19.0,7.0,56.0,4.0,357.0,2.0,0.0,16.0,15.0,2.0,15.0,3.0,535.0,18.0,6.0,6.0,12.0,0.0
803193,4,2015-08-29 15:00:00,31,Crystal Palace,Away,114.0,11.0,,4.0,4.0,3.0,,129.0,6.0,,1.0,5.0,9.0,22.0,239.0,2.0,,20.0,21.0,15.0,9.0,,,,,,,,,,,,12.0,,,,,,,10.0,17.0,9.0,45.0,57.0,3.0,2.0,2.0,2.0,17.0,2.0,13.0,1.0,,7.0,15.0,1.0,1.0,10.0,4.0,65.0,45.0,2.0,38.0,17.0,,,56.0,15.0,9.0,,,1.0,1.0,,145.0,1.0,,1.0,1.0,,11.0,2.0,3.0,,19.0,,9.0,9.0,1.0,2.0,78.0,80.0,39.0,7.0,1.0,5.0,5.0,5.0,292.0,8.0,1.0,,51.0,64.0,26.0,,,,,145.0,138.0,1.0,26.0,18.0,36.3,,1.0,17.0,0.0,53.0,5.0,3.0,7.0,,,,6.0,,3.0,63.0,225.0,9.0,10.0,132.0,18.0,45.0,10.0,6.0,23.0,17.0,,103.0,9.0,212.0,3.0,,29.0,9.0,66.0,2.0,321.0,2.0,0.0,13.0,17.0,,24.0,1.0,534.0,13.0,4.0,7.0,13.0,0.0
803206,5,2015-09-12 15:00:00,31,Crystal Palace,Home,146.0,9.0,,7.0,7.0,1.0,1.0,134.0,6.0,1.0,1.0,7.0,9.0,24.0,273.0,,,22.0,10.0,19.0,7.0,,,,,,,,,1.0,,,9.0,,,,,,1.0,9.0,12.0,9.0,54.0,57.0,1.0,1.0,,4.0,17.0,2.0,4.0,,,4.0,10.0,4.0,,10.0,3.0,42.0,57.0,4.0,21.0,9.0,1.0,,56.0,13.0,13.0,,,3.0,3.0,,164.0,,,,,,12.0,,1.0,,13.0,,21.0,21.0,1.0,1.0,72.0,75.0,44.0,4.0,,4.0,3.0,2.0,331.0,5.0,2.0,,48.0,62.0,31.0,,,,,144.0,136.0,2.0,28.0,22.0,42.2,,,17.0,0.0,69.0,4.0,2.0,6.0,,,,6.0,,3.0,51.0,257.0,8.0,7.0,166.0,24.0,29.0,16.0,4.0,21.0,17.0,,95.0,7.0,214.0,1.0,1.0,18.0,10.0,58.0,5.0,359.0,1.0,0.0,10.0,17.0,1.0,23.0,2.0,570.0,13.0,11.0,4.0,15.0,0.0
803213,6,2015-09-20 13:30:00,31,Crystal Palace,Away,125.0,19.0,3.0,6.0,3.0,3.0,1.0,118.0,4.0,,,7.0,12.0,26.0,237.0,,,27.0,9.0,18.0,7.0,2.0,,,,1.0,1.0,,,,1.0,,7.0,,,,1.0,,,5.0,8.0,13.0,52.0,52.0,,,,2.0,19.0,4.0,11.0,,,5.0,8.0,7.0,,22.0,4.0,61.0,68.0,2.0,22.0,11.0,,,51.0,11.0,9.0,,,4.0,2.0,1.0,142.0,,,,,,11.0,,1.0,,18.0,2.0,17.0,17.0,2.0,,66.0,74.0,35.0,6.0,,3.0,6.0,4.0,300.0,9.0,2.0,,56.0,49.0,32.0,,,,,166.0,153.0,4.0,23.0,22.0,42.9,1.0,,19.0,0.0,63.0,1.0,4.0,5.0,,,,4.0,1.0,3.0,47.0,225.0,12.0,9.0,142.0,32.0,35.0,20.0,5.0,22.0,17.0,,88.0,8.0,203.0,1.0,,25.0,13.0,65.0,3.0,323.0,,0.0,12.0,31.0,,29.0,2.0,569.0,12.0,10.0,5.0,26.0,0.0
803226,7,2015-09-27 16:00:00,31,Crystal Palace,Away,98.0,7.0,,2.0,2.0,3.0,1.0,138.0,5.0,2.0,3.0,10.0,8.0,26.0,234.0,,,13.0,21.0,10.0,7.0,1.0,,,,1.0,3.0,,1.0,,,,8.0,1.0,,,,1.0,2.0,7.0,6.0,9.0,45.0,55.0,3.0,3.0,1.0,3.0,10.0,5.0,3.0,,,4.0,12.0,7.0,,6.0,1.0,58.0,51.0,3.0,40.0,27.0,,,60.0,22.0,17.0,,2.0,8.0,3.0,3.0,152.0,,,,,,7.0,,,,30.0,1.0,6.0,6.0,,3.0,66.0,70.0,38.0,6.0,1.0,6.0,2.0,3.0,291.0,4.0,3.0,,67.0,64.0,27.0,,,,1.0,140.0,130.0,1.0,18.0,28.0,44.7,1.0,,10.0,0.0,50.0,,2.0,2.0,,,,8.0,,3.0,72.0,219.0,5.0,8.0,114.0,26.0,50.0,18.0,4.0,26.0,22.0,,111.0,8.0,225.0,1.0,2.0,23.0,8.0,59.0,,313.0,,0.0,16.0,14.0,,15.0,4.0,512.0,6.0,10.0,4.0,9.0,0.0
803240,8,2015-10-03 12:45:00,31,Crystal Palace,Home,151.0,18.0,2.0,4.0,4.0,6.0,,209.0,2.0,,5.0,4.0,7.0,25.0,356.0,,,31.0,16.0,14.0,10.0,1.0,,,,,,,,,,,12.0,1.0,,,,,4.0,8.0,3.0,4.0,73.0,55.0,1.0,,2.0,1.0,14.0,6.0,15.0,,1.0,8.0,18.0,9.0,,13.0,1.0,66.0,60.0,1.0,25.0,15.0,,2.0,80.0,14.0,13.0,1.0,,4.0,2.0,,173.0,1.0,,1.0,,1.0,6.0,,3.0,1.0,18.0,,11.0,11.0,2.0,6.0,92.0,80.0,40.0,3.0,1.0,5.0,7.0,8.0,419.0,2.0,3.0,,93.0,78.0,40.0,,,,1.0,166.0,159.0,3.0,17.0,24.0,60.4,,,14.0,0.0,105.0,1.0,1.0,2.0,,,,7.0,1.0,2.0,115.0,345.0,6.0,12.0,160.0,32.0,32.0,26.0,8.0,34.0,29.0,,170.0,7.0,317.0,3.0,,28.0,8.0,72.0,3.0,443.0,1.0,0.0,21.0,16.0,,33.0,3.0,689.0,11.0,17.0,8.0,13.0,0.0
803251,9,2015-10-17 15:00:00,31,Crystal Palace,Home,122.0,11.0,1.0,4.0,3.0,,,118.0,4.0,,3.0,9.0,11.0,24.0,236.0,,,23.0,13.0,13.0,4.0,1.0,,,,,,,,,,,3.0,1.0,,,,,1.0,7.0,12.0,12.0,46.0,45.0,,,1.0,4.0,18.0,2.0,17.0,,,1.0,10.0,2.0,,19.0,1.0,66.0,49.0,4.0,12.0,7.0,,,70.0,9.0,10.0,,,3.0,2.0,,148.0,,,,,,15.0,,1.0,,7.0,,26.0,26.0,4.0,3.0,69.0,73.0,30.0,9.0,1.0,3.0,2.0,1.0,294.0,8.0,2.0,,38.0,47.0,25.0,,,,1.0,150.0,148.0,1.0,27.0,13.0,38.5,,,18.0,0.0,63.0,1.0,,1.0,1.0,1.0,,3.0,,3.0,66.0,222.0,7.0,5.0,143.0,28.0,14.0,14.0,1.0,15.0,14.0,,116.0,4.0,198.0,1.0,,30.0,11.0,70.0,2.0,326.0,,1.0,6.0,21.0,2.0,26.0,1.0,524.0,13.0,6.0,1.0,16.0,0.0
803253,10,2015-10-24 15:00:00,31,Crystal Palace,Away,186.0,18.0,2.0,6.0,4.0,3.0,,167.0,4.0,,4.0,10.0,7.0,38.0,347.0,,,32.0,20.0,27.0,5.0,2.0,,,,,,,,,,,7.0,,,,,,,2.0,3.0,9.0,79.0,65.0,,,,,16.0,2.0,12.0,,1.0,2.0,10.0,10.0,,13.0,,61.0,57.0,,12.0,8.0,1.0,,59.0,11.0,7.0,,,2.0,1.0,,178.0,,,,,,10.0,,1.0,1.0,8.0,,16.0,16.0,1.0,4.0,92.0,84.0,42.0,3.0,,1.0,6.0,4.0,432.0,4.0,4.0,,69.0,63.0,33.0,,,,,176.0,174.0,5.0,29.0,19.0,52.3,,,16.0,0.0,107.0,,2.0,2.0,,,,3.0,,3.0,90.0,336.0,6.0,7.0,210.0,28.0,14.0,17.0,2.0,23.0,21.0,,142.0,11.0,269.0,1.0,1.0,34.0,10.0,78.0,3.0,456.0,,0.0,9.0,15.0,,37.0,1.0,652.0,15.0,9.0,2.0,12.0,0.0
