matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenMiss,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855176,1,2016-08-13 15:00:00,31,Crystal Palace,Home,121.0,14.0,2.0,6.0,4.0,2.0,1.0,183.0,2.0,1.0,4.0,11.0,19.0,28.0,298.0,,,20.0,21.0,21.0,7.0,2.0,1.0,,2.0,,2.0,,,1.0,10.0,,,,,,,1.0,8.0,8.0,5.0,7.0,7.0,62.0,60.0,1.0,2.0,,5.0,20.0,3.0,5.0,,,3.0,12.0,8.0,,12.0,2.0,55.0,69.0,5.0,14.0,9.0,,,63.0,12.0,14.0,,5.0,2.0,2.0,173.0,,,,,,8.0,,2.0,,10.0,,17.0,17.0,2.0,4.0,91.0,101.0,45.0,6.0,,4.0,5.0,4.0,391.0,2.0,3.0,80.0,61.0,30.0,,,,,169.0,169.0,4.0,20.0,30.0,62.3,,,,1.0,20.0,0.0,88.0,1.0,1.0,2.0,1.0,,7.0,,3.0,88.0,285.0,7.0,9.0,149.0,25.0,21.0,14.0,3.0,25.0,22.0,,137.0,8.0,290.0,2.0,1.0,54.0,24.0,85.0,,414.0,,0.0,14.0,28.0,,21.0,2.0,620.0,18.0,12.0,8.0,3.0,22.0,0.0
855188,2,2016-08-20 15:00:00,31,Crystal Palace,Away,96.0,10.0,2.0,3.0,1.0,3.0,,141.0,2.0,1.0,4.0,10.0,20.0,29.0,234.0,1.0,,22.0,13.0,8.0,5.0,1.0,1.0,,1.0,,1.0,1.0,,,8.0,,,,,,,,3.0,10.0,10.0,4.0,6.0,62.0,55.0,,,,2.0,14.0,2.0,8.0,,,4.0,7.0,14.0,,23.0,1.0,59.0,68.0,2.0,17.0,9.0,,,75.0,9.0,19.0,,1.0,3.0,1.0,155.0,,,,,,11.0,,2.0,,13.0,,27.0,27.0,2.0,4.0,50.0,80.0,34.0,11.0,,3.0,3.0,2.0,291.0,5.0,2.0,51.0,79.0,35.0,,,,,161.0,161.0,5.0,26.0,16.0,43.1,,,,,14.0,0.0,58.0,3.0,1.0,4.0,1.0,,6.0,,3.0,75.0,217.0,7.0,6.0,115.0,18.0,24.0,19.0,3.0,27.0,24.0,,124.0,6.0,237.0,2.0,1.0,40.0,25.0,75.0,,325.0,1.0,0.0,10.0,28.0,,28.0,3.0,574.0,15.0,9.0,13.0,3.0,21.0,0.0
855193,3,2016-08-27 15:00:00,31,Crystal Palace,Home,168.0,21.0,5.0,16.0,11.0,6.0,,228.0,5.0,,5.0,10.0,25.0,48.0,380.0,1.0,,21.0,8.0,23.0,11.0,4.0,6.0,,,,1.0,,,,14.0,,,1.0,,,,2.0,6.0,5.0,5.0,16.0,8.0,64.0,52.0,,3.0,,,7.0,7.0,7.0,,1.0,10.0,21.0,14.0,1.0,8.0,1.0,46.0,65.0,,24.0,14.0,,,63.0,15.0,9.0,,3.0,1.0,1.0,149.0,1.0,,1.0,1.0,,6.0,1.0,1.0,1.0,15.0,,21.0,21.0,,5.0,125.0,79.0,54.0,4.0,,9.0,7.0,5.0,430.0,3.0,3.0,56.0,70.0,60.0,,,,1.0,133.0,133.0,3.0,22.0,22.0,59.4,,,1.0,2.0,7.0,0.0,109.0,2.0,,2.0,,,12.0,1.0,3.0,120.0,367.0,5.0,16.0,175.0,41.0,29.0,23.0,10.0,46.0,36.0,,160.0,15.0,318.0,1.0,,20.0,25.0,71.0,5.0,447.0,1.0,0.0,24.0,19.0,,21.0,2.0,689.0,36.0,11.0,14.0,10.0,14.0,0.0
855207,4,2016-09-10 15:00:00,31,Crystal Palace,Away,162.0,15.0,4.0,9.0,5.0,4.0,1.0,153.0,3.0,,1.0,13.0,19.0,34.0,306.0,,,24.0,14.0,27.0,5.0,3.0,5.0,,,,,,,1.0,6.0,,,,,,,1.0,4.0,7.0,5.0,6.0,6.0,72.0,53.0,1.0,,2.0,3.0,10.0,4.0,13.0,,,6.0,7.0,5.0,,15.0,2.0,58.0,69.0,3.0,23.0,15.0,,1.0,60.0,9.0,5.0,1.0,2.0,2.0,,149.0,1.0,,1.0,1.0,,6.0,2.0,2.0,1.0,18.0,,18.0,18.0,3.0,1.0,91.0,74.0,37.0,6.0,1.0,3.0,6.0,4.0,373.0,3.0,,48.0,43.0,27.0,,,,,134.0,134.0,,27.0,20.0,42.3,,,,,10.0,0.0,78.0,2.0,1.0,3.0,,,4.0,,3.0,69.0,294.0,5.0,9.0,179.0,27.0,29.0,23.0,6.0,20.0,14.0,,109.0,9.0,231.0,2.0,,34.0,21.0,70.0,1.0,390.0,,0.0,12.0,24.0,2.0,27.0,2.0,606.0,20.0,11.0,14.0,6.0,19.0,0.0
855213,5,2016-09-18 14:15:00,31,Crystal Palace,Home,214.0,15.0,3.0,6.0,3.0,8.0,1.0,168.0,7.0,,3.0,6.0,13.0,29.0,376.0,,,16.0,20.0,19.0,6.0,1.0,3.0,,,1.0,1.0,,1.0,,8.0,,,,,,,2.0,6.0,6.0,5.0,9.0,5.0,90.0,70.0,,,1.0,3.0,12.0,4.0,5.0,,,10.0,12.0,1.0,2.0,21.0,1.0,66.0,71.0,3.0,26.0,19.0,,1.0,46.0,15.0,9.0,,6.0,4.0,1.0,152.0,2.0,1.0,1.0,1.0,1.0,9.0,1.0,,1.0,22.0,,18.0,18.0,,3.0,112.0,77.0,42.0,5.0,2.0,,9.0,8.0,438.0,1.0,2.0,66.0,49.0,28.0,,,,,159.0,159.0,3.0,31.0,27.0,56.5,,,,,12.0,0.0,105.0,1.0,2.0,3.0,,,2.0,,3.0,69.0,361.0,9.0,9.0,241.0,30.0,35.0,24.0,10.0,27.0,17.0,,100.0,15.0,245.0,,,26.0,16.0,63.0,2.0,459.0,,0.0,14.0,26.0,,18.0,2.0,706.0,23.0,21.0,17.0,10.0,21.0,0.0
855229,6,2016-09-24 15:00:00,31,Crystal Palace,Away,179.0,21.0,2.0,8.0,6.0,1.0,2.0,165.0,5.0,1.0,3.0,9.0,16.0,26.0,336.0,1.0,,28.0,19.0,20.0,11.0,2.0,3.0,1.0,1.0,,2.0,,,,15.0,,,,,,,1.0,10.0,6.0,5.0,15.0,6.0,81.0,53.0,2.0,,2.0,5.0,14.0,4.0,8.0,,,5.0,5.0,10.0,,15.0,,54.0,61.0,5.0,26.0,18.0,1.0,,80.0,12.0,15.0,1.0,6.0,2.0,2.0,179.0,3.0,1.0,2.0,2.0,1.0,6.0,2.0,,,20.0,,13.0,13.0,4.0,3.0,90.0,84.0,40.0,3.0,2.0,9.0,7.0,4.0,427.0,3.0,1.0,30.0,61.0,39.0,,,,,157.0,157.0,4.0,26.0,19.0,55.4,,,3.0,1.0,14.0,0.0,100.0,2.0,,2.0,,1.0,13.0,,3.0,65.0,324.0,5.0,16.0,206.0,44.0,31.0,12.0,5.0,22.0,17.0,1.0,126.0,13.0,266.0,,1.0,34.0,20.0,68.0,2.0,450.0,1.0,0.0,21.0,15.0,,32.0,2.0,658.0,29.0,7.0,12.0,5.0,9.0,0.0
855233,7,2016-09-30 20:00:00,31,Crystal Palace,Away,83.0,14.0,2.0,7.0,5.0,1.0,,124.0,4.0,,2.0,12.0,5.0,28.0,200.0,,,16.0,23.0,21.0,2.0,2.0,4.0,,,,2.0,,,,3.0,,,,,,,1.0,5.0,9.0,4.0,5.0,5.0,32.0,46.0,1.0,1.0,,8.0,17.0,6.0,16.0,1.0,2.0,9.0,10.0,11.0,,12.0,,68.0,66.0,8.0,23.0,15.0,,,55.0,11.0,16.0,1.0,5.0,2.0,2.0,137.0,1.0,,1.0,1.0,,12.0,1.0,1.0,,18.0,,11.0,11.0,,2.0,61.0,68.0,31.0,10.0,,2.0,3.0,2.0,266.0,4.0,5.0,58.0,50.0,36.0,,,,,161.0,161.0,1.0,25.0,15.0,43.4,,,1.0,,17.0,0.0,67.0,2.0,,1.0,,,2.0,1.0,2.0,64.0,185.0,9.0,5.0,104.0,22.0,29.0,21.0,8.0,31.0,23.0,,104.0,9.0,224.0,1.0,,38.0,6.0,68.0,1.0,297.0,,0.0,10.0,14.0,,20.0,4.0,516.0,21.0,12.0,15.0,9.0,11.0,0.0
855245,8,2016-10-15 17:30:00,31,Crystal Palace,Home,176.0,15.0,1.0,8.0,7.0,4.0,2.0,137.0,4.0,2.0,9.0,9.0,16.0,34.0,305.0,,,30.0,24.0,27.0,6.0,2.0,1.0,,,,,,,,9.0,,1.0,,,1.0,,1.0,6.0,6.0,6.0,7.0,5.0,67.0,67.0,2.0,3.0,,1.0,20.0,1.0,11.0,,1.0,7.0,13.0,12.0,,15.0,2.0,71.0,53.0,1.0,8.0,5.0,,,60.0,12.0,12.0,,3.0,2.0,,170.0,,,,,,8.0,,1.0,,6.0,1.0,12.0,12.0,,9.0,91.0,87.0,50.0,6.0,,5.0,3.0,3.0,390.0,3.0,2.0,60.0,36.0,44.0,,,,1.0,175.0,175.0,3.0,30.0,23.0,55.2,1.0,,,,20.0,0.0,83.0,2.0,1.0,3.0,1.0,,8.0,,3.0,51.0,293.0,11.0,8.0,208.0,26.0,12.0,16.0,7.0,34.0,27.0,,92.0,8.0,237.0,1.0,2.0,41.0,18.0,80.0,1.0,411.0,,0.0,12.0,9.0,,30.0,1.0,619.0,16.0,15.0,6.0,7.0,8.0,0.0
855257,9,2016-10-22 15:00:00,31,Crystal Palace,Away,212.0,16.0,4.0,10.0,6.0,1.0,,188.0,7.0,,8.0,12.0,14.0,38.0,390.0,,1.0,22.0,20.0,21.0,15.0,3.0,2.0,,,,,,,1.0,19.0,,,,1.0,,,2.0,6.0,10.0,6.0,13.0,10.0,82.0,66.0,1.0,2.0,,1.0,18.0,9.0,11.0,,,8.0,15.0,8.0,,16.0,1.0,56.0,70.0,1.0,18.0,8.0,,2.0,61.0,8.0,10.0,,1.0,1.0,,181.0,1.0,,1.0,1.0,,9.0,1.0,,1.0,10.0,1.0,25.0,25.0,2.0,8.0,100.0,83.0,52.0,8.0,1.0,7.0,12.0,7.0,464.0,4.0,1.0,49.0,71.0,40.0,,,,,165.0,165.0,1.0,31.0,26.0,55.4,1.0,,,1.0,18.0,0.0,124.0,1.0,,1.0,,,7.0,,3.0,92.0,370.0,8.0,19.0,238.0,28.0,22.0,24.0,8.0,32.0,24.0,,132.0,7.0,281.0,,,30.0,16.0,69.0,3.0,487.0,1.0,0.0,23.0,17.0,1.0,25.0,0.0,737.0,34.0,21.0,22.0,8.0,14.0,0.0
855262,10,2016-10-29 17:30:00,31,Crystal Palace,Home,140.0,20.0,1.0,3.0,2.0,7.0,,167.0,4.0,1.0,3.0,14.0,7.0,45.0,304.0,,,26.0,19.0,32.0,4.0,1.0,1.0,,,,,,,1.0,5.0,,,,,,,1.0,8.0,13.0,4.0,6.0,1.0,56.0,68.0,,,1.0,1.0,12.0,,9.0,,1.0,3.0,6.0,6.0,,19.0,3.0,66.0,76.0,1.0,32.0,12.0,,,77.0,15.0,5.0,,,1.0,,183.0,1.0,,1.0,1.0,,7.0,2.0,,,12.0,,16.0,16.0,1.0,4.0,92.0,89.0,50.0,3.0,2.0,1.0,5.0,6.0,393.0,2.0,8.0,51.0,61.0,23.0,,,,,180.0,180.0,4.0,33.0,21.0,44.7,,,,1.0,12.0,0.0,86.0,4.0,2.0,6.0,1.0,,1.0,,3.0,85.0,291.0,4.0,6.0,168.0,34.0,32.0,17.0,2.0,14.0,13.0,,144.0,18.0,263.0,,1.0,42.0,7.0,91.0,4.0,417.0,,0.0,7.0,27.0,,30.0,1.0,641.0,23.0,16.0,13.0,3.0,21.0,0.0
