matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2444473,1.0,2024-08-17 12:30:00,14,Liverpool,Away,281.0,23.0,1.0,4.0,3.0,1.0,,215.0,4.0,,3.0,3.0,8.0,30.0,492.0,1.0,4.0,21.0,11.0,18.0,11.0,,3.0,1.0,,,,,,,,1.0,15.0,,,,,,9.0,5.0,2.0,12.0,6.0,,100.0,45.0,5.0,4.0,2.0,1.0,12.0,7.0,3.0,,,10.0,10.0,2.0,,9.0,1.0,51.0,46.0,1.0,16.0,11.0,,1.0,2.44335,2.6525,,2.3469,0.2438,47.0,18.0,8.0,1.0,2.0,2.0,,178.0,1.0,,1.0,1.0,,,4.0,,,2.0,,,,,1.0,11.0,,5.0,5.0,,3.0,142.0,53.0,34.0,2.0,1.0,5.0,7.0,5.0,551.0,,,2.0,,,75.0,49.0,33.0,,,,,,129.0,129.0,4.0,18.0,18.0,62.2,,,,,21.0,0.0,,,,150.0,1.0,1.0,2.0,,,1.0,6.0,2.0,,4.0,115.0,475.0,12.0,12.0,305.0,38.0,16.0,22.0,9.0,23.0,14.0,,1.0,152.0,2.0,288.0,,,19.0,8.0,56.0,,570.0,5.0,0.0,18.0,9.0,6.0,24.0,1.0,748.0,50.0,9.0,11.0,10.0,4.0,0.0
2444485,2.0,2024-08-25 16:30:00,14,Liverpool,Home,224.0,29.0,2.0,3.0,2.0,1.0,,329.0,4.0,,2.0,3.0,14.0,22.0,550.0,2.0,,16.0,8.0,6.0,13.0,2.0,4.0,1.0,1.0,,,1.0,,,,2.0,14.0,,,,,,8.0,4.0,4.0,17.0,2.0,,104.0,50.0,4.0,2.0,2.0,2.0,11.0,7.0,6.0,,,9.0,4.0,3.0,,5.0,1.0,34.0,38.0,2.0,11.0,6.0,,,,,,,,62.0,10.0,7.0,,1.0,,1.0,180.0,2.0,,2.0,2.0,,1.0,5.0,,,2.0,,,,,,6.0,2.0,7.0,7.0,,2.0,154.0,66.0,49.0,4.0,2.0,3.0,14.0,8.0,586.0,,,3.0,1.0,,61.0,88.0,38.0,,,,,,100.0,100.0,3.0,28.0,16.0,62.1,,,,1.0,15.0,0.0,,,,164.0,1.0,1.0,2.0,,,1.0,4.0,2.0,,5.0,171.0,536.0,11.0,17.0,240.0,47.0,11.0,13.0,9.0,15.0,7.0,,2.0,194.0,1.0,377.0,,,12.0,14.0,46.0,1.0,602.0,4.0,0.0,19.0,17.0,3.0,18.0,2.0,768.0,42.0,22.0,8.0,9.0,10.0,0.0
2444496,3.0,2024-09-01 16:00:00,14,Liverpool,Away,223.0,16.0,,3.0,3.0,,,171.0,5.0,3.0,3.0,2.0,11.0,13.0,391.0,,,17.0,5.0,13.0,6.0,,1.0,2.0,,,,,,,,,10.0,,,,,,3.0,5.0,3.0,10.0,1.0,,78.0,58.0,4.0,3.0,3.0,1.0,13.0,1.0,8.0,,1.0,2.0,1.0,4.0,,18.0,3.0,52.0,49.0,1.0,28.0,9.0,,,,,,,,40.0,7.0,7.0,,,,,145.0,3.0,,3.0,3.0,,,5.0,,,3.0,1.0,,,,,9.0,,10.0,10.0,1.0,3.0,123.0,59.0,38.0,5.0,3.0,5.0,4.0,3.0,450.0,,,,2.0,,30.0,66.0,21.0,,,,,,125.0,125.0,7.0,19.0,27.0,47.2,,,,1.0,18.0,0.0,,,,118.0,2.0,1.0,3.0,,,2.0,7.0,,,4.0,80.0,377.0,13.0,9.0,243.0,34.0,28.0,19.0,1.0,6.0,5.0,112041.0,2.0,115.0,1.0,227.0,1.0,3.0,13.0,11.0,38.0,2.0,464.0,,0.0,11.0,24.0,1.0,22.0,1.0,655.0,30.0,8.0,5.0,2.0,17.0,0.0
2444505,4.0,2024-09-14 15:00:00,14,Liverpool,Home,205.0,17.0,5.0,9.0,4.0,,,310.0,4.0,1.0,1.0,2.0,2.0,25.0,506.0,,,26.0,13.0,21.0,10.0,3.0,3.0,1.0,,,,,,,,,11.0,,,1.0,,,5.0,3.0,2.0,10.0,4.0,,81.0,48.0,1.0,1.0,,,5.0,3.0,6.0,,,7.0,8.0,5.0,,9.0,2.0,55.0,45.0,,16.0,9.0,,,1.40065,0.9426,,0.5723,0.7364,71.0,15.0,6.0,,,,,219.0,,,,,,,4.0,,,,,,,,,9.0,1.0,11.0,11.0,,1.0,154.0,80.0,59.0,2.0,,6.0,7.0,5.0,585.0,,,,1.0,,86.0,97.0,39.0,,,,,,149.0,149.0,2.0,22.0,23.0,69.1,1.0,,,,16.0,0.0,,,,149.0,2.0,,2.0,,,1.0,6.0,,,5.0,142.0,488.0,5.0,13.0,229.0,35.0,16.0,19.0,6.0,19.0,13.0,106445.44,1.0,192.0,2.0,393.0,,1.0,17.0,2.0,55.0,,603.0,,0.0,14.0,12.0,,31.0,4.0,783.0,34.0,14.0,6.0,7.0,8.0,0.0
2444515,5.0,2024-09-21 15:00:00,14,Liverpool,Home,299.0,20.0,,2.0,2.0,2.0,1.0,222.0,7.0,,8.0,1.0,8.0,24.0,519.0,,1.0,17.0,6.0,9.0,14.0,1.0,,1.0,,,,,,,,,18.0,,,,1.0,1.0,5.0,12.0,7.0,14.0,5.0,,123.0,52.0,4.0,2.0,2.0,3.0,6.0,3.0,11.0,,,3.0,2.0,,,15.0,3.0,46.0,56.0,3.0,21.0,12.0,,1.0,,,,,,57.0,10.0,11.0,1.0,3.0,3.0,,182.0,3.0,,3.0,3.0,,,7.0,,,3.0,1.0,,,,1.0,12.0,1.0,6.0,6.0,1.0,8.0,113.0,58.0,44.0,9.0,2.0,3.0,15.0,13.0,564.0,,,4.0,1.0,,59.0,40.0,22.0,,,,,,107.0,107.0,6.0,24.0,14.0,58.8,1.0,,,,15.0,0.0,,,,166.0,5.0,1.0,7.0,,,1.0,3.0,,,3.0,102.0,499.0,6.0,18.0,320.0,29.0,21.0,21.0,3.0,8.0,5.0,110329.44,1.0,132.0,2.0,272.0,1.0,,9.0,8.0,41.0,,584.0,,0.0,19.0,20.0,1.0,19.0,1.0,787.0,33.0,13.0,16.0,3.0,14.0,0.0
2444529,6.0,2024-09-28 17:30:00,14,Liverpool,Away,237.0,12.0,3.0,6.0,3.0,1.0,,224.0,5.0,2.0,3.0,3.0,6.0,15.0,455.0,,,12.0,10.0,10.0,5.0,1.0,3.0,1.0,,,1.0,1.0,,,,,5.0,1.0,,,,,5.0,5.0,3.0,8.0,2.0,,94.0,51.0,1.0,2.0,1.0,2.0,9.0,1.0,7.0,,,10.0,5.0,8.0,1.0,7.0,1.0,39.0,39.0,2.0,10.0,5.0,1.0,,,,,,,48.0,8.0,15.0,,2.0,,1.0,164.0,1.0,,1.0,,1.0,,5.0,,,,1.0,,,,,5.0,,7.0,7.0,2.0,3.0,133.0,60.0,41.0,2.0,1.0,2.0,5.0,6.0,508.0,,,2.0,,,68.0,54.0,32.0,,,,,1.0,121.0,121.0,5.0,18.0,22.0,55.4,,,,,15.0,0.0,,,,143.0,2.0,,2.0,,1.0,1.0,3.0,,,3.0,105.0,431.0,9.0,7.0,266.0,22.0,10.0,11.0,8.0,21.0,13.0,110346.07,1.0,138.0,4.0,289.0,1.0,2.0,17.0,7.0,40.0,2.0,534.0,2.0,0.0,10.0,10.0,,14.0,3.0,688.0,38.0,9.0,4.0,10.0,9.0,0.0
2444535,7.0,2024-10-05 12:30:00,14,Liverpool,Away,293.0,19.0,2.0,4.0,2.0,2.0,,260.0,5.0,1.0,11.0,6.0,9.0,31.0,549.0,,2.0,20.0,7.0,27.0,13.0,2.0,1.0,1.0,,,,,,,,,14.0,,,,,1.0,9.0,3.0,6.0,8.0,8.0,,114.0,56.0,4.0,3.0,1.0,1.0,4.0,5.0,4.0,,,8.0,7.0,2.0,,8.0,1.0,34.0,55.0,1.0,16.0,11.0,,,,,,,,69.0,15.0,7.0,1.0,2.0,,,211.0,1.0,,1.0,1.0,,,7.0,,,1.0,,,,,,11.0,,13.0,13.0,1.0,11.0,148.0,73.0,45.0,3.0,,7.0,9.0,4.0,623.0,,,,,,107.0,65.0,31.0,,,,,,131.0,131.0,3.0,19.0,21.0,68.1,,,,2.0,16.0,0.0,,,,169.0,3.0,2.0,5.0,,2.0,1.0,7.0,,,5.0,140.0,534.0,4.0,16.0,314.0,33.0,16.0,8.0,7.0,16.0,9.0,108861.69,1.0,190.0,5.0,344.0,,1.0,22.0,9.0,64.0,,642.0,1.0,0.0,16.0,13.0,3.0,22.0,2.0,813.0,28.0,16.0,8.0,8.0,6.0,0.0
2444543,8.0,2024-10-20 16:30:00,14,Liverpool,Home,201.0,15.0,,1.0,1.0,1.0,,126.0,5.0,,4.0,3.0,4.0,22.0,326.0,,1.0,14.0,10.0,6.0,5.0,,,1.0,1.0,,,1.0,,1.0,,,7.0,1.0,,,,,6.0,9.0,3.0,7.0,2.0,,76.0,48.0,1.0,1.0,2.0,,7.0,1.0,10.0,,1.0,1.0,1.0,1.0,,8.0,,44.0,49.0,,18.0,11.0,,,,,,,,54.0,12.0,13.0,,2.0,1.0,1.0,141.0,1.0,,1.0,1.0,,,9.0,,,1.0,,,,,,11.0,,6.0,6.0,1.0,4.0,98.0,76.0,42.0,6.0,2.0,2.0,4.0,5.0,388.0,,,4.0,,,43.0,40.0,14.0,,,,,1.0,115.0,115.0,4.0,17.0,19.0,42.5,,,,,15.0,0.0,,,,94.0,1.0,,1.0,,,1.0,3.0,,,4.0,49.0,311.0,7.0,6.0,222.0,44.0,18.0,9.0,1.0,4.0,3.0,,1.0,90.0,1.0,191.0,,,17.0,4.0,61.0,5.0,409.0,2.0,0.0,9.0,25.0,2.0,17.0,4.0,562.0,17.0,9.0,5.0,1.0,18.0,0.0
2444550,9.0,2024-10-27 16:30:00,14,Liverpool,Away,202.0,20.0,1.0,3.0,2.0,2.0,1.0,188.0,8.0,,3.0,4.0,3.0,20.0,387.0,,1.0,18.0,18.0,11.0,4.0,,1.0,1.0,,,,,,,,,8.0,,,,,,7.0,5.0,4.0,5.0,4.0,,70.0,35.0,2.0,,2.0,1.0,7.0,2.0,6.0,,,3.0,10.0,9.0,1.0,13.0,,55.0,50.0,1.0,21.0,13.0,,,,,,,,52.0,14.0,14.0,,2.0,2.0,,157.0,2.0,,2.0,1.0,1.0,1.0,9.0,,,1.0,,,,,,13.0,,5.0,5.0,,3.0,121.0,65.0,26.0,1.0,1.0,1.0,5.0,4.0,440.0,,,2.0,,,56.0,60.0,31.0,,,,,,132.0,132.0,3.0,17.0,11.0,55.3,,,1.0,,19.0,0.0,,,,118.0,,1.0,1.0,,1.0,1.0,3.0,1.0,,4.0,117.0,364.0,7.0,6.0,226.0,42.0,21.0,13.0,3.0,24.0,21.0,,2.0,144.0,6.0,264.0,,,25.0,3.0,61.0,1.0,466.0,,0.0,9.0,16.0,1.0,20.0,2.0,645.0,27.0,12.0,9.0,3.0,9.0,0.0
2444563,10.0,2024-11-02 15:00:00,14,Liverpool,Home,223.0,15.0,2.0,4.0,2.0,1.0,,148.0,4.0,1.0,4.0,2.0,1.0,18.0,367.0,,,14.0,8.0,10.0,7.0,3.0,3.0,1.0,,,,,,,,,12.0,,,,,1.0,7.0,7.0,6.0,14.0,2.0,,60.0,52.0,4.0,4.0,,2.0,8.0,6.0,8.0,,,9.0,4.0,4.0,,10.0,,44.0,62.0,2.0,13.0,6.0,,,,,,,,57.0,10.0,16.0,,2.0,1.0,,173.0,2.0,,,2.0,,1.0,4.0,,,2.0,,,,,,6.0,,10.0,10.0,1.0,4.0,113.0,55.0,32.0,7.0,2.0,2.0,10.0,8.0,418.0,,,4.0,,,60.0,48.0,38.0,,,,,,125.0,125.0,4.0,20.0,22.0,48.8,,,3.0,,14.0,0.0,,,,97.0,1.0,3.0,4.0,,1.0,1.0,2.0,2.0,,5.0,64.0,347.0,8.0,13.0,244.0,32.0,13.0,16.0,9.0,18.0,9.0,,2.0,106.0,2.0,217.0,,1.0,15.0,1.0,43.0,1.0,443.0,,0.0,16.0,28.0,,17.0,1.0,639.0,31.0,13.0,8.0,10.0,19.0,0.0
