matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442006,1.0,2012-08-18 15:00:00,14,Liverpool,Away,227.0,14.0,,3.0,3.0,1.0,,241.0,4.0,1.0,5.0,2.0,27.0,45.0,465.0,,,18.0,14.0,7.0,9.0,,,,,1.0,,,2.0,,,,,,11.0,,,,,,1.0,10.0,8.0,,,,76.0,51.0,2.0,3.0,,1.0,7.0,4.0,,1.0,3.0,7.0,10.0,,14.0,3.0,48.0,38.0,1.0,12.0,7.0,,2.0,77.0,12.0,10.0,,,3.0,2.0,2.0,169.0,,,,,,,7.0,,,,,,,,1.0,20.0,,9.0,7.0,,5.0,140.0,72.0,53.0,7.0,,4.0,5.0,2.0,,,,6.0,,,47.0,90.0,17.0,1.0,2.0,2.0,1.0,,134.0,117.0,8.0,20.0,17.0,59.5,,,,0.0,,,,138.0,3.0,,,,,7.0,,3.0,128.0,,9.0,244.0,27.0,29.0,11.0,3.0,22.0,19.0,,155.0,2.0,301.0,,1.0,8.0,27.0,59.0,4.0,523.0,,1.0,16.0,15.0,,19.0,4.0,711.0,,13.0,6.0,3.0,12.0,0.0
442011,2.0,2012-08-26 16:00:00,14,Liverpool,Home,182.0,22.0,3.0,6.0,3.0,1.0,,196.0,7.0,2.0,6.0,4.0,20.0,45.0,372.0,,1.0,20.0,17.0,18.0,11.0,2.0,,1.0,1.0,,,,1.0,,,,,,11.0,,,,,,,6.0,5.0,,,,78.0,61.0,1.0,1.0,,5.0,5.0,10.0,,,4.0,9.0,6.0,1.0,18.0,,63.0,48.0,5.0,15.0,6.0,2.0,1.0,72.0,10.0,7.0,1.0,,1.0,,1.0,170.0,1.0,1.0,1.0,,1.0,,11.0,,,,1.0,,,,,9.0,,14.0,12.0,1.0,6.0,97.0,80.0,49.0,4.0,,7.0,7.0,3.0,,,,3.0,4.0,,56.0,78.0,19.0,,,,,,152.0,147.0,1.0,24.0,26.0,48.7,,,,0.0,,,,117.0,,1.0,,1.0,1.0,9.0,1.0,3.0,98.0,,14.0,202.0,34.0,20.0,13.0,4.0,18.0,15.0,1.0,154.0,5.0,278.0,1.0,2.0,20.0,20.0,69.0,,462.0,,0.0,17.0,18.0,2.0,23.0,1.0,658.0,,8.0,5.0,4.0,14.0,0.0
442020,3.0,2012-09-02 13:30:00,14,Liverpool,Home,234.0,18.0,2.0,5.0,3.0,1.0,,249.0,5.0,,9.0,2.0,11.0,49.0,478.0,,,18.0,14.0,10.0,13.0,2.0,2.0,,,1.0,,,2.0,,1.0,,,,15.0,,,,1.0,,,5.0,6.0,12.0,7.0,,73.0,65.0,1.0,1.0,,1.0,4.0,9.0,,,10.0,13.0,5.0,,17.0,2.0,67.0,53.0,1.0,8.0,4.0,1.0,,70.0,12.0,7.0,,,2.0,,2.0,194.0,,,,,,,8.0,,,,,,,,,9.0,1.0,14.0,7.0,,9.0,136.0,65.0,52.0,2.0,,8.0,7.0,4.0,538.0,,,2.0,,,65.0,66.0,43.0,,,,,,145.0,145.0,5.0,28.0,23.0,53.0,1.0,,,0.0,,,,149.0,1.0,2.0,3.0,1.0,,11.0,,2.0,144.0,467.0,15.0,251.0,30.0,17.0,26.0,9.0,27.0,18.0,,185.0,4.0,328.0,,,8.0,13.0,60.0,3.0,552.0,,0.0,19.0,25.0,,19.0,2.0,764.0,36.0,13.0,11.0,10.0,17.0,0.0
442038,4.0,2012-09-15 17:30:00,14,Liverpool,Away,282.0,8.0,2.0,5.0,3.0,4.0,1.0,258.0,7.0,1.0,4.0,2.0,33.0,34.0,535.0,1.0,,18.0,10.0,18.0,12.0,1.0,,,,,,,1.0,,,,,,19.0,,,1.0,,1.0,,1.0,6.0,,,,91.0,69.0,,,1.0,3.0,4.0,6.0,,1.0,7.0,16.0,1.0,,14.0,,52.0,77.0,3.0,11.0,8.0,,,86.0,12.0,18.0,1.0,,5.0,3.0,1.0,223.0,,,,,,,9.0,,,1.0,1.0,,,,,10.0,2.0,8.0,6.0,,4.0,133.0,105.0,82.0,2.0,,9.0,4.0,6.0,,,,3.0,3.0,,73.0,81.0,15.0,,,,,,144.0,136.0,5.0,20.0,39.0,65.9,2.0,,,0.0,,,,164.0,,,,,,13.0,,1.0,113.0,,13.0,295.0,20.0,19.0,25.0,6.0,26.0,20.0,,155.0,6.0,342.0,1.0,1.0,6.0,34.0,49.0,1.0,611.0,2.0,0.0,23.0,27.0,1.0,18.0,2.0,809.0,,8.0,14.0,7.0,18.0,0.0
442040,5.0,2012-09-23 13:30:00,14,Liverpool,Home,193.0,12.0,1.0,4.0,3.0,,1.0,200.0,3.0,,5.0,7.0,8.0,33.0,389.0,,2.0,26.0,8.0,10.0,7.0,4.0,,,,,,1.0,1.0,,,,,,9.0,,,,,,1.0,3.0,5.0,,,,91.0,54.0,,,,2.0,2.0,7.0,,2.0,7.0,12.0,7.0,,17.0,1.0,58.0,51.0,2.0,11.0,7.0,,,64.0,14.0,7.0,,,3.0,2.0,1.0,174.0,,,,,,,8.0,,,1.0,,,,,,10.0,,13.0,13.0,,5.0,97.0,78.0,49.0,3.0,1.0,6.0,5.0,6.0,,,,1.0,,,50.0,79.0,24.0,1.0,1.0,1.0,,,147.0,139.0,1.0,18.0,28.0,52.0,,,,0.0,,,,97.0,,1.0,,,,6.0,,3.0,104.0,,11.0,208.0,25.0,19.0,23.0,5.0,26.0,21.0,,141.0,4.0,277.0,,,19.0,8.0,51.0,,459.0,1.0,1.0,14.0,23.0,3.0,29.0,1.0,657.0,,10.0,11.0,7.0,16.0,0.0
442054,6.0,2012-09-29 15:00:00,14,Liverpool,Away,362.0,23.0,1.0,5.0,4.0,1.0,1.0,274.0,10.0,2.0,1.0,4.0,28.0,45.0,631.0,,2.0,15.0,7.0,12.0,9.0,3.0,,,,,,,,,,,,1.0,14.0,,,,,,1.0,8.0,8.0,,,,137.0,65.0,2.0,1.0,1.0,3.0,7.0,5.0,,1.0,5.0,4.0,3.0,,9.0,1.0,39.0,53.0,3.0,16.0,5.0,2.0,1.0,78.0,6.0,9.0,3.0,,3.0,2.0,,214.0,2.0,,1.0,2.0,,,13.0,,,4.0,,,,,,14.0,,14.0,12.0,,2.0,169.0,84.0,58.0,5.0,1.0,4.0,10.0,5.0,,,,4.0,2.0,,61.0,109.0,16.0,,,,,,135.0,121.0,4.0,31.0,26.0,67.1,,,,0.0,,,,180.0,1.0,1.0,,,,4.0,,3.0,133.0,,14.0,375.0,40.0,30.0,33.0,5.0,14.0,9.0,,175.0,3.0,339.0,,2.0,14.0,28.0,63.0,5.0,700.0,,0.0,16.0,11.0,3.0,18.0,0.0,901.0,,8.0,21.0,5.0,8.0,0.0
442060,7.0,2012-10-07 15:00:00,14,Liverpool,Home,194.0,9.0,,2.0,2.0,1.0,,234.0,4.0,,8.0,1.0,23.0,22.0,426.0,,1.0,26.0,18.0,19.0,11.0,1.0,,1.0,,1.0,,,1.0,,,,,,12.0,,,,,3.0,1.0,2.0,4.0,,,,85.0,64.0,,1.0,,1.0,5.0,2.0,,1.0,5.0,9.0,4.0,,9.0,,54.0,62.0,1.0,18.0,12.0,,2.0,88.0,9.0,16.0,,,7.0,5.0,1.0,189.0,,,,,,,5.0,,,,1.0,,,,,18.0,3.0,17.0,15.0,1.0,8.0,121.0,70.0,43.0,5.0,,8.0,4.0,2.0,,,,1.0,2.0,,50.0,81.0,32.0,,,,,,172.0,158.0,2.0,20.0,32.0,62.9,3.0,,,0.0,,,,130.0,1.0,1.0,,,1.0,11.0,,2.0,137.0,,12.0,212.0,24.0,32.0,30.0,4.0,22.0,18.0,1.0,200.0,4.0,335.0,1.0,,10.0,23.0,44.0,,525.0,1.0,0.0,18.0,13.0,2.0,29.0,0.0,733.0,,8.0,14.0,5.0,12.0,0.0
442070,8.0,2012-10-20 15:00:00,14,Liverpool,Home,186.0,10.0,2.0,2.0,,3.0,,222.0,6.0,,6.0,4.0,14.0,27.0,406.0,2.0,1.0,22.0,15.0,20.0,19.0,1.0,,2.0,,,,,1.0,,,,,1.0,22.0,,,,,,1.0,3.0,7.0,,,,79.0,64.0,1.0,1.0,,1.0,9.0,6.0,,,6.0,6.0,,,11.0,1.0,56.0,59.0,1.0,18.0,8.0,,,67.0,13.0,6.0,,,3.0,1.0,1.0,185.0,1.0,,1.0,1.0,,,10.0,,,1.0,2.0,,,,,20.0,,18.0,15.0,2.0,6.0,119.0,82.0,46.0,5.0,1.0,8.0,13.0,7.0,,,,3.0,3.0,,79.0,53.0,13.0,,,,,,164.0,147.0,3.0,26.0,27.0,56.8,,,1.0,0.0,,,,114.0,1.0,2.0,,2.0,2.0,11.0,,3.0,142.0,,21.0,208.0,23.0,35.0,22.0,4.0,11.0,7.0,2.0,184.0,12.0,300.0,2.0,,14.0,15.0,49.0,3.0,497.0,2.0,0.0,27.0,22.0,2.0,24.0,1.0,729.0,,13.0,11.0,6.0,17.0,0.0
442082,9.0,2012-10-28 13:30:00,14,Liverpool,Away,124.0,15.0,,2.0,2.0,4.0,1.0,119.0,5.0,1.0,4.0,7.0,9.0,24.0,241.0,,1.0,9.0,17.0,19.0,8.0,2.0,,,,,,1.0,1.0,,,,,1.0,8.0,,,,,,2.0,11.0,5.0,,,,50.0,64.0,2.0,1.0,1.0,1.0,2.0,8.0,,2.0,5.0,8.0,3.0,,15.0,1.0,63.0,68.0,1.0,30.0,15.0,2.0,1.0,59.0,19.0,16.0,1.0,,2.0,2.0,1.0,152.0,1.0,1.0,1.0,,1.0,,14.0,,,,1.0,,,,1.0,32.0,,13.0,11.0,,4.0,50.0,77.0,42.0,9.0,,8.0,3.0,3.0,,,,3.0,4.0,,41.0,41.0,17.0,,,,,,158.0,135.0,2.0,33.0,20.0,43.8,,,2.0,0.0,,,,62.0,2.0,,,1.0,,8.0,1.0,3.0,63.0,,11.0,139.0,26.0,53.0,15.0,4.0,17.0,13.0,,103.0,10.0,192.0,1.0,1.0,19.0,11.0,46.0,3.0,314.0,,0.0,13.0,23.0,1.0,12.0,3.0,534.0,,8.0,10.0,5.0,19.0,0.0
442090,10.0,2012-11-04 16:00:00,14,Liverpool,Home,191.0,15.0,,1.0,1.0,3.0,,248.0,9.0,,6.0,3.0,22.0,29.0,438.0,,1.0,26.0,7.0,16.0,15.0,,,2.0,,2.0,,,2.0,,1.0,,,,18.0,,,,,,1.0,5.0,6.0,,,,59.0,62.0,3.0,2.0,1.0,,9.0,9.0,,,14.0,14.0,5.0,,8.0,2.0,52.0,71.0,,6.0,4.0,,2.0,84.0,11.0,14.0,1.0,1.0,7.0,7.0,2.0,209.0,1.0,,1.0,1.0,,,10.0,,,1.0,1.0,,,,1.0,9.0,1.0,13.0,9.0,,6.0,121.0,84.0,57.0,3.0,,4.0,12.0,6.0,,,,,5.0,,96.0,61.0,21.0,,,,,,172.0,165.0,4.0,23.0,28.0,65.3,,,,0.0,,,,133.0,1.0,1.0,,,2.0,8.0,,2.0,132.0,,16.0,201.0,23.0,13.0,32.0,11.0,37.0,26.0,2.0,186.0,9.0,358.0,1.0,,6.0,22.0,44.0,1.0,522.0,,0.0,23.0,27.0,3.0,28.0,0.0,746.0,,9.0,14.0,14.0,21.0,0.0
