matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
755306,1.0,2014-08-17 13:30:00,14,Liverpool,Home,279.0,23.0,1.0,2.0,1.0,2.0,,237.0,5.0,2.0,10.0,5.0,6.0,42.0,514.0,,2.0,18.0,14.0,23.0,8.0,,,,,,,,,,,1.0,10.0,,,,,,,4.0,8.0,4.0,,,,85.0,75.0,2.0,,2.0,5.0,13.0,2.0,10.0,,,2.0,9.0,2.0,,23.0,3.0,67.0,64.0,5.0,50.0,25.0,,1.0,74.0,8.0,11.0,1.0,,2.0,3.0,,193.0,2.0,,2.0,2.0,,,6.0,,,2.0,1.0,,,,,25.0,,17.0,17.0,3.0,10.0,156.0,96.0,65.0,6.0,1.0,3.0,7.0,5.0,580.0,,,2.0,2.0,,62.0,93.0,10.0,,,,,,156.0,156.0,4.0,26.0,30.0,56.1,,,13.0,0.0,,,,167.0,3.0,2.0,5.0,,,,5.0,,2.0,99.0,498.0,5.0,10.0,301.0,42.0,50.0,27.0,2.0,16.0,14.0,1.0,140.0,6.0,316.0,1.0,2.0,17.0,7.0,74.0,2.0,601.0,,0.0,12.0,16.0,2.0,22.0,1.0,849.0,,12.0,15.0,2.0,11.0,0.0
755318,2.0,2014-08-25 20:00:00,14,Liverpool,Away,206.0,19.0,2.0,5.0,3.0,,,240.0,4.0,,5.0,1.0,10.0,20.0,441.0,,,13.0,7.0,8.0,8.0,1.0,,,,,,,,,,,10.0,,,,,,,1.0,6.0,3.0,,,,66.0,50.0,1.0,2.0,,1.0,24.0,4.0,4.0,,,7.0,13.0,2.0,,5.0,1.0,34.0,46.0,1.0,20.0,10.0,1.0,,57.0,7.0,13.0,,,4.0,3.0,,172.0,,,,,,,5.0,,,,,,,,,10.0,,13.0,13.0,1.0,5.0,126.0,66.0,52.0,6.0,,4.0,5.0,3.0,488.0,,,1.0,,,44.0,72.0,22.0,,,,,,117.0,117.0,4.0,20.0,21.0,47.1,,,24.0,0.0,,,,144.0,,1.0,1.0,,1.0,,4.0,,3.0,121.0,422.0,12.0,9.0,214.0,28.0,20.0,20.0,7.0,25.0,18.0,1.0,167.0,6.0,319.0,,,5.0,10.0,34.0,1.0,508.0,1.0,0.0,11.0,17.0,2.0,16.0,1.0,686.0,,10.0,9.0,7.0,14.0,0.0
755331,3.0,2014-08-31 13:30:00,14,Liverpool,Away,159.0,11.0,3.0,6.0,4.0,,1.0,130.0,2.0,1.0,1.0,5.0,4.0,23.0,283.0,,,13.0,13.0,4.0,7.0,3.0,,1.0,,,,,,,,,12.0,1.0,,,,,1.0,7.0,5.0,2.0,,,,66.0,64.0,1.0,1.0,2.0,2.0,15.0,1.0,10.0,,,3.0,3.0,1.0,1.0,11.0,1.0,51.0,52.0,2.0,45.0,22.0,,,55.0,11.0,12.0,,,4.0,3.0,,143.0,1.0,,1.0,1.0,,1.0,10.0,,,2.0,,,,,,22.0,,14.0,14.0,,1.0,83.0,75.0,32.0,7.0,2.0,5.0,6.0,8.0,343.0,,,2.0,2.0,,45.0,54.0,12.0,,,,,1.0,127.0,127.0,1.0,21.0,38.0,39.6,,,15.0,0.0,,,,78.0,1.0,,1.0,,2.0,1.0,8.0,,3.0,67.0,273.0,10.0,11.0,177.0,27.0,45.0,14.0,3.0,9.0,7.0,4.0,107.0,1.0,202.0,1.0,1.0,22.0,4.0,63.0,1.0,370.0,,0.0,17.0,28.0,2.0,17.0,4.0,581.0,,13.0,8.0,3.0,24.0,0.0
755337,4.0,2014-09-13 17:30:00,14,Liverpool,Home,316.0,30.0,4.0,6.0,2.0,1.0,,349.0,6.0,,5.0,1.0,17.0,49.0,659.0,,,21.0,11.0,23.0,10.0,4.0,,,,,,,,,,,14.0,,,,,1.0,,5.0,5.0,,,,,93.0,54.0,,,,1.0,14.0,7.0,1.0,,,7.0,14.0,6.0,,7.0,,32.0,47.0,1.0,25.0,17.0,,,88.0,9.0,10.0,,,4.0,5.0,,185.0,,,,,,,6.0,,,,1.0,,,,1.0,17.0,1.0,8.0,8.0,,5.0,229.0,98.0,74.0,6.0,,8.0,6.0,1.0,727.0,,,1.0,2.0,,72.0,118.0,27.0,,,,,,141.0,141.0,1.0,17.0,31.0,74.7,1.0,1.0,14.0,0.0,,,,234.0,,,,,1.0,,10.0,,3.0,140.0,645.0,8.0,14.0,327.0,53.0,25.0,8.0,7.0,32.0,25.0,,194.0,3.0,446.0,1.0,,6.0,19.0,69.0,3.0,741.0,1.0,0.0,18.0,12.0,2.0,22.0,2.0,923.0,,14.0,2.0,7.0,9.0,0.0
755352,5.0,2014-09-20 17:30:00,14,Liverpool,Away,234.0,24.0,,2.0,2.0,,,154.0,6.0,1.0,6.0,5.0,6.0,42.0,386.0,,1.0,21.0,12.0,16.0,8.0,,,,,,,,,,1.0,,11.0,,,,,,,6.0,6.0,7.0,,,,67.0,51.0,,,,,11.0,3.0,4.0,,,5.0,6.0,6.0,,13.0,3.0,40.0,54.0,,37.0,19.0,1.0,1.0,57.0,11.0,16.0,,,5.0,4.0,,190.0,,,,,,,6.0,,,1.0,2.0,,,,2.0,19.0,,12.0,12.0,2.0,6.0,104.0,69.0,45.0,7.0,1.0,2.0,6.0,5.0,444.0,,,3.0,3.0,,33.0,61.0,19.0,,,,,,129.0,129.0,,26.0,18.0,62.4,,1.0,11.0,0.0,,,,108.0,2.0,2.0,4.0,,,,3.0,,3.0,68.0,364.0,5.0,8.0,256.0,44.0,37.0,6.0,4.0,20.0,16.0,,113.0,3.0,233.0,2.0,1.0,17.0,6.0,70.0,,469.0,1.0,0.0,11.0,18.0,2.0,21.0,1.0,669.0,,10.0,4.0,5.0,13.0,0.0
755357,6.0,2014-09-27 12:45:00,14,Liverpool,Home,167.0,17.0,3.0,6.0,3.0,1.0,,193.0,7.0,,8.0,2.0,6.0,25.0,354.0,,2.0,16.0,7.0,7.0,13.0,3.0,,1.0,1.0,,1.0,3.0,,,,,16.0,,,1.0,,,,4.0,3.0,8.0,,,,59.0,56.0,2.0,2.0,,3.0,17.0,9.0,10.0,,2.0,8.0,14.0,3.0,,9.0,1.0,44.0,54.0,3.0,24.0,10.0,,,55.0,8.0,9.0,,1.0,5.0,1.0,3.0,162.0,,,,,,,8.0,,,,,,,,1.0,10.0,1.0,10.0,10.0,,8.0,105.0,53.0,33.0,2.0,1.0,6.0,10.0,8.0,399.0,,,1.0,1.0,,77.0,46.0,16.0,,,,,,117.0,117.0,2.0,22.0,24.0,46.4,1.0,,17.0,0.0,,,,92.0,1.0,3.0,4.0,,1.0,1.0,7.0,,2.0,128.0,337.0,10.0,17.0,181.0,27.0,24.0,22.0,6.0,24.0,18.0,3.0,165.0,5.0,261.0,,,12.0,6.0,43.0,2.0,418.0,,0.0,24.0,27.0,2.0,16.0,2.0,627.0,,11.0,11.0,8.0,20.0,0.0
755367,7.0,2014-10-04 15:00:00,14,Liverpool,Home,185.0,26.0,,4.0,4.0,5.0,1.0,203.0,10.0,,3.0,5.0,7.0,40.0,384.0,,1.0,22.0,12.0,13.0,13.0,,,1.0,,,,1.0,,,,,18.0,,,,,,,7.0,3.0,5.0,,,,55.0,56.0,3.0,2.0,1.0,5.0,10.0,7.0,4.0,,1.0,5.0,6.0,5.0,,18.0,1.0,56.0,52.0,5.0,33.0,14.0,,1.0,65.0,12.0,13.0,,,5.0,4.0,1.0,178.0,2.0,,2.0,2.0,,,11.0,,,2.0,,,,,,14.0,,15.0,15.0,2.0,3.0,112.0,75.0,49.0,5.0,2.0,5.0,10.0,7.0,422.0,,,,2.0,,54.0,72.0,18.0,1.0,1.0,1.0,,,145.0,145.0,1.0,27.0,20.0,54.3,,2.0,10.0,0.0,,,,107.0,1.0,2.0,3.0,,4.0,1.0,5.0,,3.0,116.0,360.0,5.0,17.0,201.0,36.0,33.0,20.0,4.0,19.0,15.0,1.0,145.0,9.0,270.0,,,12.0,10.0,61.0,3.0,452.0,,0.0,19.0,16.0,2.0,34.0,2.0,690.0,,17.0,10.0,5.0,10.0,0.0
755379,8.0,2014-10-19 13:30:00,14,Liverpool,Away,202.0,17.0,,2.0,2.0,2.0,,152.0,7.0,,6.0,4.0,10.0,27.0,352.0,,3.0,21.0,21.0,21.0,11.0,,,2.0,,,,,1.0,,,,14.0,,,,,,,8.0,12.0,4.0,,,,52.0,69.0,,2.0,,4.0,14.0,4.0,9.0,,1.0,2.0,6.0,1.0,,15.0,4.0,65.0,69.0,4.0,58.0,34.0,1.0,2.0,60.0,15.0,10.0,,,2.0,1.0,,195.0,1.0,,,1.0,,1.0,11.0,,,1.0,,,,,,34.0,,11.0,11.0,,6.0,113.0,68.0,36.0,7.0,,5.0,7.0,4.0,428.0,,,1.0,1.0,1.0,51.0,61.0,15.0,,,,,,151.0,151.0,4.0,28.0,31.0,56.5,,1.0,14.0,0.0,,,,94.0,3.0,1.0,4.0,,,2.0,7.0,1.0,3.0,86.0,331.0,3.0,12.0,233.0,41.0,58.0,20.0,,8.0,8.0,4.0,127.0,5.0,229.0,,,22.0,11.0,67.0,2.0,454.0,,0.0,15.0,26.0,6.0,24.0,3.0,685.0,,15.0,13.0,2.0,21.0,0.0
755384,9.0,2014-10-25 15:00:00,14,Liverpool,Home,252.0,16.0,3.0,8.0,5.0,1.0,1.0,204.0,4.0,1.0,7.0,2.0,11.0,28.0,448.0,,1.0,30.0,15.0,13.0,7.0,2.0,,,,,,,,,,,9.0,,,,,,1.0,4.0,2.0,4.0,,,,69.0,63.0,4.0,4.0,,1.0,15.0,7.0,8.0,,1.0,14.0,12.0,4.0,,12.0,,56.0,70.0,1.0,19.0,15.0,,,75.0,12.0,17.0,,,5.0,5.0,,188.0,,,,,,,4.0,,,,,,,,1.0,15.0,,5.0,5.0,,7.0,140.0,84.0,58.0,1.0,,5.0,4.0,4.0,516.0,,,1.0,2.0,,50.0,71.0,24.0,,,,,,164.0,164.0,2.0,27.0,27.0,65.9,,,15.0,0.0,,,,138.0,1.0,2.0,3.0,,,,6.0,,3.0,98.0,431.0,6.0,12.0,264.0,39.0,19.0,32.0,13.0,34.0,21.0,1.0,151.0,7.0,305.0,,1.0,10.0,11.0,53.0,1.0,535.0,,0.0,17.0,21.0,1.0,33.0,3.0,773.0,,21.0,20.0,14.0,16.0,0.0
755401,10.0,2014-11-01 12:45:00,14,Liverpool,Away,301.0,30.0,2.0,4.0,2.0,,,199.0,6.0,,6.0,4.0,13.0,26.0,496.0,,,22.0,17.0,17.0,4.0,1.0,,,,,1.0,1.0,,,,,4.0,,,,,,,4.0,7.0,7.0,,,,83.0,60.0,,,,4.0,14.0,1.0,5.0,1.0,,2.0,5.0,5.0,,18.0,2.0,56.0,65.0,4.0,25.0,11.0,1.0,3.0,77.0,8.0,12.0,,,1.0,1.0,1.0,194.0,,,,,,,7.0,,,,2.0,,,,,11.0,,8.0,8.0,1.0,6.0,152.0,84.0,55.0,7.0,,2.0,3.0,3.0,563.0,,,6.0,2.0,,58.0,60.0,17.0,,,,,,150.0,150.0,2.0,27.0,25.0,64.5,,1.0,14.0,0.0,,,,154.0,2.0,,1.0,,,,2.0,,2.0,76.0,477.0,8.0,5.0,314.0,50.0,25.0,16.0,2.0,13.0,11.0,2.0,129.0,3.0,282.0,2.0,,16.0,14.0,53.0,7.0,583.0,1.0,0.0,6.0,29.0,2.0,25.0,3.0,793.0,,15.0,7.0,2.0,19.0,0.0
