matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalDistance,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2561895,1,2025-08-15 20:00:00,14,Liverpool,Home,224.0,23.0,2.0,5.0,3.0,1.0,,182.0,3.0,,4.0,5.0,14.0,29.0,401.0,,,20.0,18.0,29.0,10.0,2.0,4.0,2.0,0.0,,,,,,,13.0,0.0,,,,,1.0,3.0,8.0,2.0,15.0,4.0,80.0,52.0,3.0,2.0,1.0,1.0,11.0,2.0,8.0,,,6.0,7.0,6.0,0.0,11.0,1.0,52.0,63.0,1.0,41.0,29.0,1.0,,1.06857,2.2098,,3.0464,0.8149,61.0,7.0,10.0,1.0,,1.0,,,178.0,3.0,,1.0,3.0,,1.0,4.0,4.0,1.0,1.0,29.0,,4.0,4.0,,0.0,4.0,127.0,68.0,41.0,7.0,2.0,5.0,10.0,10.0,466.0,3.0,2.0,0.0,45.0,53.0,32.0,,,,,,145.0,145.0,5.0,18.0,23.0,61.2,,,,2.0,19.0,0.0,104.0,1.0,,1.0,,2.0,7.0,,1.0,5.0,97.0,381.0,11.0,15.0,244.0,36.0,41.0,17.0,4.0,17.0,13.0,110620.87,3.0,143.0,8.0,262.0,1.0,,16.0,15.0,51.0,2.0,489.0,1.0,0.0,19.0,16.0,3.0,27.0,1.0,713.0,36.0,14.0,0.0,8.0,6.0,13.0,0.0
2561913,2,2025-08-25 20:00:00,14,Liverpool,Away,214.0,14.0,,2.0,2.0,,1.0,158.0,4.0,2.0,3.0,1.0,14.0,15.0,370.0,,,15.0,16.0,18.0,2.0,,,2.0,0.0,,,,,,,5.0,0.0,,,,,,7.0,8.0,2.0,3.0,2.0,74.0,39.0,2.0,1.0,1.0,2.0,7.0,1.0,8.0,,,1.0,4.0,3.0,0.0,9.0,,51.0,51.0,2.0,43.0,23.0,1.0,1.0,0.514608,0.6928,,2.2552,1.8662,49.0,15.0,16.0,1.0,,1.0,1.0,,147.0,3.0,,2.0,3.0,,1.0,6.0,3.0,1.0,,23.0,,2.0,2.0,1.0,0.0,4.0,107.0,65.0,34.0,7.0,1.0,,5.0,4.0,418.0,3.0,,0.0,53.0,56.0,25.0,,,,,,113.0,113.0,4.0,9.0,18.0,62.4,,,,3.0,13.0,0.0,117.0,1.0,,1.0,,2.0,,,1.0,5.0,73.0,349.0,7.0,6.0,232.0,30.0,43.0,8.0,1.0,9.0,8.0,104796.23,3.0,105.0,2.0,222.0,1.0,2.0,20.0,16.0,49.0,,445.0,,0.0,5.0,13.0,1.0,19.0,3.0,622.0,17.0,14.0,0.0,5.0,1.0,8.0,0.0
2561919,3,2025-08-31 16:30:00,14,Liverpool,Home,246.0,11.0,,1.0,1.0,,,123.0,5.0,1.0,3.0,3.0,7.0,27.0,368.0,,,14.0,9.0,10.0,7.0,,1.0,1.0,1.0,,,,1.0,,,7.0,0.0,,,,,,2.0,8.0,3.0,4.0,5.0,60.0,45.0,,,,3.0,10.0,4.0,3.0,,,3.0,2.0,3.0,1.0,7.0,1.0,32.0,38.0,3.0,29.0,19.0,,,0.218839,0.5249,0.034,0.2733,0.5561,50.0,7.0,10.0,,,1.0,,1.0,135.0,,,,,,,7.0,0.0,,,19.0,,7.0,7.0,,0.0,3.0,118.0,58.0,33.0,8.0,0.0,2.0,5.0,3.0,414.0,7.0,2.0,0.0,30.0,41.0,22.0,,,,,,109.0,109.0,2.0,16.0,20.0,53.0,,,,,17.0,0.0,122.0,1.0,,1.0,,1.0,2.0,,0.0,4.0,54.0,352.0,10.0,7.0,265.0,25.0,29.0,14.0,2.0,7.0,5.0,107686.34,1.0,81.0,1.0,177.0,,1.0,18.0,8.0,60.0,1.0,435.0,,0.0,9.0,11.0,3.0,19.0,2.0,612.0,16.0,14.0,0.0,7.0,3.0,9.0,0.0
2561928,4,2025-09-14 14:00:00,14,Liverpool,Away,160.0,17.0,3.0,10.0,7.0,,,460.0,6.0,,3.0,1.0,10.0,15.0,610.0,,,21.0,16.0,27.0,19.0,2.0,4.0,,0.0,1.0,,,1.0,,,21.0,1.0,,,,,,3.0,1.0,2.0,14.0,13.0,75.0,31.0,2.0,2.0,1.0,,8.0,12.0,2.0,,,13.0,15.0,18.0,0.0,8.0,,41.0,57.0,,12.0,9.0,,,1.76211,2.6487,0.0603,1.1847,,85.0,9.0,8.0,,,2.0,,1.0,213.0,,,,,,,6.0,0.0,,1.0,9.0,,7.0,7.0,,0.0,3.0,216.0,53.0,28.0,1.0,1.0,9.0,12.0,4.0,678.0,,,0.0,111.0,94.0,57.0,,,,,1.0,153.0,153.0,2.0,10.0,16.0,81.0,,,,,14.0,0.0,193.0,,,,1.0,,11.0,,0.0,5.0,272.0,592.0,8.0,21.0,185.0,29.0,12.0,20.0,11.0,44.0,33.0,107440.29,,315.0,1.0,556.0,,,7.0,10.0,28.0,1.0,697.0,,0.0,27.0,10.0,,21.0,2.0,899.0,56.0,15.0,0.0,12.0,13.0,7.0,0.0
2561940,5,2025-09-20 12:30:00,14,Liverpool,Home,209.0,10.0,1.0,2.0,1.0,3.0,,197.0,5.0,2.0,5.0,4.0,3.0,14.0,404.0,,3.0,22.0,15.0,20.0,4.0,1.0,1.0,2.0,0.0,1.0,,,1.0,,,9.0,0.0,,,,,,5.0,6.0,3.0,9.0,2.0,71.0,49.0,1.0,,1.0,1.0,6.0,5.0,12.0,,,5.0,4.0,4.0,0.0,11.0,1.0,56.0,57.0,1.0,37.0,27.0,,1.0,0.786848,0.9028,0.0328,1.1755,0.5692,46.0,11.0,10.0,1.0,,2.0,,1.0,162.0,2.0,,2.0,2.0,,,6.0,2.0,,,27.0,,12.0,12.0,2.0,0.0,5.0,127.0,59.0,29.0,4.0,1.0,,7.0,3.0,454.0,3.0,2.0,0.0,46.0,63.0,30.0,,,,,,121.0,121.0,2.0,15.0,22.0,57.2,,,,2.0,15.0,0.0,115.0,1.0,,1.0,,2.0,3.0,1.0,0.0,3.0,116.0,386.0,6.0,7.0,229.0,20.0,37.0,17.0,4.0,12.0,8.0,101279.3,2.0,142.0,5.0,258.0,,2.0,18.0,3.0,43.0,1.0,475.0,,0.0,11.0,18.0,5.0,23.0,2.0,678.0,26.0,18.0,0.0,10.0,5.0,7.0,0.0
2561948,6,2025-09-27 15:00:00,14,Liverpool,Away,242.0,12.0,2.0,8.0,6.0,3.0,1.0,375.0,6.0,1.0,8.0,3.0,6.0,19.0,609.0,,,18.0,12.0,22.0,11.0,1.0,3.0,1.0,0.0,,,,1.0,,,14.0,0.0,,,,,2.0,5.0,12.0,4.0,13.0,7.0,86.0,55.0,5.0,5.0,1.0,1.0,9.0,5.0,6.0,,,6.0,8.0,11.0,0.0,11.0,2.0,48.0,45.0,1.0,36.0,28.0,,2.0,0.980385,2.1355,0.1337,1.7945,2.6497,93.0,8.0,10.0,,,1.0,1.0,1.0,176.0,,,,,,,8.0,1.0,1.0,1.0,28.0,1.0,10.0,10.0,,0.0,8.0,205.0,60.0,40.0,2.0,0.0,9.0,3.0,4.0,667.0,1.0,1.0,0.0,91.0,111.0,39.0,,,,,,136.0,136.0,5.0,15.0,26.0,71.9,,,,,16.0,0.0,221.0,5.0,,5.0,1.0,1.0,11.0,,1.0,5.0,141.0,591.0,9.0,12.0,260.0,28.0,36.0,19.0,6.0,26.0,20.0,114187.01,1.0,185.0,5.0,454.0,1.0,1.0,11.0,6.0,45.0,1.0,688.0,,0.0,20.0,7.0,2.0,18.0,3.0,905.0,28.0,13.0,0.0,6.0,6.0,5.0,0.0
2561959,7,2025-10-04 17:30:00,14,Liverpool,Away,220.0,20.0,,3.0,3.0,1.0,,153.0,9.0,2.0,9.0,7.0,10.0,16.0,370.0,1.0,2.0,24.0,7.0,6.0,9.0,,,3.0,0.0,,,,,,,12.0,0.0,,,,,,3.0,6.0,6.0,8.0,4.0,53.0,52.0,4.0,3.0,1.0,1.0,5.0,5.0,6.0,,,2.0,6.0,4.0,0.0,5.0,3.0,41.0,32.0,1.0,26.0,9.0,,,0.874953,1.9453,,0.956,1.6621,50.0,8.0,8.0,,,,,,152.0,1.0,,1.0,1.0,,,10.0,1.0,2.0,,9.0,,9.0,9.0,3.0,0.0,10.0,129.0,65.0,36.0,7.0,1.0,5.0,5.0,2.0,425.0,2.0,,0.0,55.0,43.0,25.0,,,,,,132.0,132.0,7.0,17.0,16.0,46.8,,,,1.0,12.0,0.0,116.0,2.0,2.0,4.0,1.0,3.0,5.0,1.0,0.0,5.0,77.0,346.0,5.0,10.0,238.0,40.0,26.0,18.0,1.0,11.0,10.0,113829.47,3.0,115.0,5.0,223.0,2.0,2.0,14.0,11.0,43.0,2.0,450.0,1.0,0.0,12.0,16.0,8.0,24.0,2.0,649.0,25.0,20.0,0.0,2.0,2.0,12.0,0.0
2561969,8,2025-10-19 16:30:00,14,Liverpool,Home,152.0,12.0,3.0,9.0,6.0,,1.0,265.0,7.0,1.0,6.0,7.0,7.0,27.0,408.0,,1.0,28.0,18.0,21.0,13.0,4.0,4.0,3.0,0.0,,,,,,,13.0,0.0,,,,2.0,2.0,4.0,10.0,2.0,16.0,3.0,59.0,36.0,5.0,4.0,1.0,1.0,4.0,2.0,4.0,,,9.0,22.0,14.0,0.0,8.0,1.0,45.0,51.0,1.0,28.0,20.0,,2.0,1.61322,2.7517,,2.3296,1.0572,63.0,8.0,13.0,,1.0,4.0,3.0,,163.0,1.0,,1.0,1.0,,,7.0,1.0,,,20.0,3.0,5.0,5.0,1.0,0.0,6.0,132.0,65.0,44.0,4.0,1.0,10.0,8.0,6.0,458.0,3.0,1.0,0.0,79.0,49.0,49.0,,,,,,157.0,157.0,1.0,15.0,13.0,63.5,2.0,,,,14.0,0.0,126.0,1.0,1.0,2.0,2.0,3.0,11.0,1.0,0.0,5.0,123.0,388.0,4.0,18.0,176.0,23.0,28.0,11.0,9.0,48.0,39.0,109775.03,3.0,152.0,,352.0,,1.0,18.0,8.0,47.0,1.0,480.0,1.0,0.0,19.0,13.0,3.0,31.0,0.0,716.0,52.0,25.0,0.0,4.0,9.0,7.0,0.0
2561978,9,2025-10-25 20:00:00,14,Liverpool,Away,226.0,11.0,2.0,7.0,5.0,1.0,,271.0,6.0,2.0,7.0,5.0,8.0,24.0,490.0,,1.0,12.0,27.0,26.0,8.0,2.0,1.0,,0.0,,,,,,1.0,16.0,0.0,,,,,,4.0,12.0,5.0,12.0,6.0,92.0,51.0,2.0,2.0,1.0,2.0,3.0,6.0,7.0,,,4.0,7.0,9.0,1.0,7.0,2.0,59.0,63.0,2.0,41.0,26.0,,1.0,1.18999,2.2978,,2.0593,2.4917,74.0,10.0,7.0,,,1.0,1.0,,190.0,1.0,,1.0,1.0,,,10.0,2.0,,,26.0,,4.0,4.0,,0.0,7.0,172.0,61.0,30.0,5.0,1.0,5.0,6.0,5.0,564.0,2.0,1.0,0.0,82.0,71.0,40.0,1.0,1.0,1.0,,,146.0,146.0,2.0,21.0,21.0,66.3,,,,1.0,5.0,0.0,132.0,3.0,2.0,5.0,,,7.0,1.0,0.0,5.0,150.0,472.0,3.0,11.0,253.0,24.0,41.0,17.0,4.0,21.0,17.0,113594.57,,196.0,4.0,354.0,,2.0,29.0,8.0,61.0,,586.0,2.0,0.0,18.0,21.0,2.0,15.0,2.0,804.0,37.0,17.0,0.0,9.0,4.0,12.0,0.0
2561989,10,2025-11-01 20:00:00,14,Liverpool,Home,177.0,14.0,,1.0,1.0,3.0,1.0,232.0,10.0,1.0,5.0,2.0,10.0,19.0,408.0,1.0,,17.0,6.0,10.0,10.0,1.0,1.0,,0.0,,,1.0,1.0,,,13.0,0.0,,,,,1.0,2.0,4.0,6.0,7.0,9.0,71.0,37.0,2.0,3.0,1.0,4.0,6.0,5.0,6.0,,1.0,1.0,4.0,4.0,0.0,6.0,2.0,36.0,42.0,4.0,25.0,10.0,,1.0,0.868281,1.1857,0.0562,1.0119,0.3005,63.0,13.0,11.0,1.0,,3.0,2.0,1.0,159.0,1.0,,1.0,1.0,,,11.0,2.0,,,10.0,,6.0,6.0,1.0,0.0,5.0,127.0,66.0,44.0,4.0,2.0,6.0,6.0,4.0,447.0,1.0,2.0,0.0,56.0,58.0,25.0,,,,,,102.0,102.0,5.0,12.0,15.0,53.4,,,,,14.0,0.0,110.0,,3.0,3.0,,,7.0,,0.0,1.0,104.0,390.0,6.0,12.0,189.0,23.0,25.0,14.0,1.0,11.0,10.0,106643.32,,140.0,4.0,289.0,,1.0,13.0,11.0,42.0,8.0,467.0,2.0,0.0,16.0,12.0,3.0,17.0,2.0,639.0,21.0,12.0,0.0,9.0,1.0,8.0,0.0
