matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
2367546,1.0,2023-08-13 16:30:00,14,Liverpool,Away,141.0,22.0,1.0,3.0,2.0,1.0,,163.0,7.0,,6.0,1.0,4.0,17.0,301.0,,1.0,6.0,12.0,6.0,8.0,1.0,3.0,,,,,,,,,,,,,10.0,,,,1.0,,,,9.0,9.0,1.0,8.0,5.0,,52.0,69.0,2.0,1.0,1.0,3.0,17.0,5.0,10.0,,1.0,4.0,4.0,4.0,,7.0,3.0,47.0,40.0,3.0,36.0,11.0,,,44.0,13.0,5.0,1.0,,,,149.0,1.0,,1.0,1.0,,,10.0,,,1.0,1.0,,,,,11.0,1.0,10.0,10.0,2.0,6.0,86.0,50.0,25.0,4.0,,5.0,5.0,1.0,356.0,,,2.0,2.0,,56.0,59.0,21.0,,,,,124.0,124.0,9.0,29.0,24.0,35.1,1.0,2.0,,,27.0,0.0,,,,90.0,3.0,,4.0,,,,7.0,1.0,,4.0,95.0,287.0,17.0,10.0,162.0,42.0,36.0,16.0,4.0,12.0,8.0,,130.0,5.0,227.0,1.0,,11.0,5.0,46.0,5.0,377.0,2.0,0.0,13.0,19.0,2.0,11.0,3.0,576.0,22.0,14.0,10.0,4.0,9.0,0.0
2367551,2.0,2023-08-19 15:00:00,14,Liverpool,Home,284.0,22.0,6.0,5.0,,2.0,,237.0,6.0,2.0,5.0,1.0,7.0,25.0,516.0,1.0,,14.0,11.0,20.0,10.0,5.0,6.0,1.0,,,,1.0,1.0,,1.0,,,,,17.0,,,1.0,1.0,,,1.0,9.0,6.0,7.0,17.0,9.0,,102.0,65.0,,2.0,2.0,,13.0,8.0,13.0,,,10.0,6.0,1.0,,7.0,3.0,52.0,64.0,,15.0,8.0,1.0,,55.0,11.0,13.0,3.0,4.0,1.0,1.0,211.0,,,,,,,10.0,,,2.0,1.0,,,,1.0,8.0,1.0,11.0,11.0,,6.0,134.0,73.0,49.0,2.0,,7.0,8.0,10.0,572.0,,,,,,70.0,56.0,40.0,,,,1.0,137.0,137.0,4.0,24.0,30.0,64.7,1.0,,3.0,,24.0,0.0,,,,153.0,2.0,2.0,4.0,,,1.0,8.0,,,5.0,119.0,497.0,13.0,15.0,307.0,43.0,15.0,28.0,9.0,16.0,8.0,1.0,162.0,6.0,309.0,1.0,2.0,4.0,7.0,49.0,,600.0,3.0,1.0,26.0,15.0,3.0,18.0,1.0,806.0,40.0,19.0,17.0,10.0,11.0,0.0
2367566,3.0,2023-08-27 16:30:00,14,Liverpool,Away,192.0,14.0,3.0,4.0,1.0,,1.0,119.0,9.0,,6.0,2.0,4.0,14.0,307.0,1.0,3.0,19.0,9.0,8.0,4.0,2.0,1.0,1.0,,1.0,,,1.0,,,,,,,6.0,,,,,,,1.0,5.0,14.0,9.0,6.0,3.0,,61.0,52.0,1.0,,1.0,1.0,8.0,2.0,10.0,,,9.0,4.0,1.0,,8.0,3.0,48.0,45.0,1.0,19.0,9.0,1.0,,41.0,10.0,15.0,,3.0,2.0,1.0,134.0,1.0,,1.0,1.0,,,14.0,,,2.0,,,,,,9.0,,8.0,8.0,,6.0,99.0,54.0,25.0,5.0,,2.0,5.0,4.0,351.0,,,4.0,1.0,,29.0,28.0,27.0,,,,,123.0,123.0,3.0,20.0,19.0,40.0,,,3.0,1.0,15.0,0.0,,,,90.0,4.0,3.0,7.0,,1.0,1.0,3.0,,2.0,5.0,49.0,287.0,8.0,7.0,216.0,40.0,19.0,21.0,9.0,16.0,7.0,1.0,82.0,1.0,184.0,,,8.0,4.0,49.0,1.0,384.0,2.0,1.0,9.0,12.0,4.0,20.0,2.0,575.0,17.0,12.0,10.0,9.0,7.0,0.0
2367574,4.0,2023-09-03 14:00:00,14,Liverpool,Home,442.0,23.0,5.0,7.0,2.0,,1.0,200.0,7.0,1.0,3.0,2.0,5.0,23.0,635.0,1.0,1.0,8.0,2.0,8.0,8.0,3.0,6.0,,,,,,,,,,,,,10.0,,,,1.0,,1.0,1.0,4.0,9.0,,11.0,6.0,,123.0,59.0,4.0,4.0,1.0,1.0,5.0,3.0,11.0,,,7.0,4.0,1.0,,5.0,1.0,40.0,32.0,1.0,10.0,3.0,,2.0,51.0,12.0,7.0,1.0,2.0,1.0,,185.0,2.0,1.0,,,2.0,,7.0,,,,1.0,,,,,3.0,2.0,8.0,8.0,,3.0,189.0,85.0,66.0,3.0,1.0,8.0,5.0,4.0,679.0,,,,1.0,,51.0,54.0,29.0,,,,,104.0,104.0,8.0,23.0,25.0,63.7,2.0,,,,12.0,0.0,,,,197.0,3.0,,3.0,,,,10.0,,,5.0,60.0,620.0,5.0,13.0,455.0,40.0,10.0,13.0,7.0,13.0,6.0,,95.0,1.0,252.0,1.0,1.0,3.0,5.0,38.0,6.0,694.0,3.0,0.0,17.0,14.0,6.0,11.0,0.0,845.0,34.0,14.0,3.0,7.0,9.0,0.0
2367587,5.0,2023-09-16 12:30:00,14,Liverpool,Away,290.0,28.0,,5.0,5.0,,,353.0,7.0,,5.0,1.0,8.0,23.0,638.0,,,25.0,7.0,11.0,10.0,1.0,,,,,,,,,,,,,,15.0,,,,,,,1.0,1.0,7.0,4.0,11.0,5.0,,115.0,62.0,4.0,2.0,2.0,1.0,7.0,3.0,18.0,,,4.0,11.0,3.0,1.0,10.0,,51.0,51.0,1.0,19.0,9.0,,,79.0,4.0,9.0,1.0,1.0,,,214.0,2.0,,2.0,2.0,,,8.0,,,2.0,,,,,,9.0,,9.0,9.0,1.0,5.0,192.0,74.0,53.0,4.0,,6.0,7.0,6.0,708.0,,,2.0,1.0,,114.0,71.0,32.0,,,,,139.0,139.0,5.0,25.0,27.0,65.8,,,3.0,,16.0,0.0,,,,208.0,,1.0,1.0,,,,7.0,,,5.0,150.0,620.0,7.0,13.0,313.0,50.0,19.0,19.0,4.0,18.0,14.0,,197.0,2.0,434.0,,,10.0,8.0,46.0,,729.0,1.0,0.0,16.0,24.0,1.0,26.0,3.0,918.0,42.0,11.0,7.0,4.0,16.0,0.0
2367594,6.0,2023-09-24 14:00:00,14,Liverpool,Home,253.0,22.0,4.0,5.0,1.0,,1.0,324.0,1.0,1.0,7.0,2.0,3.0,22.0,572.0,,1.0,16.0,9.0,26.0,13.0,3.0,3.0,1.0,,,,,2.0,,,,,,,14.0,1.0,,,,,1.0,2.0,9.0,9.0,2.0,14.0,8.0,,92.0,66.0,6.0,4.0,3.0,1.0,10.0,7.0,14.0,,,7.0,5.0,7.0,,12.0,1.0,58.0,65.0,1.0,19.0,8.0,,,60.0,12.0,13.0,2.0,4.0,1.0,2.0,192.0,2.0,,2.0,1.0,1.0,,1.0,,,1.0,1.0,,,,1.0,8.0,1.0,9.0,9.0,,7.0,173.0,66.0,51.0,4.0,,7.0,11.0,7.0,631.0,,,3.0,3.0,,70.0,94.0,40.0,,,,1.0,133.0,133.0,4.0,26.0,28.0,64.0,1.0,,,,22.0,0.0,,,,188.0,2.0,1.0,3.0,,,1.0,8.0,,1.0,4.0,154.0,558.0,10.0,18.0,269.0,32.0,19.0,21.0,7.0,20.0,13.0,1.0,194.0,,396.0,1.0,1.0,11.0,3.0,39.0,2.0,645.0,3.0,0.0,22.0,17.0,4.0,17.0,0.0,857.0,43.0,15.0,9.0,7.0,11.0,0.0
2367605,7.0,2023-09-30 17:30:00,14,Liverpool,Away,186.0,25.0,4.0,6.0,2.0,1.0,,101.0,6.0,,7.0,2.0,2.0,25.0,281.0,,1.0,20.0,10.0,9.0,6.0,3.0,4.0,,,,,,,1.0,,,,,,8.0,,,,,,,,11.0,11.0,14.0,9.0,3.0,,69.0,62.0,1.0,1.0,,1.0,9.0,3.0,9.0,,1.0,5.0,3.0,2.0,,11.0,2.0,57.0,42.0,1.0,24.0,13.0,,,37.0,17.0,11.0,1.0,1.0,1.0,,131.0,1.0,,1.0,1.0,,,7.0,,,1.0,1.0,,,,,13.0,,6.0,6.0,2.0,7.0,88.0,52.0,27.0,12.0,,4.0,6.0,4.0,333.0,,,11.0,2.0,1.0,47.0,38.0,21.0,,,,,129.0,129.0,4.0,29.0,15.0,35.5,,,,1.0,24.0,0.0,,,,76.0,3.0,4.0,8.0,1.0,,,5.0,,,5.0,49.0,260.0,9.0,10.0,215.0,45.0,24.0,19.0,5.0,11.0,6.0,,83.0,2.0,160.0,1.0,,10.0,2.0,54.0,1.0,364.0,,2.0,12.0,15.0,3.0,23.0,4.0,565.0,20.0,12.0,7.0,5.0,7.0,0.0
2367609,8.0,2023-10-08 14:00:00,14,Liverpool,Away,268.0,12.0,,2.0,2.0,1.0,,166.0,4.0,1.0,5.0,2.0,6.0,13.0,432.0,,,12.0,5.0,6.0,10.0,,,1.0,,,,,,,,,,,,11.0,1.0,,,1.0,,,2.0,12.0,8.0,6.0,10.0,4.0,,70.0,52.0,2.0,1.0,2.0,1.0,7.0,5.0,13.0,,,1.0,3.0,2.0,,11.0,,55.0,47.0,1.0,19.0,9.0,1.0,,51.0,20.0,12.0,2.0,3.0,2.0,,165.0,1.0,,1.0,1.0,,1.0,6.0,,,1.0,,,,,,9.0,1.0,11.0,11.0,,5.0,132.0,53.0,35.0,8.0,,5.0,6.0,4.0,479.0,,,5.0,1.0,,35.0,62.0,28.0,,,,1.0,104.0,104.0,12.0,17.0,17.0,54.0,1.0,2.0,1.0,1.0,16.0,0.0,,,,131.0,1.0,,1.0,,1.0,1.0,5.0,,,3.0,78.0,416.0,7.0,11.0,283.0,34.0,19.0,13.0,1.0,8.0,7.0,2.0,116.0,1.0,223.0,,1.0,7.0,6.0,36.0,,498.0,1.0,0.0,14.0,22.0,1.0,13.0,2.0,673.0,30.0,13.0,7.0,1.0,17.0,0.0
2367622,9.0,2023-10-21 12:30:00,14,Liverpool,Home,266.0,20.0,5.0,7.0,2.0,,,390.0,5.0,,5.0,2.0,6.0,24.0,649.0,,,24.0,25.0,24.0,14.0,4.0,6.0,2.0,,,,,1.0,,,,1.0,,,18.0,1.0,,,,,,,6.0,1.0,5.0,13.0,13.0,,105.0,81.0,1.0,,2.0,,6.0,11.0,12.0,,1.0,12.0,11.0,6.0,,9.0,,61.0,53.0,,14.0,8.0,,,83.0,9.0,8.0,2.0,4.0,1.0,1.0,229.0,1.0,,1.0,1.0,,1.0,5.0,,,1.0,2.0,,,,1.0,8.0,1.0,7.0,7.0,,5.0,203.0,83.0,58.0,4.0,,7.0,12.0,6.0,725.0,,,1.0,4.0,,106.0,84.0,44.0,,,,1.0,154.0,154.0,9.0,30.0,37.0,77.5,,,,,11.0,0.0,,,,205.0,1.0,,1.0,,1.0,2.0,9.0,,,4.0,195.0,632.0,6.0,19.0,289.0,45.0,14.0,16.0,9.0,27.0,18.0,3.0,251.0,1.0,480.0,2.0,,16.0,6.0,53.0,2.0,742.0,1.0,0.0,26.0,13.0,1.0,28.0,1.0,935.0,47.0,14.0,8.0,12.0,9.0,0.0
2367634,10.0,2023-10-29 14:00:00,14,Liverpool,Home,312.0,20.0,3.0,6.0,3.0,,,348.0,4.0,1.0,6.0,2.0,9.0,33.0,654.0,1.0,,20.0,13.0,18.0,8.0,3.0,5.0,3.0,,1.0,,,2.0,,,,,,,14.0,,,,,,,,7.0,7.0,2.0,10.0,11.0,,119.0,65.0,3.0,1.0,3.0,,6.0,4.0,10.0,,1.0,8.0,10.0,7.0,,13.0,,51.0,50.0,,11.0,5.0,,,76.0,9.0,13.0,3.0,4.0,1.0,2.0,234.0,2.0,,1.0,2.0,,2.0,4.0,,,3.0,,,,,,5.0,,4.0,4.0,,6.0,183.0,89.0,74.0,3.0,,4.0,9.0,8.0,709.0,,,4.0,,,68.0,110.0,42.0,,,,,131.0,131.0,7.0,24.0,27.0,72.6,,,,,12.0,0.0,,,,192.0,1.0,,1.0,,,3.0,9.0,1.0,,4.0,151.0,636.0,6.0,13.0,328.0,34.0,11.0,14.0,7.0,25.0,18.0,4.0,195.0,4.0,425.0,1.0,1.0,10.0,9.0,46.0,1.0,728.0,1.0,0.0,21.0,12.0,2.0,20.0,2.0,923.0,34.0,18.0,8.0,8.0,5.0,0.0
