matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgRight,attObxdLeft,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFiftyFifty,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
2128289,1.0,2020-09-12 17:30:00,14,Liverpool,Home,124.0,14.0,4.0,4.0,,1.0,,208.0,,,4.0,1.0,7.0,14.0,328.0,,,26.0,12.0,14.0,11.0,2.0,3.0,1.0,,,,,,,,16.0,2.0,,,,1.0,3.0,4.0,2.0,17.0,5.0,,64.0,79.0,1.0,,3.0,,15.0,13.0,9.0,,,9.0,3.0,7.0,1.0,21.0,,64.0,51.0,,11.0,1.0,1.0,,,,,,,23.0,72.0,9.0,5.0,3.0,,2.0,2.0,,167.0,1.0,1.0,1.0,,1.0,,3.0,,,,1.0,,,,,1.0,,14.0,14.0,2.0,,4.0,97.0,70.0,37.0,,,2.0,12.0,6.0,415.0,,,2.0,3.0,,52.0,63.0,49.0,,,,,2.0,185.0,185.0,11.0,26.0,34.0,48.8,,,,,15.0,0.0,,,,104.0,,,,,1.0,3.0,2.0,,3.0,11.0,112.0,320.0,7.0,14.0,139.0,39.0,11.0,32.0,8.0,20.0,12.0,1.0,178.0,3.0,313.0,1.0,,19.0,9.0,59.0,2.0,432.0,2.0,0.0,22.0,13.0,1.0,34.0,1.0,661.0,49.0,18.0,,19.0,9.0,10.0,0.0
2128298,2.0,2020-09-20 16:30:00,14,Liverpool,Away,287.0,27.0,1.0,4.0,3.0,,,398.0,2.0,,5.0,2.0,3.0,32.0,681.0,,,21.0,11.0,3.0,9.0,2.0,3.0,,,1.0,,1.0,,,,13.0,,,,,1.0,5.0,3.0,2.0,10.0,8.0,,113.0,58.0,1.0,1.0,2.0,,19.0,3.0,16.0,,,11.0,10.0,7.0,,11.0,2.0,50.0,37.0,,3.0,,,,,,,,,12.0,74.0,6.0,8.0,2.0,,4.0,1.0,1.0,201.0,1.0,,1.0,1.0,,,2.0,,,2.0,,,,,,,,8.0,8.0,1.0,,5.0,226.0,76.0,60.0,1.0,,6.0,6.0,6.0,747.0,,,,,,144.0,65.0,51.0,,1.0,1.0,1.0,,132.0,132.0,15.0,11.0,27.0,61.3,,,,,19.0,0.0,,,,224.0,3.0,,3.0,,,9.0,,,3.0,6.0,212.0,665.0,9.0,12.0,298.0,54.0,3.0,18.0,6.0,24.0,18.0,,277.0,,490.0,,,6.0,4.0,50.0,1.0,764.0,1.0,0.0,18.0,14.0,1.0,22.0,0.0,934.0,40.0,10.0,,12.0,11.0,7.0,0.0
2128310,3.0,2020-09-28 20:00:00,14,Liverpool,Home,348.0,41.0,1.0,3.0,2.0,1.0,,338.0,2.0,2.0,1.0,4.0,4.0,41.0,683.0,,1.0,25.0,12.0,6.0,13.0,1.0,4.0,1.0,,,,,,,,17.0,,,,,,6.0,3.0,1.0,12.0,9.0,,118.0,52.0,3.0,2.0,2.0,1.0,18.0,6.0,5.0,,,7.0,8.0,6.0,1.0,7.0,,38.0,31.0,1.0,13.0,4.0,1.0,,,,,,,33.0,67.0,11.0,7.0,1.0,2.0,2.0,2.0,,190.0,1.0,,,1.0,,,3.0,,,3.0,,,,,,4.0,1.0,6.0,6.0,,,1.0,244.0,110.0,83.0,3.0,,5.0,10.0,8.0,756.0,,,,2.0,,119.0,71.0,37.0,,,,,,143.0,143.0,4.0,14.0,33.0,66.0,,,3.0,,18.0,0.0,,,,220.0,2.0,,2.0,,1.0,7.0,1.0,,3.0,15.0,130.0,669.0,10.0,15.0,364.0,62.0,13.0,12.0,6.0,22.0,16.0,1.0,175.0,5.0,430.0,,2.0,15.0,4.0,67.0,,772.0,1.0,0.0,21.0,10.0,1.0,28.0,2.0,950.0,33.0,17.0,,8.0,7.0,6.0,0.0
2128317,4.0,2020-10-04 19:15:00,14,Liverpool,Away,298.0,31.0,,2.0,2.0,,,258.0,5.0,2.0,8.0,1.0,3.0,31.0,554.0,,1.0,27.0,13.0,15.0,10.0,,,,,,,1.0,,,1.0,13.0,,,,,,6.0,13.0,5.0,10.0,4.0,,86.0,57.0,3.0,2.0,2.0,,24.0,5.0,11.0,,1.0,7.0,12.0,3.0,,9.0,,49.0,49.0,,14.0,4.0,1.0,,,,,,,29.0,56.0,10.0,7.0,2.0,,1.0,,1.0,194.0,1.0,,1.0,1.0,,,5.0,,,2.0,,,,,,4.0,,12.0,12.0,,,9.0,178.0,74.0,50.0,2.0,,1.0,10.0,8.0,627.0,,,3.0,1.0,,125.0,51.0,32.0,,,,,,156.0,156.0,4.0,22.0,21.0,69.8,,,,,24.0,0.0,,,,192.0,2.0,2.0,4.0,,,1.0,,,3.0,13.0,145.0,531.0,10.0,11.0,324.0,60.0,14.0,19.0,5.0,20.0,15.0,,191.0,,346.0,,2.0,9.0,4.0,56.0,1.0,650.0,2.0,0.0,14.0,14.0,2.0,28.0,1.0,854.0,47.0,23.0,,13.0,7.0,7.0,0.0
2128328,5.0,2020-10-17 12:30:00,14,Liverpool,Away,198.0,20.0,1.0,4.0,3.0,,,243.0,7.0,,4.0,6.0,10.0,29.0,437.0,,1.0,14.0,19.0,11.0,11.0,2.0,1.0,,,1.0,1.0,2.0,,,,17.0,,,,,2.0,6.0,6.0,5.0,15.0,7.0,,86.0,68.0,4.0,3.0,1.0,,16.0,6.0,8.0,,2.0,5.0,8.0,5.0,,5.0,1.0,51.0,52.0,,13.0,5.0,,,,,,,,33.0,54.0,9.0,13.0,2.0,,4.0,2.0,2.0,169.0,1.0,,1.0,1.0,,,9.0,,,2.0,,,,,1.0,5.0,,3.0,3.0,,,4.0,135.0,81.0,53.0,2.0,,4.0,10.0,8.0,497.0,,,1.0,2.0,,64.0,68.0,43.0,,,,,,147.0,147.0,5.0,19.0,36.0,58.1,,2.0,,,16.0,0.0,,,,134.0,1.0,2.0,3.0,,,8.0,3.0,,3.0,16.0,123.0,414.0,9.0,14.0,218.0,41.0,13.0,22.0,5.0,20.0,15.0,,161.0,2.0,326.0,,,23.0,10.0,65.0,3.0,524.0,1.0,0.0,22.0,18.0,1.0,14.0,2.0,714.0,38.0,23.0,,11.0,5.0,8.0,0.0
2128341,6.0,2020-10-24 20:00:00,14,Liverpool,Home,276.0,25.0,,6.0,6.0,1.0,1.0,319.0,6.0,,1.0,7.0,7.0,46.0,589.0,,,15.0,34.0,22.0,9.0,1.0,3.0,,,,1.0,1.0,1.0,1.0,1.0,11.0,,,,1.0,2.0,3.0,9.0,4.0,10.0,7.0,,109.0,63.0,4.0,3.0,2.0,2.0,25.0,5.0,9.0,,1.0,7.0,5.0,11.0,,15.0,1.0,71.0,56.0,2.0,30.0,12.0,,,,,,,,33.0,62.0,7.0,15.0,,,3.0,2.0,1.0,184.0,1.0,,1.0,1.0,,,8.0,,,2.0,,,,,1.0,12.0,1.0,6.0,6.0,2.0,,1.0,190.0,92.0,70.0,3.0,2.0,4.0,7.0,5.0,656.0,,,4.0,3.0,,86.0,112.0,29.0,1.0,1.0,1.0,,,156.0,156.0,4.0,31.0,25.0,62.2,1.0,,3.0,2.0,25.0,0.0,,,,200.0,1.0,,1.0,,,7.0,,,2.0,23.0,144.0,567.0,8.0,11.0,306.0,54.0,30.0,19.0,4.0,22.0,18.0,,186.0,2.0,399.0,,,21.0,7.0,78.0,2.0,683.0,1.0,0.0,17.0,7.0,,16.0,0.0,891.0,37.0,18.0,,12.0,7.0,5.0,0.0
2128350,7.0,2020-10-31 17:30:00,14,Liverpool,Home,273.0,22.0,,2.0,2.0,,,460.0,2.0,,6.0,,10.0,16.0,731.0,,1.0,21.0,20.0,16.0,4.0,1.0,,,,,,1.0,,,,6.0,1.0,,,,1.0,8.0,4.0,,6.0,3.0,,114.0,60.0,1.0,,2.0,,21.0,1.0,6.0,,1.0,1.0,3.0,12.0,,11.0,1.0,56.0,50.0,,14.0,8.0,,,,,,,,26.0,83.0,13.0,14.0,1.0,,6.0,,1.0,201.0,1.0,,1.0,1.0,,,3.0,,,1.0,,,,,,8.0,,4.0,4.0,,,6.0,253.0,85.0,60.0,2.0,,3.0,3.0,5.0,810.0,,,1.0,4.0,,86.0,138.0,37.0,,,,,1.0,147.0,147.0,4.0,21.0,29.0,72.4,,,3.0,,21.0,0.0,,,,259.0,2.0,,2.0,,,3.0,,,3.0,11.0,169.0,717.0,7.0,6.0,293.0,49.0,14.0,18.0,1.0,16.0,15.0,,224.0,3.0,550.0,,,9.0,10.0,42.0,1.0,827.0,1.0,0.0,9.0,10.0,1.0,22.0,0.0,990.0,33.0,13.0,,11.0,1.0,6.0,0.0
2128362,8.0,2020-11-08 16:30:00,14,Liverpool,Away,228.0,19.0,,1.0,1.0,1.0,,148.0,7.0,1.0,3.0,2.0,3.0,17.0,375.0,,,20.0,8.0,3.0,6.0,,,,,1.0,,1.0,,,,7.0,1.0,,,,1.0,6.0,4.0,3.0,5.0,5.0,,64.0,49.0,,,1.0,1.0,13.0,3.0,3.0,,,2.0,3.0,5.0,,8.0,,32.0,42.0,1.0,7.0,2.0,,2.0,,,,,,28.0,43.0,11.0,18.0,1.0,1.0,4.0,2.0,1.0,156.0,,,,,,,7.0,,,,1.0,,,,2.0,2.0,,4.0,4.0,,,3.0,122.0,69.0,36.0,1.0,,2.0,4.0,3.0,427.0,,,1.0,1.0,,47.0,45.0,29.0,,1.0,1.0,,1.0,129.0,129.0,3.0,26.0,14.0,45.4,,2.0,,,13.0,0.0,,,,117.0,1.0,,1.0,,,4.0,,,2.0,8.0,59.0,354.0,6.0,6.0,255.0,52.0,7.0,12.0,1.0,11.0,10.0,,98.0,2.0,215.0,1.0,1.0,8.0,4.0,48.0,5.0,459.0,,0.0,10.0,13.0,3.0,23.0,1.0,618.0,23.0,13.0,,8.0,2.0,9.0,0.0
2128370,9.0,2020-11-22 19:15:00,14,Liverpool,Home,251.0,21.0,4.0,8.0,4.0,1.0,1.0,245.0,5.0,1.0,6.0,4.0,2.0,25.0,488.0,,,15.0,21.0,13.0,13.0,3.0,5.0,1.0,,,,,,,1.0,18.0,,,1.0,1.0,1.0,8.0,7.0,4.0,19.0,5.0,,74.0,64.0,6.0,6.0,1.0,,15.0,3.0,15.0,,,10.0,10.0,4.0,,11.0,3.0,65.0,41.0,,15.0,7.0,,,,,,,,41.0,46.0,15.0,6.0,2.0,,2.0,2.0,,154.0,2.0,1.0,2.0,1.0,1.0,,8.0,,,1.0,,,,,,7.0,2.0,10.0,10.0,,,6.0,163.0,88.0,52.0,3.0,,6.0,12.0,13.0,556.0,,,2.0,2.0,,78.0,78.0,40.0,,,,,,136.0,136.0,3.0,23.0,31.0,56.4,2.0,,,,15.0,0.0,,,,181.0,3.0,1.0,4.0,1.0,1.0,8.0,,,3.0,24.0,83.0,477.0,10.0,18.0,268.0,46.0,15.0,16.0,9.0,25.0,16.0,1.0,118.0,2.0,329.0,,1.0,11.0,2.0,54.0,2.0,572.0,,0.0,24.0,9.0,,16.0,0.0,766.0,34.0,16.0,,13.0,10.0,4.0,0.0
2128377,10.0,2020-11-28 12:30:00,14,Liverpool,Away,208.0,25.0,,2.0,2.0,1.0,,222.0,9.0,3.0,7.0,1.0,8.0,24.0,428.0,,,26.0,13.0,18.0,2.0,,1.0,,,,,,,,,5.0,,,,,,7.0,7.0,4.0,3.0,3.0,,71.0,54.0,,,,1.0,11.0,3.0,13.0,,2.0,3.0,6.0,4.0,,12.0,1.0,60.0,46.0,1.0,15.0,7.0,,,,,,,,32.0,57.0,13.0,8.0,1.0,,1.0,,,157.0,1.0,,,1.0,,,11.0,,,1.0,,,,,,7.0,,8.0,8.0,1.0,,7.0,153.0,75.0,46.0,4.0,,1.0,2.0,2.0,501.0,,,2.0,1.0,,85.0,55.0,16.0,1.0,2.0,2.0,,,150.0,150.0,,24.0,22.0,59.6,,2.0,,,11.0,0.0,,,,145.0,1.0,1.0,2.0,1.0,,1.0,,,3.0,17.0,92.0,408.0,2.0,3.0,237.0,51.0,15.0,17.0,2.0,12.0,10.0,,132.0,1.0,301.0,,3.0,17.0,10.0,62.0,2.0,526.0,,0.0,6.0,13.0,,29.0,1.0,692.0,12.0,14.0,,7.0,3.0,9.0,0.0
