matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperGoals,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsGoals,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,winningGoal,wonContest,wonCorners,wonTackle,yellowCard
284008,1.0,2009-08-16 16:00:00,14,Liverpool,Away,181.0,15.0,2.0,4.0,2.0,2.0,,165.0,6.0,,3.0,6.0,16.0,36.0,342.0,,,22.0,10.0,4.0,5.0,1.0,,,,,,1.0,1.0,,,,,1.0,,,,,10.0,10.0,,,,50.0,3.0,2.0,8.0,,5.0,14.0,7.0,,13.0,2.0,67.0,47.0,3.0,17.0,9.0,,,,,,,,76.0,17.0,12.0,,,,,1.0,,,,,,,7.0,,,,2.0,,,,1.0,18.0,,18.0,18.0,1.0,,3.0,86.0,45.0,6.0,1.0,3.0,3.0,3.0,,,,6.0,,39.0,71.0,19.0,,,,,1.0,159.0,142.0,2.0,19.0,20.0,52.5,,,0.0,,,,3.0,2.0,,,1.0,,4.0,,,3.0,87.0,,6.0,192.0,30.0,34.0,29.0,5.0,27.0,22.0,,136.0,11.0,259.0,2.0,,23.0,16.0,60.0,2.0,424.0,,0.0,9.0,22.0,2.0,23.0,3.0,698.0,,,9.0,5.0,16.0,0.0
284018,2.0,2009-08-19 20:00:00,14,Liverpool,Home,195.0,20.0,2.0,7.0,5.0,2.0,,296.0,3.0,1.0,12.0,3.0,15.0,45.0,484.0,1.0,1.0,14.0,11.0,12.0,12.0,2.0,,2.0,,,,,,,,,,,,,,,4.0,2.0,,,,46.0,,1.0,,,11.0,16.0,6.0,1.0,5.0,2.0,34.0,45.0,,20.0,12.0,,,,,,,,83.0,11.0,9.0,2.0,1.0,,,,2.0,,2.0,2.0,,,3.0,,,,1.0,,,,2.0,21.0,,9.0,9.0,,,12.0,81.0,57.0,5.0,1.0,4.0,12.0,14.0,,,,2.0,,56.0,91.0,19.0,,,,,,136.0,123.0,1.0,10.0,19.0,75.9,,1.0,0.0,,,,2.0,1.0,,,,2.0,6.0,,,3.0,126.0,,16.0,207.0,41.0,33.0,18.0,10.0,34.0,24.0,,177.0,5.0,389.0,2.0,1.0,10.0,16.0,67.0,,562.0,2.0,0.0,21.0,15.0,4.0,17.0,0.0,790.0,,,9.0,11.0,11.0,0.0
284025,3.0,2009-08-24 20:00:00,14,Liverpool,Home,177.0,21.0,2.0,8.0,6.0,6.0,,303.0,2.0,2.0,8.0,5.0,14.0,51.0,472.0,,2.0,24.0,8.0,16.0,18.0,2.0,,,,,,,,1.0,,,19.0,,,,,,5.0,4.0,,,,35.0,4.0,5.0,5.0,,10.0,14.0,11.0,,13.0,,50.0,55.0,4.0,19.0,15.0,,,,,,,,87.0,14.0,11.0,1.0,,4.0,4.0,,1.0,,1.0,1.0,,,3.0,,,1.0,1.0,,,,,20.0,1.0,15.0,15.0,1.0,,8.0,79.0,55.0,4.0,,8.0,13.0,11.0,,,,3.0,1.0,62.0,71.0,30.0,1.0,1.0,1.0,,,154.0,147.0,2.0,17.0,7.0,67.4,,,0.0,,,,2.0,,,,1.0,,8.0,,,2.0,156.0,,21.0,193.0,33.0,26.0,17.0,8.0,37.0,29.0,,212.0,12.0,407.0,2.0,2.0,16.0,15.0,65.0,1.0,563.0,2.0,0.0,24.0,21.0,5.0,26.0,3.0,799.0,,,7.0,10.0,16.0,0.0
284032,4.0,2009-08-29 15:00:00,14,Liverpool,Away,223.0,17.0,,11.0,11.0,4.0,,326.0,2.0,,8.0,3.0,17.0,44.0,538.0,,3.0,32.0,12.0,19.0,20.0,2.0,,2.0,,,,,1.0,,,1.0,,,1.0,,,2.0,2.0,7.0,,,,42.0,3.0,8.0,3.0,,11.0,20.0,11.0,1.0,10.0,1.0,47.0,57.0,3.0,16.0,12.0,,,,,,,,86.0,8.0,15.0,1.0,,,,1.0,2.0,,2.0,2.0,,,5.0,,,,1.0,,,,1.0,23.0,1.0,10.0,10.0,,,8.0,85.0,54.0,5.0,1.0,12.0,12.0,9.0,,,,2.0,,74.0,103.0,32.0,,,,,,152.0,137.0,1.0,18.0,15.0,77.8,1.0,,0.0,,,,,1.0,,,3.0,2.0,13.0,1.0,,3.0,186.0,,24.0,232.0,29.0,31.0,23.0,5.0,39.0,34.0,,230.0,9.0,419.0,1.0,,21.0,17.0,65.0,1.0,612.0,1.0,0.0,30.0,15.0,7.0,38.0,1.0,887.0,,,8.0,11.0,11.0,0.0
284043,5.0,2009-09-12 15:00:00,14,Liverpool,Home,188.0,13.0,1.0,7.0,6.0,4.0,,247.0,4.0,,2.0,4.0,20.0,38.0,428.0,,5.0,14.0,10.0,10.0,18.0,2.0,1.0,2.0,,,,1.0,2.0,,,,24.0,,,1.0,,1.0,3.0,4.0,13.0,15.0,,61.0,3.0,3.0,7.0,,7.0,13.0,7.0,,11.0,,46.0,60.0,3.0,18.0,9.0,,,,,,,,81.0,8.0,10.0,1.0,,6.0,2.0,2.0,3.0,,2.0,3.0,,1.0,10.0,,,4.0,2.0,,,,,15.0,1.0,20.0,19.0,1.0,,2.0,85.0,47.0,5.0,3.0,9.0,14.0,15.0,501.0,,,1.0,,55.0,81.0,35.0,,,,,,156.0,144.0,4.0,33.0,19.0,60.4,1.0,1.0,0.0,,,,1.0,2.0,3.0,,1.0,2.0,10.0,,,3.0,147.0,412.0,23.0,205.0,29.0,30.0,25.0,4.0,26.0,22.0,2.0,196.0,10.0,346.0,2.0,,15.0,20.0,66.0,4.0,525.0,1.0,0.0,28.0,25.0,7.0,17.0,0.0,757.0,37.0,,15.0,7.0,18.0,0.0
284058,6.0,2009-09-19 17:30:00,14,Liverpool,Away,184.0,20.0,1.0,4.0,3.0,2.0,,237.0,5.0,,7.0,6.0,22.0,27.0,417.0,,1.0,29.0,15.0,17.0,12.0,2.0,,,,,,,1.0,,,,,,,,,,9.0,3.0,,,,54.0,2.0,10.0,10.0,,4.0,11.0,3.0,,12.0,2.0,65.0,73.0,2.0,8.0,5.0,,1.0,,,,,,100.0,17.0,13.0,2.0,,,,1.0,3.0,,1.0,2.0,1.0,,8.0,,,,,,,,,8.0,,27.0,26.0,1.0,,7.0,79.0,56.0,4.0,1.0,3.0,14.0,5.0,,,,3.0,,71.0,77.0,19.0,1.0,1.0,1.0,,,138.0,133.0,2.0,22.0,21.0,57.9,,,0.0,,,,1.0,,,,1.0,,4.0,1.0,,3.0,128.0,,17.0,194.0,31.0,13.0,21.0,4.0,19.0,15.0,,191.0,11.0,331.0,,,19.0,25.0,48.0,2.0,506.0,,0.0,19.0,33.0,6.0,30.0,3.0,776.0,,,10.0,4.0,23.0,0.0
284063,7.0,2009-09-26 15:00:00,14,Liverpool,Home,200.0,17.0,3.0,14.0,11.0,6.0,,222.0,4.0,1.0,4.0,6.0,17.0,30.0,408.0,,4.0,23.0,13.0,9.0,13.0,2.0,,,,,,,,,,1.0,18.0,,,,,,3.0,7.0,20.0,5.0,,48.0,1.0,7.0,5.0,,13.0,15.0,14.0,,12.0,,53.0,45.0,1.0,13.0,5.0,1.0,,,,,,,79.0,11.0,3.0,3.0,,2.0,2.0,,6.0,,4.0,6.0,,,5.0,,,5.0,2.0,,,,,15.0,,18.0,18.0,,,4.0,92.0,53.0,2.0,1.0,9.0,12.0,8.0,479.0,,,3.0,,80.0,53.0,44.0,,,,,,158.0,138.0,2.0,22.0,16.0,63.4,,,0.0,,,,,1.0,1.0,,1.0,,10.0,,,3.0,136.0,398.0,21.0,210.0,24.0,33.0,24.0,10.0,41.0,31.0,,189.0,16.0,322.0,2.0,1.0,24.0,19.0,50.0,2.0,491.0,2.0,0.0,25.0,21.0,8.0,25.0,1.0,722.0,54.0,,12.0,13.0,17.0,0.0
284074,8.0,2009-10-04 16:00:00,14,Liverpool,Away,129.0,15.0,,8.0,8.0,1.0,,166.0,7.0,1.0,8.0,6.0,14.0,39.0,287.0,1.0,,19.0,19.0,13.0,10.0,,,,,1.0,,1.0,2.0,,1.0,,,,,,,1.0,9.0,8.0,,,,55.0,2.0,5.0,12.0,,8.0,17.0,11.0,,14.0,1.0,79.0,65.0,2.0,17.0,9.0,1.0,,,,,,,75.0,17.0,15.0,,,,,2.0,,,,,,,12.0,,,,,,,,,17.0,1.0,26.0,26.0,1.0,,8.0,92.0,45.0,5.0,,7.0,3.0,3.0,,,,2.0,,77.0,57.0,21.0,,,,,,177.0,165.0,2.0,20.0,19.0,49.0,,,0.0,,,,4.0,2.0,,,3.0,,9.0,,,3.0,84.0,,10.0,139.0,32.0,29.0,24.0,7.0,38.0,31.0,,139.0,7.0,279.0,,1.0,22.0,14.0,66.0,2.0,380.0,1.0,0.0,17.0,30.0,2.0,23.0,1.0,673.0,,,7.0,8.0,20.0,0.0
284088,9.0,2009-10-17 15:00:00,14,Liverpool,Away,195.0,19.0,1.0,4.0,3.0,5.0,,205.0,4.0,1.0,8.0,7.0,17.0,43.0,396.0,,2.0,25.0,14.0,11.0,10.0,2.0,,,,1.0,,,1.0,,,,,,,,,1.0,8.0,7.0,,,,49.0,1.0,4.0,3.0,,8.0,10.0,7.0,,17.0,1.0,61.0,67.0,1.0,15.0,10.0,,1.0,,,,,,85.0,18.0,20.0,,,,,1.0,,,,,,,7.0,,,,3.0,,,,1.0,15.0,,16.0,16.0,1.0,,8.0,93.0,53.0,1.0,,8.0,4.0,4.0,,,,5.0,,34.0,75.0,30.0,,,,,,175.0,162.0,2.0,16.0,20.0,68.0,,,0.0,,,,2.0,,,,,,11.0,,,3.0,99.0,,12.0,218.0,35.0,28.0,18.0,6.0,27.0,21.0,,157.0,13.0,313.0,3.0,1.0,23.0,19.0,67.0,,504.0,,0.0,19.0,28.0,5.0,26.0,1.0,774.0,,,8.0,7.0,21.0,0.0
284095,10.0,2009-10-25 14:00:00,14,Liverpool,Home,116.0,13.0,1.0,5.0,4.0,6.0,,144.0,3.0,2.0,2.0,9.0,11.0,26.0,255.0,1.0,1.0,17.0,21.0,16.0,8.0,,,1.0,,,,1.0,1.0,,,,,,,,,2.0,4.0,4.0,,,,63.0,4.0,5.0,7.0,,5.0,12.0,5.0,,18.0,1.0,73.0,66.0,4.0,20.0,12.0,,,,,,,,85.0,20.0,12.0,2.0,,,,1.0,2.0,,2.0,2.0,,1.0,7.0,,,,1.0,,,,,24.0,,22.0,21.0,3.0,,3.0,97.0,47.0,1.0,,3.0,7.0,5.0,,,,3.0,,40.0,54.0,20.0,,,,,,180.0,159.0,,32.0,21.0,43.8,,,0.0,,,,2.0,1.0,,1.0,,1.0,6.0,,,2.0,62.0,,10.0,135.0,33.0,41.0,13.0,5.0,25.0,20.0,,128.0,17.0,250.0,1.0,2.0,33.0,14.0,64.0,1.0,360.0,1.0,1.0,16.0,32.0,4.0,20.0,1.0,658.0,,,6.0,5.0,23.0,0.0
