matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
855173,1.0,2016-08-14 16:00:00,14,Liverpool,Away,201.0,14.0,,3.0,3.0,1.0,,182.0,3.0,2.0,5.0,3.0,14.0,24.0,380.0,,,18.0,22.0,17.0,10.0,,,,1.0,,,1.0,,,,,,13.0,,,,,,2.0,10.0,6.0,3.0,12.0,4.0,,82.0,52.0,2.0,,2.0,3.0,21.0,6.0,10.0,,4.0,7.0,2.0,,16.0,1.0,70.0,62.0,3.0,20.0,9.0,,,60.0,17.0,13.0,3.0,,2.0,,1.0,172.0,3.0,,2.0,3.0,,,7.0,,,3.0,2.0,,,,1.0,12.0,,7.0,7.0,1.0,5.0,106.0,73.0,27.0,5.0,1.0,3.0,10.0,7.0,448.0,,,1.0,2.0,46.0,59.0,21.0,,1.0,1.0,1.0,,145.0,145.0,,21.0,23.0,49.3,,,3.0,2.0,21.0,0.0,,,,119.0,2.0,,2.0,,,3.0,1.0,3.0,95.0,356.0,13.0,13.0,229.0,34.0,26.0,17.0,1.0,10.0,9.0,,139.0,4.0,260.0,2.0,2.0,27.0,17.0,70.0,3.0,479.0,,0.0,16.0,21.0,1.0,22.0,3.0,674.0,28.0,8.0,11.0,4.0,13.0,0.0
855183,28.0,2017-03-12 16:00:00,14,Liverpool,Home,202.0,15.0,2.0,5.0,3.0,4.0,,226.0,4.0,,3.0,8.0,15.0,32.0,423.0,,1.0,20.0,34.0,26.0,6.0,1.0,3.0,,,,,,,,,,,6.0,,,,,,1.0,7.0,6.0,5.0,6.0,4.0,,82.0,49.0,,,1.0,3.0,15.0,5.0,1.0,,11.0,9.0,3.0,,10.0,,69.0,51.0,3.0,29.0,17.0,,,82.0,12.0,16.0,,,4.0,,,222.0,1.0,,,1.0,,,14.0,,,2.0,,,,,,17.0,,7.0,7.0,1.0,3.0,136.0,109.0,51.0,1.0,2.0,1.0,7.0,3.0,520.0,,,2.0,,61.0,91.0,37.0,,,,,,189.0,189.0,3.0,20.0,22.0,63.9,,,3.0,1.0,15.0,0.0,,,,118.0,,,,1.0,,2.0,2.0,2.0,115.0,402.0,7.0,8.0,234.0,45.0,29.0,22.0,9.0,21.0,12.0,,179.0,12.0,345.0,,,31.0,15.0,83.0,3.0,558.0,1.0,0.0,10.0,6.0,1.0,20.0,2.0,744.0,25.0,9.0,6.0,11.0,4.0,0.0
855199,3.0,2016-08-27 12:30:00,14,Liverpool,Away,160.0,25.0,1.0,1.0,,2.0,,166.0,5.0,2.0,8.0,4.0,23.0,33.0,325.0,,,26.0,16.0,6.0,11.0,1.0,1.0,,,,,,,,,,,11.0,1.0,,1.0,,,,9.0,5.0,6.0,10.0,3.0,,80.0,66.0,1.0,1.0,1.0,3.0,35.0,6.0,12.0,,5.0,4.0,3.0,1.0,14.0,2.0,67.0,42.0,3.0,26.0,14.0,,1.0,68.0,17.0,11.0,,,1.0,,,198.0,,,,,,,8.0,,,,,,,,,18.0,1.0,14.0,14.0,,8.0,74.0,74.0,33.0,5.0,,4.0,8.0,3.0,411.0,,,2.0,1.0,77.0,48.0,34.0,,,,,1.0,165.0,165.0,3.0,25.0,30.0,50.7,1.0,2.0,,,35.0,0.0,,,,81.0,1.0,2.0,3.0,2.0,,4.0,,3.0,102.0,308.0,18.0,12.0,189.0,41.0,36.0,13.0,5.0,12.0,7.0,,150.0,5.0,256.0,,2.0,19.0,24.0,74.0,6.0,433.0,,0.0,13.0,20.0,2.0,28.0,5.0,661.0,20.0,15.0,5.0,5.0,13.0,0.0
855205,4.0,2016-09-10 17:30:00,14,Liverpool,Home,234.0,23.0,,2.0,2.0,,,258.0,7.0,2.0,4.0,3.0,24.0,41.0,490.0,2.0,2.0,25.0,25.0,17.0,13.0,,,,,,,,,,,,,17.0,,,,,,,1.0,7.0,5.0,9.0,8.0,,92.0,66.0,4.0,2.0,2.0,3.0,21.0,4.0,5.0,,1.0,6.0,,,13.0,1.0,52.0,57.0,3.0,30.0,23.0,1.0,,75.0,4.0,8.0,3.0,,1.0,,,219.0,4.0,,3.0,4.0,,,12.0,,,4.0,2.0,,,,1.0,24.0,,7.0,7.0,1.0,4.0,144.0,95.0,60.0,7.0,1.0,2.0,15.0,11.0,580.0,,,5.0,,78.0,90.0,19.0,,,,,,156.0,156.0,3.0,25.0,31.0,62.1,,,,1.0,21.0,0.0,,,,150.0,2.0,,2.0,,,2.0,,3.0,122.0,473.0,7.0,17.0,261.0,50.0,36.0,23.0,1.0,7.0,6.0,,186.0,8.0,351.0,2.0,2.0,12.0,24.0,75.0,3.0,605.0,2.0,0.0,17.0,16.0,3.0,29.0,1.0,806.0,23.0,10.0,17.0,1.0,13.0,0.0
855212,5.0,2016-09-16 20:00:00,14,Liverpool,Away,168.0,7.0,,3.0,3.0,4.0,1.0,251.0,3.0,,2.0,6.0,18.0,23.0,416.0,,1.0,20.0,13.0,14.0,6.0,2.0,2.0,,,,,,,,,,,9.0,,,,,,2.0,9.0,9.0,3.0,7.0,6.0,,71.0,54.0,1.0,1.0,1.0,6.0,11.0,6.0,22.0,,4.0,7.0,2.0,1.0,10.0,,65.0,55.0,6.0,20.0,9.0,,,56.0,13.0,5.0,,,4.0,2.0,,161.0,1.0,,1.0,,1.0,,7.0,,,1.0,,,,,,10.0,,13.0,13.0,1.0,2.0,137.0,77.0,46.0,6.0,1.0,1.0,8.0,5.0,475.0,,,5.0,,88.0,72.0,24.0,,,,,,133.0,133.0,2.0,22.0,25.0,47.3,,,,2.0,11.0,0.0,,,,128.0,3.0,,3.0,,,2.0,1.0,3.0,132.0,403.0,4.0,9.0,183.0,20.0,26.0,24.0,4.0,15.0,11.0,,169.0,10.0,329.0,,,21.0,18.0,48.0,2.0,497.0,,0.0,13.0,20.0,1.0,24.0,1.0,691.0,14.0,16.0,16.0,4.0,13.0,0.0
855225,6.0,2016-09-24 15:00:00,14,Liverpool,Home,194.0,19.0,1.0,4.0,3.0,1.0,,508.0,3.0,,3.0,1.0,18.0,30.0,698.0,2.0,2.0,15.0,8.0,9.0,19.0,2.0,5.0,,,,,1.0,1.0,,,,,23.0,2.0,,,,,1.0,5.0,1.0,1.0,17.0,15.0,,91.0,64.0,2.0,3.0,2.0,1.0,11.0,11.0,15.0,1.0,13.0,10.0,5.0,2.0,12.0,,49.0,55.0,1.0,5.0,5.0,,,100.0,8.0,7.0,2.0,,3.0,,1.0,196.0,3.0,,2.0,3.0,,,3.0,,,3.0,,,,,,6.0,1.0,6.0,6.0,,3.0,236.0,52.0,41.0,2.0,1.0,6.0,18.0,12.0,742.0,,,,,107.0,108.0,50.0,,,,,2.0,114.0,114.0,7.0,17.0,37.0,74.2,,,,,11.0,0.0,,,,240.0,,,,,,9.0,1.0,3.0,306.0,678.0,5.0,24.0,200.0,25.0,7.0,29.0,5.0,20.0,15.0,,356.0,1.0,583.0,,,1.0,18.0,38.0,,763.0,2.0,0.0,32.0,17.0,5.0,17.0,1.0,938.0,48.0,12.0,22.0,13.0,11.0,0.0
855238,7.0,2016-10-01 12:30:00,14,Liverpool,Away,213.0,22.0,2.0,4.0,2.0,,,286.0,4.0,,2.0,5.0,9.0,33.0,495.0,,2.0,17.0,17.0,16.0,12.0,2.0,4.0,,,,,1.0,,,,,,10.0,1.0,,,,,2.0,4.0,6.0,2.0,10.0,8.0,,97.0,70.0,1.0,,2.0,2.0,26.0,9.0,10.0,1.0,10.0,18.0,5.0,1.0,13.0,,57.0,64.0,2.0,10.0,6.0,,1.0,81.0,9.0,11.0,1.0,,2.0,,1.0,213.0,1.0,,1.0,,1.0,,7.0,,,,1.0,,,,,6.0,,13.0,13.0,2.0,2.0,150.0,71.0,45.0,3.0,,3.0,12.0,6.0,573.0,,,1.0,1.0,60.0,92.0,48.0,,,,,1.0,161.0,161.0,3.0,25.0,38.0,59.4,,,3.0,,26.0,0.0,,,,135.0,1.0,1.0,2.0,,,3.0,2.0,3.0,163.0,476.0,15.0,15.0,234.0,44.0,17.0,28.0,9.0,32.0,23.0,,219.0,7.0,393.0,1.0,,14.0,9.0,61.0,2.0,595.0,1.0,0.0,18.0,18.0,4.0,17.0,2.0,804.0,38.0,8.0,19.0,10.0,17.0,0.0
855246,8.0,2016-10-17 20:00:00,14,Liverpool,Home,261.0,12.0,1.0,3.0,2.0,3.0,,251.0,6.0,,5.0,4.0,17.0,27.0,509.0,,1.0,22.0,29.0,8.0,7.0,,,,,,,,,,,,,9.0,,,,,,,10.0,2.0,5.0,4.0,5.0,,88.0,62.0,,,,2.0,23.0,3.0,17.0,,3.0,4.0,5.0,,15.0,,88.0,60.0,2.0,12.0,7.0,,,67.0,14.0,20.0,,,1.0,2.0,,201.0,,,,,,,8.0,,,,1.0,,,,,8.0,,15.0,15.0,,5.0,170.0,78.0,43.0,1.0,,2.0,5.0,3.0,594.0,,,1.0,,74.0,51.0,32.0,,,,,,181.0,181.0,5.0,25.0,26.0,64.6,,,,,23.0,0.0,,,,168.0,,1.0,1.0,,,3.0,,3.0,105.0,480.0,11.0,7.0,292.0,34.0,15.0,23.0,3.0,14.0,11.0,,160.0,8.0,349.0,1.0,,23.0,21.0,68.0,2.0,627.0,,0.0,9.0,22.0,1.0,26.0,0.0,837.0,23.0,18.0,10.0,3.0,16.0,0.0
855258,9.0,2016-10-22 17:30:00,14,Liverpool,Home,247.0,23.0,,5.0,5.0,5.0,1.0,319.0,4.0,,6.0,2.0,15.0,47.0,561.0,,2.0,16.0,20.0,33.0,14.0,1.0,,1.0,,,,,,,,,,19.0,,,,,,2.0,3.0,4.0,3.0,14.0,7.0,,102.0,62.0,3.0,2.0,1.0,2.0,9.0,7.0,7.0,,3.0,12.0,5.0,,10.0,,52.0,70.0,2.0,22.0,13.0,,,67.0,9.0,12.0,2.0,,4.0,3.0,,209.0,2.0,,1.0,2.0,,,4.0,,,2.0,1.0,,,,,15.0,,9.0,9.0,,6.0,184.0,89.0,55.0,2.0,,6.0,11.0,7.0,642.0,,,2.0,1.0,81.0,100.0,38.0,,,,,,151.0,151.0,4.0,26.0,25.0,67.5,,,,,9.0,0.0,,,,167.0,,,,,1.0,7.0,1.0,3.0,155.0,542.0,3.0,17.0,277.0,42.0,25.0,17.0,3.0,23.0,20.0,1.0,192.0,10.0,408.0,1.0,,18.0,16.0,80.0,3.0,662.0,2.0,0.0,21.0,16.0,2.0,19.0,1.0,849.0,37.0,7.0,9.0,3.0,8.0,0.0
855262,10.0,2016-10-29 17:30:00,14,Liverpool,Away,177.0,16.0,2.0,5.0,3.0,5.0,,227.0,1.0,,4.0,5.0,11.0,27.0,399.0,1.0,3.0,21.0,32.0,19.0,8.0,,2.0,,,,,,,,,,1.0,15.0,,,,1.0,,,3.0,6.0,1.0,13.0,4.0,,82.0,76.0,3.0,1.0,2.0,2.0,12.0,2.0,13.0,1.0,3.0,9.0,3.0,2.0,11.0,1.0,76.0,66.0,2.0,29.0,10.0,1.0,,84.0,5.0,15.0,1.0,,4.0,2.0,,200.0,4.0,2.0,4.0,2.0,2.0,,4.0,,,2.0,2.0,,,,,10.0,2.0,8.0,8.0,1.0,4.0,118.0,85.0,37.0,3.0,1.0,4.0,8.0,10.0,489.0,,,,5.0,61.0,73.0,30.0,,,,,,182.0,182.0,10.0,26.0,30.0,55.3,1.0,,,,12.0,0.0,,,,118.0,4.0,,4.0,,,5.0,,3.0,134.0,385.0,8.0,12.0,196.0,35.0,29.0,25.0,3.0,17.0,14.0,,202.0,11.0,339.0,2.0,1.0,26.0,11.0,67.0,1.0,518.0,1.0,0.0,17.0,23.0,4.0,24.0,2.0,737.0,36.0,15.0,9.0,3.0,18.0,0.0
