matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321763,11,2010-11-07 16:00:00,14,Liverpool,Home,94.0,13.0,,1.0,1.0,2.0,,125.0,2.0,,7.0,8.0,6.0,20.0,218.0,,1.0,10.0,12.0,13.0,5.0,,,,,,,,,,,,9.0,,,,,,1.0,8.0,5.0,,,48.0,59.0,1.0,,1.0,1.0,4.0,11.0,,2.0,2.0,3.0,,13.0,3.0,57.0,61.0,1.0,27.0,12.0,,,74.0,16.0,18.0,2.0,,3.0,1.0,,139.0,2.0,,1.0,2.0,,,8.0,2.0,2.0,1.0,24.0,,25.0,20.0,1.0,7.0,61.0,85.0,35.0,5.0,,2.0,5.0,6.0,,3.0,1.0,,52.0,50.0,15.0,,,,,157.0,141.0,,27.0,21.0,35.3,,,0.0,58.0,5.0,,,2.0,,2.0,,3.0,60.0,,7.0,106.0,33.0,43.0,10.0,2.0,8.0,6.0,,104.0,7.0,208.0,2.0,,32.0,7.0,50.0,3.0,306.0,,0.0,12.0,26.0,4.0,13.0,0.0,516.0,,14.0,4.0,2.0,13.0,0.0
321770,12,2010-11-10 19:45:00,14,Liverpool,Away,185.0,14.0,1.0,4.0,3.0,1.0,,162.0,1.0,,8.0,6.0,25.0,23.0,343.0,,2.0,13.0,14.0,8.0,6.0,1.0,,,,,,,,,,,7.0,,,1.0,,,,6.0,7.0,,,73.0,86.0,2.0,2.0,,2.0,2.0,13.0,,4.0,8.0,2.0,,16.0,2.0,65.0,66.0,2.0,17.0,7.0,,,70.0,11.0,8.0,1.0,,,,,195.0,1.0,,1.0,1.0,,,6.0,1.0,2.0,1.0,15.0,1.0,10.0,7.0,,8.0,80.0,96.0,51.0,5.0,,4.0,4.0,2.0,,5.0,2.0,,51.0,64.0,16.0,,,,,181.0,169.0,2.0,35.0,35.0,46.7,1.0,,0.0,106.0,3.0,2.0,,1.0,,6.0,,3.0,67.0,,8.0,214.0,37.0,29.0,22.0,4.0,14.0,10.0,,111.0,7.0,254.0,2.0,,25.0,25.0,48.0,1.0,454.0,2.0,0.0,10.0,40.0,6.0,14.0,2.0,664.0,,11.0,10.0,4.0,30.0,0.0
321782,13,2010-11-13 17:30:00,14,Liverpool,Away,165.0,13.0,,2.0,2.0,5.0,2.0,139.0,2.0,,5.0,10.0,20.0,35.0,302.0,1.0,1.0,23.0,16.0,18.0,7.0,,,,1.0,,,1.0,,,,,8.0,,,,,,1.0,11.0,7.0,,,65.0,68.0,,,,2.0,5.0,2.0,,2.0,5.0,7.0,,14.0,1.0,47.0,52.0,2.0,22.0,13.0,,,62.0,11.0,14.0,,,4.0,3.0,1.0,191.0,,,,,,,8.0,,2.0,1.0,25.0,,10.0,7.0,,5.0,89.0,91.0,34.0,4.0,,3.0,4.0,3.0,,8.0,2.0,,48.0,64.0,22.0,,,,,213.0,196.0,1.0,32.0,25.0,60.0,,3.0,0.0,84.0,1.0,1.0,1.0,,,4.0,,2.0,56.0,,7.0,204.0,36.0,39.0,12.0,2.0,17.0,15.0,,103.0,14.0,242.0,2.0,,42.0,23.0,73.0,,429.0,1.0,1.0,12.0,13.0,5.0,30.0,2.0,646.0,,20.0,7.0,3.0,12.0,0.0
321793,14,2010-11-20 17:30:00,14,Liverpool,Home,232.0,27.0,3.0,7.0,4.0,2.0,,200.0,4.0,1.0,8.0,3.0,16.0,48.0,425.0,,2.0,21.0,14.0,11.0,14.0,1.0,,,,,,,,,,,17.0,1.0,,,,,1.0,4.0,4.0,,,95.0,63.0,3.0,2.0,2.0,2.0,6.0,10.0,,10.0,9.0,6.0,1.0,16.0,,60.0,55.0,2.0,8.0,4.0,,,71.0,7.0,8.0,,,3.0,1.0,,180.0,2.0,1.0,2.0,1.0,1.0,,9.0,1.0,2.0,,8.0,1.0,20.0,13.0,,8.0,109.0,92.0,57.0,2.0,2.0,7.0,10.0,9.0,,1.0,1.0,,67.0,72.0,23.0,,,,1.0,166.0,159.0,4.0,27.0,24.0,53.7,,1.0,0.0,128.0,1.0,,,2.0,,8.0,1.0,3.0,95.0,,17.0,256.0,45.0,15.0,23.0,9.0,25.0,16.0,,139.0,6.0,281.0,2.0,1.0,20.0,16.0,65.0,2.0,512.0,1.0,0.0,23.0,26.0,5.0,24.0,0.0,735.0,,14.0,10.0,10.0,19.0,0.0
321804,15,2010-11-28 16:00:00,14,Liverpool,Away,133.0,8.0,4.0,8.0,4.0,5.0,2.0,191.0,4.0,1.0,4.0,4.0,16.0,25.0,316.0,,4.0,22.0,17.0,14.0,11.0,4.0,,,,,,,1.0,1.0,,,12.0,,,,,,2.0,12.0,9.0,,,56.0,56.0,1.0,1.0,,5.0,9.0,19.0,2.0,8.0,11.0,5.0,1.0,12.0,,72.0,59.0,5.0,8.0,4.0,,2.0,77.0,18.0,6.0,,,2.0,2.0,,175.0,,,,,,,10.0,,1.0,1.0,13.0,,13.0,12.0,,4.0,84.0,87.0,46.0,5.0,,3.0,12.0,4.0,,5.0,1.0,1.0,51.0,56.0,20.0,,1.0,1.0,,169.0,153.0,4.0,17.0,24.0,49.6,,,0.0,90.0,5.0,2.0,,2.0,,4.0,,2.0,91.0,,15.0,150.0,23.0,24.0,12.0,7.0,25.0,18.0,,146.0,14.0,280.0,3.0,1.0,21.0,19.0,49.0,2.0,405.0,1.0,0.0,17.0,34.0,8.0,27.0,5.0,638.0,,14.0,5.0,8.0,21.0,0.0
321812,16,2010-12-06 20:00:00,14,Liverpool,Home,231.0,17.0,2.0,5.0,3.0,3.0,3.0,184.0,5.0,,9.0,8.0,20.0,36.0,410.0,1.0,1.0,21.0,9.0,11.0,4.0,3.0,1.0,,,,,,,,,,8.0,,,,,,2.0,5.0,3.0,,,95.0,66.0,2.0,,2.0,1.0,2.0,4.0,,4.0,8.0,,,15.0,1.0,48.0,44.0,1.0,11.0,6.0,,,69.0,13.0,13.0,1.0,,5.0,4.0,,202.0,3.0,,3.0,2.0,1.0,1.0,7.0,2.0,4.0,1.0,11.0,,21.0,17.0,1.0,9.0,97.0,90.0,52.0,3.0,2.0,3.0,7.0,6.0,,2.0,2.0,,52.0,73.0,16.0,,,,,175.0,168.0,1.0,30.0,22.0,48.9,,,0.0,120.0,3.0,,,,1.0,5.0,,3.0,93.0,,10.0,255.0,39.0,18.0,12.0,3.0,15.0,12.0,2.0,143.0,12.0,274.0,4.0,,24.0,23.0,62.0,3.0,514.0,1.0,0.0,13.0,16.0,1.0,27.0,0.0,715.0,,18.0,4.0,4.0,10.0,0.0
321822,17,2010-12-11 17:30:00,14,Liverpool,Away,161.0,19.0,3.0,9.0,6.0,2.0,,195.0,4.0,1.0,7.0,6.0,17.0,39.0,347.0,,1.0,23.0,24.0,7.0,10.0,4.0,,,,,,1.0,,,,1.0,11.0,,,,,,3.0,4.0,3.0,13.0,8.0,58.0,61.0,3.0,3.0,,,4.0,3.0,,5.0,11.0,8.0,,13.0,,59.0,63.0,,5.0,3.0,1.0,2.0,79.0,13.0,19.0,,,3.0,2.0,1.0,189.0,,,,,,,6.0,1.0,1.0,,6.0,,16.0,12.0,1.0,7.0,100.0,90.0,46.0,2.0,1.0,8.0,6.0,5.0,427.0,1.0,2.0,,55.0,58.0,35.0,,,,,178.0,167.0,3.0,27.0,22.0,55.1,,,0.0,106.0,,,,1.0,,12.0,,2.0,96.0,328.0,14.0,185.0,49.0,16.0,15.0,5.0,26.0,21.0,,150.0,7.0,294.0,1.0,1.0,25.0,19.0,66.0,3.0,453.0,,0.0,21.0,28.0,3.0,26.0,1.0,672.0,28.0,17.0,9.0,5.0,17.0,0.0
321832,18,2011-01-26 20:00:00,14,Liverpool,Home,212.0,16.0,2.0,7.0,5.0,2.0,,218.0,3.0,,5.0,8.0,22.0,38.0,423.0,,,21.0,12.0,10.0,12.0,1.0,,,,,,,,,,,13.0,,,,,,,7.0,4.0,,,86.0,68.0,,,,,4.0,10.0,1.0,6.0,9.0,4.0,,11.0,3.0,58.0,60.0,,19.0,7.0,,1.0,64.0,11.0,12.0,,,2.0,1.0,,200.0,,,,,,,4.0,,1.0,,14.0,1.0,24.0,18.0,1.0,5.0,117.0,74.0,44.0,2.0,,7.0,6.0,3.0,,2.0,1.0,,71.0,61.0,22.0,,,,,175.0,162.0,5.0,23.0,32.0,53.5,,1.0,0.0,116.0,4.0,1.0,,3.0,,7.0,,2.0,108.0,,13.0,239.0,33.0,32.0,22.0,5.0,19.0,14.0,,158.0,3.0,299.0,1.0,,26.0,23.0,58.0,6.0,519.0,,0.0,14.0,30.0,3.0,24.0,0.0,753.0,,18.0,8.0,6.0,15.0,0.0
321840,19,2011-01-12 20:00:00,14,Liverpool,Away,153.0,15.0,1.0,5.0,4.0,3.0,,186.0,5.0,,10.0,7.0,16.0,26.0,334.0,,,23.0,10.0,17.0,8.0,2.0,,,,,,,,,,,9.0,,,,,,1.0,7.0,5.0,,,63.0,73.0,,,,1.0,3.0,13.0,,3.0,17.0,4.0,,13.0,2.0,58.0,58.0,1.0,10.0,5.0,1.0,1.0,88.0,15.0,7.0,1.0,,1.0,,,203.0,1.0,,1.0,1.0,,,9.0,1.0,3.0,2.0,10.0,,15.0,13.0,,10.0,96.0,90.0,48.0,3.0,,4.0,7.0,5.0,,2.0,,,42.0,75.0,26.0,,,,,186.0,179.0,7.0,20.0,32.0,53.6,,,0.0,82.0,3.0,1.0,,2.0,,4.0,,2.0,90.0,,11.0,182.0,34.0,17.0,11.0,3.0,24.0,21.0,,152.0,6.0,286.0,3.0,,27.0,17.0,54.0,2.0,444.0,,0.0,12.0,32.0,4.0,28.0,3.0,658.0,,17.0,2.0,3.0,22.0,0.0
321849,20,2010-12-29 20:00:00,14,Liverpool,Home,190.0,19.0,,1.0,1.0,4.0,,163.0,10.0,,4.0,15.0,13.0,42.0,352.0,,,21.0,22.0,25.0,12.0,,,,,,,,,,,,12.0,,,,,,1.0,6.0,2.0,,,60.0,62.0,,1.0,,6.0,6.0,1.0,,2.0,2.0,9.0,,13.0,1.0,51.0,55.0,5.0,20.0,10.0,1.0,,95.0,8.0,11.0,,,4.0,1.0,,208.0,,,,,,,17.0,,1.0,,16.0,,6.0,4.0,1.0,5.0,95.0,103.0,54.0,8.0,,4.0,8.0,3.0,,2.0,2.0,,47.0,49.0,29.0,,,,,211.0,198.0,1.0,33.0,18.0,56.4,,1.0,0.0,113.0,1.0,,,5.0,,4.0,,3.0,86.0,,12.0,225.0,39.0,32.0,10.0,2.0,14.0,12.0,,143.0,12.0,265.0,1.0,,38.0,15.0,73.0,5.0,476.0,,0.0,13.0,16.0,1.0,27.0,1.0,678.0,,20.0,3.0,2.0,11.0,0.0
