matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptedTackleFoul,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedPass,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,putThrough,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,successfulPutThrough,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
1059702,1,2019-08-09 20:00:00,14,Liverpool,Home,158.0,15.0,1.0,5.0,4.0,,,234.0,5.0,,1.0,2.0,4.0,27.0,387.0,,,17.0,7.0,15.0,9.0,,1.0,,,,1.0,1.0,,,,12.0,,,1.0,,1.0,6.0,8.0,4.0,11.0,4.0,72.0,56.0,3.0,1.0,2.0,1.0,20.0,3.0,10.0,,,11.0,14.0,9.0,1.0,8.0,2.0,38.0,56.0,1.0,5.0,,,1.0,,,,,,52.0,9.0,9.0,2.0,,2.0,1.0,1.0,142.0,3.0,1.0,3.0,2.0,1.0,,6.0,2.0,,,,2.0,14.0,14.0,,1.0,138.0,67.0,45.0,2.0,,4.0,8.0,7.0,453.0,2.0,1.0,,93.0,60.0,49.0,,,,,145.0,145.0,8.0,17.0,29.0,57.9,1.0,,,,20.0,0.0,125.0,,4.0,4.0,,,5.0,,3.0,121.0,365.0,9.0,12.0,181.0,38.0,5.0,15.0,8.0,32.0,24.0,,164.0,1.0,328.0,,,13.0,5.0,57.0,,477.0,1.0,0.0,15.0,21.0,,18.0,0.0,662.0,37.0,14.0,11.0,11.0,13.0,0.0
1059720,2,2019-08-17 15:00:00,14,Liverpool,Away,225.0,28.0,,2.0,2.0,3.0,,191.0,10.0,,6.0,,2.0,33.0,414.0,,1.0,28.0,15.0,19.0,9.0,1.0,3.0,,,,,1.0,,,,10.0,,,,,1.0,1.0,9.0,5.0,9.0,6.0,68.0,60.0,3.0,3.0,,1.0,21.0,3.0,10.0,,,9.0,7.0,11.0,,7.0,1.0,44.0,45.0,1.0,30.0,10.0,1.0,1.0,,,,,,56.0,6.0,9.0,2.0,,1.0,,1.0,194.0,2.0,,,2.0,,,11.0,2.0,,2.0,10.0,,10.0,10.0,2.0,6.0,126.0,72.0,41.0,5.0,,5.0,7.0,6.0,500.0,4.0,2.0,,91.0,61.0,39.0,,,,,172.0,172.0,5.0,23.0,24.0,63.8,,,,1.0,21.0,0.0,142.0,1.0,1.0,3.0,,,6.0,,3.0,91.0,388.0,5.0,12.0,262.0,52.0,30.0,18.0,6.0,24.0,18.0,,138.0,7.0,292.0,,,18.0,2.0,67.0,1.0,530.0,,0.0,15.0,7.0,4.0,29.0,1.0,735.0,20.0,15.0,10.0,9.0,2.0,0.0
1059725,3,2019-08-24 17:30:00,14,Liverpool,Home,129.0,30.0,3.0,7.0,4.0,1.0,,352.0,10.0,2.0,4.0,,2.0,31.0,474.0,,,17.0,11.0,7.0,14.0,3.0,5.0,,,,,,,,,18.0,1.0,,,,,4.0,4.0,5.0,17.0,8.0,81.0,58.0,3.0,2.0,2.0,3.0,14.0,14.0,14.0,,,6.0,12.0,10.0,1.0,10.0,,48.0,45.0,3.0,11.0,5.0,,2.0,,,,,,61.0,8.0,4.0,2.0,,2.0,1.0,,147.0,2.0,1.0,1.0,1.0,1.0,,10.0,1.0,,1.0,5.0,,9.0,9.0,2.0,4.0,158.0,53.0,36.0,4.0,,6.0,13.0,5.0,532.0,2.0,2.0,,98.0,103.0,39.0,,,,1.0,136.0,136.0,13.0,18.0,23.0,52.0,,,,,14.0,0.0,167.0,,2.0,2.0,1.0,,6.0,,3.0,208.0,455.0,5.0,19.0,141.0,45.0,11.0,15.0,4.0,27.0,23.0,,258.0,2.0,439.0,,2.0,13.0,3.0,53.0,1.0,553.0,,0.0,25.0,25.0,1.0,19.0,1.0,747.0,49.0,16.0,9.0,6.0,17.0,0.0
1059733,4,2019-08-31 17:30:00,14,Liverpool,Away,236.0,23.0,1.0,2.0,1.0,3.0,,208.0,6.0,1.0,8.0,8.0,1.0,30.0,442.0,,,17.0,21.0,24.0,9.0,1.0,1.0,3.0,,,,,,1.0,1.0,12.0,,,,,2.0,9.0,4.0,3.0,7.0,8.0,82.0,71.0,3.0,2.0,1.0,2.0,13.0,6.0,6.0,,,4.0,8.0,6.0,,6.0,1.0,56.0,54.0,2.0,19.0,8.0,,1.0,,,,,,59.0,16.0,10.0,2.0,,1.0,1.0,,200.0,2.0,,1.0,2.0,,1.0,8.0,2.0,,1.0,8.0,1.0,9.0,9.0,,8.0,128.0,91.0,38.0,6.0,,1.0,11.0,7.0,543.0,1.0,2.0,,80.0,66.0,35.0,,,,,176.0,176.0,6.0,27.0,28.0,63.8,,,,1.0,13.0,0.0,158.0,2.0,,2.0,1.0,3.0,2.0,1.0,3.0,100.0,420.0,7.0,14.0,270.0,56.0,19.0,18.0,3.0,18.0,15.0,4.0,142.0,6.0,316.0,,1.0,28.0,1.0,79.0,1.0,568.0,1.0,0.0,15.0,11.0,2.0,22.0,0.0,739.0,23.0,12.0,10.0,4.0,6.0,0.0
1059745,5,2019-09-14 12:30:00,14,Liverpool,Home,257.0,30.0,6.0,10.0,5.0,3.0,1.0,517.0,4.0,,4.0,1.0,4.0,31.0,764.0,,,13.0,13.0,25.0,13.0,4.0,5.0,,,,,,,,,15.0,,,,,1.0,2.0,4.0,4.0,18.0,3.0,108.0,69.0,4.0,3.0,2.0,,18.0,3.0,9.0,,,10.0,12.0,14.0,,12.0,,47.0,52.0,,8.0,4.0,,,,,,,,89.0,5.0,4.0,3.0,,1.0,1.0,,184.0,2.0,,1.0,2.0,,,4.0,3.0,,,4.0,,8.0,8.0,,4.0,268.0,78.0,72.0,1.0,,9.0,10.0,9.0,827.0,3.0,2.0,,132.0,125.0,58.0,,,,,151.0,151.0,6.0,21.0,38.0,75.3,,,3.0,,18.0,0.0,287.0,,,,,,9.0,,3.0,221.0,745.0,5.0,19.0,273.0,46.0,8.0,18.0,8.0,34.0,27.0,,277.0,6.0,608.0,,,4.0,4.0,45.0,2.0,847.0,1.0,0.0,21.0,13.0,2.0,13.0,0.0,1023.0,47.0,20.0,10.0,10.0,11.0,0.0
1059754,6,2019-09-22 16:30:00,14,Liverpool,Away,138.0,23.0,1.0,4.0,3.0,,,169.0,10.0,1.0,3.0,1.0,2.0,29.0,303.0,,,24.0,20.0,18.0,4.0,,2.0,,,,,,,,,2.0,,,,,2.0,5.0,7.0,6.0,4.0,2.0,68.0,67.0,2.0,1.0,1.0,4.0,15.0,1.0,7.0,,,4.0,6.0,2.0,1.0,13.0,,55.0,44.0,4.0,37.0,19.0,,,,,,,,60.0,13.0,7.0,1.0,,3.0,,,147.0,2.0,1.0,2.0,,2.0,,11.0,,1.0,,19.0,,12.0,12.0,1.0,3.0,89.0,74.0,35.0,6.0,,2.0,4.0,3.0,382.0,3.0,5.0,,56.0,57.0,24.0,,,,,158.0,158.0,6.0,23.0,31.0,45.0,,,,1.0,15.0,0.0,111.0,1.0,,1.0,1.0,,2.0,,3.0,87.0,278.0,5.0,6.0,162.0,54.0,37.0,10.0,2.0,10.0,8.0,,138.0,3.0,263.0,2.0,1.0,15.0,3.0,71.0,1.0,415.0,,0.0,6.0,11.0,1.0,29.0,3.0,608.0,25.0,14.0,8.0,4.0,5.0,0.0
1059769,7,2019-09-28 12:30:00,14,Liverpool,Away,284.0,21.0,,2.0,2.0,,,327.0,7.0,1.0,7.0,2.0,4.0,43.0,609.0,,1.0,22.0,20.0,26.0,6.0,,2.0,1.0,,1.0,,1.0,,,1.0,13.0,,,1.0,,,3.0,11.0,1.0,8.0,8.0,103.0,62.0,2.0,3.0,,2.0,18.0,3.0,8.0,,1.0,5.0,9.0,9.0,,6.0,1.0,43.0,52.0,2.0,25.0,11.0,,,,,,,,60.0,4.0,8.0,,,2.0,1.0,1.0,172.0,,,,,,,9.0,1.0,2.0,,11.0,1.0,6.0,6.0,,7.0,216.0,100.0,70.0,6.0,1.0,4.0,2.0,4.0,685.0,4.0,1.0,,85.0,122.0,41.0,,,,,149.0,149.0,7.0,18.0,26.0,70.4,1.0,,,,18.0,0.0,217.0,1.0,1.0,2.0,1.0,1.0,9.0,,3.0,131.0,592.0,8.0,6.0,305.0,46.0,25.0,12.0,4.0,23.0,19.0,1.0,179.0,3.0,426.0,2.0,1.0,10.0,4.0,76.0,1.0,708.0,,0.0,16.0,11.0,1.0,23.0,1.0,896.0,29.0,15.0,7.0,5.0,9.0,0.0
1059775,8,2019-10-05 15:00:00,14,Liverpool,Home,184.0,27.0,2.0,5.0,3.0,,,207.0,1.0,,7.0,7.0,8.0,41.0,386.0,1.0,1.0,25.0,17.0,11.0,12.0,1.0,2.0,,,,,1.0,,,,14.0,1.0,,,,,4.0,1.0,1.0,14.0,4.0,83.0,80.0,4.0,4.0,2.0,3.0,8.0,4.0,13.0,,2.0,4.0,7.0,5.0,,8.0,,54.0,63.0,3.0,25.0,10.0,,,1.45184,3.5528,0.071998,3.36623,0.020031,62.0,9.0,17.0,1.0,,6.0,2.0,1.0,175.0,1.0,,1.0,1.0,,,1.0,1.0,1.0,1.0,10.0,,14.0,14.0,2.0,7.0,121.0,75.0,41.0,6.0,1.0,6.0,8.0,8.0,474.0,,2.0,,54.0,77.0,35.0,,,,1.0,165.0,165.0,6.0,27.0,39.0,50.7,,,,,18.0,0.0,115.0,,,,,,6.0,1.0,3.0,84.0,369.0,8.0,14.0,213.0,52.0,25.0,24.0,3.0,17.0,14.0,,137.0,2.0,298.0,1.0,,25.0,9.0,79.0,3.0,494.0,1.0,0.0,18.0,19.0,5.0,33.0,1.0,733.0,34.0,16.0,16.0,4.0,10.0,0.0
1059788,9,2019-10-20 16:30:00,14,Liverpool,Away,265.0,27.0,,5.0,5.0,1.0,1.0,287.0,4.0,,5.0,1.0,7.0,22.0,547.0,,,18.0,10.0,26.0,7.0,1.0,,1.0,,,,,,,,9.0,,,,,1.0,8.0,3.0,4.0,6.0,4.0,75.0,75.0,2.0,1.0,1.0,3.0,14.0,2.0,8.0,,2.0,1.0,7.0,16.0,,6.0,,41.0,54.0,3.0,17.0,5.0,,,,,,,,64.0,14.0,6.0,,,1.0,1.0,,192.0,1.0,,1.0,1.0,,,4.0,1.0,1.0,1.0,5.0,,10.0,10.0,1.0,5.0,193.0,83.0,55.0,3.0,,3.0,6.0,4.0,637.0,1.0,2.0,,80.0,81.0,45.0,,,,,164.0,164.0,5.0,28.0,36.0,68.0,,,1.0,1.0,14.0,0.0,192.0,,1.0,1.0,,1.0,4.0,,3.0,124.0,532.0,8.0,9.0,297.0,55.0,17.0,9.0,1.0,25.0,24.0,1.0,167.0,6.0,380.0,1.0,,13.0,7.0,49.0,1.0,652.0,,0.0,10.0,18.0,,18.0,1.0,842.0,13.0,26.0,5.0,1.0,10.0,0.0
1059795,10,2019-10-27 16:30:00,14,Liverpool,Home,201.0,42.0,3.0,10.0,7.0,,1.0,337.0,6.0,1.0,2.0,3.0,6.0,36.0,528.0,,,21.0,16.0,23.0,10.0,6.0,3.0,,,,,1.0,,,,13.0,1.0,,,,1.0,5.0,9.0,2.0,15.0,6.0,80.0,67.0,2.0,2.0,1.0,1.0,23.0,5.0,7.0,,,8.0,11.0,14.0,,5.0,1.0,46.0,59.0,1.0,8.0,3.0,,,,,,,,73.0,9.0,11.0,1.0,,7.0,3.0,1.0,166.0,,,,,,,8.0,1.0,,2.0,3.0,,12.0,12.0,2.0,2.0,178.0,89.0,60.0,3.0,1.0,3.0,13.0,13.0,604.0,2.0,3.0,,72.0,112.0,58.0,,,,1.0,169.0,169.0,8.0,17.0,35.0,68.0,,,3.0,,23.0,0.0,207.0,2.0,1.0,3.0,1.0,,3.0,,3.0,154.0,507.0,8.0,16.0,222.0,69.0,8.0,17.0,6.0,34.0,28.0,,209.0,3.0,443.0,,1.0,15.0,6.0,69.0,,631.0,,0.0,21.0,20.0,,22.0,3.0,836.0,40.0,22.0,6.0,8.0,15.0,0.0
