matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenMiss,attPenPost,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360471,1,2011-08-13 15:00:00,14,Liverpool,Home,191.0,28.0,4.0,8.0,4.0,1.0,,184.0,10.0,,10.0,7.0,32.0,37.0,367.0,,,25.0,9.0,25.0,8.0,3.0,1.0,,,,,,,,,,,,1.0,,,1.0,,,1.0,5.0,9.0,79.0,60.0,,1.0,,1.0,1.0,5.0,,6.0,8.0,6.0,,8.0,1.0,47.0,59.0,1.0,10.0,9.0,,,77.0,17.0,12.0,1.0,,,,208.0,1.0,1.0,1.0,,1.0,,13.0,,2.0,,12.0,1.0,16.0,15.0,1.0,10.0,95.0,91.0,51.0,3.0,,8.0,4.0,3.0,,1.0,,,59.0,71.0,22.0,,,,,1.0,163.0,156.0,2.0,28.0,17.0,60.1,1.0,,0.0,98.0,2.0,1.0,,6.0,1.0,10.0,,2.0,77.0,,12.0,222.0,54.0,17.0,12.0,6.0,21.0,15.0,,139.0,10.0,279.0,2.0,,26.0,36.0,66.0,1.0,480.0,,0.0,14.0,18.0,2.0,26.0,4.0,663.0,,9.0,4.0,6.0,13.0,0.0
360479,2,2011-08-20 12:45:00,14,Liverpool,Away,163.0,13.0,2.0,4.0,2.0,2.0,,227.0,8.0,1.0,5.0,6.0,31.0,27.0,386.0,,4.0,21.0,10.0,12.0,12.0,,,,,,,,2.0,,,,13.0,,,,,,,1.0,,5.0,7.0,86.0,71.0,2.0,1.0,1.0,2.0,2.0,8.0,,5.0,7.0,12.0,,12.0,1.0,43.0,61.0,2.0,16.0,7.0,,,74.0,8.0,10.0,1.0,3.0,1.0,,175.0,1.0,,1.0,1.0,,,9.0,1.0,,1.0,11.0,1.0,16.0,13.0,,5.0,101.0,78.0,47.0,9.0,,5.0,8.0,6.0,,4.0,1.0,,47.0,96.0,30.0,,,,,,160.0,154.0,5.0,33.0,27.0,50.2,1.0,2.0,0.0,115.0,1.0,2.0,,,,6.0,,2.0,121.0,,13.0,176.0,32.0,22.0,14.0,5.0,25.0,20.0,,174.0,5.0,326.0,,1.0,21.0,31.0,50.0,6.0,477.0,,0.0,14.0,31.0,5.0,26.0,2.0,691.0,,11.0,8.0,5.0,24.0,0.0
360492,3,2011-08-27 17:30:00,14,Liverpool,Home,214.0,13.0,1.0,6.0,5.0,5.0,,195.0,4.0,,4.0,6.0,21.0,32.0,403.0,1.0,7.0,25.0,6.0,9.0,13.0,1.0,,,,,2.0,,,,1.0,,15.0,,,,,,,,,6.0,4.0,81.0,69.0,3.0,2.0,1.0,1.0,6.0,9.0,,12.0,12.0,8.0,1.0,12.0,,37.0,50.0,1.0,14.0,8.0,1.0,,68.0,5.0,7.0,,4.0,,2.0,205.0,2.0,1.0,1.0,1.0,1.0,,7.0,2.0,,,11.0,,9.0,7.0,,5.0,113.0,84.0,49.0,6.0,2.0,8.0,8.0,6.0,,3.0,4.0,,82.0,48.0,16.0,,,,,,165.0,154.0,3.0,32.0,24.0,58.8,,,0.0,93.0,1.0,1.0,,1.0,,8.0,1.0,3.0,116.0,,16.0,234.0,28.0,25.0,15.0,9.0,29.0,20.0,,160.0,11.0,287.0,,,16.0,23.0,52.0,3.0,492.0,1.0,0.0,20.0,25.0,10.0,28.0,0.0,705.0,,10.0,9.0,12.0,19.0,0.0
360506,4,2011-09-10 15:00:00,14,Liverpool,Away,161.0,17.0,1.0,8.0,7.0,2.0,,273.0,1.0,,4.0,7.0,17.0,36.0,426.0,1.0,,40.0,9.0,9.0,18.0,,1.0,,,,,,1.0,,,,19.0,,,,,,,,,2.0,1.0,77.0,48.0,2.0,4.0,,1.0,8.0,1.0,,12.0,20.0,6.0,,7.0,,42.0,53.0,1.0,10.0,5.0,,,101.0,14.0,13.0,,2.0,1.0,,220.0,,,,,,,3.0,,1.0,1.0,7.0,,7.0,6.0,,4.0,132.0,84.0,33.0,2.0,,7.0,11.0,7.0,525.0,1.0,1.0,,91.0,93.0,53.0,1.0,1.0,1.0,,,185.0,180.0,1.0,16.0,22.0,72.6,,,0.0,119.0,,,,2.0,1.0,9.0,1.0,3.0,164.0,408.0,19.0,180.0,42.0,15.0,26.0,7.0,34.0,27.0,1.0,241.0,7.0,402.0,1.0,,25.0,19.0,67.0,1.0,548.0,2.0,0.0,24.0,17.0,4.0,43.0,1.0,761.0,38.0,8.0,14.0,12.0,15.0,0.0
360517,5,2011-09-18 13:30:00,14,Liverpool,Away,175.0,10.0,1.0,3.0,2.0,5.0,1.0,109.0,6.0,1.0,4.0,6.0,13.0,22.0,281.0,,,12.0,10.0,9.0,2.0,,,,1.0,,1.0,,,,,,2.0,,,,,,,,,14.0,12.0,75.0,50.0,,,,1.0,,6.0,,1.0,7.0,,,12.0,3.0,43.0,44.0,1.0,11.0,3.0,2.0,,68.0,9.0,10.0,,2.0,1.0,1.0,138.0,,,,,,,9.0,,1.0,,7.0,,13.0,9.0,2.0,4.0,68.0,74.0,35.0,4.0,,1.0,1.0,1.0,,7.0,2.0,,36.0,37.0,8.0,,,,,,140.0,134.0,1.0,24.0,14.0,37.7,,,0.0,88.0,3.0,2.0,2.0,,,2.0,,3.0,47.0,,2.0,194.0,24.0,17.0,10.0,1.0,9.0,8.0,,101.0,12.0,184.0,1.0,1.0,26.0,13.0,59.0,4.0,369.0,,2.0,3.0,21.0,,14.0,2.0,529.0,,11.0,4.0,1.0,15.0,0.0
360521,6,2011-09-24 15:00:00,14,Liverpool,Home,90.0,13.0,2.0,8.0,6.0,2.0,,175.0,4.0,,8.0,7.0,19.0,27.0,257.0,1.0,2.0,21.0,17.0,17.0,11.0,1.0,,,,,,,,,,,14.0,,,,,,,1.0,,7.0,10.0,56.0,58.0,3.0,3.0,1.0,4.0,3.0,4.0,,7.0,16.0,5.0,,5.0,,51.0,46.0,4.0,18.0,11.0,,1.0,68.0,16.0,7.0,1.0,1.0,,,159.0,1.0,,1.0,1.0,,,10.0,1.0,1.0,,27.0,1.0,10.0,8.0,,8.0,71.0,77.0,37.0,2.0,,6.0,7.0,5.0,,7.0,2.0,,71.0,54.0,18.0,,,,,,190.0,159.0,2.0,34.0,11.0,47.9,1.0,1.0,0.0,66.0,1.0,,,,,8.0,1.0,2.0,111.0,,13.0,120.0,26.0,49.0,16.0,6.0,27.0,21.0,,154.0,6.0,259.0,1.0,,29.0,21.0,54.0,5.0,352.0,4.0,0.0,16.0,15.0,10.0,28.0,3.0,573.0,,11.0,7.0,7.0,15.0,0.0
360532,7,2011-10-01 12:45:00,14,Liverpool,Away,200.0,11.0,3.0,5.0,2.0,3.0,,222.0,7.0,,8.0,7.0,19.0,55.0,417.0,1.0,,22.0,9.0,17.0,6.0,4.0,,,,,1.0,,,,,,8.0,,,,1.0,1.0,1.0,,2.0,3.0,9.0,68.0,45.0,2.0,2.0,2.0,3.0,3.0,8.0,,9.0,11.0,11.0,,6.0,1.0,40.0,53.0,3.0,13.0,9.0,,,76.0,10.0,15.0,2.0,3.0,1.0,1.0,170.0,1.0,,1.0,1.0,,,8.0,2.0,2.0,1.0,16.0,2.0,6.0,5.0,,8.0,133.0,68.0,42.0,5.0,,5.0,6.0,7.0,,3.0,4.0,,73.0,75.0,25.0,,,,,1.0,142.0,133.0,,22.0,13.0,64.0,2.0,1.0,0.0,123.0,1.0,2.0,,1.0,,6.0,,3.0,126.0,,11.0,216.0,32.0,22.0,10.0,9.0,32.0,23.0,,175.0,7.0,310.0,2.0,,18.0,21.0,78.0,1.0,494.0,2.0,0.0,16.0,19.0,2.0,22.0,1.0,676.0,,9.0,2.0,9.0,11.0,0.0
360541,8,2011-10-15 12:45:00,14,Liverpool,Home,155.0,9.0,2.0,4.0,2.0,3.0,,177.0,4.0,1.0,8.0,3.0,14.0,27.0,328.0,,,23.0,9.0,6.0,9.0,1.0,2.0,1.0,,,1.0,,1.0,,,,12.0,,,,,,,,,6.0,5.0,67.0,59.0,2.0,4.0,,1.0,4.0,5.0,,8.0,14.0,8.0,,15.0,,45.0,49.0,1.0,8.0,5.0,,,69.0,10.0,11.0,,4.0,4.0,1.0,170.0,,,,,,,9.0,,1.0,2.0,7.0,,21.0,18.0,,8.0,105.0,82.0,45.0,3.0,1.0,4.0,6.0,5.0,,2.0,4.0,,58.0,79.0,21.0,,,,,,179.0,171.0,4.0,17.0,25.0,55.8,,,0.0,78.0,,1.0,,1.0,2.0,6.0,,1.0,89.0,,10.0,174.0,27.0,16.0,13.0,7.0,33.0,26.0,2.0,139.0,9.0,279.0,1.0,1.0,15.0,14.0,48.0,3.0,420.0,,0.0,15.0,27.0,,26.0,1.0,649.0,,12.0,5.0,8.0,17.0,0.0
360554,9,2011-10-22 17:30:00,14,Liverpool,Home,194.0,16.0,4.0,12.0,8.0,3.0,,221.0,4.0,1.0,10.0,3.0,28.0,31.0,403.0,,1.0,23.0,8.0,10.0,16.0,4.0,2.0,,,,1.0,,,,,,22.0,,,,,1.0,,,2.0,5.0,7.0,68.0,75.0,2.0,2.0,,1.0,8.0,2.0,,10.0,21.0,8.0,,14.0,1.0,41.0,52.0,1.0,13.0,8.0,1.0,,80.0,6.0,8.0,1.0,2.0,,1.0,199.0,,,,,,,7.0,1.0,,,14.0,3.0,15.0,12.0,1.0,10.0,120.0,79.0,50.0,3.0,,10.0,10.0,9.0,,4.0,3.0,,73.0,55.0,29.0,,,,,,180.0,174.0,5.0,33.0,19.0,55.4,1.0,,0.0,110.0,4.0,2.0,,1.0,2.0,12.0,,3.0,138.0,,20.0,220.0,33.0,19.0,26.0,8.0,37.0,29.0,2.0,194.0,6.0,314.0,,1.0,16.0,30.0,51.0,9.0,497.0,,0.0,29.0,19.0,3.0,24.0,0.0,751.0,,14.0,15.0,10.0,14.0,0.0
360567,10,2011-10-29 17:30:00,14,Liverpool,Away,235.0,22.0,3.0,6.0,3.0,1.0,,184.0,4.0,,8.0,4.0,36.0,48.0,413.0,,3.0,23.0,13.0,16.0,12.0,3.0,3.0,,1.0,,1.0,,,,,,11.0,1.0,,,,,,1.0,,3.0,9.0,85.0,66.0,1.0,1.0,2.0,4.0,2.0,2.0,,10.0,10.0,8.0,,10.0,1.0,37.0,49.0,4.0,11.0,3.0,,,75.0,10.0,11.0,1.0,4.0,1.0,1.0,193.0,1.0,,1.0,1.0,,1.0,8.0,1.0,,1.0,11.0,1.0,13.0,9.0,,8.0,120.0,98.0,49.0,3.0,1.0,11.0,5.0,4.0,,6.0,3.0,,66.0,56.0,22.0,,,,,1.0,174.0,157.0,1.0,33.0,16.0,57.7,1.0,1.0,0.0,115.0,,1.0,,2.0,3.0,12.0,,1.0,106.0,,16.0,260.0,47.0,28.0,6.0,8.0,27.0,19.0,4.0,152.0,6.0,280.0,,,20.0,36.0,77.0,8.0,513.0,3.0,0.0,18.0,19.0,4.0,25.0,0.0,721.0,,6.0,3.0,10.0,16.0,0.0
