playerId,playerName,position,team_name,team_id,nationality,season,straightRedCards,totalRedCards,yellowCards,duelsLost,penaltiesSaved,catches,shotsOnTargetIncGoals,savesMadeFromOutsideBox,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,goalKicks,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,penaltiesConceded,groundDuelsWon,successfulShortPasses,savesFromPenalty,totalTouchesInOppositionBox,punches,penaltyGoalsConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,winningGoal,duels,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,gkSuccessfulDistribution,openPlayPasses,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,touches,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,totalTackles,successfulLayoffs,unsuccessfulCrossesOpenPlay,offsides,substituteOn,successfulCrossesAndCorners,aerialDuelsLost,throwInsToOppositionPlayer,tacklesLost,lastPlayerTackle,unsuccessfulCrossesAndCorners,timesTackled,shotsOffTargetIncWoodwork,cornersWon,tacklesWon,blocks,backwardPasses,throwInsToOwnPlayer,substituteOff,blockedShots,overruns,throughBalls,goalAssists,goals,awayGoals,cornersTakenInclShortCorners,unsuccessfulLayoffs,homeGoals,rightFootGoals,unsuccessfulDribbles,headedGoals,otherGoals,handballsConceded,secondGoalAssists,successfulCornersIntoBox,leftFootGoals,attemptsFromSetPieces,unsuccessfulCornersIntoBox,hitWoodwork,clearancesOffTheLine,setPiecesGoals,penaltiesTaken,penaltyGoals
14469,Albert Crusat,Midfielder,Wigan,111,Spain,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
16045,Ben Watson,Midfielder,Wigan,111,England,2012-13,0.0,0.0,1.0,36.0,,,6.0,,13.0,51.0,12.0,7.0,72.0,579.0,,,8.0,1.0,,624.0,28.0,2.0,,25.0,427.0,,5.0,,,,3.0,2.0,12.0,14.0,31.0,204.0,,6.0,2.0,64.0,,150.0,40.0,12.0,,,318.0,12.0,56.0,3.0,,559.0,98.0,2.0,,,177.0,13.0,27.0,80.0,699.0,3.0,190.0,,21.0,12.0,,17.0,13.0,7.0,,5.0,1.0,5.0,,5.0,,11.0,8.0,7.0,4.0,12.0,5.0,48.0,1.0,4.0,1.0,,,,1.0,1.0,3.0,,0.0,,3.0,,,2.0,,1.0,1.0,1.0,2.0,,,,,
61538,Callum McManaman,Midfielder,Wigan,111,England,2012-13,0.0,0.0,0.0,46.0,,,5.0,,10.0,29.0,20.0,8.0,31.0,189.0,,,5.0,,,637.0,49.0,2.0,,48.0,153.0,,41.0,,1.0,,6.0,2.0,9.0,11.0,42.0,29.0,,8.0,2.0,95.0,,46.0,19.0,20.0,,,122.0,9.0,90.0,1.0,,189.0,101.0,18.0,,,53.0,10.0,7.0,5.0,351.0,4.0,38.0,,2.0,10.0,2.0,22.0,8.0,22.0,2.0,12.0,2.0,4.0,1.0,2.0,,23.0,27.0,5.0,8.0,20.0,1.0,61.0,1.0,7.0,4.0,4.0,1.0,,2.0,1.0,1.0,,1.0,1.0,18.0,,,1.0,,,1.0,,1.0,,,,,
92803,Danny Redmond,Midfielder,Wigan,111,England,2012-13,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19556,David Jones,Midfielder,Wigan,111,England,2012-13,0.0,0.0,1.0,34.0,,,3.0,,6.0,46.0,13.0,8.0,54.0,598.0,,,13.0,,,809.0,34.0,6.0,,27.0,511.0,,11.0,,3.0,,5.0,2.0,14.0,21.0,28.0,197.0,,4.0,0.0,68.0,,160.0,41.0,13.0,,,321.0,15.0,55.0,7.0,,581.0,90.0,4.0,,,153.0,10.0,27.0,33.0,728.0,2.0,224.0,,8.0,17.0,,19.0,5.0,2.0,,5.0,1.0,6.0,1.0,5.0,,17.0,11.0,3.0,2.0,14.0,1.0,88.0,5.0,6.0,5.0,,,,,,17.0,,,,2.0,,,1.0,,1.0,,1.0,13.0,,,,,
76227,Fraser Fyvie,Midfielder,Wigan,111,Scotland,2012-13,0.0,0.0,0.0,,,,,,,1.0,1.0,,2.0,20.0,,,,,,21.0,1.0,,,1.0,17.0,,,,,,,,,,,8.0,,,0.0,1.0,,4.0,2.0,1.0,,,12.0,,1.0,,,20.0,2.0,,,,3.0,,1.0,1.0,22.0,,6.0,,1.0,1.0,,1.0,2.0,,,1.0,,,,,,,,,,1.0,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,
50471,James McArthur,Midfielder,Wigan,111,Scotland,2012-13,0.0,0.0,7.0,142.0,,,12.0,,20.0,211.0,34.0,24.0,247.0,1651.0,,,49.0,2.0,,2407.0,153.0,9.0,,130.0,1269.0,,29.0,,5.0,,25.0,7.0,37.0,56.0,116.0,413.0,,26.0,2.0,295.0,,466.0,162.0,34.0,,,790.0,47.0,246.0,23.0,,1625.0,344.0,15.0,,,529.0,32.0,53.0,135.0,2090.0,30.0,615.0,,36.0,70.0,1.0,89.0,31.0,9.0,,10.0,1.0,26.0,1.0,13.0,,9.0,50.0,8.0,6.0,76.0,25.0,243.0,33.0,4.0,8.0,2.0,4.0,2.0,3.0,2.0,3.0,1.0,1.0,2.0,13.0,1.0,,,,,,,,1.0,1.0,,,
50472,James McCarthy,Midfielder,Wigan,111,Ireland,2012-13,0.0,0.0,7.0,152.0,,,9.0,,21.0,224.0,38.0,38.0,278.0,2190.0,,,36.0,5.0,,3374.0,190.0,11.0,1.0,175.0,1734.0,,20.0,,6.0,,34.0,8.0,61.0,72.0,131.0,556.0,,49.0,0.0,342.0,,542.0,195.0,38.0,,,1081.0,61.0,306.0,15.0,,2159.0,385.0,27.0,,,782.0,48.0,76.0,178.0,2729.0,22.0,835.0,,54.0,61.0,4.0,99.0,65.0,15.0,1.0,,4.0,21.0,,25.0,,15.0,45.0,12.0,8.0,74.0,19.0,310.0,5.0,2.0,16.0,7.0,2.0,2.0,3.0,0.0,,1.0,3.0,3.0,19.0,,,3.0,,,,,,,2.0,,,
33298,Jean Beausejour,Midfielder,Wigan,111,Chile,2012-13,0.0,0.0,4.0,133.0,,,4.0,,9.0,256.0,34.0,32.0,301.0,1336.0,,,53.0,3.0,,2786.0,126.0,7.0,1.0,104.0,1009.0,,53.0,,4.0,,58.0,11.0,61.0,58.0,102.0,508.0,,44.0,0.0,259.0,,445.0,146.0,34.0,,,788.0,51.0,206.0,22.0,,1299.0,641.0,17.0,,,54.0,28.0,35.0,26.0,2200.0,42.0,316.0,,45.0,86.0,37.0,43.0,26.0,148.0,15.0,2.0,69.0,31.0,36.0,11.0,,185.0,68.0,5.0,29.0,32.0,3.0,329.0,189.0,8.0,3.0,5.0,3.0,7.0,1.0,0.0,76.0,2.0,1.0,1.0,31.0,,,3.0,1.0,30.0,,1.0,32.0,,,,,
50023,Jordi Gómez,Midfielder,Wigan,111,Spain,2012-13,1.0,1.0,4.0,83.0,,,14.0,,42.0,113.0,32.0,17.0,125.0,880.0,,,28.0,1.0,,1514.0,72.0,5.0,,64.0,712.0,,41.0,,2.0,,38.0,2.0,13.0,31.0,63.0,183.0,,32.0,2.0,155.0,,270.0,68.0,32.0,,,562.0,26.0,127.0,8.0,,859.0,233.0,6.0,,,282.0,17.0,29.0,43.0,1181.0,11.0,202.0,,12.0,19.0,2.0,26.0,54.0,14.0,9.0,15.0,9.0,20.0,,6.0,,32.0,35.0,28.0,13.0,20.0,1.0,145.0,5.0,9.0,17.0,2.0,15.0,1.0,3.0,0.0,22.0,6.0,3.0,1.0,7.0,1.0,,2.0,,6.0,1.0,8.0,10.0,2.0,,,,
50105,Roger Espinoza,Midfielder,Wigan,111,Honduras,2012-13,0.0,0.0,1.0,39.0,,,1.0,,2.0,68.0,12.0,6.0,75.0,358.0,,,26.0,,,605.0,47.0,2.0,,29.0,265.0,,12.0,,,,10.0,,8.0,15.0,31.0,114.0,,7.0,0.0,86.0,,110.0,39.0,12.0,,,187.0,13.0,60.0,18.0,,354.0,128.0,4.0,,,71.0,10.0,25.0,18.0,519.0,2.0,103.0,,7.0,16.0,7.0,18.0,17.0,18.0,,6.0,7.0,8.0,1.0,4.0,,19.0,17.0,1.0,5.0,14.0,3.0,63.0,21.0,2.0,,,4.0,2.0,1.0,0.0,1.0,,1.0,,6.0,,,,1.0,,1.0,,1.0,,,,,
9110,Shaun Maloney,Midfielder,Wigan,111,Scotland,2012-13,0.0,0.0,6.0,195.0,,,27.0,,45.0,151.0,36.0,34.0,161.0,1593.0,,,47.0,4.0,,2945.0,160.0,8.0,,154.0,1385.0,,120.0,,5.0,,58.0,,18.0,60.0,154.0,471.0,,89.0,0.0,355.0,,361.0,125.0,36.0,,,1062.0,52.0,308.0,6.0,,1560.0,405.0,23.0,,,345.0,34.0,40.0,47.0,2196.0,5.0,400.0,,10.0,27.0,10.0,42.0,91.0,37.0,9.0,2.0,30.0,41.0,,7.0,,85.0,101.0,18.0,30.0,35.0,3.0,416.0,26.0,9.0,11.0,8.0,12.0,8.0,6.0,4.0,65.0,6.0,2.0,6.0,38.0,,,4.0,,15.0,,15.0,34.0,2.0,,2.0,1.0,1.0
