season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436870,1,1,Manchester_United,Home,30144,37642,Jonny Evans,jonny-evans,D,True,,,1.0,1.0,3.0,4.0,1.0,1.0,,,,,,,,,2.0,1.0,,,0.00015759,,,1.0,0.0,,,,,,,,9.0,,,,,,,,2.0,,,6.6,,,,,1.0,,,,1.0,,2.0,4.0,6.0,,,0,,8.0,,,,
2024-25,12436870,1,1,Manchester_United,Home,105734,80607,Christian Eriksen,christian-eriksen,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436870,1,1,Manchester_United,Home,122951,61256,Casemiro,casemiro,M,False,1.0,,2.0,24.0,20.0,43.0,2.0,2.0,,7.0,2.0,,,2.0,,,6.0,7.0,,,0.498426,0.1628,,1.0,0.0,,,,,1.0,3.0,,90.0,,1.0,,,,,,14.0,,,8.4,,,3.0,,4.0,1.0,3.0,,2.0,2.0,34.0,22.0,53.0,,,3,4.0,81.0,,1.0,,2.0
2024-25,12436870,1,1,Manchester_United,Home,149380,95658,Harry Maguire,harry-maguire,D,False,,,2.0,15.0,35.0,50.0,1.0,5.0,,5.0,,,,,,,3.0,6.0,,,0.0138249,,,2.0,0.0,,,,,3.0,,,81.0,,1.0,,,,,,11.0,,,7.2,,,,,5.0,2.0,,,5.0,,23.0,37.0,60.0,,,0,,72.0,,,1.0,
2024-25,12436870,1,1,Manchester_United,Home,288205,141746,Bruno Fernandes,bruno-fernandes,M,False,,,4.0,30.0,12.0,42.0,2.0,,,6.0,,2.0,2.0,2.0,,2.0,6.0,3.0,,,0.0330703,1.1926,0.9106,,0.0,,,,,,,,90.0,3.0,,,,,,,20.0,,,6.7,,,1.0,,,1.0,8.0,,6.0,,45.0,13.0,50.0,,,6,2.0,73.0,1.0,,1.0,1.0
2024-25,12436870,1,1,Manchester_United,Home,787498,202641,André Onana,andre-onana,G,False,,2.0,2.0,,16.0,16.0,,,,11.0,,,,,,,,,,,0.00013777,,,,0.0,,0.9171,2.0,,,,,90.0,,,,,,,,7.0,,,7.3,1.0,2.0,,,1.0,,,2.0,9.0,,3.0,20.0,23.0,,,0,,34.0,,,,
2024-25,12436870,1,1,Manchester_United,Home,803031,209365,Matthijs de Ligt,matthijs-de-ligt,D,True,,,,1.0,1.0,2.0,1.0,,,,,,,,,,1.0,,,,0.00016065,,,,0.0,,,,,,,,9.0,,,,,,,,,,,6.5,,,,,,,,,,,1.0,1.0,2.0,,,0,,2.0,,,,
2024-25,12436870,1,1,Manchester_United,Home,814590,176297,Marcus Rashford,marcus-rashford,F,False,,,1.0,18.0,4.0,22.0,,1.0,,4.0,1.0,,,,,1.0,7.0,2.0,,,0.114362,,,1.0,0.0,,,,,1.0,1.0,,90.0,,,,,,,,16.0,,,6.7,,,,,1.0,5.0,1.0,,2.0,1.0,23.0,7.0,29.0,,,0,,44.0,2.0,1.0,,
2024-25,12436870,1,1,Manchester_United,Home,815890,451302,Altay Bayındır,altay-bayindir,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436870,1,1,Manchester_United,Home,836694,184341,Mason Mount,mason-mount,F,False,,,,8.0,3.0,11.0,,1.0,,1.0,,1.0,,,,3.0,6.0,5.0,,,0.0291336,0.2952,0.2957,1.0,0.0,,,,,,2.0,,61.0,1.0,,,,,,,10.0,,,6.4,,,,,,2.0,,,,,12.0,3.0,15.0,,,1,3.0,27.0,1.0,1.0,,1.0
2024-25,12436870,1,1,Manchester_United,Home,843200,216051,Diogo Dalot,diogo-dalot,D,False,,,3.0,25.0,20.0,45.0,2.0,2.0,,6.0,,,,,,,4.0,6.0,,,0.0175676,,,2.0,0.0,,,,,1.0,,,90.0,,1.0,,,,,,11.0,,,7.5,,,,,3.0,1.0,3.0,,4.0,,33.0,22.0,52.0,,,0,2.0,70.0,,1.0,1.0,1.0
2024-25,12436870,1,1,Manchester_United,Home,847030,230001,Noussair Mazraoui,noussair-mazraoui,D,False,,,,21.0,14.0,35.0,1.0,3.0,,5.0,,,,,,,1.0,6.0,,,0.0138315,,,,0.0,,,,,3.0,,,81.0,,,,,,,,4.0,,,7.4,,,,,2.0,,,,,,24.0,14.0,38.0,,,0,2.0,55.0,,1.0,,2.0
2024-25,12436870,1,1,Manchester_United,Home,859999,221820,Lisandro Martínez,lisandro-martinez,D,False,,,4.0,29.0,25.0,54.0,1.0,,,2.0,,,,2.0,,,4.0,3.0,,,0.0221258,,,1.0,0.0,,,,,3.0,1.0,,90.0,,,,,,,,7.0,,,7.3,,,,,2.0,,,,6.0,,33.0,28.0,61.0,,,0,3.0,70.0,,,,2.0
