season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2015-16,6767929,1,1,Manchester_United,Home,326,15208.0,Bastian Schweinsteiger,bastian-schweinsteiger,M,True,,,2.0,13.0,7.0,20.0,2.0,,,,,,1.0,,,,5.0,1.0,,,2.0,,,,,,,,30.0,,,,,,,,6.5,,,,2.0,,,,3.0,,15.0,8.0,23.0,0,1.0,27.0,,,,
2015-16,6767929,1,1,Manchester_United,Home,751,13017.0,Wayne Rooney,wayne-rooney,F,False,,,1.0,20.0,9.0,29.0,1.0,1.0,4.0,,,,,,,3.0,4.0,3.0,,,,,,,,,2.0,,90.0,,1.0,,,,,,7.0,,,2.0,1.0,1.0,1.0,,2.0,1.0,24.0,12.0,35.0,2,1.0,46.0,1.0,,1.0,
2015-16,6767929,1,1,Manchester_United,Home,938,2404.0,Michael Carrick,michael-carrick,M,False,,,3.0,12.0,18.0,30.0,,,3.0,,,,,,,1.0,1.0,3.0,,,,,,,,4.0,1.0,,60.0,,,,,,,,7.1,,,,,,,,3.0,,13.0,18.0,31.0,0,1.0,40.0,1.0,2.0,,
2015-16,6767929,1,1,Manchester_United,Home,10589,18892.0,Ashley Young,ashley-young,D,False,,,3.0,17.0,6.0,23.0,,,8.0,,,,,,,,6.0,3.0,,,1.0,,,,,3.0,1.0,,90.0,1.0,,,,,,,6.5,,,,2.0,5.0,6.0,,6.0,,30.0,7.0,31.0,1,1.0,57.0,1.0,2.0,,
2015-16,6767929,1,1,Manchester_United,Home,11820,20695.0,Antonio Valencia,antonio-valencia,D,True,,,,2.0,1.0,3.0,,1.0,1.0,,,,,,,,,1.0,,,,,,,,,,,9.0,,,,,,,,6.6,,,,1.0,,,,,,2.0,3.0,5.0,0,,9.0,,,,
2015-16,6767929,1,1,Manchester_United,Home,19352,40002.0,Matteo Darmian,matteo-darmian,D,False,1.0,,2.0,19.0,13.0,31.0,,,5.0,,,,,,,1.0,1.0,4.0,,,,,,,,,1.0,,81.0,,,,,,,,7.2,,,,5.0,,2.0,,5.0,,25.0,13.0,36.0,0,3.0,58.0,,1.0,,
2015-16,6767929,1,1,Manchester_United,Home,25566,42899.0,Sergio Romero,sergio-romero,G,False,,2.0,8.0,2.0,17.0,19.0,,,11.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,7.4,3.0,4.0,,2.0,,,2.0,24.0,,14.0,22.0,36.0,0,,48.0,,,,
2015-16,6767929,1,1,Manchester_United,Home,27009,42774.0,Morgan Schneiderlin,morgan-schneiderlin,M,False,,,4.0,17.0,27.0,44.0,,,6.0,,,,1.0,,,1.0,7.0,6.0,,1.0,5.0,,,,,3.0,,,90.0,,,,,,,,6.8,,,,,,,,6.0,,22.0,29.0,51.0,0,4.0,62.0,,2.0,,
2015-16,6767929,1,1,Manchester_United,Home,28367,43670.0,Juan Mata,juan-mata,M,False,,,3.0,22.0,14.0,36.0,1.0,,8.0,,,2.0,1.0,,,2.0,5.0,3.0,,,1.0,,,,,4.0,,,90.0,,,,,,,,7.0,,,1.0,2.0,,,,3.0,,25.0,18.0,43.0,3,,59.0,2.0,3.0,,
2015-16,6767929,1,1,Manchester_United,Home,34312,,Javier Hernández,javier-hernandez,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
