season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2017-18,7437083,1,1,Manchester_United,Home,11820,20695,Antonio Valencia,antonio-valencia,D,False,1.0,,4.0,20.0,19.0,38.0,,1.0,4.0,,,1.0,,,,1.0,6.0,4.0,,,3.0,,,,,2.0,1.0,90.0,,1.0,,,,,,8.0,,7.2,,,,2.0,3.0,2.0,,6.0,,23.0,19.0,40.0,1,2.0,65.0,,,1.0,
2017-18,7437083,1,1,Manchester_United,Home,19352,40002,Matteo Darmian,matteo-darmian,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437083,1,1,Manchester_United,Home,21764,41184,Marouane Fellaini,marouane-fellaini,F,True,,,,6.0,4.0,10.0,1.0,2.0,1.0,,,,1.0,,,,3.0,3.0,,,1.0,,,,,,,14.0,,,,,,,,1.0,,6.5,,,,,,,,,,7.0,4.0,11.0,0,1.0,12.0,,,,
2017-18,7437083,1,1,Manchester_United,Home,25566,42899,Sergio Romero,sergio-romero,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437083,1,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,,,1.0,26.0,9.0,35.0,,1.0,7.0,,,,,,,1.0,2.0,4.0,,,1.0,,,,,2.0,2.0,76.0,,,,,,,,10.0,,7.2,,,,,1.0,3.0,,2.0,,34.0,9.0,40.0,0,2.0,51.0,,,1.0,
2017-18,7437083,1,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,1.0,,2.0,22.0,16.0,37.0,,1.0,6.0,2.0,,,1.0,,,3.0,6.0,5.0,,,1.0,2.0,,,,,5.0,88.0,1.0,,,,,,,12.0,,8.9,,,2.0,,4.0,3.0,,2.0,,27.0,17.0,41.0,3,1.0,60.0,2.0,,3.0,
2017-18,7437083,1,1,Manchester_United,Home,44241,62398,Nemanja Matić,nemanja-matic,M,False,,,3.0,32.0,27.0,59.0,2.0,3.0,9.0,,,1.0,,,,1.0,5.0,12.0,,,2.0,,,,,1.0,,90.0,,,,,,,,13.0,,7.6,,,,,7.0,,,6.0,,40.0,29.0,69.0,1,2.0,88.0,2.0,,7.0,
2017-18,7437083,1,1,Manchester_United,Home,44864,58877,Daley Blind,daley-blind,D,False,3.0,,2.0,21.0,8.0,26.0,1.0,3.0,3.0,,,1.0,,,,,3.0,7.0,,,2.0,,,,,1.0,1.0,90.0,,,,,,,,19.0,,7.7,,,2.0,5.0,1.0,8.0,,5.0,,35.0,9.0,36.0,3,2.0,71.0,1.0,1.0,1.0,
2017-18,7437083,1,1,Manchester_United,Home,47741,55909,Chris Smalling,chris-smalling,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2017-18,7437083,1,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,10.0,8.0,11.0,19.0,,,8.0,,,,,,,,,,,,,,,2.0,,,,90.0,,,,,,,,7.0,,7.0,1.0,1.0,,,,,,17.0,,14.0,12.0,26.0,0,,32.0,,,,
