season,matchId,gameweek,team_id,team,venue,playerId,pl_id,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2016-17,7090255,25,1,Manchester_United,Home,28367,43670,Juan Mata,juan-mata,M,False,1.0,,4.0,19.0,13.0,31.0,,,2.0,1.0,,,1.0,,,,1.0,1.0,,,,,1.0,,,2.0,4.0,,72.0,1.0,,,,,,,,8.0,,8.2,,,,,,3.0,,6.0,1.0,22.0,15.0,34.0,1,1.0,48.0,1.0,,,1.0
2016-17,7090255,25,1,Manchester_United,Home,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,1.0,,1.0,43.0,12.0,54.0,1.0,2.0,10.0,,1.0,,1.0,,,3.0,11.0,8.0,,,2.0,,,,,,4.0,,89.0,3.0,,,,,,,,22.0,,7.2,,,1.0,1.0,7.0,4.0,,2.0,,54.0,12.0,62.0,4,2.0,89.0,3.0,1.0,3.0,1.0
2016-17,7090255,25,1,Manchester_United,Home,44864,58877,Daley Blind,daley-blind,D,False,,,,25.0,16.0,41.0,,,4.0,,,,3.0,,,1.0,4.0,7.0,,,,,,,,3.0,1.0,,90.0,,,,,,,,,12.0,,7.3,,,,3.0,1.0,2.0,,2.0,,30.0,18.0,46.0,0,5.0,70.0,1.0,1.0,1.0,4.0
2016-17,7090255,25,1,Manchester_United,Home,47741,55909,Chris Smalling,chris-smalling,D,False,,,2.0,7.0,31.0,38.0,2.0,3.0,6.0,,,,1.0,,,,5.0,6.0,,,2.0,,,,,1.0,,,90.0,,,,,,,,,2.0,,7.3,,,,10.0,,,,3.0,,9.0,31.0,40.0,0,2.0,55.0,,1.0,,2.0
2016-17,7090255,25,1,Manchester_United,Home,69378,51940,David De Gea,david-de-gea,G,False,,,10.0,6.0,6.0,12.0,,,7.0,,,,,,,,,,,,,,,,,,,,90.0,,,,,,,,,10.0,,7.3,2.0,3.0,,,,,,20.0,,13.0,9.0,22.0,0,,31.0,,,,
2016-17,7090255,25,1,Manchester_United,Home,82474,59846,Ander Herrera,ander-herrera,M,False,,,4.0,44.0,29.0,73.0,,,10.0,,,,1.0,,,1.0,3.0,9.0,,,1.0,,,,,2.0,2.0,,90.0,,1.0,,,,,,,9.0,,8.4,,,1.0,2.0,1.0,,,5.0,,52.0,29.0,81.0,1,7.0,101.0,,1.0,1.0,7.0
2016-17,7090255,25,1,Manchester_United,Home,111802,74208,Paul Pogba,paul-pogba,M,False,,,4.0,47.0,37.0,84.0,,4.0,12.0,,,,1.0,,,,2.0,11.0,,,1.0,,,,,1.0,1.0,,90.0,3.0,,,,,,,,14.0,,8.2,,,,4.0,1.0,,,8.0,,56.0,39.0,95.0,3,3.0,115.0,2.0,3.0,1.0,3.0
2016-17,7090255,25,1,Manchester_United,Home,191176,148225,Anthony Martial,anthony-martial,M,False,,,,18.0,10.0,28.0,1.0,,5.0,1.0,,2.0,,,,1.0,5.0,6.0,,,1.0,1.0,1.0,,,,1.0,,81.0,1.0,,,,,,,,14.0,,8.2,,,1.0,1.0,5.0,2.0,,,1.0,27.0,11.0,36.0,4,1.0,53.0,1.0,2.0,3.0,1.0
2016-17,7090255,25,1,Manchester_United,Home,205508,109322,Jesse Lingard,jesse-lingard,F,True,,,,4.0,2.0,6.0,,,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,2.0,6.0,1,,8.0,,,,
2016-17,7090255,25,1,Manchester_United,Home,606346,197365,Eric Bailly,eric-bailly,D,False,,,3.0,5.0,30.0,35.0,,2.0,9.0,,,,2.0,,,,2.0,11.0,,,,,,,,1.0,,,90.0,,,,,,,,,9.0,,7.7,,,,7.0,2.0,,,7.0,,9.0,35.0,44.0,0,5.0,62.0,,2.0,2.0,5.0
2016-17,7090255,25,1,Manchester_United,Home,814590,176297,Marcus Rashford,marcus-rashford,F,True,,,,4.0,2.0,6.0,,,2.0,,,,,,,,1.0,1.0,,,,,,,,,,,9.0,1.0,,,,,,,,2.0,,6.9,,,,,2.0,,,,,5.0,2.0,7.0,1,,10.0,,,1.0,
2016-17,7374908,26,1,Manchester_United,Away,751,13017,Wayne Rooney,wayne-rooney,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7374908,26,1,Manchester_United,Away,938,2404,Michael Carrick,michael-carrick,M,False,,,1.0,12.0,17.0,29.0,1.0,,5.0,,,,2.0,,,,3.0,2.0,,,,,,,,2.0,,,90.0,,1.0,,,,,,,9.0,,6.8,,,,3.0,1.0,,,3.0,,18.0,20.0,38.0,0,1.0,47.0,,,1.0,
2016-17,7374908,26,1,Manchester_United,Away,10589,18892,Ashley Young,ashley-young,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7374908,26,1,Manchester_United,Away,11820,20695,Antonio Valencia,antonio-valencia,D,False,,,3.0,9.0,9.0,18.0,,1.0,4.0,,,,1.0,,,,2.0,3.0,,,1.0,,,,,2.0,,,90.0,,,,,,,,,14.0,,6.8,,,,2.0,,,,8.0,,15.0,12.0,27.0,0,2.0,48.0,1.0,,,
2016-17,7374908,26,1,Manchester_United,Away,19352,40002,Matteo Darmian,matteo-darmian,D,False,,,,7.0,8.0,15.0,,1.0,,,,,1.0,,,,1.0,6.0,,,,,,,,1.0,,,90.0,,,,,,,,,13.0,,7.2,,,,5.0,,,,2.0,,18.0,9.0,27.0,0,4.0,47.0,,1.0,,2.0
2016-17,7374908,26,1,Manchester_United,Away,21764,41184,Marouane Fellaini,marouane-fellaini,F,False,,,1.0,15.0,11.0,26.0,1.0,2.0,8.0,,,,,,,2.0,6.0,8.0,,,2.0,,,,,,1.0,,84.0,,,,,,,,,12.0,,6.8,,,,1.0,3.0,,,2.0,,21.0,13.0,34.0,0,3.0,47.0,1.0,1.0,2.0,2.0
2016-17,7374908,26,1,Manchester_United,Away,25566,42899,Sergio Romero,sergio-romero,G,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2016-17,7374908,26,1,Manchester_United,Away,37151,57249,Henrikh Mkhitaryan,henrikh-mkhitaryan,M,False,1.0,,2.0,11.0,11.0,21.0,3.0,,4.0,,,,1.0,,,1.0,7.0,6.0,,,,,,,,1.0,,,86.0,1.0,,,,,,,,7.0,,7.0,,,,,5.0,1.0,,2.0,,13.0,11.0,23.0,1,,42.0,2.0,3.0,3.0,
