matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgRight,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsDroppedWinningPos,ptsGainedLosingPos,punches,redCard,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
360478,1,2011-08-13 15:00:00,111,Wigan,Home,115.0,13.0,2.0,7.0,5.0,1.0,,186.0,11.0,,4.0,10.0,13.0,41.0,294.0,,1.0,27.0,12.0,13.0,14.0,1.0,1.0,,,,,,,1.0,,17.0,1.0,,,1.0,,,8.0,5.0,,,50.0,41.0,3.0,3.0,1.0,,5.0,2.0,,7.0,12.0,4.0,,14.0,,49.0,52.0,,23.0,15.0,1.0,1.0,74.0,12.0,8.0,,,3.0,1.0,,126.0,,,,,,,13.0,,,,30.0,1.0,13.0,11.0,3.0,4.0,94.0,71.0,44.0,3.0,1.0,7.0,8.0,7.0,,2.0,2.0,,60.0,44.0,13.0,,,,,1.0,151.0,126.0,5.0,18.0,11.0,49.5,1.0,,,,0.0,93.0,,1.0,,,1.0,8.0,2.0,3.0,96.0,,15.0,136.0,27.0,48.0,25.0,6.0,23.0,17.0,1.0,135.0,6.0,250.0,1.0,,28.0,13.0,68.0,,363.0,,0.0,20.0,16.0,2.0,28.0,2.0,595.0,,12.0,15.0,7.0,14.0,0.0
360487,2,2011-08-20 15:00:00,111,Wigan,Away,100.0,7.0,2.0,3.0,1.0,,,141.0,8.0,,1.0,1.0,20.0,16.0,238.0,,1.0,9.0,4.0,7.0,7.0,2.0,,,,,,,,,,,,1.0,1.0,1.0,,,6.0,7.0,,,44.0,41.0,,1.0,,3.0,1.0,9.0,,7.0,4.0,4.0,,6.0,1.0,41.0,40.0,3.0,19.0,8.0,,,60.0,19.0,8.0,,,,,,123.0,,,,,,,10.0,,,,11.0,2.0,28.0,20.0,6.0,1.0,76.0,59.0,32.0,7.0,,6.0,3.0,3.0,,1.0,3.0,,53.0,27.0,10.0,,,,,1.0,118.0,100.0,,13.0,23.0,36.0,2.0,,,1.0,0.0,62.0,1.0,3.0,,1.0,,6.0,,3.0,79.0,,9.0,116.0,14.0,37.0,8.0,5.0,13.0,8.0,,115.0,3.0,202.0,,,11.0,20.0,32.0,1.0,305.0,,0.0,10.0,20.0,2.0,11.0,3.0,473.0,,6.0,5.0,7.0,13.0,0.0
360498,3,2011-08-27 12:30:00,111,Wigan,Home,167.0,13.0,,2.0,2.0,,,182.0,7.0,,3.0,4.0,20.0,36.0,347.0,,,16.0,10.0,10.0,4.0,,2.0,,1.0,,2.0,,,,,,,,,,,,6.0,13.0,,,70.0,49.0,,,,1.0,5.0,5.0,,8.0,7.0,8.0,,13.0,3.0,46.0,50.0,1.0,16.0,5.0,,1.0,61.0,14.0,8.0,2.0,,,,2.0,132.0,1.0,,,1.0,,,9.0,,1.0,,11.0,,17.0,13.0,1.0,3.0,113.0,72.0,44.0,7.0,,,5.0,5.0,,5.0,1.0,,51.0,54.0,20.0,,,,,,140.0,131.0,1.0,21.0,21.0,55.2,,,,,0.0,113.0,1.0,3.0,,,2.0,2.0,,3.0,92.0,,5.0,187.0,28.0,25.0,15.0,4.0,19.0,15.0,,139.0,,260.0,1.0,,15.0,20.0,62.0,1.0,428.0,,0.0,12.0,20.0,2.0,19.0,2.0,619.0,,9.0,11.0,8.0,17.0,0.0
360503,4,2011-09-10 15:00:00,111,Wigan,Away,166.0,11.0,,5.0,5.0,2.0,1.0,168.0,8.0,1.0,5.0,1.0,9.0,31.0,329.0,,2.0,17.0,5.0,3.0,7.0,1.0,,,,,,,,,,10.0,,,,,,1.0,18.0,8.0,,,59.0,45.0,2.0,3.0,,2.0,4.0,16.0,,3.0,6.0,5.0,,6.0,4.0,49.0,33.0,2.0,3.0,,,,61.0,9.0,6.0,,,2.0,1.0,,137.0,,,,,,,13.0,,1.0,,1.0,,13.0,11.0,4.0,6.0,96.0,81.0,52.0,8.0,,3.0,5.0,3.0,,4.0,4.0,,45.0,53.0,12.0,,1.0,1.0,1.0,,122.0,116.0,2.0,14.0,17.0,42.1,,,,,0.0,106.0,3.0,1.0,,1.0,,4.0,,3.0,62.0,,8.0,179.0,26.0,9.0,19.0,1.0,13.0,12.0,,96.0,6.0,232.0,1.0,1.0,9.0,10.0,50.0,,398.0,,0.0,11.0,18.0,3.0,18.0,0.0,557.0,,9.0,6.0,3.0,17.0,0.0
360512,5,2011-09-17 15:00:00,111,Wigan,Away,183.0,16.0,3.0,3.0,1.0,2.0,,168.0,4.0,,6.0,6.0,14.0,46.0,348.0,,1.0,16.0,14.0,9.0,4.0,1.0,2.0,,1.0,,1.0,,,,,7.0,,,1.0,,,,12.0,7.0,,,68.0,39.0,,1.0,,,3.0,4.0,,9.0,3.0,5.0,,10.0,1.0,43.0,54.0,,9.0,2.0,,,79.0,8.0,13.0,1.0,,3.0,,1.0,153.0,,,,,,,9.0,,2.0,,4.0,1.0,9.0,8.0,2.0,6.0,107.0,81.0,41.0,4.0,,3.0,2.0,1.0,,5.0,2.0,,71.0,42.0,19.0,,,,,,154.0,140.0,,19.0,11.0,52.8,1.0,,,,0.0,110.0,1.0,1.0,,,2.0,6.0,1.0,2.0,84.0,,5.0,205.0,42.0,23.0,17.0,7.0,14.0,8.0,2.0,131.0,8.0,247.0,2.0,,15.0,14.0,81.0,2.0,438.0,,0.0,10.0,22.0,3.0,18.0,1.0,612.0,,11.0,10.0,9.0,16.0,0.0
360528,6,2011-09-24 15:00:00,111,Wigan,Home,141.0,12.0,1.0,1.0,,2.0,,119.0,3.0,1.0,9.0,5.0,9.0,34.0,259.0,,,16.0,10.0,5.0,4.0,,1.0,,,,,,1.0,,,4.0,,,,,,1.0,13.0,3.0,,,52.0,44.0,,,,3.0,1.0,10.0,,1.0,3.0,5.0,,10.0,4.0,50.0,46.0,3.0,11.0,2.0,2.0,,67.0,13.0,6.0,,1.0,3.0,1.0,,133.0,1.0,,,1.0,,,6.0,1.0,,,2.0,,16.0,11.0,1.0,9.0,76.0,72.0,33.0,9.0,1.0,1.0,4.0,3.0,,4.0,2.0,,42.0,36.0,21.0,,,,,,129.0,123.0,1.0,21.0,15.0,36.1,,,,,0.0,81.0,2.0,2.0,1.0,,1.0,1.0,,3.0,49.0,,5.0,164.0,39.0,17.0,17.0,1.0,10.0,9.0,1.0,92.0,3.0,188.0,,1.0,11.0,10.0,60.0,1.0,342.0,,1.0,5.0,25.0,,17.0,2.0,499.0,,6.0,10.0,1.0,16.0,0.0
360529,7,2011-10-01 15:00:00,111,Wigan,Away,163.0,23.0,1.0,3.0,2.0,2.0,,208.0,7.0,,4.0,1.0,12.0,42.0,368.0,,,24.0,10.0,12.0,12.0,2.0,1.0,,,,,,,,,12.0,,,,,,1.0,7.0,9.0,,,69.0,37.0,,,,,5.0,4.0,,10.0,9.0,9.0,,7.0,,50.0,46.0,,8.0,2.0,,,64.0,7.0,11.0,,,1.0,1.0,,133.0,,,,,,,10.0,,,1.0,4.0,,3.0,3.0,1.0,4.0,129.0,77.0,51.0,5.0,,6.0,8.0,4.0,,4.0,1.0,,99.0,47.0,17.0,,,,,,152.0,139.0,1.0,18.0,10.0,61.2,,,,,0.0,105.0,2.0,2.0,,1.0,1.0,6.0,,3.0,89.0,,14.0,185.0,41.0,21.0,35.0,6.0,25.0,19.0,1.0,118.0,4.0,276.0,,,3.0,12.0,60.0,1.0,436.0,,0.0,15.0,11.0,,30.0,1.0,627.0,,8.0,12.0,10.0,9.0,0.0
360548,8,2011-10-15 15:00:00,111,Wigan,Home,161.0,25.0,2.0,3.0,1.0,2.0,,197.0,4.0,,3.0,3.0,15.0,47.0,355.0,,1.0,31.0,15.0,13.0,8.0,1.0,,,1.0,,2.0,1.0,,,,11.0,,,,,,,10.0,7.0,,,65.0,54.0,,,,3.0,7.0,11.0,,5.0,5.0,2.0,,16.0,2.0,75.0,63.0,3.0,6.0,,2.0,,77.0,17.0,15.0,,,7.0,2.0,2.0,168.0,,,,,,,6.0,1.0,,1.0,3.0,,10.0,9.0,1.0,3.0,97.0,94.0,58.0,4.0,1.0,3.0,6.0,2.0,,4.0,3.0,1.0,66.0,55.0,19.0,,1.0,1.0,1.0,,173.0,165.0,1.0,25.0,18.0,54.1,,,,,0.0,116.0,3.0,4.0,,2.0,,7.0,1.0,3.0,90.0,,9.0,179.0,50.0,14.0,30.0,5.0,14.0,9.0,,139.0,8.0,281.0,,,13.0,16.0,75.0,5.0,446.0,,0.0,16.0,22.0,1.0,35.0,4.0,669.0,,16.0,13.0,5.0,16.0,0.0
360556,9,2011-10-22 15:00:00,111,Wigan,Away,129.0,16.0,,4.0,4.0,4.0,1.0,167.0,7.0,,3.0,5.0,10.0,29.0,292.0,,1.0,15.0,10.0,18.0,10.0,1.0,2.0,,,,,,1.0,,,12.0,,,,,,2.0,7.0,5.0,,,59.0,46.0,,,,4.0,3.0,9.0,,3.0,13.0,6.0,,8.0,2.0,54.0,60.0,4.0,10.0,6.0,,,71.0,22.0,7.0,,,2.0,2.0,,165.0,,,,,,,11.0,,3.0,,13.0,,13.0,12.0,,3.0,82.0,88.0,49.0,7.0,,7.0,4.0,2.0,,5.0,4.0,,33.0,72.0,20.0,,,,,,159.0,146.0,1.0,22.0,18.0,46.2,,,,,0.0,67.0,3.0,,,,2.0,9.0,,2.0,79.0,,11.0,153.0,35.0,23.0,12.0,3.0,24.0,21.0,2.0,117.0,6.0,244.0,3.0,,14.0,12.0,54.0,3.0,373.0,,0.0,14.0,28.0,2.0,19.0,2.0,571.0,,17.0,7.0,3.0,22.0,0.0
360568,10,2011-10-29 15:00:00,111,Wigan,Home,179.0,18.0,3.0,11.0,8.0,4.0,,235.0,4.0,1.0,3.0,3.0,12.0,43.0,403.0,,,14.0,8.0,6.0,12.0,3.0,,,1.0,1.0,3.0,,,,,12.0,,,,1.0,1.0,1.0,4.0,2.0,,,59.0,58.0,1.0,1.0,,2.0,3.0,6.0,,9.0,19.0,10.0,,8.0,,50.0,41.0,2.0,4.0,,,,74.0,18.0,13.0,,,5.0,1.0,3.0,165.0,,,,,,,4.0,,1.0,1.0,1.0,2.0,9.0,8.0,1.0,3.0,132.0,76.0,49.0,,,10.0,5.0,6.0,,1.0,5.0,,80.0,69.0,17.0,,,,,,158.0,151.0,3.0,23.0,26.0,54.1,2.0,,,,0.0,135.0,1.0,,,1.0,,11.0,,3.0,90.0,,15.0,201.0,42.0,11.0,20.0,7.0,37.0,30.0,,136.0,8.0,327.0,1.0,1.0,9.0,13.0,64.0,3.0,491.0,,0.0,20.0,13.0,1.0,16.0,2.0,668.0,,8.0,9.0,9.0,11.0,0.0
