matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attendance,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsAgainst,goalsFor,goalsOpenplay,goodHighClaim,ground,halfTimeAgainst,halfTimeFor,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,opponent,opponent_id,outfielderBlock,overrun,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,redCardsAgainst,redCardsFor,result,rightsidePass,savedIbox,savedObox,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
321659,1.0,2010-08-14 15:00:00,111,Wigan,Home,158.0,17.0,2.0,4.0,2.0,2.0,,179.0,5.0,,6.0,4.0,18.0,31.0,333.0,,4.0,31.0,10.0,13.0,7.0,3.0,,,,,1.0,,,,,7.0,,,1.0,,,,8.0,2.0,,50.0,61.0,,,,1.0,2.0,6.0,,6.0,14.0,7.0,,14.0,2.0,41.0,63.0,1.0,9.0,3.0,2.0,,74.0,8.0,12.0,,,7.0,5.0,1.0,144.0,,,,,,6.0,,,,2.0,,,,,7.0,1.0,15.0,10.0,1.0,6.0,99.0,81.0,45.0,4.0,,4.0,6.0,5.0,,,1.0,,54.0,52.0,27.0,,,,,,164.0,158.0,2.0,27.0,25.0,56.4,1.0,,0.0,,,,135.0,2.0,,,,,4.0,,3.0,83.0,10.0,175.0,44.0,15.0,15.0,4.0,30.0,26.0,,144.0,8.0,283.0,2.0,,18.0,20.0,68.0,3.0,428.0,1.0,0.0,11.0,26.0,8.0,31.0,1.0,630.0,16.0,12.0,6.0,18.0,0.0
321676,2.0,2010-08-21 17:15:00,111,Wigan,Home,174.0,29.0,,2.0,2.0,4.0,,198.0,3.0,2.0,3.0,3.0,16.0,34.0,370.0,,,20.0,8.0,7.0,11.0,,,,,1.0,1.0,,,1.0,,14.0,,,,,,,9.0,2.0,,60.0,67.0,1.0,1.0,,2.0,6.0,9.0,,,7.0,9.0,,17.0,2.0,64.0,44.0,2.0,9.0,2.0,,,75.0,12.0,8.0,,,3.0,1.0,1.0,141.0,,,,,,6.0,,,,,,,,,4.0,1.0,25.0,20.0,3.0,3.0,130.0,64.0,36.0,,,4.0,7.0,5.0,,,1.0,3.0,67.0,69.0,22.0,,,,,,162.0,155.0,4.0,26.0,28.0,51.2,,,0.0,,,,122.0,2.0,,,,,4.0,,3.0,98.0,11.0,195.0,51.0,16.0,28.0,,17.0,17.0,,147.0,9.0,275.0,,2.0,11.0,18.0,58.0,2.0,453.0,,0.0,15.0,19.0,,22.0,1.0,659.0,12.0,10.0,,12.0,0.0
321685,3.0,2010-08-28 15:00:00,111,Wigan,Away,97.0,11.0,2.0,5.0,3.0,2.0,,115.0,2.0,1.0,2.0,1.0,6.0,10.0,207.0,,,12.0,18.0,9.0,8.0,1.0,1.0,,,,2.0,1.0,,,,12.0,,,1.0,,,,7.0,8.0,,43.0,58.0,2.0,2.0,,12.0,6.0,7.0,,7.0,4.0,4.0,,6.0,3.0,52.0,46.0,11.0,27.0,14.0,,,65.0,11.0,10.0,1.0,,4.0,,2.0,132.0,1.0,,1.0,,,14.0,,,1.0,3.0,,,,,29.0,1.0,21.0,20.0,1.0,3.0,68.0,71.0,21.0,16.0,,6.0,4.0,3.0,,,6.0,1.0,23.0,58.0,13.0,,,,,,173.0,150.0,3.0,21.0,24.0,36.6,1.0,2.0,0.0,,,,61.0,2.0,1.0,,1.0,1.0,8.0,,2.0,54.0,10.0,124.0,30.0,49.0,14.0,3.0,11.0,8.0,1.0,107.0,6.0,191.0,4.0,1.0,22.0,9.0,46.0,1.0,304.0,1.0,0.0,17.0,23.0,5.0,16.0,2.0,526.0,12.0,4.0,7.0,18.0,0.0
321696,4.0,2010-09-11 15:00:00,111,Wigan,Home,163.0,27.0,,3.0,3.0,1.0,,241.0,4.0,,6.0,4.0,7.0,38.0,401.0,,2.0,13.0,13.0,16.0,14.0,,1.0,,2.0,,2.0,1.0,,1.0,,15.0,,,,,,2.0,4.0,2.0,,37.0,66.0,1.0,1.0,,,4.0,4.0,,5.0,14.0,7.0,1.0,12.0,,57.0,54.0,,11.0,5.0,,,69.0,20.0,11.0,,,3.0,2.0,2.0,159.0,1.0,,,1.0,,5.0,,,,2.0,,,,2.0,10.0,,16.0,13.0,,6.0,143.0,92.0,55.0,1.0,,9.0,6.0,3.0,,,3.0,2.0,78.0,72.0,15.0,,,,,,173.0,163.0,1.0,23.0,34.0,64.0,,,0.0,,,,156.0,,,,,1.0,12.0,,3.0,118.0,15.0,187.0,43.0,21.0,21.0,4.0,27.0,23.0,1.0,153.0,3.0,335.0,2.0,,17.0,7.0,61.0,5.0,495.0,,0.0,19.0,16.0,4.0,18.0,4.0,685.0,10.0,11.0,5.0,13.0,0.0
321706,5.0,2010-09-19 15:00:00,111,Wigan,Home,165.0,13.0,,3.0,3.0,2.0,,156.0,5.0,1.0,9.0,5.0,16.0,29.0,318.0,,,18.0,8.0,10.0,7.0,,,,,,1.0,,,,,5.0,,,,,,1.0,5.0,5.0,,55.0,43.0,1.0,1.0,,,3.0,6.0,,3.0,5.0,7.0,,10.0,1.0,44.0,52.0,,8.0,4.0,1.0,1.0,59.0,10.0,15.0,,,6.0,3.0,1.0,133.0,,,,,,8.0,,,,,,,,,10.0,,29.0,20.0,1.0,9.0,98.0,76.0,45.0,1.0,,5.0,2.0,,,,1.0,1.0,62.0,54.0,14.0,,,,,,149.0,141.0,2.0,16.0,15.0,46.0,,,0.0,,,,115.0,1.0,,,,,6.0,,3.0,72.0,7.0,185.0,26.0,16.0,17.0,1.0,16.0,15.0,,110.0,8.0,232.0,,1.0,20.0,17.0,50.0,1.0,401.0,,0.0,9.0,20.0,1.0,23.0,1.0,589.0,15.0,7.0,3.0,10.0,0.0
321708,6.0,2010-09-25 15:00:00,111,Wigan,Away,106.0,14.0,,1.0,1.0,1.0,,152.0,3.0,1.0,1.0,5.0,7.0,20.0,257.0,,2.0,10.0,20.0,10.0,12.0,,,,1.0,1.0,3.0,,,,,12.0,,,,,,,6.0,5.0,,50.0,66.0,1.0,1.0,,3.0,8.0,4.0,,7.0,11.0,3.0,,29.0,1.0,81.0,48.0,3.0,22.0,11.0,,,77.0,18.0,12.0,,,5.0,1.0,3.0,146.0,,,,,,9.0,,,,4.0,,,,,22.0,,19.0,17.0,1.0,2.0,70.0,82.0,35.0,4.0,,2.0,10.0,5.0,,,2.0,1.0,49.0,45.0,15.0,,,,,,190.0,167.0,7.0,23.0,24.0,43.9,,,0.0,,,,76.0,1.0,2.0,,,,3.0,,3.0,86.0,12.0,126.0,26.0,45.0,17.0,4.0,19.0,15.0,,125.0,3.0,235.0,4.0,1.0,35.0,8.0,58.0,3.0,342.0,,0.0,16.0,18.0,2.0,11.0,3.0,575.0,13.0,7.0,7.0,13.0,0.0
321726,7.0,2010-10-02 12:45:00,111,Wigan,Home,171.0,17.0,,2.0,2.0,3.0,,294.0,3.0,,7.0,2.0,18.0,42.0,463.0,,,22.0,3.0,10.0,19.0,,,1.0,,,2.0,,,,,24.0,,,,,,,2.0,1.0,,61.0,60.0,2.0,2.0,,2.0,9.0,1.0,,3.0,7.0,5.0,,16.0,,35.0,55.0,2.0,15.0,9.0,,,77.0,9.0,14.0,1.0,,2.0,,2.0,168.0,,,,,,3.0,,,1.0,,,,,,12.0,,19.0,14.0,,7.0,152.0,59.0,39.0,3.0,1.0,6.0,13.0,10.0,,,1.0,3.0,52.0,103.0,21.0,,,,,,141.0,133.0,3.0,23.0,26.0,60.9,,,0.0,,,,155.0,,,,1.0,,7.0,,3.0,159.0,19.0,186.0,31.0,23.0,16.0,2.0,14.0,12.0,,206.0,4.0,364.0,,,10.0,19.0,58.0,3.0,536.0,,0.0,26.0,21.0,4.0,27.0,1.0,740.0,15.0,10.0,3.0,16.0,0.0
321735,8.0,2010-10-16 15:00:00,111,Wigan,Away,158.0,19.0,,2.0,2.0,4.0,,111.0,1.0,,2.0,3.0,11.0,25.0,267.0,,2.0,12.0,10.0,4.0,3.0,,1.0,,1.0,,1.0,,,,,5.0,,,,,,1.0,9.0,5.0,,59.0,61.0,,,,2.0,,6.0,1.0,3.0,6.0,2.0,,13.0,1.0,55.0,61.0,2.0,22.0,7.0,,,60.0,17.0,15.0,,,2.0,,1.0,139.0,1.0,,1.0,,,13.0,,,2.0,2.0,,,,1.0,10.0,,15.0,11.0,1.0,2.0,70.0,100.0,47.0,6.0,2.0,2.0,2.0,3.0,,,4.0,2.0,42.0,45.0,12.0,,,,,,152.0,144.0,2.0,39.0,12.0,42.5,,1.0,0.0,,,,73.0,2.0,,,2.0,1.0,5.0,,3.0,46.0,4.0,174.0,34.0,30.0,17.0,2.0,10.0,8.0,1.0,79.0,6.0,177.0,2.0,,16.0,12.0,54.0,6.0,341.0,,0.0,8.0,35.0,3.0,19.0,1.0,542.0,12.0,7.0,3.0,22.0,0.0
321746,9.0,2010-10-23 15:00:00,111,Wigan,Home,136.0,9.0,2.0,4.0,2.0,,,121.0,3.0,2.0,4.0,10.0,12.0,21.0,253.0,,2.0,26.0,25.0,18.0,9.0,3.0,3.0,,,,,,,1.0,,13.0,,,,,,,7.0,4.0,,40.0,60.0,2.0,3.0,1.0,,4.0,9.0,,6.0,4.0,2.0,,12.0,,80.0,75.0,,11.0,2.0,,,80.0,8.0,14.0,1.0,,3.0,3.0,,190.0,1.0,1.0,1.0,,1.0,13.0,,,1.0,1.0,,,,,6.0,,27.0,20.0,3.0,5.0,74.0,113.0,42.0,,,5.0,8.0,6.0,,,3.0,2.0,55.0,40.0,17.0,,,,,,212.0,200.0,,30.0,15.0,50.8,,,0.0,,,,68.0,1.0,,,1.0,3.0,7.0,,3.0,53.0,13.0,169.0,32.0,23.0,40.0,3.0,12.0,9.0,4.0,108.0,7.0,215.0,1.0,2.0,29.0,12.0,57.0,1.0,372.0,,0.0,17.0,29.0,6.0,35.0,0.0,622.0,12.0,14.0,5.0,21.0,0.0
321753,10.0,2010-10-30 15:00:00,111,Wigan,Away,161.0,13.0,,2.0,2.0,6.0,,118.0,5.0,2.0,5.0,4.0,13.0,24.0,277.0,1.0,,16.0,16.0,20.0,8.0,,1.0,,1.0,,1.0,,,,,7.0,,,,,,,10.0,6.0,,62.0,69.0,,,,1.0,1.0,10.0,,1.0,4.0,2.0,,21.0,1.0,71.0,69.0,1.0,17.0,6.0,,,78.0,13.0,8.0,,,1.0,,1.0,167.0,,,,,,12.0,,,,,,,,1.0,10.0,,20.0,16.0,2.0,5.0,87.0,102.0,43.0,7.0,,4.0,4.0,3.0,,,5.0,4.0,49.0,37.0,6.0,,,,,,195.0,178.0,,35.0,21.0,40.9,,,0.0,,,,72.0,1.0,2.0,,1.0,1.0,5.0,,2.0,67.0,8.0,199.0,37.0,34.0,26.0,1.0,7.0,6.0,1.0,117.0,17.0,196.0,1.0,2.0,19.0,13.0,62.0,2.0,388.0,1.0,0.0,9.0,27.0,,20.0,0.0,617.0,12.0,14.0,1.0,15.0,0.0
321759,11.0,2010-11-06 15:00:00,111,Wigan,Away,124.0,10.0,1.0,3.0,2.0,5.0,,230.0,7.0,2.0,1.0,6.0,22.0,34.0,351.0,,3.0,22.0,13.0,19.0,11.0,1.0,1.0,1.0,,,3.0,,,,1.0,13.0,,,,,,1.0,5.0,5.0,,71.0,61.0,,,,1.0,6.0,4.0,,6.0,5.0,7.0,,13.0,1.0,55.0,72.0,1.0,14.0,7.0,,,99.0,15.0,16.0,,,7.0,3.0,3.0,206.0,,,,,,10.0,,,,4.0,,,,,13.0,,18.0,13.0,1.0,2.0,100.0,99.0,45.0,3.0,1.0,6.0,6.0,5.0,,,,2.0,85.0,64.0,21.0,,,,,,199.0,188.0,7.0,25.0,21.0,64.2,,2.0,0.0,,,,97.0,1.0,1.0,,2.0,1.0,7.0,,2.0,112.0,12.0,155.0,30.0,25.0,21.0,4.0,19.0,15.0,1.0,176.0,11.0,338.0,4.0,2.0,25.0,25.0,62.0,1.0,474.0,,0.0,18.0,25.0,5.0,27.0,2.0,689.0,14.0,11.0,6.0,20.0,0.0
321770,12.0,2010-11-10 19:45:00,111,Wigan,Home,180.0,20.0,1.0,2.0,1.0,,,248.0,5.0,1.0,4.0,1.0,15.0,49.0,426.0,1.0,2.0,22.0,8.0,14.0,8.0,1.0,,,,,1.0,,,,,10.0,,,,,,,6.0,4.0,,78.0,82.0,,,,1.0,5.0,10.0,,5.0,13.0,5.0,,24.0,1.0,66.0,65.0,1.0,6.0,5.0,,,100.0,10.0,10.0,1.0,,3.0,1.0,1.0,176.0,,,,,,6.0,,,1.0,,,,,2.0,10.0,,29.0,23.0,1.0,4.0,125.0,92.0,50.0,4.0,,1.0,8.0,6.0,,,2.0,,73.0,87.0,21.0,,,,,,182.0,172.0,5.0,32.0,38.0,53.3,,,0.0,,,,138.0,,1.0,,1.0,,2.0,,2.0,117.0,9.0,193.0,44.0,16.0,29.0,4.0,23.0,19.0,,168.0,2.0,347.0,,1.0,16.0,17.0,78.0,2.0,517.0,2.0,0.0,13.0,28.0,3.0,27.0,0.0,742.0,12.0,13.0,5.0,19.0,0.0
