matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickPost,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOneOnOne,attOpenplay,attPenGoal,attPostHigh,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,backwardPass,ballRecovery,bigChanceCreated,bigChanceMissed,bigChanceScored,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,contentiousDecision,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,fwdPass,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,leftsidePass,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,overrun,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,punches,redCard,rightsidePass,savedIbox,savedObox,saves,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,unsuccessfulTouch,wonContest,wonCorners,wonTackle,yellowCard
442008,1,2012-08-19 13:30:00,111,Wigan,Home,175.0,23.0,3.0,7.0,4.0,,,234.0,4.0,,8.0,4.0,13.0,40.0,402.0,,1.0,19.0,9.0,10.0,8.0,3.0,,1.0,,,,2.0,2.0,,,,,1.0,1.0,9.0,,,,,5.0,1.0,,,83.0,40.0,2.0,3.0,,,1.0,9.0,1.0,,7.0,20.0,6.0,,9.0,1.0,51.0,48.0,,4.0,3.0,,,69.0,17.0,11.0,,,4.0,2.0,2.0,126.0,,,,,,,6.0,,,1.0,4.0,,14.0,11.0,,8.0,133.0,56.0,42.0,1.0,,9.0,2.0,4.0,,1.0,4.0,,98.0,67.0,18.0,1.0,1.0,1.0,,,132.0,130.0,1.0,17.0,15.0,52.0,,,0.0,131.0,2.0,,,,1.0,10.0,1.0,3.0,113.0,,11.0,192.0,40.0,6.0,12.0,6.0,34.0,28.0,2.0,157.0,2.0,315.0,,1.0,7.0,13.0,59.0,,473.0,,0.0,15.0,23.0,3.0,20.0,2.0,643.0,,8.0,4.0,7.0,20.0,0.0
442014,2,2012-08-25 15:00:00,111,Wigan,Away,213.0,22.0,,4.0,4.0,2.0,,205.0,8.0,,2.0,4.0,22.0,42.0,414.0,,3.0,11.0,11.0,10.0,11.0,,,,,,,,,,,,,,1.0,8.0,,,,3.0,10.0,6.0,,,85.0,32.0,1.0,1.0,1.0,3.0,5.0,4.0,,1.0,3.0,9.0,5.0,,7.0,5.0,36.0,53.0,3.0,14.0,7.0,,1.0,65.0,9.0,10.0,2.0,,,,,135.0,1.0,,1.0,1.0,,,11.0,1.0,1.0,,12.0,,13.0,10.0,2.0,2.0,129.0,81.0,50.0,10.0,,4.0,8.0,4.0,,4.0,,,83.0,41.0,13.0,,,,,,134.0,120.0,1.0,15.0,12.0,50.8,,2.0,0.0,135.0,3.0,3.0,,,,4.0,,3.0,78.0,,12.0,231.0,33.0,28.0,11.0,1.0,15.0,14.0,,107.0,7.0,268.0,1.0,,11.0,23.0,61.0,2.0,484.0,,0.0,13.0,27.0,3.0,18.0,0.0,668.0,,15.0,6.0,3.0,24.0,0.0
442028,3,2012-09-01 15:00:00,111,Wigan,Home,206.0,26.0,1.0,4.0,3.0,5.0,,251.0,6.0,,5.0,2.0,26.0,38.0,453.0,,1.0,27.0,21.0,15.0,8.0,,,1.0,,,,,,,,,,,,11.0,1.0,,,,12.0,7.0,,,96.0,34.0,,,1.0,3.0,5.0,1.0,,,2.0,11.0,2.0,,15.0,,55.0,45.0,3.0,15.0,10.0,,,61.0,15.0,10.0,1.0,,1.0,,,167.0,1.0,,1.0,1.0,,1.0,9.0,1.0,1.0,2.0,12.0,,8.0,5.0,1.0,8.0,142.0,78.0,57.0,1.0,1.0,3.0,6.0,3.0,,4.0,1.0,,109.0,43.0,14.0,1.0,1.0,1.0,,1.0,148.0,139.0,1.0,19.0,9.0,68.7,,,0.0,135.0,3.0,2.0,,,1.0,5.0,1.0,3.0,110.0,,9.0,238.0,39.0,24.0,12.0,2.0,15.0,13.0,2.0,146.0,5.0,317.0,1.0,,17.0,29.0,56.0,1.0,540.0,,0.0,13.0,13.0,1.0,31.0,1.0,715.0,,9.0,7.0,2.0,12.0,0.0
442033,4,2012-09-15 15:00:00,111,Wigan,Away,143.0,19.0,1.0,3.0,2.0,5.0,1.0,183.0,13.0,1.0,4.0,4.0,17.0,36.0,323.0,,,12.0,3.0,6.0,5.0,1.0,,1.0,,,,,,,,,,,,5.0,,,,1.0,14.0,6.0,,,49.0,22.0,,,,3.0,2.0,9.0,,2.0,5.0,9.0,3.0,,15.0,1.0,46.0,44.0,3.0,16.0,7.0,4.0,1.0,56.0,14.0,10.0,,,3.0,3.0,,102.0,,,,,,,18.0,,,,12.0,,9.0,3.0,3.0,4.0,125.0,59.0,38.0,5.0,,3.0,3.0,1.0,,5.0,1.0,,69.0,43.0,13.0,,1.0,1.0,1.0,,129.0,120.0,,13.0,5.0,47.8,,,0.0,112.0,1.0,,,1.0,1.0,4.0,,2.0,61.0,,6.0,158.0,38.0,25.0,14.0,3.0,18.0,15.0,1.0,96.0,7.0,248.0,,1.0,9.0,18.0,51.0,,388.0,,0.0,7.0,19.0,,14.0,2.0,562.0,,12.0,9.0,5.0,17.0,0.0
442048,5,2012-09-22 15:00:00,111,Wigan,Home,179.0,17.0,,8.0,8.0,3.0,2.0,314.0,4.0,,3.0,2.0,28.0,43.0,485.0,,,18.0,20.0,15.0,10.0,2.0,,1.0,,1.0,,,1.0,,,,,,1.0,14.0,,1.0,,2.0,9.0,3.0,,,82.0,35.0,2.0,3.0,,1.0,5.0,4.0,,,8.0,18.0,6.0,,5.0,4.0,40.0,51.0,1.0,10.0,5.0,,1.0,75.0,7.0,13.0,1.0,,3.0,2.0,1.0,161.0,,,,,,,5.0,,,,9.0,2.0,12.0,7.0,,3.0,162.0,74.0,48.0,7.0,,6.0,6.0,5.0,,1.0,2.0,,103.0,79.0,27.0,,,,,,151.0,144.0,,20.0,12.0,63.6,1.0,1.0,0.0,176.0,3.0,2.0,,,1.0,9.0,,3.0,136.0,,12.0,197.0,37.0,17.0,11.0,8.0,34.0,26.0,1.0,184.0,5.0,418.0,,,9.0,30.0,66.0,4.0,581.0,1.0,0.0,19.0,16.0,1.0,19.0,0.0,750.0,,5.0,7.0,9.0,13.0,0.0
442058,6,2012-09-29 15:00:00,111,Wigan,Away,160.0,19.0,,2.0,2.0,2.0,,165.0,7.0,1.0,3.0,8.0,14.0,33.0,323.0,,,11.0,8.0,9.0,5.0,2.0,,,,,,,,,1.0,,,,,5.0,,,,3.0,4.0,6.0,,,70.0,44.0,1.0,2.0,,4.0,2.0,10.0,,1.0,1.0,5.0,3.0,,11.0,1.0,51.0,54.0,4.0,16.0,5.0,,,61.0,17.0,22.0,,,4.0,2.0,,147.0,,,,,,,11.0,,1.0,,8.0,,6.0,3.0,,3.0,105.0,85.0,48.0,8.0,,4.0,3.0,3.0,,2.0,4.0,,51.0,39.0,15.0,,,,,,143.0,132.0,2.0,17.0,20.0,50.2,,1.0,0.0,82.0,,,,,,5.0,,3.0,53.0,,7.0,174.0,34.0,27.0,7.0,,10.0,10.0,,88.0,5.0,240.0,1.0,1.0,27.0,15.0,57.0,,404.0,,1.0,10.0,21.0,1.0,15.0,5.0,559.0,,15.0,2.0,1.0,16.0,0.0
442068,7,2012-10-06 15:00:00,111,Wigan,Home,117.0,14.0,2.0,4.0,2.0,4.0,,137.0,6.0,,3.0,6.0,5.0,27.0,250.0,1.0,1.0,10.0,10.0,11.0,6.0,1.0,,,,,,,,,,,,,,9.0,,,,,8.0,9.0,,,51.0,30.0,2.0,,2.0,1.0,3.0,3.0,,,7.0,6.0,3.0,,6.0,3.0,36.0,44.0,1.0,20.0,9.0,,,59.0,15.0,14.0,2.0,,1.0,1.0,,132.0,2.0,,2.0,2.0,,,9.0,2.0,2.0,,16.0,,21.0,16.0,4.0,3.0,81.0,68.0,37.0,6.0,,5.0,4.0,3.0,,5.0,2.0,,58.0,47.0,14.0,1.0,1.0,1.0,,,155.0,134.0,2.0,10.0,13.0,46.1,,1.0,0.0,76.0,1.0,4.0,,,,5.0,,1.0,52.0,,9.0,138.0,29.0,41.0,5.0,6.0,16.0,10.0,,96.0,13.0,218.0,2.0,,22.0,5.0,57.0,2.0,340.0,1.0,0.0,11.0,16.0,1.0,17.0,2.0,529.0,,10.0,3.0,7.0,9.0,0.0
442075,8,2012-10-20 15:00:00,111,Wigan,Away,156.0,10.0,1.0,3.0,2.0,4.0,,251.0,6.0,,5.0,8.0,14.0,19.0,404.0,,2.0,16.0,8.0,9.0,7.0,1.0,,,,,,1.0,1.0,,,,,,,8.0,,,,1.0,7.0,13.0,,,73.0,36.0,,,,6.0,1.0,4.0,,1.0,2.0,9.0,3.0,1.0,6.0,1.0,37.0,40.0,6.0,15.0,10.0,,4.0,57.0,12.0,14.0,,,3.0,1.0,1.0,150.0,1.0,,,1.0,,,10.0,1.0,,,16.0,,14.0,12.0,2.0,5.0,145.0,62.0,38.0,9.0,,4.0,5.0,6.0,,3.0,2.0,,84.0,49.0,11.0,,,,,,135.0,123.0,2.0,15.0,15.0,52.4,,,0.0,118.0,3.0,3.0,,,,4.0,,3.0,83.0,,9.0,182.0,15.0,27.0,10.0,1.0,14.0,13.0,,112.0,11.0,318.0,,,29.0,15.0,34.0,4.0,486.0,1.0,0.0,11.0,14.0,2.0,16.0,3.0,648.0,,7.0,3.0,2.0,9.0,0.0
442088,9,2012-10-27 15:00:00,111,Wigan,Home,145.0,18.0,1.0,2.0,1.0,1.0,,197.0,3.0,,2.0,7.0,6.0,18.0,340.0,,,16.0,23.0,9.0,13.0,,,1.0,,,,,,,,,,,1.0,14.0,,,,,9.0,6.0,,,68.0,53.0,2.0,1.0,1.0,3.0,5.0,4.0,,,6.0,12.0,1.0,1.0,7.0,1.0,56.0,45.0,3.0,26.0,11.0,,,57.0,11.0,16.0,,1.0,2.0,,,154.0,2.0,1.0,2.0,1.0,1.0,,9.0,1.0,3.0,1.0,18.0,,11.0,10.0,,3.0,100.0,72.0,36.0,6.0,1.0,4.0,11.0,7.0,,7.0,1.0,,80.0,22.0,15.0,,,,,,155.0,139.0,1.0,15.0,30.0,54.4,,1.0,0.0,102.0,2.0,1.0,,1.0,1.0,4.0,1.0,1.0,103.0,,15.0,172.0,31.0,42.0,17.0,4.0,17.0,13.0,1.0,137.0,2.0,269.0,3.0,,23.0,7.0,39.0,3.0,424.0,,0.0,16.0,15.0,,20.0,3.0,616.0,,5.0,5.0,6.0,10.0,0.0
442096,10,2012-11-03 15:00:00,111,Wigan,Away,154.0,15.0,,2.0,2.0,,1.0,149.0,7.0,1.0,3.0,4.0,10.0,30.0,301.0,1.0,1.0,24.0,17.0,14.0,4.0,,,,,1.0,,,1.0,,,,,,1.0,5.0,,,,,5.0,8.0,,,69.0,41.0,2.0,2.0,1.0,8.0,1.0,6.0,1.0,,2.0,8.0,2.0,,8.0,2.0,50.0,47.0,8.0,15.0,10.0,,,57.0,12.0,12.0,,,2.0,1.0,1.0,156.0,,,,,,,11.0,,1.0,1.0,19.0,,19.0,12.0,2.0,3.0,84.0,79.0,41.0,9.0,1.0,1.0,3.0,3.0,,6.0,,,76.0,54.0,9.0,,,,,,159.0,145.0,1.0,18.0,18.0,48.9,,1.0,0.0,97.0,2.0,3.0,,,,3.0,,1.0,70.0,,4.0,183.0,33.0,29.0,13.0,2.0,13.0,11.0,,112.0,7.0,236.0,1.0,1.0,22.0,12.0,64.0,3.0,406.0,1.0,0.0,7.0,16.0,1.0,26.0,1.0,593.0,,4.0,5.0,2.0,13.0,0.0
