matchId,gameweek,kickoff,team_id,team,venue,accurateBackZonePass,accurateChippedPass,accurateCornersIntobox,accurateCross,accurateCrossNocorner,accurateFlickOn,accurateFreekickCross,accurateFwdZonePass,accurateGoalKicks,accurateKeeperSweeper,accurateKeeperThrows,accurateLaunches,accurateLayoffs,accurateLongBalls,accuratePass,accuratePullBack,accurateThroughBall,accurateThrows,aerialLost,aerialWon,attAssistOpenplay,attAssistSetplay,attCorner,attFastbreak,attFreekickGoal,attFreekickMiss,attFreekickTarget,attFreekickTotal,attIboxOwnGoal,attLgCentre,attLgLeft,attObxdLeft,attObxdRight,attOpenplay,attPenGoal,attPenTarget,attPostHigh,attPostLeft,attPostRight,attSetpiece,attemptsConcededIbox,attemptsConcededObox,attemptsIbox,attemptsObox,ballRecovery,blockedCross,blockedScoringAtt,challengeLost,clearanceOffLine,cornerTaken,crosses18yard,crosses18yardplus,defenderGoals,dispossessed,divingSave,duelLost,duelWon,effectiveBlockedCross,effectiveClearance,effectiveHeadClearance,errorLeadToGoal,errorLeadToShot,finalThirdEntries,fkFoulLost,fkFoulWon,forwardGoals,foulThrowIn,fouledFinalThird,freekickCross,freekickTotal,goalAssist,goalAssistDeadball,goalAssistIntentional,goalAssistOpenplay,goalAssistSetplay,goalFastbreak,goalKicks,goalsOpenplay,goodHighClaim,handBall,headClearance,hitWoodwork,interception,interceptionWon,interceptionsInBox,keeperThrows,longPassOwnToOpp,longPassOwnToOppSuccess,lostCorners,midfielderGoals,offtargetAttAssist,ontargetAttAssist,ontargetScoringAtt,openPlayPass,outfielderBlock,ownGoals,passesLeft,passesRight,penAreaEntries,penGoalsConceded,penaltyConceded,penaltyFaced,penaltyWon,possLostAll,possLostCtrl,possWonAtt3rd,possWonDef3rd,possWonMid3rd,possessionPercentage,postScoringAtt,ptsGainedLosingPos,punches,redCard,savedIbox,savedObox,saves,secondYellow,shieldBallOop,shotFastbreak,shotOffTarget,sixYardBlock,subsMade,successfulFinalThirdPasses,successfulOpenPlayPass,totalAttAssist,totalBackZonePass,totalChippedPass,totalClearance,totalContest,totalCornersIntobox,totalCross,totalCrossNocorner,totalFastbreak,totalFinalThirdPasses,totalFlickOn,totalFwdZonePass,totalHighClaim,totalKeeperSweeper,totalLaunches,totalLayoffs,totalLongBalls,totalOffside,totalPass,totalPullBack,totalRedCard,totalScoringAtt,totalTackle,totalThroughBall,totalThrows,totalYelCard,touches,touchesInOppBox,wonContest,wonCorners,wonTackle,yellowCard
284107,11,2009-10-31 15:00:00,111,Wigan,Away,136.0,12.0,,2.0,2.0,4.0,,150.0,8.0,1.0,8.0,4.0,5.0,44.0,284.0,,,16.0,10.0,15.0,6.0,,,1.0,,1.0,,1.0,,,,1.0,,,,,,,,,13.0,12.0,,,50.0,2.0,4.0,7.0,,4.0,5.0,2.0,,20.0,2.0,59.0,58.0,2.0,20.0,12.0,,,59.0,10.0,10.0,,,,,1.0,,,,,,,15.0,,1.0,,30.0,,24.0,24.0,2.0,8.0,79.0,36.0,7.0,,3.0,3.0,,,4.0,,78.0,43.0,14.0,1.0,1.0,1.0,,172.0,149.0,,18.0,18.0,51.1,,,1.0,0.0,1.0,3.0,,,1.0,1.0,4.0,,2.0,52.0,,6.0,156.0,23.0,43.0,21.0,4.0,12.0,8.0,,98.0,6.0,230.0,1.0,1.0,20.0,6.0,74.0,1.0,374.0,,0.0,8.0,24.0,3.0,25.0,1.0,646.0,,9.0,4.0,16.0,0.0
284118,12,2009-11-08 15:00:00,111,Wigan,Home,172.0,27.0,6.0,9.0,3.0,2.0,,207.0,6.0,,5.0,5.0,10.0,62.0,370.0,,,15.0,9.0,12.0,12.0,4.0,,,,1.0,1.0,3.0,,,,,,,,,,,,,7.0,4.0,,,33.0,1.0,6.0,3.0,,10.0,8.0,5.0,1.0,12.0,3.0,47.0,57.0,1.0,26.0,11.0,,,78.0,15.0,15.0,,,,,3.0,1.0,,1.0,1.0,,,9.0,,,,21.0,1.0,17.0,17.0,1.0,5.0,82.0,48.0,6.0,,5.0,12.0,9.0,,1.0,,70.0,72.0,13.0,1.0,1.0,1.0,,147.0,121.0,6.0,7.0,13.0,57.5,,,,0.0,1.0,2.0,,,,,7.0,,2.0,86.0,,17.0,183.0,47.0,52.0,18.0,10.0,26.0,16.0,,129.0,8.0,291.0,,,19.0,10.0,87.0,,448.0,,0.0,22.0,20.0,3.0,18.0,2.0,692.0,,10.0,10.0,13.0,0.0
284129,13,2009-11-22 15:00:00,111,Wigan,Away,106.0,10.0,1.0,2.0,1.0,8.0,,154.0,7.0,,1.0,4.0,10.0,14.0,258.0,,1.0,16.0,10.0,17.0,9.0,,,,,,1.0,1.0,,,,,1.0,,,,1.0,,,,19.0,8.0,,,48.0,,2.0,11.0,,5.0,6.0,5.0,1.0,14.0,6.0,57.0,49.0,,18.0,5.0,2.0,,58.0,10.0,9.0,,,,,1.0,1.0,,1.0,1.0,,,13.0,,,,15.0,1.0,15.0,15.0,1.0,1.0,83.0,43.0,10.0,,6.0,4.0,4.0,,1.0,,36.0,47.0,10.0,,,,,158.0,143.0,2.0,16.0,24.0,45.2,1.0,,,0.0,4.0,2.0,,,1.0,,6.0,,2.0,70.0,,10.0,133.0,18.0,33.0,17.0,4.0,16.0,12.0,,105.0,12.0,233.0,,,23.0,12.0,39.0,3.0,350.0,,0.0,12.0,18.0,1.0,18.0,0.0,582.0,,5.0,5.0,13.0,0.0
284138,14,2009-11-28 15:00:00,111,Wigan,Home,92.0,12.0,,2.0,2.0,7.0,,152.0,2.0,,2.0,5.0,7.0,15.0,242.0,1.0,,22.0,23.0,17.0,14.0,,,,,,,,,,,1.0,,,,,,,1.0,,4.0,5.0,,,83.0,2.0,3.0,4.0,,5.0,5.0,4.0,,7.0,,58.0,64.0,2.0,17.0,3.0,,,72.0,12.0,13.0,1.0,,,,,1.0,,,1.0,,,8.0,,2.0,,15.0,1.0,16.0,16.0,,3.0,105.0,48.0,8.0,,6.0,9.0,7.0,,4.0,,51.0,50.0,14.0,,,,,178.0,154.0,3.0,31.0,38.0,48.7,1.0,,,0.0,,,,,1.0,,7.0,,1.0,71.0,,15.0,115.0,28.0,41.0,23.0,2.0,14.0,12.0,,123.0,15.0,256.0,3.0,,37.0,8.0,55.0,,357.0,1.0,0.0,17.0,23.0,1.0,23.0,0.0,649.0,,11.0,5.0,16.0,0.0
284148,15,2009-12-05 15:00:00,111,Wigan,Home,115.0,14.0,2.0,5.0,3.0,,,164.0,2.0,2.0,5.0,9.0,8.0,33.0,274.0,,2.0,16.0,14.0,18.0,13.0,2.0,,1.0,1.0,,1.0,2.0,,,,,,,,,,,,1.0,9.0,3.0,,,70.0,,2.0,8.0,,2.0,4.0,2.0,,10.0,2.0,64.0,59.0,,13.0,5.0,1.0,,72.0,14.0,8.0,,,,,2.0,1.0,,,1.0,,,8.0,,2.0,,12.0,,15.0,15.0,1.0,5.0,112.0,44.0,2.0,2.0,10.0,6.0,6.0,,4.0,,52.0,71.0,22.0,,,,,179.0,163.0,3.0,28.0,27.0,57.7,,,,0.0,3.0,,,,2.0,1.0,10.0,,3.0,81.0,,16.0,130.0,22.0,29.0,27.0,2.0,10.0,8.0,,138.0,11.0,271.0,2.0,2.0,45.0,12.0,78.0,1.0,391.0,,0.0,18.0,24.0,5.0,22.0,2.0,646.0,,9.0,2.0,16.0,0.0
284157,16,2009-12-12 12:45:00,111,Wigan,Away,102.0,13.0,1.0,3.0,2.0,6.0,,163.0,7.0,1.0,5.0,9.0,17.0,22.0,262.0,,2.0,27.0,15.0,26.0,6.0,3.0,,1.0,1.0,1.0,1.0,5.0,,,1.0,,1.0,,,1.0,,,,4.0,11.0,7.0,,,48.0,4.0,8.0,7.0,,3.0,9.0,5.0,2.0,14.0,,60.0,74.0,4.0,11.0,5.0,,,81.0,11.0,19.0,,,,,5.0,,,,,,,10.0,,3.0,1.0,17.0,,17.0,17.0,1.0,7.0,87.0,31.0,5.0,,4.0,5.0,6.0,,6.0,,53.0,51.0,20.0,,,,1.0,175.0,156.0,2.0,11.0,21.0,59.4,,,2.0,0.0,,,,,2.0,1.0,5.0,1.0,2.0,70.0,,9.0,122.0,25.0,30.0,19.0,2.0,20.0,18.0,,121.0,12.0,255.0,3.0,1.0,43.0,18.0,65.0,1.0,357.0,,0.0,19.0,24.0,3.0,37.0,1.0,628.0,,5.0,3.0,15.0,0.0
284169,17,2009-12-16 20:00:00,111,Wigan,Away,119.0,17.0,,3.0,3.0,5.0,,162.0,3.0,1.0,4.0,7.0,16.0,36.0,278.0,,1.0,21.0,8.0,16.0,9.0,,,,,,,,,,,,,,,,1.0,,,3.0,14.0,6.0,,,54.0,5.0,3.0,9.0,3.0,,3.0,4.0,,21.0,2.0,58.0,67.0,5.0,28.0,13.0,2.0,,85.0,11.0,12.0,,,,,,1.0,,,1.0,,,12.0,,2.0,,26.0,1.0,27.0,27.0,2.0,4.0,89.0,51.0,13.0,1.0,3.0,7.0,4.0,,5.0,,48.0,36.0,12.0,,,,,153.0,131.0,,21.0,22.0,44.9,1.0,,1.0,0.0,6.0,,,,1.0,,4.0,1.0,2.0,55.0,,10.0,132.0,26.0,50.0,22.0,,11.0,11.0,,100.0,14.0,237.0,2.0,2.0,20.0,19.0,59.0,,358.0,1.0,0.0,11.0,26.0,1.0,25.0,1.0,648.0,,13.0,,16.0,0.0
284178,18,2010-02-17 20:00:00,111,Wigan,Home,105.0,17.0,,4.0,4.0,8.0,,147.0,8.0,,1.0,8.0,6.0,34.0,248.0,,1.0,25.0,16.0,20.0,7.0,1.0,,,,,,,,,,,,,,,,1.0,,,4.0,6.0,,,53.0,3.0,2.0,4.0,,5.0,8.0,8.0,,29.0,,67.0,61.0,3.0,35.0,18.0,,,97.0,6.0,9.0,,,,,,,,,,,,13.0,,,,26.0,1.0,23.0,23.0,2.0,2.0,100.0,47.0,9.0,,5.0,3.0,1.0,,1.0,,55.0,47.0,22.0,,,,,202.0,176.0,1.0,24.0,21.0,51.7,1.0,,,0.0,1.0,,,,4.0,,7.0,,2.0,88.0,,8.0,123.0,42.0,61.0,23.0,4.0,21.0,17.0,,153.0,10.0,249.0,,,36.0,7.0,75.0,1.0,351.0,,0.0,10.0,21.0,3.0,33.0,0.0,668.0,,11.0,4.0,17.0,0.0
284189,19,2009-12-26 15:00:00,111,Wigan,Home,141.0,6.0,,5.0,5.0,5.0,,147.0,10.0,1.0,3.0,16.0,9.0,37.0,283.0,,2.0,21.0,31.0,19.0,8.0,,,1.0,,1.0,1.0,3.0,,,,,,,,,,,,,4.0,4.0,,,62.0,2.0,6.0,2.0,1.0,7.0,11.0,8.0,,15.0,1.0,66.0,73.0,2.0,23.0,13.0,,,79.0,10.0,18.0,1.0,,,,3.0,1.0,,1.0,1.0,,,13.0,,1.0,,32.0,,13.0,12.0,,4.0,103.0,54.0,2.0,,3.0,6.0,5.0,,1.0,,49.0,41.0,29.0,,,,,177.0,153.0,1.0,30.0,24.0,56.8,,,,0.0,2.0,,,,2.0,1.0,4.0,,,72.0,,9.0,160.0,24.0,47.0,15.0,6.0,29.0,23.0,,119.0,8.0,246.0,1.0,1.0,35.0,9.0,69.0,2.0,377.0,,0.0,15.0,29.0,3.0,27.0,1.0,674.0,,7.0,7.0,22.0,0.0
284195,20,2009-12-30 20:00:00,111,Wigan,Away,114.0,13.0,,1.0,1.0,3.0,,182.0,7.0,,1.0,8.0,11.0,30.0,295.0,,2.0,9.0,6.0,6.0,9.0,,,1.0,,,,,,,,,,,,,,,,,16.0,7.0,,,72.0,1.0,3.0,8.0,1.0,3.0,6.0,1.0,,9.0,5.0,47.0,45.0,1.0,21.0,11.0,,,78.0,13.0,7.0,,,,,,,,,,,,11.0,,,,19.0,,25.0,24.0,3.0,1.0,81.0,47.0,7.0,,4.0,5.0,3.0,,6.0,,47.0,46.0,6.0,,,,,138.0,113.0,1.0,32.0,26.0,37.9,,,,0.0,5.0,1.0,,,1.0,1.0,5.0,,3.0,74.0,,9.0,135.0,20.0,46.0,17.0,2.0,9.0,7.0,,114.0,6.0,248.0,,,31.0,12.0,61.0,,374.0,,0.0,11.0,26.0,3.0,11.0,1.0,643.0,,6.0,3.0,15.0,0.0
