team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Swansea_80,2011-12,39215,Michel Vorm,Tottenham Hotspur,Goalkeeper,Netherlands,6.0,,6.0,37.0,,,,,,58.0,14.0,,,,1.0,7.0,17.0,1.0,16.0,,,,,,934.0,,,,37.0,425.0,167.0,,381.0,,,49.0,42.0,7.0,11.0,1.0,10.0,,,,,,,1.0,,,,261.0,,,,881.0,,,,,3.0,2.0,,,1.0,20.0,,,343.0,,,186.0,2.0,136.0,25.0,88.0,48.0,39.0,,,,,,,,,37.0,0.0,,,,,,,112.0,,362.0,209.0,714.0,561.0,2.0,1.0,,,,3330.0,,35.0,1.0,7.0,468.0,1381.0,0.0,,3.0,,458.0,1855.0,,,,,189.0,1.0,428.0,122.0,30.0,0.0,2.0
Swansea_80,2011-12,5288,Gerhard Tremmel,Swansea City,Goalkeeper,Germany,,,,1.0,,,,,,4.0,,,,,,,,,,,,,,,18.0,,,,1.0,13.0,1.0,,9.0,,,2.0,2.0,,,,,,,,,,,,,,,7.0,,,,16.0,,,,,,,,,,2.0,,,8.0,,,2.0,,,,,,,,,,,,,,,1.0,0.0,,,,,,,5.0,,10.0,5.0,16.0,11.0,,,,,,90.0,,2.0,,,6.0,27.0,0.0,,,,6.0,38.0,,,,,5.0,,6.0,2.0,,0.0,0.0
Swansea_80,2011-12,47390,Neil Taylor,Middlesbrough,Defender,Wales,56.0,37.0,19.0,36.0,,,335.0,4.0,12.0,,12.0,,1.0,13.0,,,271.0,124.0,147.0,,,,,,616.0,,,,36.0,,,1.0,,,,41.0,37.0,4.0,215.0,87.0,128.0,,,,,,,38.0,22.0,,,106.0,,,3.0,1660.0,,8.0,1.0,1.0,,,,,1.0,,,,135.0,,,646.0,,,,,,,,,,,2.0,,1.0,,35.0,0.0,5.0,1.0,,13.0,13.0,18.0,12.0,46.0,56.0,668.0,793.0,1392.0,22.0,67.0,5.0,33.0,244.0,3084.0,38.0,98.0,25.0,21.0,433.0,1703.0,0.0,3.0,89.0,13.0,255.0,2475.0,1.0,69.0,68.0,15.0,48.0,,42.0,111.0,213.0,0.0,4.0
Swansea_80,2011-12,68815,Steven Caulker,Wigan Athletic,Defender,Sierra Leone,74.0,30.0,44.0,26.0,,,153.0,7.0,27.0,,10.0,2.0,,3.0,,,153.0,58.0,95.0,,,,,,577.0,,,,26.0,,,1.0,,,,32.0,26.0,6.0,79.0,28.0,51.0,,,2.0,,,,31.0,5.0,1.0,,497.0,,,,1566.0,,,,,,,,,,,,,83.0,,,373.0,,,,,,,,,,,6.0,,4.0,,26.0,0.0,1.0,,,,,2.0,2.0,14.0,85.0,335.0,1061.0,1311.0,11.0,24.0,,3.0,6.0,2339.0,7.0,181.0,14.0,14.0,233.0,1600.0,0.0,10.0,35.0,29.0,204.0,1969.0,,5.0,5.0,1.0,27.0,,32.0,91.0,172.0,0.0,2.0
Swansea_80,2011-12,11883,Alan Tate,Swansea City,Defender,England,4.0,3.0,1.0,5.0,,,12.0,,5.0,,,,,,,,15.0,6.0,9.0,,,,,,36.0,,,,5.0,,,,,,,6.0,3.0,3.0,11.0,3.0,8.0,,,,,,,2.0,2.0,,,2.0,,,,79.0,,,,,,,,,,,,,8.0,,,31.0,,,,,,,,,,,,,,,1.0,0.0,,4.0,,,,,,1.0,2.0,28.0,43.0,69.0,2.0,3.0,,2.0,16.0,164.0,,12.0,2.0,3.0,12.0,81.0,0.0,,5.0,,10.0,129.0,,,,,2.0,1.0,1.0,6.0,9.0,0.0,0.0
Swansea_80,2011-12,19159,Ashley Williams,Bristol City,Defender,Wales,107.0,53.0,54.0,37.0,,1.0,154.0,6.0,39.0,,13.0,,,2.0,,,243.0,110.0,133.0,,,,,,998.0,,1.0,,37.0,,,1.0,,,1.0,51.0,44.0,7.0,136.0,57.0,79.0,2.0,1.0,,0.0,,,83.0,11.0,,,518.0,,,,2539.0,,,,1.0,,,,,1.0,,,,163.0,,,924.0,,,,,,,,,,,12.0,,2.0,,37.0,0.0,,,,,,9.0,23.0,20.0,325.0,660.0,1552.0,1887.0,14.0,43.0,5.0,,7.0,3330.0,9.0,296.0,42.0,13.0,415.0,2594.0,0.0,14.0,57.0,40.0,382.0,3191.0,,1.0,1.0,3.0,89.0,1.0,139.0,144.0,243.0,0.0,6.0
Swansea_80,2011-12,1950,Garry Monk,Swansea City,Defender,England,44.0,18.0,26.0,16.0,,,71.0,,7.0,,5.0,,,1.0,,,95.0,41.0,54.0,,,,,,348.0,,,,16.0,,,,,,,23.0,22.0,1.0,51.0,23.0,28.0,,,,,,,12.0,2.0,,,236.0,,,,828.0,,,,,,,,,1.0,,,,31.0,,,195.0,,,,,,,,,,,,,,,14.0,0.0,,2.0,,,,,6.0,10.0,45.0,135.0,624.0,714.0,5.0,14.0,,,4.0,1263.0,1.0,94.0,15.0,9.0,96.0,850.0,0.0,,19.0,5.0,91.0,1006.0,,,,,19.0,,15.0,45.0,76.0,0.0,3.0
Swansea_80,2011-12,51511,Federico Bessone,Swansea City,Defender,Argentina,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,1.0,2.0,3.0,4.0,,,,,1.0,4.0,,,,,2.0,7.0,0.0,,,,2.0,8.0,,,,,1.0,,1.0,1.0,1.0,0.0,0.0
Swansea_80,2011-12,42996,Angel Rangel,Queens Park Rangers,Defender,Spain,34.0,21.0,13.0,34.0,,,387.0,10.0,18.0,,10.0,,1.0,32.0,,,236.0,106.0,130.0,,,,,,802.0,,1.0,,34.0,1.0,,2.0,,,,41.0,34.0,7.0,202.0,85.0,117.0,2.0,,,,,,95.0,21.0,2.0,,1016.0,,,1.0,2228.0,,1.0,,,,,,,,,,,170.0,,,68.0,,,,,,,1.0,,,,14.0,,1.0,,32.0,0.0,3.0,2.0,1.0,13.0,12.0,11.0,9.0,87.0,125.0,913.0,1014.0,1789.0,22.0,63.0,10.0,42.0,347.0,2873.0,29.0,111.0,26.0,21.0,548.0,2273.0,0.0,15.0,85.0,38.0,359.0,3252.0,,65.0,65.0,11.0,51.0,,51.0,109.0,308.0,0.0,3.0
Swansea_80,2011-12,73459,Jazz Richards,Cardiff City U21,Defender,Wales,9.0,7.0,2.0,8.0,,,87.0,,1.0,,2.0,,,2.0,,,58.0,31.0,27.0,,,,,,118.0,,,,8.0,,,,,,,7.0,7.0,,49.0,24.0,25.0,,,,,,,11.0,2.0,,,129.0,,,,366.0,,1.0,,1.0,,,,,1.0,,,,38.0,,,36.0,,,,,,,,,,,,,,,6.0,0.0,1.0,2.0,,3.0,3.0,1.0,,11.0,20.0,141.0,187.0,305.0,6.0,14.0,,10.0,53.0,574.0,8.0,16.0,9.0,4.0,74.0,370.0,0.0,,20.0,1.0,45.0,524.0,,10.0,10.0,3.0,2.0,,4.0,21.0,41.0,0.0,4.0
