team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulFiftyFifty,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Brentford_94,2021-22,154561,David Raya,Arsenal,Goalkeeper,Spain,12.0,2.0,10.0,24.0,,0.0,,,,27.0,8.0,,,,1.0,,14.0,3.0,11.0,0.0935,,,,26.5504,,654.0,1.0,,,24.0,234.0,86.0,,,2.0,,27.0,20.0,7.0,2.0,1.0,1.0,,,,0.0,,,,1.0,,,150.0,,,,611.0,,,1.0,4.0,,,,4.0,7.0,4.0,1.0,255.0,,,156.0,,78.0,7.0,42.0,34.0,14.0,,,,,,,,,24.0,0.0,,,,,,,,54.0,,259.0,172.0,447.0,360.0,,,,,,2160.0,,17.0,1.0,2.0,350.0,960.0,0.0,,,,341.0,1216.0,,,,,131.0,,326.0,60.0,15.0,0.0,1.0
Brentford_94,2021-22,503300,Matthew Cox,Brentford,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Brentford_94,2021-22,240796,Álvaro Fernández,Sevilla,Goalkeeper,Spain,4.0,2.0,2.0,12.0,,0.0,,,,8.0,1.0,,,,,1.0,7.0,2.0,5.0,0.0186,,,,20.1755,,272.0,,,,12.0,119.0,24.0,,,1.0,,24.0,20.0,4.0,3.0,,3.0,,,,0.0,,,,,,,108.0,,,,311.0,,1.0,,1.0,,,,1.0,4.0,,,127.0,,,76.0,,49.0,4.0,32.0,15.0,11.0,,,,,,,,,12.0,0.0,,,,,,,,12.0,,80.0,52.0,224.0,196.0,,,,,,1080.0,,9.0,,3.0,182.0,456.0,0.0,,,,180.0,591.0,,,,,60.0,,172.0,48.0,8.0,0.0,0.0
Brentford_94,2021-22,57513,Jonas Lössl,FC Midtjylland,Goalkeeper,Denmark,,,,2.0,,0.0,,,,,,,,,,1.0,,,,0.0028,,,,3.1931,,33.0,,,,2.0,17.0,2.0,,,,,5.0,4.0,1.0,,,,,,,0.0,,,,,,,12.0,,,,39.0,,,,,,,,,,,,13.0,,,10.0,,2.0,,,2.0,1.0,,,,,,,,,2.0,0.0,,,,,,,,1.0,,12.0,8.0,28.0,24.0,,,,,,180.0,,1.0,,,19.0,55.0,0.0,,,,19.0,65.0,,,,,3.0,,18.0,5.0,1.0,0.0,0.0
Brentford_94,2021-22,232247,Dominic Thompson,Blackpool,Defender,England,3.0,2.0,1.0,2.0,,0.0,3.0,,2.0,,,,,,,,8.0,6.0,2.0,0.0036,0.0634,,,2.0739,3.0,20.0,1.0,,,2.0,,,,,,,3.0,1.0,2.0,5.0,4.0,1.0,,,,0.0,,,2.0,,,,1.0,,,,36.0,,,,,,,,,,3.0,,5.0,,,13.0,,,,,,,,,,,1.0,,,,2.0,0.0,2.0,,,,,,2.0,1.0,,1.0,8.0,12.0,19.0,1.0,,,,1.0,148.0,2.0,3.0,1.0,,24.0,37.0,0.0,1.0,1.0,2.0,17.0,59.0,,2.0,2.0,2.0,5.0,,6.0,7.0,11.0,0.0,0.0
Brentford_94,2021-22,194010,Rico Henry,Brentford,Defender,Jamaica,67.0,40.0,27.0,34.0,,2.0,288.0,3.0,10.0,,7.0,,,17.0,,,257.0,148.0,109.0,2.2323,1.8881,,2.6933,38.8472,63.0,405.0,7.0,,,34.0,,,,,,3.0,41.0,33.0,8.0,190.0,108.0,82.0,1.0,2.0,,1.0,2.0,2.0,26.0,18.0,,1.0,51.0,1.0,,1.0,1018.0,,,1.0,,,,,5.0,,61.0,21.0,189.0,,,279.0,,,,,,,,,2.0,1.0,6.0,2.0,5.0,,33.0,0.0,9.0,1.0,,19.0,19.0,27.0,38.0,10.0,,34.0,407.0,373.0,727.0,8.0,20.0,,19.0,96.0,2784.0,67.0,56.0,20.0,27.0,451.0,1023.0,0.0,11.0,28.0,40.0,262.0,1626.0,,55.0,55.0,33.0,55.0,,85.0,81.0,177.0,1.0,2.0
Brentford_94,2021-22,213687,Charlie Goode,Stevenage,Defender,England,23.0,8.0,15.0,6.0,,0.0,31.0,,2.0,,1.0,,,,,,50.0,16.0,34.0,0.6567,0.0602,,,6.3113,3.0,95.0,3.0,,,6.0,,,,,,,6.0,6.0,,27.0,8.0,19.0,,,,0.0,,,2.0,7.0,,,72.0,,,,223.0,,,1.0,,,,,1.0,,9.0,2.0,30.0,,,32.0,,,,,,,,,,,2.0,,,,4.0,0.0,,2.0,,2.0,2.0,5.0,1.0,1.0,,16.0,57.0,106.0,145.0,2.0,5.0,,35.0,32.0,448.0,3.0,8.0,5.0,7.0,116.0,230.0,0.0,2.0,7.0,10.0,69.0,353.0,,4.0,4.0,2.0,13.0,,27.0,24.0,42.0,0.0,3.0
Brentford_94,2021-22,231065,Ethan Pinnock,Brentford,Defender,Jamaica,215.0,72.0,143.0,32.0,,0.0,145.0,3.0,11.0,,7.0,,,11.0,,,317.0,101.0,216.0,1.4425,1.1931,,1.3392,38.1403,53.0,661.0,4.0,,,32.0,,,1.0,,,1.0,43.0,33.0,10.0,102.0,29.0,73.0,1.0,,,1.0,3.0,8.0,44.0,10.0,,1.0,207.0,,,1.0,1370.0,,,,,,,,2.0,,35.0,19.0,141.0,,,403.0,,,,,,,1.0,,3.0,,4.0,8.0,9.0,,32.0,0.0,4.0,,,4.0,4.0,9.0,29.0,17.0,,64.0,313.0,758.0,1003.0,16.0,35.0,,55.0,147.0,2697.0,9.0,148.0,9.0,14.0,450.0,1416.0,0.0,13.0,51.0,55.0,349.0,2033.0,,17.0,17.0,2.0,70.0,,134.0,125.0,215.0,0.0,1.0
Brentford_94,2021-22,48760,Zanka,FC København,Defender,Denmark,19.0,9.0,10.0,8.0,,0.0,12.0,1.0,1.0,,1.0,,,,,,47.0,26.0,21.0,0.2088,0.1254,,0.1653,6.5149,13.0,124.0,4.0,,,8.0,,,,,,1.0,10.0,6.0,4.0,28.0,17.0,11.0,,1.0,,1.0,1.0,,10.0,3.0,,,100.0,,,,261.0,,,,,,,,,,7.0,5.0,20.0,,,33.0,,,,,,,,,1.0,,,,1.0,,6.0,0.0,1.0,2.0,,2.0,2.0,,9.0,1.0,,15.0,80.0,139.0,202.0,6.0,4.0,,21.0,39.0,517.0,4.0,13.0,10.0,1.0,84.0,269.0,0.0,1.0,10.0,5.0,52.0,393.0,,5.0,5.0,1.0,5.0,,16.0,14.0,36.0,0.0,2.0
Brentford_94,2021-22,61810,Pontus Jansson,Malmö FF,Defender,Sweden,184.0,81.0,103.0,37.0,,1.0,110.0,5.0,27.0,,7.0,,,2.0,,,264.0,112.0,152.0,0.5919,2.9845,,3.0981,49.8841,66.0,509.0,6.0,1.0,,37.0,2.0,,1.0,,,3.0,56.0,44.0,12.0,80.0,31.0,49.0,1.0,2.0,1.0,2.0,5.0,8.0,52.0,4.0,,,536.0,,,5.0,1447.0,,,,,,,,5.0,,17.0,10.0,166.0,,1.0,334.0,,,,,,,,,5.0,,6.0,8.0,11.0,,37.0,0.0,1.0,,,,,2.0,34.0,10.0,1.0,38.0,233.0,972.0,1167.0,19.0,21.0,1.0,,13.0,3322.0,5.0,186.0,15.0,8.0,304.0,1489.0,0.0,17.0,40.0,58.0,284.0,1919.0,,1.0,1.0,,46.0,,92.0,110.0,192.0,2.0,7.0
