team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,yellowCards
Huddersfield_38,2017-18,57513,Jonas Lössl,FC Midtjylland,Goalkeeper,Denmark,19.0,4.0,15.0,38.0,,,,,26.0,10.0,,,1.0,6.0,5.0,32.0,8.0,24.0,0.1483,,,,52.7768,1027.0,,,,38.0,277.0,130.0,1.0,7.0,,58.0,52.0,6.0,13.0,4.0,9.0,,,,,,4.0,2.0,,151.0,,,,680.0,,1.0,,6.0,2.0,,,,24.0,1.0,,345.0,,,106.0,2.0,103.0,5.0,64.0,37.0,21.0,,,,,,,,,38.0,0.0,,,,,,3.0,174.0,,420.0,296.0,428.0,304.0,1.0,,,,,3420.0,37.0,,6.0,567.0,1284.0,0.0,,1.0,,560.0,1592.0,,,,,322.0,,556.0,80.0,4.0,1.0
Huddersfield_38,2017-18,168977,Joel Coleman,Millwall,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0
Huddersfield_38,2017-18,1243,Robert Green,Chelsea,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0
Huddersfield_38,2017-18,104545,Tommy Smith,Middlesbrough,Defender,England,33.0,15.0,18.0,24.0,,149.0,2.0,6.0,,5.0,1.0,,11.0,,,143.0,60.0,83.0,1.7592,0.1869,,0.0934,30.9927,357.0,11.0,,,24.0,,,1.0,,,31.0,28.0,3.0,110.0,45.0,65.0,1.0,,,,,26.0,14.0,,250.0,2.0,2.0,3.0,771.0,,,1.0,,,,,,,45.0,16.0,109.0,,,36.0,,,,,,,,,,2.0,4.0,,2.0,2.0,21.0,0.0,6.0,3.0,,12.0,12.0,9.0,19.0,1.0,43.0,297.0,275.0,517.0,11.0,27.0,1.0,58.0,201.0,1908.0,72.0,20.0,18.0,378.0,792.0,0.0,6.0,38.0,8.0,232.0,1375.0,,52.0,52.0,4.0,82.0,,113.0,59.0,119.0,7.0
Huddersfield_38,2017-18,79733,Scott Malone,Crawley Town,Defender,England,27.0,13.0,14.0,22.0,,78.0,2.0,2.0,,2.0,,,10.0,,,141.0,65.0,76.0,0.5261,0.5288,,0.233,18.0149,211.0,13.0,,,22.0,,,1.0,,,23.0,20.0,3.0,114.0,52.0,62.0,,,,2.0,1.0,26.0,9.0,,21.0,,1.0,,484.0,,,1.0,,,,,,,44.0,10.0,89.0,,,183.0,,,,,,,,,2.0,,4.0,1.0,2.0,1.0,12.0,0.0,6.0,10.0,,3.0,3.0,15.0,11.0,1.0,41.0,206.0,152.0,314.0,10.0,29.0,,28.0,134.0,1115.0,38.0,19.0,9.0,267.0,493.0,0.0,6.0,39.0,19.0,138.0,932.0,,43.0,43.0,15.0,38.0,,56.0,45.0,82.0,3.0
Huddersfield_38,2017-18,109434,Terence Kongolo,Fulham,Defender,Netherlands,41.0,13.0,28.0,13.0,,35.0,,6.0,,2.0,,,1.0,,,111.0,34.0,77.0,0.2509,0.2771,,,15.2688,175.0,4.0,,,13.0,,,,,,14.0,12.0,2.0,70.0,21.0,49.0,,,,,,32.0,3.0,,20.0,,,,304.0,,,,,,,,,,18.0,6.0,50.0,,,81.0,,,,,,,,,,,2.0,,,,11.0,0.0,,2.0,,2.0,2.0,7.0,6.0,,12.0,125.0,99.0,210.0,13.0,20.0,,27.0,39.0,1047.0,64.0,5.0,10.0,148.0,311.0,0.0,2.0,33.0,7.0,89.0,591.0,,8.0,8.0,3.0,16.0,,31.0,31.0,58.0,0.0
Huddersfield_38,2017-18,54284,Chris Löwe,SG Dynamo Dresden,Defender,Germany,24.0,12.0,12.0,23.0,3.0,111.0,2.0,8.0,,5.0,1.0,15.0,6.0,,,128.0,60.0,68.0,0.5344,0.3598,0.1973,0.3347,24.8884,303.0,10.0,,3.0,23.0,,,,,,26.0,23.0,3.0,104.0,48.0,56.0,,,,,,34.0,5.0,,21.0,2.0,2.0,,609.0,,,1.0,,,,,,,43.0,13.0,74.0,,,184.0,,,,,,,,,,2.0,4.0,,2.0,2.0,19.0,0.0,9.0,4.0,4.0,11.0,5.0,5.0,13.0,2.0,39.0,219.0,241.0,410.0,14.0,29.0,,30.0,141.0,1594.0,55.0,13.0,8.0,290.0,619.0,0.0,6.0,43.0,2.0,170.0,1095.0,11.0,62.0,47.0,3.0,45.0,,70.0,62.0,100.0,1.0
Huddersfield_38,2017-18,48760,Zanka,FC København,Defender,Denmark,170.0,82.0,88.0,38.0,,130.0,3.0,20.0,,10.0,,,3.0,,,307.0,153.0,154.0,1.0828,1.924,,0.3498,52.7768,751.0,32.0,,,38.0,,,2.0,,,58.0,52.0,6.0,137.0,71.0,66.0,,,,3.0,3.0,76.0,7.0,,476.0,,,2.0,1507.0,,,1.0,,,,,,,47.0,29.0,166.0,,,204.0,,,,,,,,,3.0,,7.0,3.0,3.0,,38.0,0.0,,,,,,3.0,25.0,1.0,104.0,405.0,793.0,1094.0,19.0,36.0,2.0,1.0,8.0,3420.0,241.0,45.0,9.0,382.0,1561.0,0.0,10.0,55.0,28.0,363.0,2077.0,,,,,94.0,,168.0,112.0,195.0,6.0
Huddersfield_38,2017-18,85368,Christopher Schindler,1. FC Nürnberg,Defender,Germany,250.0,95.0,155.0,37.0,,135.0,2.0,30.0,,9.0,,,2.0,,,397.0,139.0,258.0,1.077,1.0988,,,49.9617,544.0,18.0,,,37.0,,,1.0,,,53.0,47.0,6.0,147.0,44.0,103.0,1.0,,1.0,2.0,,75.0,8.0,,281.0,,,1.0,1355.0,,,,,,,,,,30.0,24.0,156.0,1.0,,429.0,,,,,,,,,2.0,,8.0,,,,37.0,0.0,1.0,,,,,2.0,15.0,1.0,93.0,286.0,844.0,1037.0,22.0,61.0,,1.0,3.0,3266.0,265.0,30.0,21.0,278.0,1389.0,1.0,8.0,83.0,34.0,259.0,1973.0,,4.0,4.0,,63.0,,101.0,85.0,158.0,6.0
Huddersfield_38,2017-18,192301,Jon Gorenc Stankovic,SK Puntigamer Sturm Graz,Midfielder,Slovenia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0
