team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulFiftyFifty,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Brighton_36,2017-18,131897,Mathew Ryan,Roma,Goalkeeper,Australia,13.0,,13.0,38.0,,,,,,35.0,10.0,,,,4.0,3.0,16.0,3.0,13.0,0.0636,,,,51.3586,,914.0,,,,38.0,288.0,186.0,,,8.0,,54.0,51.0,3.0,3.0,3.0,,,,,,,,3.0,,,,63.0,,,,454.0,,,,,3.0,2.0,,,,13.0,1.0,,335.0,,,76.0,2.0,124.0,8.0,73.0,50.0,29.0,,,,,,,,,38.0,0.0,,,,,,,,139.0,,364.0,270.0,235.0,141.0,,,,,,3420.0,,23.0,,1.0,562.0,1053.0,0.0,,,,548.0,1388.0,,,,,265.0,,547.0,80.0,1.0,,0.0
Brighton_36,2017-18,48860,Niki Mäenpää,HJK,Goalkeeper,Finland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Brighton_36,2017-18,20480,Tim Krul,Luton Town,Goalkeeper,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Brighton_36,2017-18,11352,Bruno,Brighton and Hove Albion,Defender,Spain,50.0,22.0,28.0,25.0,,,153.0,,11.0,,8.0,,,8.0,,,142.0,61.0,81.0,1.0059,0.0865,,0.026,25.0436,,428.0,6.0,,,25.0,,,,,,,23.0,23.0,,92.0,39.0,53.0,1.0,,,,,,38.0,10.0,,,359.0,,1.0,,964.0,,,,1.0,,,,,,,31.0,6.0,116.0,,,33.0,,,,,,,,,,,1.0,,1.0,1.0,23.0,0.0,4.0,2.0,,7.0,7.0,15.0,,17.0,2.0,62.0,330.0,475.0,736.0,13.0,17.0,,55.0,144.0,2017.0,,60.0,19.0,8.0,300.0,973.0,0.0,2.0,30.0,13.0,175.0,1452.0,,34.0,34.0,5.0,44.0,1.0,75.0,56.0,100.0,,3.0
Brighton_36,2017-18,42748,Gaëtan Bong,Nottingham Forest,Defender,Cameroon,58.0,28.0,30.0,25.0,,,91.0,,6.0,,6.0,,,10.0,,,176.0,79.0,97.0,0.5222,0.083,,0.0326,32.9877,,427.0,10.0,,,25.0,,,,,,,36.0,33.0,3.0,118.0,51.0,67.0,,,,,,,40.0,9.0,,,32.0,,1.0,,768.0,,,1.0,,,,,,,,65.0,18.0,140.0,,,222.0,,,,,,,,,,,3.0,,1.0,1.0,25.0,0.0,2.0,,,6.0,6.0,16.0,,13.0,,38.0,302.0,248.0,506.0,7.0,32.0,,86.0,178.0,2238.0,,71.0,16.0,13.0,410.0,772.0,0.0,4.0,39.0,4.0,228.0,1390.0,,47.0,47.0,13.0,54.0,,91.0,89.0,137.0,,2.0
Brighton_36,2017-18,19071,Uwe Hünemeier,SC Paderborn 07,Defender,Germany,2.0,,2.0,1.0,,,1.0,,,,,,,,,,2.0,,2.0,,,,,1.098,,1.0,,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,,,,2.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,1.0,,1.0,,,,,,,17.0,,4.0,,,3.0,4.0,0.0,,,1.0,3.0,8.0,,,,,1.0,,2.0,,1.0,,0.0
Brighton_36,2017-18,83299,Lewis Dunk,Brighton and Hove Albion,Defender,England,195.0,73.0,122.0,38.0,1.0,,102.0,9.0,58.0,,10.0,2.0,,6.0,,,356.0,142.0,214.0,0.4318,2.6672,0.1917,0.8855,51.3586,,593.0,18.0,,1.0,38.0,,,1.0,,,1.0,54.0,51.0,3.0,161.0,69.0,92.0,1.0,,,,9.0,7.0,71.0,10.0,,,244.0,,1.0,,1459.0,,,4.0,,,,,,,,28.0,15.0,252.0,,1.0,557.0,,,,,,,,,9.0,,9.0,7.0,9.0,1.0,38.0,0.0,,,,2.0,2.0,10.0,,17.0,3.0,164.0,292.0,882.0,1008.0,34.0,33.0,3.0,,15.0,3420.0,,223.0,36.0,17.0,373.0,1496.0,0.0,18.0,67.0,43.0,324.0,2100.0,,5.0,5.0,3.0,87.0,,195.0,85.0,129.0,,7.0
Brighton_36,2017-18,85128,Connor Goldson,Rangers,Defender,England,14.0,4.0,10.0,3.0,,,6.0,1.0,3.0,,1.0,,,1.0,,,22.0,9.0,13.0,0.0097,0.2253,,0.2419,2.9469,,42.0,1.0,,,3.0,,,,,,,5.0,5.0,,8.0,5.0,3.0,,,,,1.0,1.0,1.0,,,,25.0,,,,79.0,,,,,,,,,,,1.0,,12.0,,,10.0,,,,,,,,,1.0,,1.0,1.0,1.0,,2.0,0.0,,1.0,,,,,,1.0,,11.0,15.0,46.0,50.0,,2.0,1.0,,2.0,199.0,,8.0,2.0,2.0,23.0,83.0,0.0,2.0,2.0,3.0,22.0,109.0,,1.0,1.0,,10.0,,12.0,8.0,10.0,,1.0
Brighton_36,2017-18,74375,Ezequiel Schelotto,Brighton and Hove Albion,Defender,Italy,46.0,19.0,27.0,20.0,,,72.0,1.0,3.0,,,,,11.0,,,135.0,62.0,73.0,0.6055,0.2414,,0.1409,25.6335,,194.0,4.0,,,20.0,,,,,,,30.0,27.0,3.0,89.0,43.0,46.0,1.0,,,,,2.0,19.0,5.0,,,159.0,1.0,,,449.0,,,,,,,,,,,27.0,4.0,74.0,,,30.0,,,,,,,,,,1.0,3.0,2.0,2.0,,15.0,0.0,3.0,5.0,,5.0,5.0,15.0,,5.0,2.0,32.0,170.0,179.0,312.0,7.0,13.0,1.0,34.0,99.0,1315.0,,51.0,8.0,11.0,214.0,455.0,0.0,5.0,20.0,16.0,111.0,817.0,,28.0,28.0,10.0,23.0,,36.0,48.0,75.0,,3.0
Brighton_36,2017-18,61933,Shane Duffy,Norwich City U21,Defender,Ireland,293.0,95.0,198.0,37.0,,,73.0,5.0,59.0,,9.0,4.0,,6.0,,,391.0,137.0,254.0,0.903,2.3015,,0.3122,49.8235,,519.0,17.0,1.0,,37.0,,,1.0,,,,52.0,49.0,3.0,98.0,42.0,56.0,1.0,,1.0,,5.0,5.0,50.0,7.0,,,468.0,,,7.0,1323.0,,,,1.0,,,,,,,15.0,7.0,162.0,,,298.0,,,,,,,,,5.0,,18.0,5.0,5.0,,37.0,0.0,2.0,,,2.0,2.0,6.0,,18.0,1.0,135.0,175.0,866.0,904.0,12.0,19.0,,,4.0,3294.0,,327.0,33.0,25.0,342.0,1358.0,0.0,23.0,31.0,66.0,319.0,1960.0,,1.0,1.0,1.0,103.0,1.0,162.0,104.0,157.0,,8.0
