team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulFiftyFifty,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Sheffield_Utd_49,2019-20,172649,Dean Henderson,Crystal Palace,Goalkeeper,England,17.0,,17.0,36.0,,,,1.0,,16.0,13.0,,,3.0,,4.0,18.0,,18.0,0.1204,0.0645,,,41.348,,870.0,,,,36.0,199.0,168.0,,,4.0,,33.0,31.0,2.0,1.0,,1.0,,,,,1.0,,1.0,1.0,,,38.0,,,,433.0,,,,3.0,1.0,,,1.0,16.0,,,326.0,,,26.0,1.0,97.0,7.0,60.0,35.0,27.0,,1.0,,,,,,36.0,0.0,,,,,,,,111.0,,265.0,236.0,107.0,78.0,,,,,,3240.0,,29.0,,2.0,599.0,934.0,0.0,,,1.0,591.0,1204.0,,,,,305.0,,590.0,46.0,1.0,0.0,2.0
Sheffield_Utd_49,2019-20,213280,Jake Eastwood,Cambridge United,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Sheffield_Utd_49,2019-20,194126,Michael Verrips,Dender,Goalkeeper,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Sheffield_Utd_49,2019-20,74854,Simon Moore,Sunderland,Goalkeeper,England,,,,2.0,,,,,,,,,,,,,1.0,,1.0,0.0014,,,,4.5218,,38.0,,,,2.0,8.0,7.0,,,2.0,,6.0,6.0,,1.0,,1.0,,,,,,,,,,,2.0,,,,14.0,,,,,,,,,,,,14.0,,,4.0,,5.0,,2.0,3.0,1.0,,,,,,,,2.0,0.0,,,,,,,,4.0,,10.0,10.0,5.0,5.0,1.0,,,,,180.0,,,,,29.0,44.0,0.0,,1.0,,29.0,56.0,,,,,14.0,,29.0,3.0,,0.0,0.0
Sheffield_Utd_49,2019-20,82691,George Baldock,Panathinaikos,Defender,Greece,96.0,57.0,39.0,38.0,,,292.0,3.0,3.0,,13.0,,,26.0,,,358.0,172.0,186.0,2.3354,0.6554,,1.027,45.8698,,424.0,18.0,1.0,,38.0,,,3.0,,,2.0,39.0,37.0,2.0,262.0,115.0,147.0,2.0,,,,2.0,2.0,34.0,20.0,,,332.0,1.0,1.0,11.0,1113.0,,,,,,,,1.0,,93.0,23.0,167.0,,2.0,70.0,,,,,,,,2.0,1.0,5.0,2.0,5.0,1.0,38.0,0.0,,,,37.0,37.0,42.0,,8.0,3.0,22.0,608.0,278.0,827.0,19.0,43.0,,14.0,257.0,3420.0,50.0,69.0,47.0,44.0,480.0,1118.0,0.0,10.0,62.0,63.0,269.0,2017.0,,91.0,91.0,28.0,60.0,,92.0,69.0,177.0,1.0,7.0
Sheffield_Utd_49,2019-20,63426,Enda Stevens,Stoke City,Defender,Ireland,63.0,32.0,31.0,38.0,,,311.0,7.0,8.0,,12.0,,,44.0,,,378.0,186.0,192.0,4.2063,1.3464,,1.2218,44.1268,,571.0,21.0,,,38.0,,,4.0,,,2.0,39.0,37.0,2.0,315.0,154.0,161.0,4.0,1.0,,,6.0,2.0,35.0,30.0,,1.0,90.0,1.0,,2.0,1458.0,,,,,,,,1.0,,85.0,19.0,226.0,,,497.0,,,,,,,2.0,6.0,1.0,11.0,2.0,4.0,,38.0,0.0,2.0,,,20.0,20.0,61.0,,8.0,12.0,70.0,688.0,432.0,1030.0,35.0,46.0,2.0,41.0,263.0,3346.0,66.0,59.0,39.0,19.0,648.0,1469.0,0.0,15.0,81.0,78.0,369.0,2432.0,,103.0,103.0,23.0,55.0,1.0,118.0,102.0,251.0,0.0,7.0
Sheffield_Utd_49,2019-20,146610,Jack O'Connell,Sheffield United,Defender,England,201.0,66.0,135.0,33.0,,,120.0,3.0,17.0,,12.0,,,14.0,,,294.0,112.0,182.0,2.4498,1.0431,,0.3383,36.5501,,762.0,7.0,,,33.0,,,1.0,,,,28.0,27.0,1.0,93.0,46.0,47.0,,,,,3.0,3.0,42.0,15.0,,,212.0,,,2.0,1527.0,,,,,,,,,,45.0,21.0,184.0,,,463.0,,,,,,,,3.0,,8.0,3.0,3.0,,32.0,0.0,,1.0,,11.0,11.0,9.0,,27.0,,125.0,521.0,635.0,1020.0,9.0,14.0,1.0,13.0,58.0,2915.0,17.0,144.0,22.0,17.0,508.0,1557.0,0.0,11.0,23.0,51.0,412.0,2080.0,,40.0,40.0,7.0,89.0,,208.0,98.0,204.0,0.0,4.0
Sheffield_Utd_49,2019-20,40386,Chris Basham,Sheffield United,Defender,England,171.0,62.0,109.0,38.0,,,137.0,,15.0,,12.0,,,8.0,,,387.0,140.0,247.0,1.2637,0.3086,,,42.8938,,572.0,17.0,,,38.0,,,1.0,,,,37.0,35.0,2.0,216.0,78.0,138.0,2.0,,,,,,77.0,11.0,,,416.0,,,5.0,1298.0,,,1.0,,,,,,,48.0,23.0,188.0,,,191.0,,,,,,,,,,6.0,,,,38.0,0.0,13.0,,,6.0,6.0,24.0,,25.0,1.0,70.0,465.0,524.0,913.0,37.0,48.0,,70.0,102.0,3255.0,21.0,167.0,26.0,31.0,512.0,1316.0,0.0,6.0,85.0,44.0,333.0,2112.0,,45.0,45.0,13.0,78.0,,126.0,110.0,207.0,0.0,4.0
Sheffield_Utd_49,2019-20,108416,John Egan,Hull City,Defender,Ireland,213.0,79.0,134.0,36.0,,,106.0,14.0,27.0,,12.0,,,8.0,,,327.0,129.0,198.0,0.501,2.7564,,0.5602,39.9608,,465.0,13.0,,,36.0,,,,,,2.0,30.0,29.0,1.0,114.0,50.0,64.0,2.0,1.0,,,14.0,3.0,58.0,1.0,,,468.0,,,1.0,1268.0,,,1.0,,,,,1.0,,15.0,12.0,177.0,1.0,1.0,251.0,,,,,,,,14.0,,8.0,3.0,5.0,,36.0,0.0,1.0,,,,,1.0,,17.0,,111.0,289.0,746.0,924.0,17.0,27.0,,1.0,5.0,3189.0,1.0,165.0,34.0,20.0,277.0,1290.0,1.0,13.0,44.0,50.0,255.0,1720.0,,2.0,2.0,1.0,60.0,,119.0,81.0,136.0,1.0,3.0
Sheffield_Utd_49,2019-20,7645,Phil Jagielka,Stoke City,Defender,England,19.0,4.0,15.0,6.0,,,9.0,,5.0,,,,,,,,31.0,7.0,24.0,0.0106,,,,4.7867,,28.0,1.0,,,6.0,,,,,,,6.0,6.0,,12.0,3.0,9.0,,,,,,,4.0,,,,24.0,,,,75.0,,,,,,,,,,,,16.0,,,14.0,,,,,,,,,,,,,,2.0,0.0,,4.0,,1.0,1.0,,,1.0,,4.0,13.0,48.0,56.0,1.0,4.0,,4.0,,240.0,,19.0,1.0,4.0,19.0,75.0,0.0,,5.0,1.0,15.0,123.0,,,,,4.0,,6.0,7.0,9.0,0.0,0.0
