team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsOnTargetConceded,forwardPasses,foulWonPenalty,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,offsides,openPlayPasses,otherGoals,overruns,penaltiesConceded,penaltiesFaced,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,recoveries,rightFootGoals,rightsidePasses,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsOffTargetIncWoodwork,shotsOnTargetIncGoals,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Reading_108,2012-13,15885,Adam Federici,Stoke City U23,Goalkeeper,Australia,8.0,,8.0,21.0,,,,,,23.0,3.0,,,,12.0,3.0,9.0,,,,602.0,,21.0,107.0,135.0,,211.0,2.0,,40.0,36.0,4.0,4.0,3.0,1.0,,,,,,1.0,,,6.0,,228.0,,,,3.0,,,3.0,20.0,176.0,,6.0,74.0,10.0,44.0,30.0,17.0,,,,,21.0,0.0,,,,,,,103.0,,221.0,206.0,34.0,19.0,,,,,,1890.0,1.0,24.0,,1.0,378.0,614.0,0.0,,,,374.0,774.0,,,,,166.0,,365.0,19.0,9.0,0.0,0.0
Reading_108,2012-13,58376,Alex McCarthy,Southampton,Goalkeeper,England,2.0,,2.0,13.0,,,,,,20.0,2.0,,,,4.0,1.0,3.0,,,,335.0,,13.0,134.0,87.0,,151.0,,,23.0,22.0,1.0,2.0,1.0,1.0,,,,,1.0,,1.0,,14.0,,156.0,,,,,,,,14.0,136.0,,28.0,70.0,3.0,41.0,28.0,18.0,,,,,13.0,0.0,,,,,,,41.0,,131.0,102.0,63.0,34.0,1.0,,,,,1170.0,,16.0,,,217.0,377.0,0.0,,1.0,,212.0,556.0,,,,,102.0,,204.0,32.0,8.0,0.0,0.0
Reading_108,2012-13,3201,Stuart Taylor,Southampton,Goalkeeper,England,1.0,,1.0,4.0,,,,,,4.0,,,,,2.0,,2.0,,,,97.0,,4.0,22.0,30.0,,47.0,2.0,,10.0,7.0,3.0,1.0,,1.0,,,,,,,,,3.0,,35.0,,,,1.0,,,1.0,3.0,21.0,,2.0,12.0,1.0,5.0,7.0,3.0,,,,,4.0,0.0,,,,,,,13.0,,32.0,31.0,5.0,4.0,,,,,,360.0,,5.0,,,68.0,102.0,0.0,,,,66.0,133.0,,,,,25.0,,66.0,5.0,,0.0,0.0
Reading_108,2012-13,151489,Jonathan Henly,Tonbridge Angels,Goalkeeper,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Reading_108,2012-13,39262,Chris Gunter,AFC Wimbledon,Defender,Wales,22.0,10.0,12.0,20.0,,,77.0,1.0,9.0,,5.0,1.0,,8.0,88.0,35.0,53.0,,,,315.0,,20.0,,,,,,,32.0,29.0,3.0,66.0,25.0,41.0,,,,,20.0,9.0,1.0,,201.0,1.0,606.0,,1.0,1.0,,,,1.0,,58.0,,19.0,,,,,,,,1.0,,20.0,0.0,1.0,,,16.0,16.0,3.0,18.0,2.0,35.0,240.0,203.0,392.0,4.0,17.0,,56.0,199.0,1790.0,9.0,84.0,11.0,17.0,310.0,612.0,0.0,1.0,21.0,7.0,185.0,1139.0,,49.0,49.0,5.0,45.0,,62.0,35.0,123.0,0.0,1.0
Reading_108,2012-13,9493,Stephen Kelly,Rotherham United,Defender,Ireland,53.0,27.0,26.0,18.0,,,99.0,2.0,10.0,,1.0,,,5.0,116.0,58.0,58.0,0.0091,0.2184,2.9572,252.0,,18.0,,,,,,,36.0,29.0,7.0,63.0,31.0,32.0,,,,,36.0,6.0,,,84.0,1.0,492.0,,,,,,,2.0,,53.0,,64.0,,,,,,,,3.0,,16.0,0.0,2.0,2.0,,5.0,5.0,2.0,7.0,2.0,17.0,199.0,164.0,341.0,5.0,18.0,,51.0,154.0,1530.0,10.0,73.0,11.0,7.0,248.0,499.0,0.0,3.0,23.0,9.0,141.0,951.0,,31.0,31.0,4.0,19.0,,33.0,39.0,108.0,0.0,2.0
Reading_108,2012-13,5750,Nicky Shorey,Colchester United,Defender,England,33.0,19.0,14.0,17.0,7.0,,57.0,3.0,6.0,,1.0,1.0,65.0,10.0,70.0,33.0,37.0,,,,331.0,,17.0,,,4.0,,,,34.0,31.0,3.0,37.0,14.0,23.0,1.0,,,,23.0,42.0,,,20.0,,588.0,,2.0,,,,,2.0,,62.0,,227.0,,,,,,,,3.0,4.0,16.0,0.0,,1.0,23.0,49.0,9.0,3.0,11.0,3.0,45.0,324.0,188.0,418.0,2.0,15.0,2.0,32.0,143.0,1443.0,7.0,54.0,6.0,3.0,324.0,635.0,0.0,7.0,17.0,8.0,172.0,1119.0,37.0,93.0,32.0,4.0,44.0,,49.0,36.0,123.0,0.0,0.0
Reading_108,2012-13,40546,Alex Pearce,AFC Wimbledon,Defender,Ireland,113.0,46.0,67.0,19.0,,,39.0,,20.0,,2.0,1.0,,1.0,152.0,62.0,90.0,,,,255.0,,19.0,,,1.0,,,,34.0,27.0,7.0,39.0,16.0,23.0,,,,,22.0,2.0,1.0,,146.0,1.0,492.0,,,,,,,3.0,,48.0,,70.0,,,,,,,,8.0,2.0,18.0,0.0,,1.0,,,,1.0,12.0,,35.0,96.0,255.0,316.0,4.0,11.0,2.0,,,1645.0,,170.0,14.0,7.0,163.0,510.0,0.0,10.0,15.0,27.0,159.0,777.0,,,,,45.0,,45.0,40.0,114.0,0.0,1.0
Reading_108,2012-13,49982,Sean Morrison,Rotherham United,Defender,England,100.0,33.0,67.0,16.0,,1.0,45.0,1.0,19.0,,3.0,2.0,,4.0,143.0,48.0,95.0,,,,210.0,,16.0,,,,,,2.0,26.0,26.0,,43.0,15.0,28.0,,2.0,1.0,1.0,17.0,6.0,3.0,,90.0,,408.0,,,,,,,1.0,,33.0,,77.0,,,,,,,,11.0,4.0,15.0,0.0,1.0,1.0,,,,2.0,13.0,1.0,37.0,77.0,201.0,241.0,4.0,14.0,,4.0,3.0,1327.0,2.0,114.0,10.0,8.0,158.0,422.0,0.0,15.0,18.0,38.0,144.0,646.0,,2.0,2.0,,25.0,,27.0,40.0,117.0,0.0,0.0
Reading_108,2012-13,20145,Adrian Mariappa,Wealdstone,Defender,Jamaica,156.0,71.0,85.0,29.0,,1.0,55.0,2.0,35.0,,4.0,4.0,,2.0,274.0,109.0,165.0,,,,343.0,,29.0,,1.0,,1.0,,1.0,55.0,48.0,7.0,118.0,38.0,80.0,1.0,1.0,1.0,0.0,56.0,2.0,2.0,,149.0,3.0,664.0,,1.0,1.0,,,,3.0,,78.0,,137.0,,,,,,,,6.0,4.0,29.0,0.0,,,,,,7.0,10.0,,48.0,139.0,363.0,454.0,16.0,38.0,2.0,,2.0,2610.0,7.0,244.0,19.0,19.0,207.0,684.0,0.0,10.0,54.0,16.0,182.0,1168.0,,,,,44.0,,36.0,60.0,146.0,0.0,5.0
