team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,penaltiesConceded,penaltiesFaced,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Middlesbrough_25,2016-17,41705,Brad Guzan,Middlesbrough,Goalkeeper,United States,,,,10.0,,,,,,9.0,3.0,,,,1.0,,3.0,1.0,2.0,0.0182,,,,15.679,271.0,1.0,,,10.0,92.0,45.0,,97.0,5.0,,17.0,15.0,2.0,3.0,1.0,2.0,,,,,,,1.0,,,15.0,,,,113.0,1.0,2.0,,,1.0,3.0,,,106.0,,,11.0,37.0,5.0,18.0,19.0,11.0,,,,,,,,10.0,0.0,,,,,,,45.0,,110.0,92.0,42.0,24.0,,,,,,900.0,,6.0,1.0,1.0,165.0,297.0,0.0,,,,163.0,398.0,,,,,86.0,,163.0,21.0,,0.0,0.0
Middlesbrough_25,2016-17,19101,Dimitrios Konstantopoulos,Hartlepool United,Goalkeeper,Greece,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Middlesbrough_25,2016-17,12496,Víctor Valdés,Middlesbrough,Goalkeeper,Spain,6.0,,6.0,28.0,,,1.0,,,26.0,8.0,,,,3.0,3.0,10.0,1.0,9.0,0.0525,,,,39.0369,750.0,,,,28.0,196.0,140.0,,258.0,7.0,,36.0,31.0,5.0,4.0,1.0,3.0,,,,,,,3.0,,,85.0,,,,416.0,,3.0,,,3.0,14.0,,,239.0,,,52.0,80.0,12.0,50.0,30.0,21.0,,,,,,,,28.0,0.0,,,,,,,163.0,,295.0,223.0,249.0,177.0,,1.0,,,,2520.0,,29.0,,4.0,421.0,888.0,0.0,,1.0,1.0,416.0,1126.0,,,,,204.0,,416.0,78.0,,0.0,1.0
Middlesbrough_25,2016-17,54771,Fábio,Nantes,Defender,Brazil,81.0,39.0,42.0,24.0,,,118.0,1.0,7.0,,4.0,,,9.0,,,254.0,111.0,143.0,1.053,0.1535,,0.0708,30.7481,335.0,19.0,,,24.0,,,,,,,30.0,26.0,4.0,173.0,72.0,101.0,,,,,,,35.0,16.0,,118.0,1.0,2.0,4.0,705.0,,,,,4.0,,34.0,20.0,102.0,,,138.0,,,,,,,,1.0,2.0,,2.0,2.0,21.0,0.0,5.0,3.0,,14.0,14.0,18.0,8.0,2.0,24.0,301.0,216.0,479.0,14.0,49.0,2.0,21.0,134.0,1849.0,28.0,66.0,29.0,20.0,331.0,709.0,0.0,4.0,63.0,8.0,206.0,1249.0,,56.0,56.0,13.0,42.0,,64.0,58.0,142.0,0.0,8.0
Middlesbrough_25,2016-17,40202,George Friend,Bristol Rovers,Defender,England,85.0,38.0,47.0,24.0,,,107.0,7.0,11.0,,4.0,,,11.0,,,294.0,129.0,165.0,0.8248,0.6952,,0.0699,35.3721,356.0,15.0,,,24.0,,,2.0,,,,35.0,31.0,4.0,209.0,91.0,118.0,2.0,,,,7.0,,56.0,9.0,,54.0,,1.0,,765.0,,,,,1.0,,42.0,12.0,116.0,,,263.0,,,,,,,7.0,,7.0,,1.0,1.0,20.0,0.0,,4.0,,5.0,5.0,36.0,13.0,,45.0,290.0,317.0,557.0,15.0,47.0,,37.0,155.0,1960.0,44.0,80.0,28.0,24.0,328.0,780.0,0.0,8.0,62.0,29.0,178.0,1429.0,,32.0,32.0,27.0,42.0,,72.0,63.0,106.0,0.0,4.0
Middlesbrough_25,2016-17,75880,Daniel Ayala,Rotherham United,Defender,Spain,55.0,19.0,36.0,14.0,,0.0,34.0,,6.0,,3.0,,,,,,93.0,44.0,49.0,0.0901,1.8631,,0.877,15.7234,155.0,7.0,,,14.0,,,,,,1.0,16.0,15.0,1.0,38.0,25.0,13.0,,1.0,,1.0,,4.0,27.0,,,134.0,,,1.0,375.0,,,,,,,7.0,4.0,57.0,,,57.0,,,,,,,,,5.0,4.0,5.0,,11.0,0.0,2.0,3.0,,1.0,1.0,,10.0,,38.0,84.0,219.0,264.0,6.0,5.0,1.0,,1.0,917.0,1.0,68.0,15.0,3.0,89.0,380.0,0.0,10.0,11.0,14.0,78.0,527.0,,5.0,5.0,,25.0,,39.0,21.0,39.0,0.0,3.0
Middlesbrough_25,2016-17,55317,Bernardo Espinosa,Marbella,Defender,Colombia,62.0,35.0,27.0,11.0,,,28.0,,6.0,,3.0,,,,,,118.0,63.0,55.0,0.1716,0.0592,,0.0736,17.5517,209.0,9.0,,,11.0,,,,,,,13.0,11.0,2.0,56.0,28.0,28.0,,,,,,1.0,18.0,,,186.0,,,1.0,513.0,1.0,,,,1.0,,12.0,8.0,41.0,,,103.0,,,,,,,,,1.0,1.0,1.0,,10.0,0.0,1.0,1.0,,,,,10.0,,42.0,132.0,316.0,406.0,6.0,16.0,,,,975.0,,68.0,17.0,7.0,78.0,526.0,0.0,2.0,22.0,2.0,78.0,670.0,,,,,21.0,,35.0,32.0,43.0,0.0,2.0
Middlesbrough_25,2016-17,83312,Ben Gibson,Stoke City,Defender,England,128.0,67.0,61.0,38.0,,0.0,148.0,4.0,31.0,,11.0,1.0,,1.0,,,222.0,100.0,122.0,1.0906,1.2574,,2.1012,54.7159,671.0,7.0,,,38.0,,,1.0,,,1.0,53.0,46.0,7.0,94.0,33.0,61.0,,1.0,,1.0,3.0,3.0,57.0,2.0,,302.0,1.0,2.0,1.0,1640.0,,,,,4.0,,23.0,10.0,135.0,,,561.0,,,,,,,3.0,1.0,5.0,3.0,6.0,2.0,38.0,0.0,,,,,,17.0,33.0,3.0,148.0,441.0,982.0,1275.0,9.0,22.0,,,6.0,3420.0,9.0,234.0,19.0,15.0,283.0,1682.0,0.0,11.0,31.0,21.0,259.0,2150.0,,,,1.0,92.0,,146.0,91.0,113.0,0.0,4.0
Middlesbrough_25,2016-17,15633,Alex Baptiste,Bolton Wanderers,Defender,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Middlesbrough_25,2016-17,20399,Antonio Barragán,Real Betis,Defender,Spain,43.0,22.0,21.0,26.0,,,151.0,1.0,13.0,,7.0,,,12.0,,,215.0,86.0,129.0,1.5117,0.093,,,32.5078,426.0,13.0,,,26.0,,,,,,,32.0,26.0,6.0,172.0,64.0,108.0,,,,,1.0,,59.0,9.0,,367.0,,,1.0,999.0,,,,,2.0,,34.0,16.0,131.0,,,83.0,,,,,,,1.0,,2.0,,,,26.0,0.0,3.0,,,17.0,17.0,16.0,11.0,5.0,62.0,374.0,464.0,759.0,19.0,53.0,1.0,49.0,172.0,2196.0,15.0,70.0,27.0,20.0,355.0,1027.0,0.0,2.0,72.0,17.0,206.0,1665.0,,54.0,54.0,7.0,42.0,,79.0,62.0,127.0,0.0,5.0
