team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,rightFootGoals,rightsidePasses,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Luton_102,2023-24,77818,James Shea,Luton Town,Goalkeeper,England,,,,1.0,,,,,,,,,,,,,,,0.0008,,,,0.1257,7.0,,,,1.0,3.0,1.0,,3.0,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,2.0,,1.0,2.0,,,2.0,,,,,,,,,,,0.0,,1.0,,,,,2.0,,3.0,3.0,2.0,2.0,,,,,,14.0,,2.0,,,3.0,8.0,0.0,,,,3.0,13.0,,,,,2.0,,3.0,1.0,,0.0,0.0
Luton_102,2023-24,20480,Tim Krul,Luton Town,Goalkeeper,Netherlands,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Luton_102,2023-24,54738,Thomas Kaminski,Charlton Athletic,Goalkeeper,Belgium,4.0,,4.0,38.0,,,,,,15.0,2.0,,,,1.0,15.0,4.0,11.0,0.1022,,,,79.39,980.0,,,,38.0,350.0,141.0,,341.0,4.0,,85.0,78.0,7.0,11.0,4.0,7.0,,,,,,,,1.0,1.0,,177.0,,,,764.0,,,,4.0,,,4.0,8.0,1.0,1.0,328.0,,155.0,145.0,5.0,98.0,42.0,35.0,,,,,,,,,38.0,0.0,1.0,,,,,2.0,111.0,,312.0,236.0,485.0,409.0,1.0,1.0,,,,3406.0,,22.0,,3.0,600.0,1312.0,0.0,,2.0,,591.0,1670.0,,,,,298.0,,579.0,99.0,12.0,0.0,3.0
Luton_102,2023-24,199056,Gabriel Osho,Cardiff City,Defender,Nigeria,75.0,38.0,37.0,21.0,,1.0,59.0,1.0,20.0,,2.0,,,3.0,,183.0,85.0,98.0,0.2215,1.0889,,1.2625,47.1462,274.0,14.0,,,21.0,,,,,,2.0,47.0,42.0,5.0,108.0,47.0,61.0,,2.0,,1.0,1.0,,31.0,2.0,,,174.0,,,1.0,694.0,1.0,,,,,,2.0,,20.0,17.0,103.0,,195.0,,,,,,,,1.0,,7.0,,2.0,,21.0,0.0,2.0,,,1.0,1.0,7.0,7.0,,27.0,166.0,414.0,552.0,19.0,22.0,,,,1848.0,15.0,88.0,23.0,14.0,154.0,702.0,0.0,9.0,41.0,21.0,123.0,1007.0,,2.0,2.0,5.0,30.0,,60.0,45.0,63.0,0.0,3.0
Luton_102,2023-24,108411,Dan Potts,Charlton Athletic,Defender,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Luton_102,2023-24,165183,Amari'i Bell,Charlton Athletic,Defender,Jamaica,43.0,22.0,21.0,21.0,,,75.0,,15.0,,1.0,,,4.0,,173.0,77.0,96.0,0.4462,0.2604,,0.3067,40.3787,391.0,18.0,,,21.0,3.0,1.0,,4.0,,,41.0,40.0,1.0,130.0,55.0,75.0,,,,,,1.0,25.0,8.0,,,93.0,,1.0,,770.0,1.0,,,,,,2.0,,41.0,18.0,98.0,,230.0,,,,,,,,,,,1.0,2.0,1.0,21.0,0.0,3.0,,,1.0,1.0,10.0,5.0,1.0,29.0,267.0,362.0,599.0,17.0,33.0,2.0,13.0,16.0,1722.0,20.0,55.0,22.0,16.0,229.0,789.0,0.0,2.0,50.0,6.0,161.0,1111.0,,12.0,12.0,15.0,30.0,,63.0,62.0,98.0,0.0,0.0
Luton_102,2023-24,108796,Tom Lockyer,Bristol Rovers,Defender,Wales,48.0,17.0,31.0,14.0,,1.0,31.0,1.0,13.0,,,,,,,112.0,42.0,70.0,0.2801,1.078,,0.8925,28.8043,213.0,7.0,,,14.0,1.0,,1.0,1.0,,1.0,23.0,22.0,1.0,64.0,25.0,39.0,,,,0.0,1.0,,23.0,2.0,1.0,1.0,92.0,,,,400.0,1.0,1.0,1.0,,,,1.0,,17.0,10.0,89.0,,82.0,,,,,,,,1.0,,5.0,,1.0,,14.0,0.0,4.0,,,,,4.0,7.0,,45.0,115.0,184.0,254.0,9.0,16.0,1.0,,2.0,1171.0,4.0,66.0,15.0,10.0,132.0,418.0,0.0,6.0,25.0,19.0,119.0,618.0,,1.0,1.0,2.0,24.0,,65.0,39.0,54.0,0.0,4.0
Luton_102,2023-24,208904,Mads Andersen,Luton Town,Defender,Denmark,17.0,6.0,11.0,8.0,,0.0,7.0,,6.0,,,,,,,31.0,12.0,19.0,0.0109,0.2608,,0.7561,5.5099,68.0,3.0,,,8.0,,,,,,1.0,6.0,6.0,,14.0,6.0,8.0,,1.0,,1.0,,,8.0,,,,18.0,,,,115.0,,,,,,,1.0,,4.0,3.0,25.0,,22.0,,,,,,,,,,2.0,,1.0,,4.0,0.0,2.0,4.0,,,,,2.0,,7.0,23.0,62.0,78.0,1.0,5.0,,,2.0,399.0,1.0,29.0,6.0,2.0,37.0,115.0,0.0,3.0,6.0,4.0,30.0,186.0,,,,1.0,10.0,,12.0,16.0,18.0,0.0,1.0
Luton_102,2023-24,476369,Issa Kaboré,Wrexham,Defender,Burkina Faso,38.0,20.0,18.0,24.0,,,108.0,2.0,11.0,,,1.0,,13.0,,209.0,92.0,117.0,1.8776,0.2201,,0.1376,36.3941,228.0,21.0,,,24.0,,,2.0,,,,39.0,37.0,2.0,171.0,72.0,99.0,,,,,2.0,1.0,16.0,14.0,,,153.0,,,2.0,535.0,8.0,1.0,,,,,,,55.0,11.0,102.0,,52.0,,,,,,,,2.0,,3.0,1.0,1.0,,21.0,0.0,8.0,3.0,,14.0,14.0,18.0,4.0,1.0,15.0,212.0,213.0,396.0,24.0,28.0,1.0,43.0,108.0,1732.0,26.0,46.0,27.0,30.0,285.0,541.0,0.0,4.0,52.0,18.0,130.0,1047.0,,52.0,52.0,18.0,21.0,,32.0,56.0,98.0,0.0,7.0
Luton_102,2023-24,244856,Teden Mengi,Luton Town,Defender,England,103.0,43.0,60.0,30.0,,0.0,109.0,,27.0,,1.0,2.0,,,,223.0,95.0,128.0,0.5927,0.5796,,1.2365,55.0419,380.0,28.0,,,30.0,,,,,,1.0,59.0,54.0,5.0,120.0,52.0,68.0,2.0,,,1.0,,,57.0,6.0,1.0,,277.0,,3.0,1.0,911.0,1.0,,1.0,,,,1.0,,19.0,12.0,126.0,1.0,162.0,,,,,,,,,,7.0,,4.0,3.0,28.0,0.0,3.0,2.0,,,,7.0,15.0,,70.0,236.0,490.0,656.0,32.0,22.0,1.0,2.0,2.0,2470.0,8.0,136.0,35.0,7.0,241.0,928.0,0.0,11.0,54.0,24.0,202.0,1331.0,,2.0,1.0,3.0,58.0,,110.0,65.0,92.0,0.0,3.0
