team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulFiftyFifty,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Nottm_Forest_17,2022-23,172649,Dean Henderson,Crystal Palace,Goalkeeper,England,1.0,,1.0,18.0,,,,,,18.0,6.0,,,,2.0,3.0,1.0,2.0,0.0255,,,,27.3984,,365.0,1.0,,,18.0,206.0,57.0,,156.0,3.0,,31.0,19.0,12.0,2.0,1.0,1.0,,,,,,,,,,,108.0,,,,330.0,,,,1.0,5.0,2.0,,,2.0,8.0,,,156.0,,,89.0,2.0,55.0,3.0,40.0,14.0,14.0,,,,,,,,,18.0,0.0,,,,,,,,20.0,,115.0,70.0,249.0,204.0,,,,,,1620.0,,20.0,1.0,1.0,247.0,562.0,0.0,,,,243.0,772.0,,,,,89.0,,240.0,42.0,3.0,0.0,2.0
Nottm_Forest_17,2022-23,184193,Jordan Smith,Hibernian,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Nottm_Forest_17,2022-23,28411,Keylor Navas,Nottingham Forest,Goalkeeper,Costa Rica,6.0,,6.0,17.0,,,,,,13.0,1.0,,,,1.0,7.0,,7.0,0.0183,,,,30.6455,,355.0,,,,17.0,144.0,72.0,,151.0,5.0,,32.0,29.0,3.0,1.0,,1.0,,,,,,,1.0,,,,44.0,,,,188.0,,,,,4.0,,,,4.0,13.0,,,149.0,,,65.0,,51.0,2.0,35.0,16.0,9.0,,,,,,,,,17.0,0.0,1.0,,,,,1.0,,17.0,,119.0,76.0,165.0,122.0,,,,,,1529.0,,24.0,,,229.0,464.0,0.0,,,,223.0,633.0,,,,,56.0,,220.0,41.0,3.0,0.0,2.0
Nottm_Forest_17,2022-23,20066,Wayne Hennessey,Nottingham Forest,Goalkeeper,Wales,,,,4.0,,,,,,,,,,,1.0,2.0,,2.0,0.003,,,,3.9244,,58.0,,,,4.0,29.0,9.0,,25.0,,,5.0,5.0,,2.0,,2.0,,,,,,,,,,,15.0,,,,47.0,,,,,,,,,,1.0,,,19.0,,,11.0,,9.0,,7.0,2.0,5.0,,,,,,,,,3.0,0.0,,1.0,,,,,,1.0,,23.0,16.0,32.0,25.0,1.0,,,,,271.0,,3.0,,1.0,38.0,84.0,0.0,,1.0,,36.0,114.0,,,,,8.0,,36.0,5.0,,0.0,0.0
Nottm_Forest_17,2022-23,450197,George Shelvey,Gateshead,Goalkeeper,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Nottm_Forest_17,2022-23,437753,Giulian Biancone,Olympiakos,Defender,France,2.0,,2.0,2.0,,,1.0,,,,,,,,,4.0,,4.0,0.0002,,,,0.7872,1.0,11.0,,,,2.0,,,,,,,1.0,1.0,,2.0,,2.0,,,,,,,1.0,,,,5.0,,,,18.0,,,,,,,,,,,,,5.0,,,1.0,,,,,,,,,,,,,,,,0.0,,2.0,,,,,1.0,1.0,,1.0,2.0,11.0,12.0,1.0,1.0,,,2.0,16.0,,,,,6.0,18.0,0.0,,2.0,,5.0,26.0,,1.0,1.0,,1.0,,2.0,2.0,3.0,0.0,0.0
Nottm_Forest_17,2022-23,56917,Steve Cook,Queens Park Rangers,Defender,England,37.0,10.0,27.0,12.0,,,30.0,,11.0,,2.0,,,,,57.0,18.0,39.0,0.6156,0.1332,,,16.3672,15.0,152.0,3.0,,,12.0,,,,,,,21.0,11.0,10.0,20.0,8.0,12.0,1.0,,,,,,12.0,3.0,,,161.0,,,,444.0,,,,1.0,,,,,2.0,,7.0,5.0,35.0,,,112.0,,,,,,,,,,,3.0,,,,11.0,0.0,3.0,1.0,,1.0,1.0,2.0,5.0,3.0,,32.0,83.0,285.0,335.0,4.0,4.0,,1.0,1.0,958.0,2.0,50.0,5.0,2.0,95.0,455.0,0.0,3.0,8.0,12.0,88.0,568.0,,,,,19.0,,44.0,29.0,44.0,0.0,4.0
Nottm_Forest_17,2022-23,208912,Joe Worrall,Burnley,Defender,England,88.0,33.0,55.0,30.0,,1.0,74.0,,23.0,,5.0,2.0,,,,190.0,75.0,115.0,0.5691,0.7728,,0.8168,39.6679,47.0,492.0,19.0,,,30.0,2.0,4.0,,6.0,,1.0,44.0,36.0,8.0,102.0,42.0,60.0,,1.0,,0.0,,1.0,26.0,5.0,1.0,,353.0,,,,1055.0,,,,2.0,,,,,3.0,,19.0,10.0,123.0,,,175.0,,,,,,,,,,,5.0,1.0,2.0,,21.0,0.0,1.0,9.0,,,,3.0,27.0,6.0,,85.0,235.0,624.0,774.0,28.0,25.0,,26.0,32.0,2216.0,5.0,108.0,27.0,4.0,277.0,1094.0,0.0,7.0,53.0,29.0,235.0,1429.0,,3.0,3.0,1.0,37.0,,105.0,72.0,130.0,0.0,6.0
Nottm_Forest_17,2022-23,242885,Loïc Mbe Soh,Sint-Truiden,Defender,France,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Nottm_Forest_17,2022-23,215136,Neco Williams,Nottingham Forest,Defender,Wales,44.0,27.0,17.0,31.0,2.0,1.0,112.0,5.0,8.0,,2.0,3.0,13.0,15.0,,275.0,140.0,135.0,1.2346,1.2473,0.0702,1.5755,39.5218,42.0,271.0,18.0,1.0,2.0,31.0,,,,,,1.0,41.0,30.0,11.0,231.0,113.0,118.0,2.0,,,0.0,3.0,3.0,33.0,15.0,1.0,,176.0,2.0,3.0,2.0,576.0,,5.0,,,,,,,3.0,,63.0,25.0,127.0,,1.0,44.0,,,,,,,,,3.0,2.0,13.0,3.0,7.0,3.0,20.0,0.0,5.0,11.0,5.0,18.0,12.0,19.0,23.0,7.0,,39.0,186.0,235.0,364.0,25.0,47.0,3.0,29.0,112.0,1874.0,48.0,37.0,33.0,27.0,391.0,603.0,0.0,20.0,72.0,27.0,200.0,1234.0,8.0,71.0,63.0,31.0,22.0,1.0,78.0,70.0,122.0,0.0,7.0
