team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,forwardPasses,foulWonPenalty,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,offsides,openPlayPasses,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,recoveries,rightFootGoals,rightsidePasses,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,setPiecesGoals,shotsOffTargetIncWoodwork,shotsOnTargetIncGoals,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Blackpool_92,2010-11,8379,Paul Rachubka,Bury,Goalkeeper,United States,1.0,1.0,,2.0,,,,,,1.0,,,,,1.0,,3.0,2.0,1.0,50.0,,2.0,7.0,12.0,,15.0,,,5.0,5.0,,2.0,1.0,1.0,,,,,,,,,1.0,,27.0,1.0,,,,,,,1.0,17.0,,2.0,6.0,3.0,2.0,4.0,,,,,1.0,0.0,,1.0,,,,,9.0,,14.0,12.0,9.0,7.0,,,,,,124.0,,2.0,,1.0,33.0,53.0,0.0,,,,32.0,68.0,,,,,16.0,,31.0,4.0,1.0,0.0,0.0
Blackpool_92,2010-11,8437,Matthew Gilks,Bolton Wanderers,Goalkeeper,Scotland,3.0,1.0,2.0,18.0,,,,,,26.0,3.0,,,,1.0,4.0,11.0,3.0,8.0,504.0,,18.0,180.0,115.0,,185.0,1.0,,35.0,32.0,3.0,8.0,2.0,6.0,,,,,,,,,55.0,,302.0,,,,1.0,,,1.0,8.0,200.0,,32.0,64.0,18.0,35.0,28.0,12.0,,,,18.0,0.0,1.0,,,,,1.0,81.0,,178.0,129.0,148.0,99.0,,,,,,1575.0,,13.0,,4.0,323.0,591.0,0.0,,,,314.0,818.0,,,,,160.0,,305.0,29.0,9.0,0.0,0.0
Blackpool_92,2010-11,59968,Mark Halstead,Torquay United,Goalkeeper,England,,,,1.0,,,,,,,,,,,,,,,,9.0,,1.0,3.0,2.0,,4.0,,,,,,,,,,,,,,,,,,,2.0,,,,,,,,,4.0,,,4.0,1.0,3.0,1.0,1.0,,,,,0.0,,1.0,,,,,,,4.0,4.0,,,,,,,,24.0,,1.0,,,5.0,9.0,0.0,,,,5.0,15.0,,,,,2.0,,5.0,1.0,,0.0,0.0
Blackpool_92,2010-11,93856,Chris Kettings,Oldham Athletic,Goalkeeper,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Blackpool_92,2010-11,33268,Richard Kingson,Blackpool,Goalkeeper,Ghana,5.0,2.0,3.0,20.0,,,,,,17.0,2.0,,,,1.0,1.0,15.0,4.0,11.0,590.0,,20.0,185.0,134.0,,233.0,,,38.0,32.0,6.0,10.0,2.0,8.0,,,,,,,,,42.0,,314.0,,,,2.0,,,1.0,20.0,220.0,,52.0,76.0,14.0,46.0,29.0,17.0,,,,19.0,0.0,2.0,1.0,,,,4.0,83.0,,198.0,157.0,175.0,134.0,,2.0,,,,1697.0,,30.0,,2.0,359.0,684.0,0.0,,2.0,,352.0,911.0,,,,,163.0,,334.0,43.0,18.0,0.0,0.0
Blackpool_92,2010-11,4422,Stephen Crainey,AFC Fylde,Defender,Scotland,29.0,13.0,16.0,31.0,,,297.0,,23.0,,6.0,3.0,,8.0,,,171.0,79.0,92.0,439.0,,31.0,,,,,,,58.0,53.0,5.0,142.0,66.0,76.0,,,,,36.0,32.0,1.0,,37.0,1.0,1296.0,2.0,,,,,,2.0,,142.0,,549.0,,,,,,,3.0,1.0,31.0,0.0,2.0,,,24.0,24.0,2.0,25.0,16.0,92.0,537.0,577.0,998.0,13.0,56.0,1.0,34.0,253.0,2748.0,21.0,143.0,18.0,5.0,381.0,1322.0,0.0,4.0,69.0,16.0,232.0,2086.0,,68.0,68.0,6.0,69.0,2.0,106.0,48.0,126.0,0.0,3.0
Blackpool_92,2010-11,37011,Neal Eardley,Barrow,Defender,Wales,19.0,11.0,8.0,31.0,7.0,0.0,171.0,4.0,14.0,,5.0,5.0,7.0,11.0,,,150.0,68.0,82.0,477.0,,31.0,,,,,,1.0,53.0,46.0,7.0,131.0,57.0,74.0,,,1.0,1.0,49.0,22.0,,,447.0,3.0,1111.0,7.0,1.0,,,,,1.0,,144.0,1.0,49.0,,,,,,1.0,12.0,4.0,30.0,0.0,7.0,1.0,2.0,26.0,22.0,11.0,25.0,6.0,109.0,442.0,477.0,784.0,15.0,37.0,2.0,41.0,285.0,2558.0,31.0,113.0,14.0,11.0,460.0,1144.0,0.0,16.0,52.0,11.0,251.0,1989.0,2.0,100.0,94.0,15.0,83.0,,96.0,69.0,155.0,0.0,4.0
Blackpool_92,2010-11,5544,Ian Evatt,Chesterfield,Defender,England,191.0,82.0,109.0,38.0,,1.0,103.0,6.0,48.0,,6.0,3.0,,8.0,,,372.0,149.0,223.0,709.0,,38.0,,,3.0,,,1.0,67.0,60.0,7.0,181.0,67.0,114.0,3.0,1.0,2.0,0.0,45.0,14.0,2.0,,198.0,3.0,1309.0,1.0,2.0,2.0,,,,1.0,,105.0,,329.0,,,,,,,11.0,7.0,36.0,1.0,1.0,2.0,,1.0,1.0,9.0,40.0,5.0,133.0,334.0,656.0,856.0,27.0,56.0,2.0,,1.0,3215.0,13.0,430.0,39.0,22.0,398.0,1339.0,1.0,18.0,83.0,47.0,350.0,2075.0,,9.0,9.0,1.0,144.0,,162.0,72.0,188.0,0.0,6.0
Blackpool_92,2010-11,15633,Alex Baptiste,Bolton Wanderers,Defender,England,68.0,32.0,36.0,21.0,,2.0,86.0,4.0,17.0,,2.0,2.0,,5.0,,,179.0,80.0,99.0,296.0,,21.0,,,,,,2.0,50.0,45.0,5.0,111.0,48.0,63.0,1.0,,,0.0,18.0,5.0,,,178.0,1.0,654.0,1.0,,,,,,2.0,,101.0,2.0,101.0,,,,,,,8.0,3.0,19.0,0.0,,2.0,,5.0,5.0,1.0,14.0,3.0,41.0,189.0,321.0,464.0,10.0,41.0,,18.0,94.0,1729.0,14.0,189.0,11.0,11.0,223.0,661.0,0.0,11.0,51.0,18.0,156.0,1164.0,,18.0,18.0,4.0,38.0,,47.0,52.0,109.0,0.0,2.0
Blackpool_92,2010-11,41338,Craig Cathcart,Watford,Defender,Northern Ireland,90.0,46.0,44.0,30.0,,0.0,51.0,1.0,43.0,,4.0,1.0,,1.0,,,188.0,73.0,115.0,413.0,,30.0,,,,,,1.0,53.0,46.0,7.0,98.0,27.0,71.0,,1.0,,1.0,26.0,8.0,3.0,,265.0,,834.0,,1.0,,,,,1.0,,90.0,,129.0,,,,,,,5.0,2.0,28.0,0.0,3.0,2.0,,,,1.0,22.0,1.0,103.0,169.0,548.0,614.0,10.0,44.0,,,2.0,2389.0,1.0,296.0,10.0,16.0,151.0,858.0,0.0,7.0,54.0,11.0,141.0,1332.0,,2.0,2.0,,42.0,,57.0,44.0,84.0,0.0,1.0
