team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,fiftyFifty,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulFiftyFifty,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Burnley_90,2009-10,3390,Leon Cort,Burnley,Defender,Guyana,88.0,31.0,57.0,15.0,,,,,18.0,,,2.0,,,,,119.0,42.0,77.0,,,,,,,,,,,15.0,,,1.0,,,,35.0,31.0,4.0,31.0,11.0,20.0,,,,,,,13.0,2.0,2.0,,,,,,251.0,,,,,,,,,2.0,,,,28.0,,,,,,,,,,,,,,2.0,,2.0,,15.0,0.0,1.0,,,,,,,4.0,1.0,8.0,51.0,98.0,141.0,2.0,9.0,,,,1291.0,3.0,156.0,7.0,9.0,164.0,252.0,0.0,4.0,11.0,13.0,103.0,482.0,,,,,20.0,,11.0,31.0,92.0,0.0,0.0
Burnley_90,2009-10,31881,André Bikey,Port Vale,Defender,Cameroon,104.0,46.0,58.0,28.0,,0.0,,5.0,15.0,,3.0,,,3.0,,,325.0,164.0,161.0,,,,,,,,,1.0,,28.0,,,,,,1.0,55.0,48.0,7.0,221.0,118.0,103.0,1.0,,,1.0,,,55.0,8.0,2.0,,,,,,708.0,,,,1.0,,,,,3.0,,,,130.0,,1.0,,,,,,,,,,,,18.0,,7.0,,26.0,0.0,8.0,2.0,,2.0,2.0,21.0,,9.0,6.0,73.0,264.0,257.0,446.0,14.0,39.0,4.0,,2.0,2190.0,46.0,110.0,51.0,29.0,306.0,721.0,0.0,25.0,53.0,25.0,202.0,1142.0,,3.0,3.0,9.0,47.0,1.0,61.0,51.0,141.0,2.0,5.0
Burnley_90,2009-10,14926,Stephen Jordan,Chorley,Defender,England,49.0,22.0,27.0,25.0,,,,1.0,4.0,,3.0,,,4.0,,,180.0,70.0,110.0,,,,,,,,,,,25.0,,,1.0,,,,43.0,39.0,4.0,131.0,48.0,83.0,,,,,,,45.0,9.0,2.0,,,,,,806.0,,,1.0,,,,,,3.0,,,,90.0,1.0,,,,,,,,,,,,,,,1.0,,23.0,0.0,2.0,2.0,,4.0,4.0,11.0,,13.0,2.0,36.0,303.0,282.0,545.0,9.0,48.0,,44.0,200.0,2024.0,10.0,134.0,26.0,15.0,371.0,819.0,1.0,1.0,57.0,12.0,238.0,1419.0,,28.0,28.0,3.0,58.0,,63.0,48.0,175.0,0.0,2.0
Burnley_90,2009-10,50464,Brian Easton,Burnley,Defender,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Burnley_90,2009-10,40145,Jack Cork,Burnley U21,Defender,England,22.0,16.0,6.0,11.0,,0.0,,3.0,,,,,,3.0,,,105.0,61.0,44.0,,,,,,,,,,,11.0,,,3.0,,,1.0,22.0,18.0,4.0,83.0,45.0,38.0,,1.0,,1.0,,,18.0,11.0,,,,,,,297.0,,,,,,,,,1.0,,,,47.0,,,,,,,,,,,,,,3.0,,4.0,,8.0,0.0,2.0,3.0,,2.0,2.0,1.0,,2.0,10.0,6.0,167.0,78.0,237.0,3.0,19.0,8.0,,1.0,772.0,28.0,7.0,7.0,15.0,96.0,298.0,0.0,7.0,22.0,12.0,55.0,447.0,,10.0,10.0,7.0,4.0,1.0,5.0,6.0,50.0,0.0,1.0
Burnley_90,2009-10,3359,Graham Alexander,Burnley,Midfielder,Scotland,25.0,12.0,13.0,33.0,,3.0,,9.0,11.0,,2.0,,17.0,5.0,,,192.0,91.0,101.0,,,,,,,,,,,33.0,,1.0,1.0,,,7.0,64.0,58.0,6.0,167.0,79.0,88.0,1.0,,,4.0,,,60.0,36.0,,,,,,,1373.0,,,,,,,6.0,6.0,4.0,,,,146.0,,7.0,,,,,,,,,,,,9.0,,11.0,,33.0,0.0,10.0,,5.0,15.0,6.0,1.0,,14.0,31.0,105.0,719.0,437.0,1036.0,17.0,41.0,8.0,,7.0,2747.0,30.0,59.0,27.0,29.0,406.0,1448.0,0.0,20.0,58.0,13.0,307.0,1831.0,11.0,35.0,17.0,1.0,25.0,2.0,62.0,63.0,245.0,4.0,3.0
Burnley_90,2009-10,20491,Christopher McCann,Burton Albion,Midfielder,Ireland,4.0,1.0,3.0,7.0,,,,3.0,2.0,,2.0,,,4.0,,,47.0,26.0,21.0,,,,,,,,,,,7.0,,,,,,,9.0,9.0,,43.0,25.0,18.0,,,,,,,9.0,6.0,,,,,,,135.0,,,,1.0,,,,,,,,,24.0,,,,,,,,,,,,,,1.0,,1.0,,7.0,0.0,2.0,,,2.0,2.0,3.0,,,8.0,6.0,58.0,49.0,99.0,2.0,8.0,1.0,,,491.0,17.0,11.0,4.0,5.0,65.0,135.0,0.0,2.0,10.0,9.0,30.0,227.0,,11.0,11.0,5.0,5.0,1.0,9.0,6.0,21.0,0.0,0.0
Burnley_90,2009-10,55038,Kevin McDonald,Exeter City,Midfielder,Scotland,18.0,9.0,9.0,26.0,,1.0,,6.0,7.0,,,,1.0,3.0,,,166.0,89.0,77.0,,,,,,,,,,,26.0,,,1.0,,,1.0,31.0,27.0,4.0,148.0,80.0,68.0,,,1.0,0.0,,,34.0,13.0,,,,,,2.0,706.0,,,,,,,,,2.0,,,,84.0,,1.0,,,,,,,,,,,,6.0,,3.0,,15.0,0.0,5.0,11.0,,2.0,2.0,10.0,,1.0,24.0,82.0,370.0,204.0,490.0,14.0,31.0,6.0,,,1456.0,44.0,17.0,21.0,13.0,209.0,707.0,0.0,9.0,45.0,28.0,135.0,963.0,1.0,16.0,16.0,15.0,2.0,1.0,32.0,29.0,103.0,0.0,5.0
Burnley_90,2009-10,3735,Wade Elliott,Bristol City U21,Midfielder,England,39.0,25.0,14.0,38.0,1.0,1.0,,13.0,12.0,,3.0,2.0,9.0,20.0,,,360.0,209.0,151.0,,,,,,,1.0,,1.0,,38.0,,,4.0,,,4.0,69.0,62.0,7.0,321.0,184.0,137.0,,,,3.0,,,44.0,41.0,,2.0,,,,2.0,1348.0,,,,1.0,,,,,4.0,,,,181.0,,2.0,,,,,,,,,1.0,,,14.0,,11.0,,34.0,0.0,3.0,4.0,2.0,26.0,24.0,42.0,,8.0,57.0,53.0,686.0,335.0,942.0,13.0,39.0,18.0,,23.0,3121.0,97.0,40.0,67.0,43.0,598.0,1359.0,0.0,25.0,52.0,70.0,364.0,1988.0,4.0,108.0,104.0,33.0,32.0,10.0,53.0,67.0,311.0,2.0,5.0
Burnley_90,2009-10,18428,Chris Eagles,Oldham Athletic,Midfielder,England,19.0,12.0,7.0,34.0,2.0,2.0,,15.0,,,,,44.0,31.0,,,305.0,177.0,128.0,,,,,,,,,,,34.0,,,3.0,,,2.0,54.0,48.0,6.0,286.0,165.0,121.0,1.0,,2.0,0.0,,,45.0,26.0,,1.0,,,,2.0,708.0,,,,,,,,,3.0,,,,141.0,,1.0,,,,,,,,,,,,21.0,,25.0,,20.0,0.0,9.0,14.0,12.0,25.0,10.0,41.0,,2.0,27.0,11.0,375.0,157.0,496.0,8.0,34.0,15.0,3.0,21.0,1969.0,132.0,16.0,11.0,38.0,481.0,725.0,0.0,46.0,42.0,75.0,218.0,1371.0,25.0,117.0,76.0,86.0,14.0,3.0,27.0,34.0,191.0,0.0,2.0
Burnley_90,2009-10,75040,Chris Anderson,Burnley,Midfielder,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Burnley_90,2009-10,18953,Steven Fletcher,Wrexham,Forward,Scotland,190.0,128.0,62.0,35.0,1.0,4.0,,12.0,2.0,,,,,17.0,,,486.0,314.0,172.0,,,,,,,,,,,35.0,,,5.0,,,8.0,65.0,57.0,8.0,296.0,186.0,110.0,5.0,,2.0,4.0,,,25.0,29.0,,6.0,,,,27.0,944.0,,,,,,,,,5.0,,,,102.0,,2.0,,,,,,,,,,,,45.0,,23.0,,35.0,0.0,18.0,,,5.0,5.0,18.0,,1.0,120.0,11.0,538.0,147.0,669.0,6.0,28.0,8.0,1.0,7.0,2873.0,130.0,15.0,48.0,58.0,436.0,948.0,0.0,68.0,34.0,119.0,268.0,1509.0,,28.0,28.0,33.0,5.0,25.0,11.0,35.0,257.0,0.0,1.0
Burnley_90,2009-10,44683,Jay Rodriguez,Wrexham,Forward,England,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Burnley_90,2009-10,20081,Martin Paterson,Port Vale,Forward,Northern Ireland,26.0,22.0,4.0,23.0,1.0,2.0,,6.0,1.0,,,,1.0,23.0,,,177.0,112.0,65.0,,,,,,,,,,,23.0,,,2.0,,,4.0,29.0,27.0,2.0,151.0,90.0,61.0,1.0,,2.0,2.0,,,28.0,10.0,1.0,,,,,7.0,374.0,,,,,,,,,2.0,,,,59.0,,4.0,,,,,,,,,,,,13.0,,14.0,,17.0,0.0,12.0,6.0,,15.0,15.0,11.0,,2.0,32.0,5.0,198.0,93.0,271.0,4.0,18.0,1.0,,4.0,1431.0,41.0,12.0,20.0,28.0,209.0,376.0,0.0,27.0,22.0,59.0,100.0,689.0,,60.0,60.0,16.0,13.0,10.0,17.0,22.0,83.0,2.0,2.0
Burnley_90,2009-10,1615,Robbie Blake,Bolton Wanderers,Midfielder,England,1.0,1.0,,31.0,12.0,1.0,,11.0,,,1.0,,70.0,15.0,,,171.0,102.0,69.0,,,,,,,,,,,31.0,,,3.0,,,2.0,39.0,37.0,2.0,170.0,101.0,69.0,1.0,,2.0,1.0,,,9.0,47.0,,,,,,2.0,637.0,,,,2.0,,,,,3.0,,,,89.0,,2.0,,,,,,,,,,,,10.0,,11.0,,20.0,0.0,17.0,11.0,26.0,41.0,7.0,19.0,,1.0,63.0,58.0,402.0,163.0,466.0,6.0,13.0,5.0,2.0,25.0,1650.0,74.0,7.0,8.0,31.0,302.0,664.0,0.0,21.0,19.0,43.0,140.0,1056.0,33.0,78.0,34.0,33.0,5.0,4.0,29.0,24.0,111.0,2.0,1.0
Burnley_90,2009-10,12744,David Nugent,Tranmere Rovers,Forward,England,137.0,88.0,49.0,33.0,,1.0,,5.0,1.0,,,,4.0,9.0,,,303.0,196.0,107.0,,,,,,,,,1.0,,33.0,,,2.0,,,6.0,46.0,39.0,7.0,166.0,108.0,58.0,,3.0,2.0,5.0,,,15.0,22.0,,1.0,,,,15.0,507.0,,,,,,,,,3.0,,,,45.0,,2.0,,,,,,,,,,,,20.0,,20.0,,20.0,0.0,11.0,13.0,,3.0,3.0,12.0,,,67.0,11.0,279.0,89.0,354.0,3.0,16.0,6.0,,4.0,1906.0,82.0,12.0,18.0,27.0,250.0,511.0,0.0,40.0,19.0,80.0,146.0,825.0,,18.0,18.0,33.0,1.0,10.0,10.0,13.0,136.0,2.0,0.0
Burnley_90,2009-10,37587,Frédéric Nimani,Burnley,Forward,France,9.0,7.0,2.0,2.0,,,,,,,,,,2.0,,,12.0,10.0,2.0,,,,,,,,,,,2.0,,,,,,,,,,3.0,3.0,,1.0,,,,,,,,,,,,,1.0,18.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,2.0,,,,,,,1.0,1.0,7.0,3.0,9.0,,,,,,44.0,1.0,1.0,3.0,,11.0,18.0,0.0,,,,8.0,23.0,,1.0,1.0,1.0,,1.0,,,8.0,0.0,1.0
Burnley_90,2009-10,2255,Steven Thompson,Burnley,Forward,Scotland,30.0,16.0,14.0,20.0,,2.0,,1.0,1.0,,,,,,,,70.0,46.0,24.0,,,,,,,,,,,20.0,,,,,,4.0,14.0,13.0,1.0,40.0,30.0,10.0,,1.0,1.0,2.0,,,3.0,4.0,,1.0,,,,2.0,123.0,,,,,,,,,,,,,8.0,,2.0,,,,,,,,,,,,9.0,,4.0,,1.0,0.0,1.0,19.0,,2.0,2.0,1.0,,,16.0,4.0,76.0,12.0,82.0,1.0,2.0,,,,380.0,13.0,5.0,15.0,6.0,59.0,123.0,0.0,13.0,3.0,23.0,37.0,197.0,,6.0,6.0,3.0,,3.0,,3.0,37.0,0.0,1.0
Burnley_90,2014-15,21205,Tom Heaton,Manchester United,Goalkeeper,England,12.0,1.0,11.0,38.0,,,,,,51.0,10.0,,,,2.0,2.0,17.0,2.0,15.0,0.139,,,,51.7784,,912.0,,,,38.0,300.0,160.0,,307.0,4.0,,53.0,47.0,6.0,5.0,1.0,4.0,,,,,,,,2.0,,,45.0,,,,475.0,,,1.0,,5.0,2.0,,,3.0,15.0,1.0,,375.0,,,44.0,2.0,128.0,24.0,70.0,56.0,34.0,,,,,,,,,38.0,0.0,,,,,,2.0,,187.0,,349.0,282.0,177.0,110.0,,,,,,3420.0,,25.0,,3.0,550.0,1001.0,0.0,,,,542.0,1384.0,,,,,329.0,,541.0,45.0,1.0,0.0,1.0
Burnley_90,2014-15,8437,Matthew Gilks,Bolton Wanderers,Goalkeeper,Scotland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Burnley_90,2014-15,77794,Kieran Trippier,Newcastle United,Defender,England,125.0,52.0,73.0,38.0,8.0,,212.0,5.0,13.0,,10.0,1.0,82.0,36.0,,,377.0,163.0,214.0,6.9589,0.5625,0.4994,0.3513,51.4499,,956.0,13.0,,8.0,38.0,,,4.0,,,,53.0,47.0,6.0,252.0,111.0,141.0,,,,,,,82.0,61.0,,,472.0,5.0,3.0,2.0,1594.0,,7.0,,,,,,,3.0,,107.0,28.0,257.0,,,42.0,,,,,,,1.0,,,5.0,3.0,,3.0,3.0,38.0,0.0,1.0,,22.0,92.0,58.0,26.0,,65.0,4.0,217.0,656.0,455.0,802.0,16.0,57.0,2.0,105.0,460.0,3416.0,47.0,151.0,17.0,47.0,1112.0,1682.0,0.0,6.0,73.0,4.0,663.0,3163.0,58.0,249.0,176.0,28.0,229.0,,357.0,93.0,306.0,0.0,2.0
Burnley_90,2014-15,80788,Daniel Lafferty,Sheffield United,Defender,Northern Ireland,2.0,2.0,,1.0,,,,,,,,,,,,,3.0,2.0,1.0,,,,,0.0946,,1.0,,,,1.0,,,,,,,,,,1.0,,1.0,,,,,,,,,,,1.0,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,,,,,,1.0,,1.0,,16.0,,1.0,1.0,,3.0,2.0,0.0,,1.0,,2.0,5.0,,,,,1.0,,1.0,1.0,1.0,0.0,0.0
Burnley_90,2014-15,2907,Michael Duff,Burnley,Defender,Northern Ireland,139.0,55.0,84.0,21.0,,,57.0,1.0,22.0,,8.0,,,2.0,,,215.0,91.0,124.0,0.5831,0.0998,,0.3674,23.355,,339.0,5.0,,,21.0,,,,,,,25.0,24.0,1.0,76.0,36.0,40.0,2.0,,,,1.0,1.0,34.0,4.0,,,160.0,,,,612.0,,,,1.0,,,,,,,11.0,7.0,102.0,,,84.0,,,,,,,,,1.0,,,1.0,1.0,,21.0,1.0,1.0,,,,,4.0,,38.0,,97.0,178.0,278.0,359.0,7.0,17.0,,,6.0,1809.0,2.0,199.0,19.0,15.0,195.0,640.0,1.0,1.0,24.0,17.0,184.0,983.0,,4.0,4.0,,75.0,1.0,108.0,37.0,76.0,0.0,4.0
Burnley_90,2014-15,106611,Michael Keane,Everton,Defender,England,112.0,33.0,79.0,22.0,,,40.0,2.0,9.0,,2.0,1.0,,2.0,,,156.0,48.0,108.0,0.1981,1.0565,,0.2312,26.8107,,292.0,1.0,,,22.0,,,1.0,,,,27.0,22.0,5.0,44.0,15.0,29.0,1.0,,,,2.0,3.0,43.0,4.0,1.0,,183.0,,,,628.0,,1.0,,,,,,,2.0,,15.0,7.0,71.0,,,129.0,,,,,,,,,2.0,,6.0,3.0,4.0,,17.0,0.0,,5.0,,,,3.0,,21.0,2.0,58.0,144.0,356.0,442.0,6.0,16.0,1.0,,1.0,1641.0,3.0,170.0,5.0,5.0,155.0,644.0,0.0,10.0,22.0,19.0,144.0,946.0,,,,2.0,67.0,,88.0,31.0,56.0,0.0,1.0
