team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,forwardPasses,foulWonPenalty,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsOffTargetIncWoodwork,shotsOnTargetIncGoals,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
Wigan_111,2009-10,5543,Chris Kirkland,Bury,Goalkeeper,England,,,,32.0,,,,,,30.0,8.0,,,,5.0,2.0,11.0,5.0,6.0,,,32.0,263.0,136.0,,270.0,,,56.0,51.0,5.0,11.0,5.0,6.0,,,,,,,,,,,384.0,,,1.0,,4.0,,,,4.0,12.0,360.0,,,,,88.0,23.0,57.0,30.0,26.0,,,,,32.0,0.0,2.0,,,,,,114.0,,257.0,210.0,194.0,147.0,,,,,1.0,2769.0,1.0,22.0,,6.0,448.0,833.0,0.0,,,,429.0,1117.0,,,,,211.0,,414.0,32.0,15.0,0.0,0.0
Wigan_111,2009-10,2521,Mike Pollitt,Wigan Athletic,Goalkeeper,England,1.0,1.0,,4.0,,,,,,6.0,,,,,1.0,1.0,1.0,1.0,,,,4.0,20.0,18.0,,27.0,,,15.0,13.0,2.0,,,,,,,,,,,,,,52.0,,,,,3.0,,,,3.0,3.0,43.0,,,,,15.0,3.0,12.0,2.0,4.0,,,,,2.0,0.0,,2.0,,,,,10.0,,29.0,22.0,15.0,8.0,,,,,,291.0,,5.0,,,74.0,109.0,0.0,,,,72.0,147.0,,,,,37.0,,70.0,4.0,2.0,0.0,0.0
Wigan_111,2009-10,33268,Richard Kingson,Blackpool,Goalkeeper,Ghana,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Wigan_111,2009-10,37188,Vladimir Stojkovic,Partizan Belgrade,Goalkeeper,Serbia,,,,4.0,,,,,,6.0,,,,,,1.0,1.0,,1.0,,,4.0,34.0,17.0,,33.0,,,8.0,7.0,1.0,1.0,,1.0,,,,,,,,,,,47.0,,,,,,,,,,5.0,42.0,,,,,11.0,3.0,7.0,4.0,4.0,,,,,4.0,0.0,,,,,,,12.0,,28.0,22.0,26.0,20.0,,,,,,360.0,,5.0,,1.0,53.0,101.0,0.0,,,,53.0,145.0,,,,,24.0,,52.0,9.0,1.0,0.0,0.0
Wigan_111,2009-10,15498,Steve Gohouri,Wigan Athletic,Defender,Cote d’Ivoire,19.0,7.0,12.0,5.0,,0.0,,1.0,1.0,,1.0,,,,,,47.0,15.0,32.0,,,5.0,,,,,,1.0,13.0,13.0,,28.0,8.0,20.0,,,,1.0,8.0,2.0,,,,,187.0,,,,,,,,,2.0,,18.0,,1.0,,,,,,,,,,1.0,1.0,4.0,0.0,,1.0,,,,4.0,2.0,3.0,12.0,46.0,114.0,148.0,3.0,10.0,,,1.0,368.0,1.0,15.0,7.0,3.0,38.0,188.0,0.0,2.0,13.0,5.0,28.0,248.0,,,,1.0,5.0,,9.0,6.0,19.0,0.0,2.0
Wigan_111,2009-10,16149,Antonio Amaya,Real Betis,Defender,Spain,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
Wigan_111,2009-10,11911,Gary Caldwell,Wigan Athletic,Defender,Scotland,59.0,26.0,33.0,16.0,,1.0,,,12.0,,4.0,2.0,,2.0,,,135.0,56.0,79.0,,,16.0,,,,,,2.0,21.0,18.0,3.0,76.0,30.0,46.0,,2.0,1.0,1.0,20.0,5.0,,,,,582.0,,,,2.0,,,,,2.0,,71.0,,,,,,,,,,,,2.0,3.0,16.0,2.0,,,,3.0,3.0,5.0,14.0,,88.0,168.0,316.0,393.0,7.0,12.0,2.0,,4.0,1347.0,8.0,151.0,15.0,22.0,241.0,648.0,2.0,5.0,19.0,13.0,167.0,918.0,,8.0,8.0,2.0,72.0,,94.0,25.0,73.0,0.0,3.0
Wigan_111,2009-10,16210,Paul Scharner,Wigan Athletic,Defender,Austria,208.0,82.0,126.0,38.0,,2.0,,5.0,7.0,,4.0,1.0,,11.0,,,447.0,198.0,249.0,,,38.0,,,3.0,,,4.0,58.0,53.0,5.0,239.0,116.0,123.0,2.0,2.0,,2.0,73.0,25.0,1.0,,,4.0,1210.0,,,,,,,,,4.0,,136.0,,2.0,,,,,,,,,,37.0,20.0,30.0,0.0,10.0,8.0,,2.0,2.0,12.0,6.0,101.0,69.0,553.0,377.0,859.0,17.0,55.0,6.0,1.0,8.0,2523.0,47.0,108.0,45.0,39.0,434.0,1227.0,0.0,57.0,72.0,82.0,299.0,1758.0,,27.0,27.0,14.0,39.0,8.0,52.0,49.0,247.0,0.0,7.0
Wigan_111,2009-10,3296,Emmerson Boyce,Blackpool,Defender,Barbados,67.0,28.0,39.0,24.0,,2.0,,1.0,16.0,,3.0,,,3.0,,,177.0,72.0,105.0,,,24.0,,,1.0,,,3.0,55.0,50.0,5.0,110.0,44.0,66.0,,1.0,,1.0,41.0,6.0,4.0,1.0,,,726.0,,,,2.0,,,,,6.0,,81.0,,1.0,,,,,,,,,,4.0,6.0,23.0,0.0,3.0,1.0,,5.0,5.0,8.0,13.0,4.0,59.0,190.0,393.0,519.0,13.0,30.0,3.0,11.0,83.0,2036.0,12.0,167.0,19.0,15.0,286.0,740.0,0.0,10.0,43.0,18.0,162.0,1198.0,,14.0,14.0,2.0,39.0,,40.0,42.0,122.0,0.0,1.0
Wigan_111,2009-10,1131,Titus Bramble,Sunderland,Defender,England,134.0,48.0,86.0,35.0,,0.0,,3.0,34.0,,7.0,6.0,,1.0,,,321.0,128.0,193.0,,,35.0,,,,,,2.0,66.0,58.0,8.0,187.0,80.0,107.0,,2.0,,2.0,75.0,15.0,7.0,,,1.0,1401.0,,,,1.0,,,,,5.0,,184.0,,,,,,,,,,,,9.0,4.0,35.0,0.0,1.0,,,,,13.0,60.0,1.0,238.0,376.0,611.0,749.0,25.0,48.0,5.0,,3.0,3111.0,23.0,348.0,26.0,21.0,671.0,1449.0,0.0,13.0,73.0,30.0,462.0,2096.0,,2.0,2.0,6.0,177.0,,232.0,102.0,230.0,0.0,10.0
