team_dir,season,playerId,playerName,team,position,nationality,aerialDuels,aerialDuelsLost,aerialDuelsWon,appearances,attemptsFromSetPieces,awayGoals,backwardPasses,blockedShots,blocks,catches,cleanSheets,clearancesOffTheLine,cornersTakenInclShortCorners,cornersWon,crossesNotClaimed,drops,duels,duelsLost,duelsWon,expectedAssists,expectedGoals,expectedGoalsFreekick,expectedGoalsOnTarget,expectedGoalsOnTargetConceded,forwardPasses,foulAttemptedTackle,foulWonPenalty,freekickTotal,gamesPlayed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,goalAssists,goalKicks,goalkeeperSmother,goals,goalsConceded,goalsConcededInsideBox,goalsConcededOutsideBox,groundDuels,groundDuelsLost,groundDuelsWon,handballsConceded,headedGoals,hitWoodwork,homeGoals,iboxBlocked,iboxTarget,interceptions,keyPassesAttemptAssists,lastPlayerTackle,leftFootGoals,leftsidePasses,oboxBlocked,oboxTarget,offsides,openPlayPasses,otherGoals,overruns,ownGoalScored,penaltiesConceded,penaltiesFaced,penaltiesSaved,penaltiesTaken,penaltyGoals,penaltyGoalsConceded,punches,putthroughBlockedDistribution,putthroughBlockedDistributionWon,recoveries,redCards2ndYellow,rightFootGoals,rightsidePasses,savesFromPenalty,savesMade,savesMadeCaught,savesMadeFromInsideBox,savesMadeFromOutsideBox,savesMadeParried,secondGoalAssists,setPiecesGoals,shotsBlockedInBox,shotsBlockedOutsideBox,shotsOffTargetIncWoodwork,shotsOnTargetInBox,shotsOnTargetIncGoals,shotsOnTargetOutsideBox,starts,straightRedCards,substituteOff,substituteOn,successfulCornersIntoBox,successfulCrossesAndCorners,successfulCrossesOpenPlay,successfulDribbles,successfulLaunches,successfulLayoffs,successfulLongPasses,successfulPassesOppositionHalf,successfulPassesOwnHalf,successfulShortPasses,tacklesLost,tacklesWon,throughBalls,throwInsToOppositionPlayer,throwInsToOwnPlayer,timePlayed,timesTackled,totalClearances,totalFoulsConceded,totalFoulsWon,totalLossesOfPossession,totalPasses,totalRedCards,totalShots,totalTackles,totalTouchesInOppositionBox,totalUnsuccessfulPassesExclCrossesAndCorners,touches,unsuccessfulCornersIntoBox,unsuccessfulCrossesAndCorners,unsuccessfulCrossesOpenPlay,unsuccessfulDribbles,unsuccessfulLaunches,unsuccessfulLayoffs,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,unsuccessfulShortPasses,winningGoal,yellowCards
QPR_52,2011-12,3119,Paddy Kenny,Northampton Town,Goalkeeper,Ireland,1.0,,1.0,33.0,,,,,,22.0,7.0,,,3.0,4.0,4.0,11.0,4.0,7.0,,,,,,924.0,,,,33.0,237.0,159.0,,299.0,,,59.0,49.0,10.0,10.0,4.0,6.0,,,,,,,,2.0,,,23.0,,,,377.0,,,,1.0,3.0,,,,3.0,18.0,,,329.0,,,27.0,,107.0,31.0,61.0,45.0,27.0,,,,,,,,,33.0,0.0,,,,,,,161.0,,373.0,326.0,104.0,57.0,,1.0,,,,2970.0,,30.0,1.0,5.0,551.0,974.0,0.0,,1.0,1.0,544.0,1248.0,,,,,276.0,,531.0,42.0,13.0,0.0,0.0
QPR_52,2011-12,10589,Brian Murphy,Cardiff City U21,Goalkeeper,Ireland,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
QPR_52,2011-12,4202,Radek Cerny,Queens Park Rangers,Goalkeeper,Czech Republic,,,,5.0,,,,,,,,,,,1.0,,1.0,,1.0,,,,,,152.0,,,,5.0,37.0,30.0,,58.0,,,7.0,6.0,1.0,1.0,,1.0,,,,,,,,,,,2.0,,,,58.0,,,,,,,,,,4.0,,,43.0,,,2.0,,21.0,7.0,15.0,5.0,2.0,,,,,,,,,5.0,0.0,,,,,,1.0,29.0,,63.0,61.0,10.0,8.0,,,,,,450.0,,6.0,,,87.0,156.0,0.0,,,,85.0,194.0,,,,,39.0,,81.0,10.0,4.0,0.0,0.0
QPR_52,2011-12,73446,Elvijs Putnins,Queens Park Rangers,Goalkeeper,Latvia,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0
QPR_52,2011-12,92790,Michael Harriman,Northampton Town,Defender,Ireland,,,,1.0,,,,,,,,,,,,,,,,,,,,,4.0,,,,1.0,,,,,,,1.0,,1.0,,,,,,,,,,,,,,3.0,,,,7.0,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,0.0,,1.0,,,,,,,,5.0,1.0,6.0,,,,,4.0,28.0,,,,,1.0,7.0,0.0,,,,1.0,11.0,,,,,1.0,,,1.0,1.0,0.0,0.0
QPR_52,2011-12,27698,Matthew Connolly,Cardiff City U21,Defender,England,8.0,4.0,4.0,6.0,,,9.0,,5.0,,1.0,,,,,,35.0,10.0,25.0,,,,,,60.0,,,,6.0,,,,,,,8.0,5.0,3.0,27.0,6.0,21.0,,,,,,,8.0,2.0,,,16.0,,,,118.0,,,,,,,,,,,,,17.0,,,37.0,,,,,,,,,,,2.0,,,,5.0,0.0,1.0,1.0,,1.0,1.0,,8.0,1.0,10.0,42.0,52.0,83.0,6.0,12.0,,10.0,16.0,488.0,,39.0,4.0,3.0,44.0,122.0,0.0,2.0,18.0,3.0,29.0,234.0,,1.0,1.0,,14.0,,9.0,11.0,20.0,0.0,0.0
QPR_52,2011-12,20488,Armand Traore,Cardiff City,Defender,Senegal,27.0,15.0,12.0,24.0,,,101.0,2.0,4.0,,1.0,,,18.0,,,164.0,81.0,83.0,,,,,,218.0,,,,24.0,,,3.0,,,,37.0,31.0,6.0,137.0,66.0,71.0,2.0,,,,,,36.0,17.0,1.0,,37.0,,,1.0,668.0,,6.0,,1.0,,,,,2.0,,,,101.0,1.0,,321.0,,,,,,,,,,,3.0,,2.0,,19.0,0.0,6.0,5.0,,15.0,15.0,21.0,8.0,6.0,24.0,310.0,276.0,547.0,13.0,19.0,,25.0,124.0,1704.0,42.0,70.0,14.0,18.0,255.0,677.0,1.0,5.0,32.0,19.0,106.0,1186.0,,50.0,49.0,19.0,18.0,,22.0,43.0,84.0,0.0,1.0
QPR_52,2011-12,19053,Nedum Onuoha,Queens Park Rangers,Defender,England,17.0,8.0,9.0,17.0,,,61.0,1.0,19.0,,3.0,,,5.0,,,137.0,53.0,84.0,,,,,,193.0,,,,17.0,,,1.0,,,,29.0,25.0,4.0,120.0,45.0,75.0,,,,,,,25.0,7.0,1.0,,137.0,,,,402.0,,,1.0,,,,,,1.0,,,,54.0,,,21.0,,,,,,,,,,,5.0,,2.0,,16.0,0.0,,1.0,,5.0,5.0,5.0,14.0,,15.0,168.0,156.0,304.0,11.0,38.0,,31.0,97.0,1449.0,20.0,84.0,12.0,21.0,187.0,412.0,0.0,7.0,49.0,18.0,93.0,852.0,,31.0,31.0,10.0,31.0,,15.0,28.0,78.0,0.0,2.0
QPR_52,2011-12,12674,Fitz Hall,Queens Park Rangers,Defender,England,22.0,13.0,9.0,14.0,,,13.0,2.0,12.0,,2.0,,,5.0,,,53.0,21.0,32.0,,,,,,113.0,,,,14.0,,,,,,,20.0,16.0,4.0,31.0,8.0,23.0,,,,,,,9.0,1.0,,,42.0,,,,202.0,,,,,,,,,2.0,,,,24.0,,,36.0,,,,,,,,,,,2.0,,,,11.0,0.0,3.0,3.0,,,,1.0,8.0,,13.0,56.0,86.0,129.0,6.0,9.0,,5.0,4.0,923.0,,79.0,5.0,7.0,74.0,204.0,0.0,2.0,15.0,12.0,62.0,359.0,,3.0,3.0,,24.0,,22.0,14.0,40.0,0.0,3.0
QPR_52,2011-12,1059,Danny Gabbidon,Cardiff City,Defender,Wales,76.0,37.0,39.0,17.0,,,44.0,,16.0,,2.0,,,1.0,,,135.0,57.0,78.0,,,,,,207.0,,,,17.0,,,,,,,27.0,22.0,5.0,59.0,20.0,39.0,,,,,,,32.0,4.0,,,87.0,,,,410.0,,,1.0,,,,,,,,,,67.0,,,84.0,,,,,,,,,,,4.0,,,,15.0,0.0,1.0,2.0,,1.0,1.0,1.0,15.0,1.0,30.0,90.0,223.0,282.0,6.0,22.0,,5.0,10.0,1424.0,8.0,188.0,6.0,10.0,130.0,422.0,0.0,4.0,28.0,10.0,110.0,752.0,,1.0,1.0,1.0,44.0,,35.0,31.0,75.0,0.0,1.0
