season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballCarriesCount,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,progressiveBallCarriesCount,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalBallCarriesDistance,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalProgression,totalProgressiveBallCarriesDistance,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436872,1,3,Arsenal,Home,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,False,,,2.0,19.0,27.0,46.0,2.0,3.0,,4.0,,,,,,1.0,6.0,4.0,,,0.0406421,,,3.0,0.0,,,,,2.0,,,69.0,,,,,,11.0,,,7.0,,,,,,2.0,1.0,1.0,,4.0,,25.0,29.0,53.0,,,0,,70.0,1.0,,1.0,
2024-25,12436872,1,3,Arsenal,Home,846036,198869,Ben White,ben-white,D,False,,,1.0,14.0,18.0,32.0,2.0,,,1.0,,,,1.0,,,6.0,1.0,,,0.0571215,0.0673,0.1381,2.0,0.0,,,,,1.0,,,90.0,1.0,,,,,10.0,,,6.8,,,1.0,,,,1.0,,,3.0,,19.0,21.0,40.0,,,2,1.0,53.0,1.0,,,1.0
2024-25,12436872,1,3,Arsenal,Home,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,5.0,17.0,37.0,54.0,,2.0,,2.0,,,1.0,,,,2.0,3.0,,,0.0187743,0.115,,2.0,0.0,,,,,1.0,,,90.0,,1.0,,,,12.0,,,7.2,,,,,,3.0,,,,9.0,,22.0,44.0,66.0,,,1,1.0,76.0,,,,
2024-25,12436872,1,3,Arsenal,Home,941168,462424,William Saliba,william-saliba,D,False,,,,12.0,42.0,54.0,,3.0,,1.0,,,,,,,1.0,7.0,,1.0,0.00361628,,,1.0,0.0,,,,,1.0,,,90.0,,,,,,9.0,,,7.0,,,,,,3.0,,,,2.0,,16.0,46.0,62.0,,,0,4.0,72.0,1.0,,,3.0
2024-25,12436872,1,3,Arsenal,Home,957602,466075,Riccardo Calafiori,riccardo-calafiori,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436872,1,3,Arsenal,Home,958959,445122,Jurriën Timber,jurrien-timber,D,True,,,,3.0,3.0,6.0,,2.0,,1.0,,,1.0,,,1.0,2.0,4.0,,1.0,0.00677174,0.0209,,,0.0,,,,,,,,21.0,,,,,,3.0,,,6.4,,,,,,,3.0,,,1.0,,4.0,3.0,7.0,,,1,,16.0,,,2.0,
2024-25,12436886,2,3,Arsenal,Away,287643,206325,Oleksandr Zinchenko,oleksandr-zinchenko,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436886,2,3,Arsenal,Away,846036,198869,Ben White,ben-white,D,False,,,1.0,29.0,27.0,56.0,,1.0,,,,,,1.0,,1.0,3.0,1.0,,,0.0214485,,,1.0,0.0,,,,,,,,90.0,,,,,,7.0,,,7.0,,,,,,2.0,,1.0,,2.0,,34.0,27.0,60.0,,,0,,73.0,,,,
2024-25,12436886,2,3,Arsenal,Away,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,2.0,20.0,57.0,77.0,,1.0,,6.0,,,,,,1.0,1.0,2.0,,1.0,0.0209165,,,,0.0,,,,,1.0,,,90.0,,3.0,,,,7.0,,,7.3,,,,,,3.0,1.0,,,4.0,,25.0,58.0,83.0,,,0,,97.0,,,1.0,
2024-25,12436886,2,3,Arsenal,Away,941168,462424,William Saliba,william-saliba,D,False,,,2.0,20.0,69.0,89.0,1.0,1.0,,2.0,,,,,,1.0,5.0,8.0,,,0.00565805,,,3.0,0.0,,,,,1.0,,1.0,90.0,,,,,,3.0,,,7.5,,,,,,4.0,1.0,,,2.0,,21.0,69.0,90.0,,,0,5.0,107.0,,1.0,1.0,1.0
2024-25,12436886,2,3,Arsenal,Away,957602,466075,Riccardo Calafiori,riccardo-calafiori,D,True,,,1.0,,4.0,4.0,1.0,,,1.0,,,,1.0,,,2.0,,,,2.525e-05,,,1.0,0.0,,,,,1.0,,,11.0,,,,,,1.0,,,6.7,,,,,,,,,,1.0,,1.0,4.0,5.0,,,0,,9.0,,,,
2024-25,12436886,2,3,Arsenal,Away,958959,445122,Jurriën Timber,jurrien-timber,D,False,,,1.0,13.0,19.0,32.0,1.0,1.0,,2.0,,,,,,,2.0,3.0,,,0.00593444,,,1.0,0.0,,,,,,,,79.0,,,,,,9.0,,,6.9,,,,,,,1.0,,,2.0,,18.0,20.0,38.0,,,0,1.0,47.0,2.0,,1.0,1.0
2024-25,12436886,2,3,Arsenal,Away,976037,440854,Jakub Kiwior,jakub-kiwior,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
