season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576454,36,3,Arsenal,Home,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,5.0,51.0,29.0,80.0,,2.0,6.0,,,,,,,1.0,3.0,,,1.0,,,,,,,,,90.0,1.0,,,,,,,5.0,,6.8,,,1.0,,,,,,8.0,,53.0,32.0,85.0,2,,90.0,,1.0,,
2021-22,9576454,36,3,Arsenal,Home,944973,437626,Nuno Tavares,nuno-tavares,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576454,36,3,Arsenal,Home,993445,232245,Zak Swanson,zak-swanson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576356,37,3,Arsenal,Away,804434,223723,Takehiro Tomiyasu,takehiro-tomiyasu,D,False,,,,1.0,4.0,5.0,,1.0,1.0,,,,4.0,,,5.0,1.0,,,,,,,,,1.0,,,39.0,,,,,,,,4.0,,6.1,,,1.0,,3.0,1.0,,,,,3.0,4.0,7.0,1,,19.0,1.0,,,
2021-22,9576356,37,3,Arsenal,Away,846036,198869,Ben White,ben-white,D,False,,,1.0,9.0,17.0,26.0,,2.0,2.0,,,,,,,1.0,4.0,,,1.0,,,,,,,1.0,,90.0,,4.0,1.0,,,,,11.0,,6.8,,,,,6.0,,,,6.0,,17.0,19.0,36.0,0,1.0,50.0,1.0,1.0,,1.0
2021-22,9576356,37,3,Arsenal,Away,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,1.0,8.0,13.0,21.0,1.0,,2.0,,,,,,,1.0,2.0,,,,,,,,,,,,73.0,,,,,,,,2.0,,6.7,,,,,1.0,,,,2.0,,10.0,13.0,23.0,0,2.0,28.0,,,,2.0
2021-22,9576356,37,3,Arsenal,Away,944973,437626,Nuno Tavares,nuno-tavares,D,False,1.0,,1.0,5.0,6.0,10.0,1.0,2.0,,,,,1.0,,2.0,4.0,3.0,,,,,,,,,,,,62.0,,,,,,,,10.0,,6.4,,,,,2.0,,2.0,,2.0,,8.0,9.0,15.0,0,1.0,27.0,1.0,,,1.0
2021-22,9576356,37,3,Arsenal,Away,993445,232245,Zak Swanson,zak-swanson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576311,38,3,Arsenal,Home,793228,156074,Rob Holding,rob-holding,D,False,,,2.0,25.0,33.0,58.0,1.0,3.0,6.0,,,,,,,1.0,3.0,,,,,,,,,,,,90.0,,,,,,,,5.0,,6.7,,,,,2.0,,,,4.0,,29.0,34.0,63.0,0,,68.0,,,,
2021-22,9576311,38,3,Arsenal,Home,846036,198869,Ben White,ben-white,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576311,38,3,Arsenal,Home,869792,226597,Gabriel Magalhães,gabriel-magalhaes,D,False,,,2.0,29.0,25.0,54.0,1.0,,6.0,,,,1.0,,,2.0,4.0,,,,,1.0,,,,,,,90.0,1.0,,,,,,,3.0,,7.4,,,,,,,,,3.0,,31.0,26.0,57.0,1,2.0,64.0,,2.0,,1.0
2021-22,9576311,38,3,Arsenal,Home,944973,437626,Nuno Tavares,nuno-tavares,D,False,1.0,,1.0,31.0,12.0,42.0,3.0,,5.0,,,,1.0,,2.0,10.0,5.0,,,3.0,,,,,,,1.0,,90.0,,,,,,,,11.0,,6.5,,,2.0,,1.0,1.0,2.0,,3.0,,34.0,17.0,49.0,2,3.0,70.0,,2.0,,1.0
2021-22,9576311,38,3,Arsenal,Home,993445,232245,Zak Swanson,zak-swanson,D,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
