playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,catches,savesMadeFromOutsideBox,goalKicks,penaltiesFaced,penaltiesConceded,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,otherGoals,freekickTotal,attemptsFromSetPieces,expectedGoalsFreekick,foulWonPenalty,unsuccessfulLayoffs,throwInsToOppositionPlayer,penaltiesTaken,headedGoals,penaltyGoals,ownGoalScored,clearancesOffTheLine,handballsConceded,secondGoalAssists,setPiecesGoals,redCards2ndYellow,lastPlayerTackle
165809,Bernardo Silva,Midfielder,Man City,43,Portugal,2023-24,118.0,14.0,7.9743,0.0,8.0,15.0,6.0,5.5444,51.0,26.0,2.0,159.0,33.0,9.0,20.0,29.0,193.0,53.0,1824.0,6.0,3.0,4.0,1.0,4.0,21.0,11.0,9.0,4.0,17.0,5.0,2581.0,5.0,9.0,117.0,4.0,65.0,115.0,1572.0,1.0,155.0,3.0,27.262,55.0,3.0,12.0,26.0,7.0,109.0,340.0,26.0,2.0,235.0,28.0,2.0,379.0,102.0,33.0,4.0,1.0,28.0,5.0,21.0,1134.0,22.0,66.0,55.0,7.0,224.0,2.0,0.0,1764.0,11.0,26.0,371.0,23.0,38.0,4.0,614.0,22.0,17.0,9.0,59.0,491.0,2304.0,23.0,7.0,1.0,1.0,19.0,514.0,18.0,3.7338,8.0,34.0,34.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
114283,Jack Grealish,Midfielder,Man City,43,England,2023-24,48.0,3.0,2.8132,0.0,12.0,5.0,,2.2609,13.0,10.0,3.0,64.0,20.0,1.0,12.0,10.0,68.0,11.0,552.0,3.0,2.0,1.0,4.0,10.0,5.0,8.0,1.0,,4.0,2.0,1003.0,2.0,4.0,75.0,1.0,32.0,71.0,472.0,2.0,89.0,2.0,12.8709,25.0,,4.0,13.0,8.0,44.0,239.0,41.0,1.0,123.0,11.0,2.0,93.0,42.0,20.0,,2.0,5.0,1.0,11.0,394.0,12.0,12.0,33.0,8.0,115.0,4.0,0.0,546.0,5.0,11.0,133.0,8.0,18.0,2.0,47.0,6.0,6.0,1.0,12.0,173.0,769.0,11.0,3.0,,4.0,1.0,94.0,4.0,2.0772,7.0,4.0,8.0,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,1.0,,,
516250,Jacob Wright,Midfielder,Man City,43,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
432714,James McAtee,Midfielder,Man City,43,England,2023-24,156.0,4.0,2.1431,0.0,8.0,9.0,6.0,3.6947,32.0,18.0,6.0,119.0,31.0,3.0,14.0,20.0,137.0,21.0,489.0,3.0,1.0,2.0,3.0,11.0,7.0,43.0,,,9.0,6.0,1827.0,6.0,31.0,104.0,9.0,38.0,92.0,345.0,3.0,74.0,2.0,52.0978,25.0,,15.0,66.0,5.0,125.0,61.0,29.0,2.0,260.0,21.0,1.0,146.0,96.0,31.0,,1.0,11.0,2.0,52.0,232.0,57.0,27.0,92.0,5.0,217.0,12.0,0.0,459.0,9.0,14.0,315.0,21.0,33.0,,133.0,15.0,11.0,2.0,7.0,149.0,883.0,1.0,14.0,,3.0,5.0,129.0,11.0,3.0665,2.0,18.0,23.0,,,,,,,,,,,,,,,,2.0,2.0,0.0942,,3.0,,1.0,,1.0,,,2.0,,,,
155405,Kalvin Phillips,Midfielder,Man City,43,England,2023-24,33.0,1.0,0.0792,1.0,1.0,2.0,,,14.0,4.0,1.0,30.0,12.0,,2.0,3.0,42.0,2.0,243.0,,,,,9.0,,8.0,,,1.0,,396.0,,1.0,30.0,3.0,5.0,23.0,188.0,,2.0,1.0,1.8321,,1.0,4.0,12.0,1.0,32.0,55.0,7.0,0.0,63.0,3.0,,65.0,31.0,12.0,,,5.0,,6.0,98.0,9.0,2.0,11.0,1.0,55.0,7.0,0.0,234.0,2.0,1.0,65.0,9.0,2.0,1.0,67.0,17.0,6.0,,13.0,56.0,320.0,1.0,2.0,,,3.0,104.0,14.0,0.0743,1.0,12.0,8.0,,,,,1.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,1.0,
61366,Kevin De Bruyne,Midfielder,Man City,43,Belgium,2023-24,70.0,20.0,7.1338,0.0,14.0,17.0,3.0,3.5994,14.0,30.0,11.0,122.0,18.0,10.0,26.0,15.0,130.0,54.0,804.0,4.0,1.0,4.0,11.0,3.0,69.0,11.0,1.0,9.0,35.0,4.0,1227.0,4.0,5.0,43.0,1.0,32.0,37.0,652.0,15.0,90.0,1.0,9.5734,49.0,,4.0,8.0,3.0,65.0,211.0,13.0,1.0,113.0,5.0,0.0,207.0,54.0,18.0,9.0,2.0,5.0,1.0,21.0,582.0,7.0,101.0,41.0,3.0,102.0,6.0,0.0,766.0,13.0,37.0,296.0,9.0,10.0,,192.0,11.0,4.0,37.0,22.0,194.0,1154.0,23.0,10.0,,11.0,1.0,127.0,10.0,2.4106,2.0,8.0,13.0,,,,,,,,,,,,,,,,6.0,6.0,0.4173,,3.0,1.0,,1.0,,,,,,,,
496283,Mahamadou Susoho,Midfielder,Man City,43,Spain,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
91651,Mateo Kovacic,Midfielder,Man City,43,Croatia,2023-24,62.0,,1.8513,0.0,11.0,5.0,,0.9833,36.0,11.0,4.0,73.0,30.0,,14.0,16.0,90.0,,1523.0,1.0,,0.0,9.0,14.0,1.0,8.0,3.0,2.0,,2.0,1548.0,2.0,4.0,75.0,1.0,32.0,71.0,1413.0,,19.0,1.0,16.6073,21.0,1.0,10.0,14.0,2.0,58.0,657.0,15.0,1.0,137.0,22.0,1.0,322.0,72.0,30.0,2.0,1.0,11.0,,7.0,894.0,13.0,,31.0,2.0,129.0,4.0,0.0,1491.0,6.0,3.0,139.0,25.0,20.0,1.0,281.0,17.0,10.0,,20.0,263.0,1746.0,2.0,9.0,,9.0,7.0,539.0,13.0,1.2702,4.0,17.0,21.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
465351,Matheus Nunes,Midfielder,Man City,43,Portugal,2023-24,66.0,5.0,1.4601,1.0,2.0,4.0,4.0,0.4505,13.0,8.0,1.0,63.0,19.0,2.0,12.0,9.0,72.0,12.0,522.0,,5.0,,1.0,10.0,4.0,16.0,1.0,1.0,7.0,3.0,833.0,3.0,9.0,63.0,2.0,20.0,56.0,446.0,1.0,43.0,,6.6739,10.0,,9.0,13.0,1.0,57.0,144.0,23.0,0.0,129.0,6.0,,101.0,40.0,19.0,1.0,,8.0,,17.0,295.0,11.0,15.0,33.0,1.0,113.0,7.0,0.0,509.0,4.0,6.0,148.0,5.0,20.0,1.0,138.0,9.0,7.0,2.0,4.0,139.0,726.0,3.0,4.0,1.0,1.0,5.0,162.0,4.0,0.8393,0.0,9.0,13.0,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,
462438,Micah Hamilton,Midfielder,Man City,43,England,2023-24,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
