code,event,finished,finished_provisional,id,kickoff_time,minutes,provisional_start_time,started,team_a,team_a_score,team_h,team_h_score,team_h_difficulty,team_a_difficulty
2561904,1,True,True,10,2025-08-18T19:00:00Z,90,False,True,9,0,11,1,3,3
2561906,2,True,True,11,2025-08-23T16:30:00Z,90,False,True,11,0,1,5,2,5
2561918,3,True,True,24,2025-08-30T16:30:00Z,90,False,True,15,0,11,0,3,3
2561931,4,True,True,37,2025-09-13T14:00:00Z,90,False,True,11,0,10,1,2,3
2561944,5,True,True,50,2025-09-20T14:00:00Z,90,False,True,11,3,20,1,2,2
2561950,6,True,True,56,2025-09-27T14:00:00Z,90,False,True,4,2,11,2,3,3
2561961,7,True,True,67,2025-10-04T11:30:00Z,90,False,True,18,2,11,1,3,3
2561966,8,True,True,72,2025-10-18T14:00:00Z,90,False,True,11,0,3,2,2,2
2561981,9,True,True,87,2025-10-24T19:00:00Z,90,False,True,19,1,11,2,2,3
2561985,10,True,True,91,2025-11-01T15:00:00Z,90,False,True,11,0,6,3,2,4
2562001,11,True,True,107,2025-11-09T14:00:00Z,90,False,True,11,1,16,3,2,3
2562010,12,True,True,116,2025-11-23T14:00:00Z,90,False,True,2,2,11,1,3,3
2562020,13,True,True,126,2025-11-29T15:00:00Z,90,False,True,11,2,13,3,2,5
2562030,14,True,True,136,2025-12-03T20:15:00Z,90,False,True,7,1,11,3,3,3
2562040,15,True,True,146,2025-12-06T17:30:00Z,90,False,True,12,3,11,3,3,3
2562046,16,True,True,152,2025-12-14T16:30:00Z,90,False,True,11,1,5,1,2,3
2562060,17,True,True,166,2025-12-20T20:00:00Z,90,False,True,8,1,11,4,3,3
2562073,18,True,True,179,2025-12-28T14:00:00Z,90,False,True,11,1,17,1,2,3
2562080,19,True,True,186,2026-01-01T17:30:00Z,90,False,True,11,0,12,0,2,4
2562090,20,True,True,196,2026-01-04T12:30:00Z,90,False,True,14,1,11,1,3,3
2562103,21,True,True,209,2026-01-07T20:15:00Z,90,False,True,11,3,15,4,2,3
2562108,22,True,True,214,2026-01-17T15:00:00Z,90,False,True,10,0,11,1,3,3
2562120,23,True,True,226,2026-01-26T20:00:00Z,90,False,True,11,1,9,1,2,3
2562128,24,True,True,234,2026-01-31T15:00:00Z,90,False,True,1,4,11,0,4,3
2562140,25,True,True,246,2026-02-06T20:00:00Z,90,False,True,16,1,11,3,3,3
2562147,26,True,True,253,2026-02-10T19:30:00Z,90,False,True,11,2,7,2,2,3
2562155,27,True,True,261,2026-02-21T15:00:00Z,90,False,True,11,1,2,1,2,4
2562170,28,True,True,276,2026-02-28T17:30:00Z,90,False,True,13,1,11,0,4,3
2562180,29,True,True,286,2026-03-03T19:30:00Z,90,False,True,17,1,11,0,2,3
2562189,30,True,True,295,2026-03-15T14:00:00Z,90,False,True,11,0,8,0,2,3
2562200,31,True,True,306,2026-03-21T20:00:00Z,90,False,True,5,0,11,0,3,3
2562211,32,True,True,317,2026-04-13T19:00:00Z,90,False,True,11,2,14,1,2,4
2562220,33,True,True,326,2026-04-18T14:00:00Z,90,False,True,20,0,11,3,1,3
2562225,33,True,True,332,2026-04-22T19:00:00Z,90,False,True,11,2,4,2,2,4
2562241,35,True,True,347,2026-05-01T19:00:00Z,90,False,True,3,1,11,3,1,3
2562253,36,True,True,359,2026-05-11T19:00:00Z,90,False,True,11,1,18,1,2,3
2562261,37,True,True,367,2026-05-17T14:00:00Z,90,False,True,6,0,11,1,3,3
2562274,38,True,True,380,2026-05-24T15:00:00Z,90,False,True,11,0,19,3,2,3
