season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2024-25,12436880,1,8,Chelsea,Home,861970,215413,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,True,,,,10.0,3.0,13.0,,,,,,,,,,,,1.0,,,0.00654665,,,,0.0,,,,,1.0,,,24.0,,,,,,,,4.0,,6.6,,,,,,,,,1.0,,14.0,3.0,17.0,0,,20.0,,1.0,,
2024-25,12436880,1,8,Chelsea,Home,879349,247632,Pedro Neto,pedro-neto,M,True,1.0,,,15.0,2.0,16.0,,,,,,1.0,,,,,1.0,1.0,,,0.16311,0.0393,,,0.0,,,,,,2.0,,32.0,,,,,,,,5.0,,6.8,,,,,,2.0,3.0,,,,17.0,2.0,16.0,1,,24.0,2.0,,1.0,
2024-25,12436880,1,8,Chelsea,Home,958966,465920,Mykhailo Mudryk,mykhailo-mudryk,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2024-25,12436880,1,8,Chelsea,Home,974505,448047,Enzo Fernández,enzo-fernandez,M,False,1.0,,5.0,32.0,15.0,46.0,,1.0,4.0,,,1.0,1.0,,,2.0,3.0,5.0,,,0.0803189,0.2234,0.0519,,0.0,,,,,,,,90.0,1.0,,,,,,,13.0,,7.2,,,1.0,,,,2.0,,6.0,,37.0,19.0,54.0,3,2.0,71.0,2.0,2.0,,2.0
2024-25,12436880,1,8,Chelsea,Home,982780,244851,Cole Palmer,cole-palmer,M,False,3.0,,1.0,25.0,12.0,34.0,,,5.0,,,,1.0,,,3.0,6.0,4.0,,,0.188066,0.0655,0.1644,,0.0,,,,,,2.0,,90.0,1.0,,,,,,,18.0,,6.8,,,1.0,,1.0,3.0,5.0,,3.0,,31.0,14.0,40.0,2,2.0,63.0,3.0,1.0,1.0,2.0
2024-25,12436880,1,8,Chelsea,Home,987650,486672,Moisés Caicedo,moises-caicedo,M,False,1.0,,,31.0,16.0,46.0,,,5.0,,,1.0,3.0,,,,5.0,3.0,,,0.0607797,0.0282,,2.0,0.0,,,,,2.0,1.0,,90.0,,,,,,,,7.0,,6.9,,,,,,1.0,1.0,,2.0,,35.0,17.0,51.0,1,2.0,63.0,1.0,,1.0,1.0
2024-25,12436880,1,8,Chelsea,Home,1069488,514356,Roméo Lavia,romeo-lavia,M,False,,,1.0,18.0,20.0,38.0,,1.0,6.0,1.0,,,1.0,,,1.0,3.0,4.0,,,0.178192,,,1.0,0.0,,,,,3.0,1.0,,66.0,,,,,,,,2.0,,7.3,,,,,1.0,,,,1.0,,19.0,20.0,39.0,0,3.0,49.0,,,,1.0
2024-25,12436904,2,8,Chelsea,Away,861970,215413,Kiernan Dewsbury-Hall,kiernan-dewsbury-hall,M,True,,,,2.0,8.0,10.0,,,2.0,,,,,,,,1.0,,,1.0,0.00027405,,,1.0,0.0,,,,,,,,14.0,,,,,,,,2.0,,6.1,,,,,,,,,1.0,,3.0,9.0,12.0,0,,12.0,,,,
2024-25,12436904,2,8,Chelsea,Away,879349,247632,Pedro Neto,pedro-neto,M,True,,,,14.0,6.0,20.0,,1.0,2.0,1.0,,,,,,,4.0,3.0,,,0.0474686,,,,1.0,,,,,1.0,1.0,,45.0,,,,,,,,6.0,,7.1,,,,,,5.0,,,,,15.0,6.0,21.0,0,1.0,30.0,1.0,,1.0,1.0
2024-25,12436904,2,8,Chelsea,Away,958966,465920,Mykhailo Mudryk,mykhailo-mudryk,M,False,,,,5.0,,5.0,1.0,,1.0,,,,,,,1.0,4.0,1.0,,,0.00988525,,,1.0,0.0,,,,,,,,45.0,,,,,,,,6.0,,6.2,,,,,,2.0,1.0,,,,9.0,,8.0,0,,13.0,,,1.0,
2024-25,12436904,2,8,Chelsea,Away,974505,448047,Enzo Fernández,enzo-fernandez,M,False,,,2.0,22.0,21.0,43.0,,,5.0,,,,3.0,,,1.0,5.0,6.0,,1.0,0.0410285,,,,0.0,,,,,,2.0,,90.0,,1.0,,,,,,18.0,,6.8,,,,,1.0,2.0,3.0,,4.0,,34.0,25.0,56.0,0,4.0,71.0,,1.0,1.0,3.0
2024-25,12436904,2,8,Chelsea,Away,982780,244851,Cole Palmer,cole-palmer,M,False,,,1.0,17.0,6.0,23.0,,,6.0,2.0,1.0,2.0,1.0,,,1.0,4.0,1.0,,,0.145644,0.665,0.0426,1.0,3.0,1.0,,,1.0,1.0,4.0,,82.0,1.0,,,,,,,17.0,,9.0,,,2.0,,,2.0,5.0,,2.0,,28.0,8.0,31.0,5,,49.0,2.0,,1.0,
