season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243394,1,8,Chelsea,Away,98435,88894,Ross Barkley,ross-barkley,M,False,,,,14.0,5.0,19.0,1.0,,6.0,,,,1.0,,2.0,7.0,3.0,,,,,,,,,1.0,,58.0,1.0,,,,,,13.0,,6.2,,,1.0,,,4.0,,,2.0,,16.0,8.0,24.0,2,2.0,39.0,3.0,,1.0,
2019-20,8243394,1,8,Chelsea,Away,132874,85955,Jorginho,jorginho,M,False,,,1.0,29.0,22.0,51.0,,,10.0,,,1.0,3.0,,1.0,6.0,2.0,,,1.0,,,,,3.0,,,73.0,,,,,,,14.0,,6.0,,,,,,1.0,,,5.0,,37.0,25.0,62.0,1,1.0,74.0,1.0,1.0,,1.0
2019-20,8243394,1,8,Chelsea,Away,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,2.0,44.0,23.0,67.0,,,5.0,,,,1.0,,,1.0,10.0,,,,,,,,,2.0,,90.0,,,,,,,7.0,,7.3,,,,,,4.0,,,4.0,,50.0,23.0,73.0,0,2.0,87.0,1.0,4.0,4.0,2.0
2019-20,8243394,1,8,Chelsea,Away,234148,116594,N'Golo Kanté,n-golo-kante,M,True,,,,4.0,3.0,7.0,,,,,,,,,,1.0,2.0,,,1.0,,,,,,,,17.0,,1.0,,,,,3.0,,6.6,,,,,,,,,,,6.0,3.0,9.0,0,2.0,14.0,1.0,,,1.0
2019-20,8243394,1,8,Chelsea,Away,801391,167767,Kenedy,kenedy,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243416,2,8,Chelsea,Home,31417,47431,Willian,willian,M,True,,,1.0,6.0,2.0,8.0,,1.0,1.0,,,,1.0,,,1.0,3.0,,,,,,,,,,,19.0,,,,,,,6.0,,6.8,,,1.0,,,,2.0,,1.0,1.0,11.0,2.0,11.0,1,1.0,18.0,,1.0,,1.0
2019-20,8243416,2,8,Chelsea,Home,98435,88894,Ross Barkley,ross-barkley,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243416,2,8,Chelsea,Home,132874,85955,Jorginho,jorginho,M,False,,,4.0,19.0,16.0,35.0,1.0,1.0,5.0,,,,2.0,,,6.0,4.0,,,2.0,,,,,1.0,,,71.0,,1.0,,,,,12.0,,6.6,,,1.0,,,2.0,,,7.0,,26.0,20.0,46.0,1,2.0,55.0,,,1.0,1.0
2019-20,8243416,2,8,Chelsea,Home,136710,91651,Mateo Kovačić,mateo-kovacic,M,True,,,,3.0,3.0,6.0,,,4.0,,,,2.0,,1.0,3.0,1.0,,,,,,,,1.0,,,19.0,,,,,,,5.0,,6.3,,,,,,1.0,,,1.0,,4.0,5.0,9.0,0,,14.0,,,1.0,
2019-20,8243416,2,8,Chelsea,Home,234148,116594,N'Golo Kanté,n-golo-kante,M,False,,,1.0,29.0,14.0,43.0,,,8.0,,1.0,1.0,2.0,,2.0,5.0,5.0,,,1.0,,,,,1.0,1.0,,90.0,,,,,,,16.0,,6.5,,,,,3.0,1.0,1.0,,3.0,,37.0,18.0,54.0,1,3.0,71.0,2.0,1.0,1.0,1.0
