season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2021-22,9576259,1,8,Chelsea,Home,132874,85955,Jorginho,jorginho,M,False,,,7.0,53.0,29.0,82.0,,,6.0,,,,2.0,,,1.0,4.0,6.0,,,1.0,,,,,,2.0,1.0,,90.0,,,,,,,,7.0,,7.6,,,,,,,,,9.0,,58.0,30.0,88.0,0,5.0,101.0,,1.0,,1.0
2021-22,9576259,1,8,Chelsea,Home,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,5.0,54.0,22.0,76.0,1.0,,8.0,,,,3.0,,,,5.0,5.0,,,2.0,1.0,,,,,1.0,2.0,,90.0,,,,,,,,4.0,,7.6,,,2.0,,,3.0,,,5.0,,56.0,22.0,78.0,2,1.0,90.0,1.0,1.0,3.0,
2021-22,9576259,1,8,Chelsea,Home,867442,209046,Callum Hudson Odoi,callum-hudson-odoi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576412,2,8,Chelsea,Away,132874,85955,Jorginho,jorginho,M,False,,,1.0,30.0,30.0,60.0,2.0,1.0,5.0,,,,3.0,,,1.0,6.0,4.0,,,,,,,,,1.0,1.0,,90.0,,,,,,,,10.0,,6.7,,,,,1.0,,,,4.0,,37.0,32.0,69.0,0,2.0,78.0,,1.0,,1.0
2021-22,9576412,2,8,Chelsea,Away,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,1.0,32.0,33.0,65.0,,,2.0,,,,1.0,,,2.0,3.0,1.0,,,1.0,,,,,,,2.0,,72.0,,,,,,,,7.0,,6.9,,,2.0,,,,,,2.0,,33.0,36.0,69.0,2,1.0,78.0,1.0,,,
2021-22,9576412,2,8,Chelsea,Away,234148,116594,N'Golo Kanté,n-golo-kante,M,True,,,,6.0,6.0,12.0,,1.0,2.0,,,,1.0,,,,2.0,5.0,,,,,,,,,1.0,,,18.0,,,,,,,,5.0,,6.9,,,,,,3.0,,,,,9.0,6.0,15.0,0,1.0,23.0,1.0,1.0,2.0,1.0
2021-22,9576412,2,8,Chelsea,Away,249437,124183,Hakim Ziyech,hakim-ziyech,M,True,,,,2.0,,2.0,,1.0,2.0,,,1.0,,,,1.0,1.0,1.0,,,,,,,,,,,,8.0,,,,,,,,5.0,,6.4,,,,,,,,,,,6.0,,6.0,1,,8.0,,,,
2021-22,9576412,2,8,Chelsea,Away,867442,209046,Callum Hudson Odoi,callum-hudson-odoi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576148,3,8,Chelsea,Away,132874,85955,Jorginho,jorginho,M,False,,,2.0,7.0,17.0,24.0,3.0,,10.0,,,,2.0,,,3.0,10.0,8.0,,,1.0,,,,,,4.0,,,87.0,,,,,,,,12.0,,6.7,,,,,2.0,2.0,,,3.0,,10.0,19.0,29.0,0,3.0,54.0,3.0,4.0,1.0,2.0
2021-22,9576148,3,8,Chelsea,Away,136710,91651,Mateo Kovačić,mateo-kovacic,M,True,,,2.0,5.0,16.0,21.0,1.0,,5.0,,,,,,,1.0,2.0,4.0,,,,,,,,,1.0,,,45.0,1.0,,,,,,,3.0,,7.1,,,,,,1.0,,,3.0,,5.0,18.0,23.0,1,2.0,31.0,,1.0,1.0,1.0
2021-22,9576148,3,8,Chelsea,Away,234148,116594,N'Golo Kanté,n-golo-kante,M,False,,,,6.0,8.0,14.0,,,6.0,,,,,,,,,3.0,,,,,,,,,1.0,1.0,,45.0,,,,,,,,8.0,,6.9,,,,,2.0,1.0,,,1.0,,12.0,10.0,22.0,0,1.0,30.0,,1.0,1.0,1.0
2021-22,9576148,3,8,Chelsea,Away,249437,124183,Hakim Ziyech,hakim-ziyech,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576148,3,8,Chelsea,Away,284441,126187,Ruben Loftus-Cheek,ruben-loftus-cheek,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576148,3,8,Chelsea,Away,867442,209046,Callum Hudson Odoi,callum-hudson-odoi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576168,4,8,Chelsea,Home,98435,88894,Ross Barkley,ross-barkley,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576168,4,8,Chelsea,Home,116955,89335,Saúl Ñíguez,saul-niguez,M,False,,,,7.0,24.0,31.0,1.0,1.0,1.0,,,,1.0,,,3.0,8.0,1.0,,1.0,3.0,,,,,,,,,45.0,,1.0,,,,,,10.0,,5.8,,,,,1.0,,,,4.0,,12.0,26.0,38.0,0,,45.0,,,,
2021-22,9576168,4,8,Chelsea,Home,132874,85955,Jorginho,jorginho,M,True,,,1.0,8.0,20.0,28.0,,,3.0,,,,4.0,,,,5.0,3.0,,,1.0,,,,,,1.0,1.0,,45.0,,2.0,,,,,,3.0,,6.7,,,,,,1.0,,,2.0,,10.0,20.0,30.0,0,1.0,38.0,1.0,1.0,1.0,
2021-22,9576168,4,8,Chelsea,Home,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,5.0,32.0,30.0,62.0,,,9.0,1.0,,,1.0,,,1.0,5.0,5.0,,,,1.0,1.0,,,,,1.0,,90.0,1.0,,,,,,,16.0,,8.4,,,1.0,,2.0,5.0,,,7.0,,40.0,34.0,74.0,2,2.0,91.0,,1.0,2.0,
2021-22,9576168,4,8,Chelsea,Home,249437,124183,Hakim Ziyech,hakim-ziyech,M,False,,,2.0,16.0,11.0,27.0,,,4.0,,,,6.0,,,,7.0,7.0,,,1.0,,,,,,2.0,2.0,,90.0,1.0,,,,,,,23.0,,7.4,,,1.0,,4.0,1.0,5.0,,3.0,,31.0,14.0,40.0,2,3.0,67.0,4.0,3.0,1.0,1.0
2021-22,9576168,4,8,Chelsea,Home,284441,126187,Ruben Loftus-Cheek,ruben-loftus-cheek,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576168,4,8,Chelsea,Home,867442,209046,Callum Hudson Odoi,callum-hudson-odoi,M,False,,,,15.0,9.0,24.0,1.0,,6.0,,,1.0,1.0,,,,2.0,6.0,,,,,,,,,,1.0,,82.0,,,,,,,,14.0,,7.0,,,,,2.0,3.0,6.0,,3.0,2.0,22.0,13.0,29.0,1,1.0,55.0,2.0,2.0,3.0,1.0
2021-22,9576161,5,8,Chelsea,Away,116955,89335,Saúl Ñíguez,saul-niguez,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576161,5,8,Chelsea,Away,132874,85955,Jorginho,jorginho,M,False,,,2.0,32.0,27.0,59.0,2.0,2.0,8.0,,,,2.0,,,,8.0,6.0,,,4.0,,,,,,1.0,1.0,,90.0,,,,,,,,10.0,,6.8,,,,,1.0,1.0,,,4.0,,39.0,29.0,68.0,0,2.0,78.0,1.0,1.0,1.0,
2021-22,9576161,5,8,Chelsea,Away,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,1.0,34.0,19.0,53.0,,1.0,7.0,,1.0,,,,,2.0,5.0,7.0,,,1.0,1.0,,,,,,1.0,,90.0,1.0,1.0,,,,,,12.0,,7.2,,,,,1.0,2.0,,,2.0,,40.0,20.0,60.0,1,6.0,78.0,1.0,,,4.0
2021-22,9576161,5,8,Chelsea,Away,234148,116594,N'Golo Kanté,n-golo-kante,M,True,,,3.0,15.0,14.0,29.0,,,3.0,1.0,,,,,,,1.0,3.0,,,1.0,,1.0,,,,,1.0,,45.0,1.0,,,,,,,6.0,,8.0,,,,,,1.0,1.0,,3.0,,18.0,16.0,33.0,1,2.0,40.0,1.0,,1.0,
2021-22,9576161,5,8,Chelsea,Away,249437,124183,Hakim Ziyech,hakim-ziyech,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576161,5,8,Chelsea,Away,867442,209046,Callum Hudson Odoi,callum-hudson-odoi,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576243,6,8,Chelsea,Home,116955,89335,Saúl Ñíguez,saul-niguez,M,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2021-22,9576243,6,8,Chelsea,Home,132874,85955,Jorginho,jorginho,M,False,,,4.0,6.0,26.0,32.0,1.0,,2.0,,,,,,,3.0,5.0,2.0,,,1.0,,,,,,,,,76.0,,1.0,,,,,,6.0,,6.5,,,,,3.0,,,,5.0,,7.0,27.0,34.0,0,1.0,46.0,1.0,1.0,,
2021-22,9576243,6,8,Chelsea,Home,136710,91651,Mateo Kovačić,mateo-kovacic,M,False,,,4.0,9.0,21.0,30.0,,1.0,2.0,,,1.0,2.0,,,,3.0,8.0,,,,,,,,,1.0,,,90.0,,1.0,,,,,,13.0,,7.1,,,,,1.0,6.0,1.0,,6.0,,17.0,21.0,37.0,1,1.0,56.0,4.0,1.0,5.0,
