playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,penaltiesConceded,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,duels,putthroughBlockedDistributionWon,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,successfulLongPasses,backwardPasses,touches,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,expectedGoalsFreekick,throughBalls,successfulCornersIntoBox,throwInsToOppositionPlayer,leftFootGoals,freekickTotal,attemptsFromSetPieces,unsuccessfulCornersIntoBox,clearancesOffTheLine,throwInsToOwnPlayer,secondGoalAssists,redCards2ndYellow,penaltiesSaved,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,handballsConceded,headedGoals,foulWonPenalty,penaltiesTaken,penaltyGoals
121599,Abdoulaye Doucouré,Midfielder,Watford,57,Mali,2019-20,204.0,5.0,2.8477,0.0,20.0,12.0,3.8987,64.0,41.0,319.0,37.0,2.0,14.0,36.0,363.0,24.0,1678.0,4.0,6.0,11.0,1.0,2.0,111.0,5.0,2.0,5.0,6.0,3167.0,6.0,2.0,56.0,174.0,7.0,1.0,85.0,119.0,1274.0,106.0,7.0,59.127,1.0,36.0,4.0,31.0,61.0,9.0,148.0,469.0,15.0,378.0,38.0,479.0,270.0,37.0,2.0,4.0,34.0,27.0,791.0,54.0,24.0,9.0,267.0,55.0,0.0,1664.0,29.0,18.0,510.0,30.0,40.0,8.0,464.0,51.0,31.0,41.0,266.0,2193.0,11.0,1.0,11.0,24.0,529.0,33.0,5.1651,9.0,44.0,94.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
216058,Domingos Quina,Midfielder,Watford,57,Portugal,2019-20,6.0,,0.0241,0.0,,1.0,0.018,2.0,1.0,,4.0,,,,,,10.0,,,,4.0,,2.0,,1.0,,,18.0,,,2.0,4.0,,,3.0,4.0,10.0,,,1.5696,,,,,2.0,,4.0,3.0,1.0,10.0,3.0,2.0,4.0,4.0,1.0,,2.0,1.0,4.0,2.0,,,8.0,,0.0,10.0,,,4.0,,1.0,,3.0,1.0,,,2.0,24.0,,,,,6.0,1.0,0.0281,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
168290,Ignacio Pussetto,Midfielder,Watford,57,Argentina,2019-20,16.0,1.0,0.0576,0.0,,,,7.0,,7.0,7.0,,,,12.0,2.0,29.0,,,,7.0,,5.0,,,1.0,,67.0,,,4.0,11.0,1.0,,2.0,10.0,15.0,1.0,,1.9412,,,2.0,3.0,3.0,,12.0,2.0,2.0,27.0,1.0,15.0,10.0,7.0,,,3.0,3.0,7.0,2.0,3.0,,22.0,1.0,0.0,28.0,,,24.0,4.0,1.0,1.0,6.0,3.0,3.0,2.0,6.0,66.0,,,,5.0,11.0,1.0,,1.0,5.0,3.0,,,,1.0,,,,,1.0,2.0,,,,,,,,,,,,,,,,,,,,,
157775,Ken Sema,Midfielder,Watford,57,Sweden,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
89085,Nathaniel Chalobah,Midfielder,Watford,57,England,2019-20,50.0,,0.7603,0.0,3.0,,,30.0,6.0,70.0,22.0,1.0,4.0,10.0,90.0,9.0,346.0,,,2.0,12.0,13.0,33.0,1.0,,4.0,,926.0,,1.0,14.0,62.0,2.0,,23.0,43.0,246.0,8.0,2.0,21.9404,,8.0,,18.0,14.0,1.0,36.0,70.0,8.0,112.0,6.0,131.0,64.0,22.0,,,19.0,4.0,134.0,12.0,17.0,1.0,79.0,19.0,0.0,338.0,6.0,1.0,139.0,11.0,5.0,4.0,79.0,7.0,18.0,10.0,66.0,528.0,7.0,,2.0,8.0,126.0,5.0,0.4638,1.0,20.0,33.0,0.1553,,3.0,,,2.0,2.0,6.0,,2.0,,,,,,,,,,,,,,,,,,,,,
61566,Roberto Pereyra,Midfielder,Watford,57,Argentina,2019-20,120.0,4.0,2.0586,0.0,8.0,9.0,2.6599,20.0,13.0,81.0,28.0,,9.0,17.0,91.0,8.0,613.0,3.0,5.0,5.0,11.0,21.0,27.0,2.0,2.0,6.0,4.0,1653.0,4.0,3.0,22.0,78.0,2.0,,30.0,73.0,510.0,58.0,2.0,29.7355,,20.0,,5.0,27.0,3.0,98.0,170.0,33.0,198.0,21.0,133.0,98.0,28.0,2.0,2.0,12.0,33.0,335.0,25.0,26.0,3.0,171.0,5.0,0.0,603.0,4.0,12.0,238.0,8.0,20.0,,120.0,21.0,14.0,12.0,190.0,960.0,12.0,,5.0,3.0,193.0,11.0,3.1161,4.0,10.0,24.0,0.3048,,2.0,3.0,1.0,4.0,4.0,14.0,,12.0,,,,,,,,,,,,,,,,,,,1.0,1.0,1.0
43250,Tom Cleverley,Midfielder,Watford,57,England,2019-20,61.0,3.0,0.9656,0.0,7.0,5.0,1.5619,28.0,10.0,53.0,18.0,,6.0,11.0,72.0,15.0,430.0,1.0,,4.0,7.0,6.0,21.0,1.0,2.0,6.0,2.0,966.0,2.0,1.0,12.0,54.0,2.0,,15.0,45.0,342.0,28.0,2.0,23.357,,15.0,1.0,15.0,26.0,3.0,49.0,92.0,10.0,115.0,12.0,143.0,51.0,18.0,2.0,1.0,13.0,4.0,227.0,24.0,23.0,3.0,94.0,9.0,0.0,415.0,5.0,9.0,116.0,15.0,7.0,1.0,119.0,16.0,10.0,16.0,76.0,612.0,3.0,,4.0,4.0,137.0,9.0,2.0968,2.0,19.0,9.0,,,3.0,,,,,2.0,,5.0,,,,,,,,,,,,,,,,,1.0,,,,
175353,Tom Dele-Bashiru,Midfielder,Watford,57,Nigeria,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
108413,Will Hughes,Midfielder,Watford,57,England,2019-20,166.0,3.0,2.5571,0.0,10.0,3.0,1.0512,75.0,17.0,155.0,30.0,1.0,18.0,27.0,183.0,18.0,841.0,1.0,1.0,6.0,3.0,36.0,57.0,3.0,1.0,20.0,1.0,2262.0,1.0,1.0,32.0,170.0,4.0,2.0,66.0,145.0,647.0,49.0,7.0,46.3273,,24.0,,25.0,46.0,4.0,134.0,186.0,46.0,336.0,40.0,325.0,126.0,30.0,1.0,1.0,28.0,9.0,448.0,42.0,49.0,4.0,279.0,25.0,0.0,829.0,14.0,9.0,326.0,47.0,24.0,8.0,198.0,53.0,37.0,11.0,132.0,1366.0,14.0,,6.0,16.0,230.0,36.0,2.2758,9.0,28.0,42.0,,1.0,11.0,,,,,21.0,,1.0,1.0,,,,,,,,,,,,,,,,2.0,,,,
38439,Étienne Capoue,Midfielder,Watford,57,France,2019-20,165.0,4.0,2.7096,0.0,6.0,1.0,0.1539,75.0,13.0,178.0,30.0,3.0,6.0,30.0,268.0,7.0,1434.0,,,5.0,,6.0,68.0,6.0,1.0,9.0,,2632.0,,,19.0,186.0,6.0,1.0,35.0,137.0,1054.0,13.0,7.0,43.6314,,17.0,6.0,56.0,48.0,1.0,146.0,388.0,39.0,351.0,19.0,440.0,219.0,30.0,1.0,,35.0,17.0,575.0,42.0,14.0,1.0,283.0,49.0,0.0,1345.0,12.0,2.0,349.0,40.0,23.0,11.0,351.0,57.0,68.0,112.0,255.0,1905.0,5.0,,5.0,35.0,600.0,46.0,0.7867,8.0,90.0,76.0,0.1907,3.0,3.0,,,2.0,2.0,3.0,,5.0,,,,,,,,,,,,,,,,,2.0,,,,
