season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2018-19,7827862,1,97,Cardiff_City,Away,33478,49806,Junior Hoilett,junior-hoilett,F,False,3.0,,,14.0,5.0,16.0,3.0,,4.0,,,,1.0,,,,8.0,4.0,,,2.0,,,,,3.0,1.0,,90.0,,,,,,,,13.0,,6.7,,,,,1.0,4.0,6.0,,,1.0,20.0,6.0,20.0,0,2.0,46.0,2.0,1.0,1.0,1.0
2018-19,7827862,1,97,Cardiff_City,Away,34713,45196,Gary Madine,gary-madine,F,True,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,,,,,,0,1.0,1.0,,,,1.0
2018-19,7827862,1,97,Cardiff_City,Away,78609,75826,Daniel Ward,daniel-ward,F,True,,,,,2.0,2.0,6.0,3.0,,,,,,,,,6.0,3.0,,,,,,,,,,,28.0,,,,,,,,6.0,,6.4,,,,,,,,,,,4.0,2.0,6.0,0,,13.0,2.0,,,
2018-19,7827862,1,97,Cardiff_City,Away,120480,76360,Nathaniel Méndez-Laing,nathaniel-mendez-laing,F,False,,,,6.0,2.0,8.0,3.0,3.0,4.0,,,,,,,1.0,5.0,5.0,,,,,,,,3.0,,,63.0,,,,,,,,13.0,,6.8,,,2.0,,,1.0,4.0,,1.0,,16.0,3.0,15.0,2,2.0,33.0,,,,1.0
2018-19,7827862,1,97,Cardiff_City,Away,250211,122797,Callum Paterson,callum-paterson,F,False,,,,8.0,3.0,11.0,6.0,8.0,6.0,,,1.0,3.0,,,,9.0,10.0,,,,,,,,,1.0,,62.0,,,,,,,,15.0,,6.3,,,,,2.0,,,,2.0,,17.0,9.0,26.0,1,1.0,32.0,,1.0,,
2018-19,7827898,2,97,Cardiff_City,Home,33478,49806,Junior Hoilett,junior-hoilett,F,False,1.0,,,8.0,3.0,10.0,2.0,2.0,3.0,,,1.0,1.0,,,1.0,5.0,8.0,,,1.0,,,,,2.0,,,83.0,,,,,,,,15.0,,7.1,,,1.0,,,2.0,4.0,,1.0,,16.0,6.0,18.0,2,2.0,38.0,2.0,2.0,2.0,2.0
2018-19,7827898,2,97,Cardiff_City,Home,34713,45196,Gary Madine,gary-madine,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2018-19,7827898,2,97,Cardiff_City,Home,94271,82078,Kenneth Zohore,kenneth-zohore,F,False,,,,9.0,1.0,10.0,13.0,5.0,5.0,,1.0,,,,,1.0,18.0,9.0,,,3.0,,,,,,1.0,,90.0,1.0,1.0,,,,,,11.0,,6.9,,,3.0,,2.0,1.0,,,,1.0,16.0,1.0,17.0,4,,36.0,2.0,4.0,,
2018-19,7827898,2,97,Cardiff_City,Home,120480,76360,Nathaniel Méndez-Laing,nathaniel-mendez-laing,F,True,,,,3.0,,3.0,,,1.0,,,,,,,1.0,1.0,,,,,,,,,,,,12.0,,,,,,,,2.0,,6.4,,,,,,,1.0,,,,4.0,,3.0,0,,6.0,,,,
2018-19,7827898,2,97,Cardiff_City,Home,250211,122797,Callum Paterson,callum-paterson,F,True,,,,3.0,,3.0,,3.0,,,,1.0,,,,,,3.0,,,,,,,,,1.0,,7.0,,,,,,,,3.0,,6.8,,,,,,,1.0,,,,6.0,,5.0,1,,7.0,,,,
