playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,totalRedCards,blockedShots,shotsOnTargetIncGoals,totalTackles,totalShots,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,substituteOn,aerialDuels,cleanSheets,successfulCrossesAndCorners,timePlayed,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,throwInsToOppositionPlayer,penaltyGoalsConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,totalFoulsWon,winningGoal,duels,homeGoals,recoveries,appearances,tacklesLost,leftFootGoals,lastPlayerTackle,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,redCards2ndYellow,headedGoals,unsuccessfulCrossesAndCorners,timesTackled,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,totalFoulsConceded,interceptions,successfulLongPasses,touches,throwInsToOwnPlayer,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,throughBalls,successfulLayoffs,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,crossesNotClaimed,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,goalAssists,penaltiesConceded,hitWoodwork,ownGoalScored,handballsConceded,cornersTakenInclShortCorners,successfulCornersIntoBox,unsuccessfulCornersIntoBox,foulWonPenalty,unsuccessfulLayoffs,rightFootGoals,clearancesOffTheLine,attemptsFromSetPieces,penaltiesTaken,penaltyGoals,penaltiesSaved,savesFromPenalty
14055,Abdoulaye Faye,Defender,Stoke,110,Senegal,2009-10,69.0,1.0,2.0,5.0,3.0,52.0,20.0,83.0,31.0,30.0,137.0,2.0,451.0,2.0,1.0,0.0,1.0,97.0,7.0,1.0,2386.0,28.0,136.0,7.0,67.0,266.0,31.0,1.0,1.0,4.0,13.0,267.0,30.0,41.0,11.0,0.0,205.0,2.0,85.0,31.0,12.0,1.0,3.0,1.0,88.0,23.0,1.0,1.0,2.0,9.0,108.0,69.0,1.0,417.0,17.0,4.0,267.0,40.0,4.0,25.0,26.0,55.0,48.0,941.0,1.0,5.0,44.0,227.0,4.0,54.0,40.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
14909,Andrew Davies,Defender,Stoke,110,England,2009-10,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
1852,Andy Griffin,Defender,Stoke,110,England,2009-10,,,0.0,,,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19714,Andy Wilkinson,Defender,Stoke,110,England,2009-10,86.0,2.0,1.0,3.0,1.0,74.0,7.0,130.0,25.0,21.0,207.0,10.0,489.0,,,,4.0,41.0,9.0,2.0,2034.0,21.0,116.0,2.0,96.0,258.0,10.0,98.0,1.0,4.0,18.0,128.0,27.0,65.0,16.0,0.0,202.0,,45.0,25.0,15.0,,3.0,11.0,171.0,25.0,1.0,,10.0,24.0,161.0,20.0,0.0,487.0,6.0,5.0,398.0,59.0,6.0,8.0,27.0,53.0,24.0,1057.0,95.0,1.0,72.0,113.0,5.0,77.0,50.0,1.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
19393,Danny Collins,Defender,Stoke,110,Wales,2009-10,67.0,7.0,0.0,,2.0,43.0,4.0,186.0,28.0,25.0,299.0,23.0,764.0,,,,3.0,97.0,8.0,7.0,2348.0,34.0,121.0,6.0,58.0,400.0,15.0,87.0,4.0,8.0,31.0,211.0,37.0,33.0,9.0,0.0,188.0,,62.0,28.0,12.0,,,2.0,259.0,31.0,,,23.0,8.0,91.0,63.0,0.0,731.0,2.0,7.0,519.0,31.0,6.0,12.0,14.0,61.0,65.0,1417.0,120.0,,98.0,213.0,0.0,113.0,53.0,2.0,1.0,,,,,,,,,,,,,,,1.0,1.0,1.0,,,,,,,,,,,,,,
2399,Danny Higginbotham,Defender,Stoke,110,Gibraltar,2009-10,59.0,6.0,0.0,5.0,3.0,34.0,10.0,134.0,24.0,23.0,263.0,14.0,543.0,1.0,2.0,0.0,1.0,65.0,11.0,6.0,2003.0,29.0,90.0,3.0,54.0,204.0,32.0,44.0,1.0,8.0,41.0,161.0,26.0,30.0,16.0,2.0,149.0,1.0,57.0,24.0,8.0,1.0,1.0,3.0,186.0,23.0,,,14.0,11.0,84.0,36.0,0.0,522.0,7.0,4.0,422.0,26.0,4.0,16.0,13.0,33.0,76.0,993.0,51.0,2.0,122.0,100.0,0.0,129.0,43.0,,,,,,,,,,,,,,,,,1.0,,,1.0,1.0,,,,,,,,,,,,
14489,Danny Pugh,Defender,Stoke,110,England,2009-10,10.0,1.0,0.0,,3.0,3.0,3.0,11.0,7.0,1.0,15.0,1.0,55.0,1.0,,0.0,6.0,1.0,,2.0,179.0,1.0,7.0,,7.0,36.0,3.0,2.0,2.0,2.0,1.0,6.0,7.0,9.0,3.0,0.0,17.0,1.0,10.0,7.0,1.0,,,3.0,28.0,7.0,,1.0,3.0,5.0,16.0,,0.0,54.0,,1.0,30.0,2.0,1.0,,3.0,,4.0,90.0,,,2.0,14.0,0.0,4.0,5.0,,1.0,,,,,,,,,,,,,,,,1.0,,,1.0,3.0,1.0,2.0,,,,,,,,,
14158,Ibrahima Sonko,Defender,Stoke,110,Senegal,2009-10,22.0,,0.0,1.0,,20.0,1.0,39.0,9.0,9.0,62.0,4.0,206.0,,,,,31.0,2.0,,810.0,10.0,50.0,2.0,29.0,124.0,8.0,28.0,4.0,3.0,6.0,78.0,20.0,12.0,6.0,0.0,72.0,,42.0,9.0,2.0,,,,50.0,18.0,,,4.0,2.0,41.0,21.0,0.0,206.0,1.0,4.0,125.0,18.0,3.0,7.0,3.0,12.0,20.0,392.0,15.0,,24.0,94.0,0.0,23.0,14.0,1.0,,,,,,,,,,,,,,,,,1.0,1.0,,,,,,,,,,,,,,
12413,Robert Huth,Defender,Stoke,110,Germany,2009-10,105.0,,0.0,8.0,7.0,65.0,24.0,151.0,32.0,30.0,212.0,6.0,588.0,3.0,1.0,2.0,2.0,119.0,10.0,,2743.0,48.0,166.0,7.0,95.0,332.0,50.0,79.0,3.0,8.0,19.0,273.0,39.0,57.0,25.0,0.0,271.0,1.0,83.0,32.0,14.0,,1.0,2.0,158.0,32.0,,2.0,6.0,15.0,152.0,71.0,0.0,575.0,17.0,5.0,421.0,51.0,5.0,23.0,33.0,66.0,44.0,1262.0,49.0,,65.0,218.0,6.0,61.0,45.0,,1.0,,,,,,,,,,,,,,,1.0,2.0,1.0,,,,,,,,1.0,,2.0,,,,
37869,Ryan Shawcross,Defender,Stoke,110,England,2009-10,86.0,3.0,1.0,6.0,4.0,45.0,18.0,115.0,28.0,27.0,183.0,,431.0,2.0,4.0,0.0,1.0,85.0,9.0,3.0,2449.0,36.0,116.0,5.0,67.0,190.0,55.0,,2.0,7.0,25.0,290.0,36.0,50.0,22.0,2.0,202.0,2.0,47.0,28.0,13.0,,,,109.0,31.0,,2.0,,8.0,117.0,49.0,1.0,415.0,14.0,4.0,323.0,32.0,,33.0,35.0,60.0,58.0,958.0,2.0,1.0,62.0,142.0,8.0,68.0,38.0,,3.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,,,,,,1.0,,,,
