playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,throughBalls,gamesPlayed,setPiecesGoals,totalPasses,goals,offsides,oboxBlocked,substituteOn,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,goalsConcededOutsideBox,groundDuelsWon,successfulCornersIntoBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,shotsBlockedInBox,totalFoulsWon,recoveries,appearances,rightFootGoals,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,freekickTotal,openPlayPasses,shotsOffTargetIncWoodwork,totalLossesOfPossession,tacklesWon,attemptsFromSetPieces,leftsidePasses,totalFoulsConceded,unsuccessfulCornersIntoBox,clearancesOffTheLine,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,hitWoodwork,successfulPassesOwnHalf,handballsConceded,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,successfulCrossesOpenPlay,expectedAssists,totalRedCards,expectedGoalsFreekick,totalShots,unsuccessfulShortPasses,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,cornersTakenInclShortCorners,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,timePlayed,unsuccessfulLayoffs,duelsWon,putthroughBlockedDistribution,successfulShortPasses,totalTouchesInOppositionBox,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,duels,putthroughBlockedDistributionWon,forwardPasses,penaltiesTaken,oboxTarget,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,cornersWon,successfulDribbles,blocks,interceptions,penaltyGoals,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,foulAttemptedTackle,expectedGoals,yellowCards,penaltiesConceded,leftFootGoals,secondGoalAssists,catches,savesMadeFromOutsideBox,savesMadeCaught,penaltiesFaced,punches,savesMade,goalkeeperSmother,drops,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,throwInsToOppositionPlayer,redCards2ndYellow,headedGoals,penaltiesSaved,savesFromPenalty,crossesNotClaimed,foulWonPenalty,ownGoalScored
74471,Aaron Mooy,Midfielder,Huddersfield,38,Australia,2018-19,139.0,14.0,14.0,3.8903,64.0,2.0,29.0,1.0,1276.0,3.0,1.0,10.0,4.0,3.0,3.0,27.0,5.0,97.0,24.0,6.0,37.0542,42.0,7.0,4.0,12.0,204.0,29.0,3.0,15.0,97.0,8.0,1250.0,15.0,458.0,43.0,8.0,317.0,26.0,42.0,1.0,61.0,188.0,1797.0,8.0,1.0,327.0,4.0,58.0,54.0,8.0,2.6552,0.0,0.5963,29.0,194.0,1.0,16.0,25.0,252.0,34.0,75.0,42.0,3.0,8.0,40.0,2327.0,1.0,112.0,81.0,963.0,32.0,20.0,48.0,112.0,307.0,251.0,36.0,464.0,1.0,8.0,21.0,737.0,43.0,4.0,209.0,15.0,0.0,16.0,22.0,7.0,16.0,1.0,1.0,10.0,28.0,10.0,2.844,4.0,,,,,,,,,,,,,,,,,,,,,,,
440113,Aaron Rowe,Midfielder,Huddersfield,38,England,2018-19,10.0,,,,2.0,,2.0,,20.0,,,,1.0,,,2.0,,3.0,,1.0,0.8705,,,,,3.0,2.0,,3.0,,,20.0,,15.0,1.0,,5.0,2.0,,,,5.0,38.0,,,3.0,,4.0,2.0,,0.0102,0.0,,,3.0,,,1.0,7.0,,,2.0,,,,69.0,,3.0,,13.0,,1.0,1.0,8.0,1.0,13.0,,9.0,,,1.0,10.0,1.0,,11.0,,0.0,,1.0,,1.0,,1.0,,2.0,2.0,,0.0,1.0,,,,,,,,,,,,,,,,,,,,,,
246878,Abdelhamid Sabiri,Midfielder,Huddersfield,38,Morocco,2018-19,1.0,,,,2.0,,2.0,,8.0,,,,1.0,,,1.0,1.0,3.0,,,2.3632,,,,1.0,2.0,2.0,,,,,8.0,,2.0,1.0,,1.0,,,,,3.0,14.0,,,3.0,,,,,0.0016,0.0,,,1.0,,,1.0,1.0,,,1.0,,,,48.0,,3.0,1.0,7.0,1.0,,3.0,,2.0,4.0,1.0,2.0,,,1.0,4.0,2.0,,3.0,,0.0,,,,1.0,,2.0,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,
106450,Alex Pritchard,Midfielder,Huddersfield,38,England,2018-19,155.0,16.0,13.0,1.9072,36.0,1.0,30.0,,896.0,2.0,7.0,6.0,4.0,5.0,5.0,36.0,5.0,116.0,8.0,5.0,34.1001,32.0,3.0,10.0,51.0,127.0,30.0,,30.0,61.0,1.0,840.0,18.0,440.0,24.0,1.0,172.0,13.0,12.0,,29.0,238.0,1396.0,3.0,,203.0,,35.0,33.0,7.0,1.582,0.0,0.0611,31.0,190.0,,15.0,26.0,225.0,43.0,23.0,50.0,,6.0,17.0,2089.0,1.0,130.0,71.0,642.0,72.0,7.0,40.0,119.0,218.0,285.0,23.0,268.0,,6.0,12.0,485.0,35.0,10.0,235.0,14.0,0.0,21.0,29.0,2.0,17.0,,15.0,6.0,9.0,8.0,2.7376,2.0,,2.0,1.0,,,,,,,,,,,,,,,,,,,,
84112,Collin Quaner,Midfielder,Huddersfield,38,Germany,2018-19,6.0,,,,,,2.0,,17.0,,1.0,,2.0,,,1.0,1.0,1.0,,,1.2674,1.0,,,,2.0,2.0,,,,,17.0,,8.0,,,3.0,2.0,,,,1.0,22.0,,,1.0,,,,,0.0794,0.0,,,4.0,,1.0,,4.0,,,1.0,,,,37.0,,1.0,,13.0,,,2.0,5.0,9.0,7.0,,4.0,,,,12.0,1.0,,6.0,,0.0,,1.0,,,,,,,1.0,,0.0,,,,,,,,,,,,,,,,,,,,,,,
80755,Danny Williams,Midfielder,Huddersfield,38,United States,2018-19,8.0,,,,,,5.0,,24.0,,,,4.0,,,2.0,,2.0,,,1.0604,1.0,,,1.0,7.0,5.0,,,,,24.0,1.0,10.0,,,9.0,2.0,,,,4.0,39.0,,,6.0,,1.0,1.0,,0.0045,0.0,,1.0,4.0,,,1.0,5.0,,,2.0,,,,95.0,,2.0,3.0,19.0,,2.0,1.0,6.0,4.0,10.0,3.0,7.0,,,,13.0,1.0,,8.0,,0.0,,1.0,1.0,1.0,,1.0,,1.0,2.0,0.0266,1.0,,,,,,,,,,,,,,,,,,,,,,,
19197,Jason Puncheon,Midfielder,Huddersfield,38,England,2018-19,38.0,3.0,,,8.0,1.0,11.0,,212.0,,1.0,3.0,6.0,,,6.0,1.0,15.0,2.0,,5.1579,5.0,1.0,,2.0,23.0,11.0,,2.0,7.0,,203.0,3.0,79.0,5.0,,52.0,12.0,2.0,,12.0,35.0,298.0,4.0,,47.0,1.0,5.0,13.0,,0.3266,0.0,,3.0,39.0,,,5.0,44.0,4.0,5.0,12.0,1.0,,2.0,394.0,,21.0,10.0,156.0,5.0,8.0,9.0,32.0,46.0,59.0,2.0,79.0,,,3.0,123.0,8.0,,47.0,6.0,0.0,2.0,5.0,1.0,4.0,,2.0,3.0,4.0,9.0,0.6468,1.0,,,,,,,,,,,,,,,,,,,,,,,
192301,Jon Gorenc Stankovic,Midfielder,Huddersfield,38,Slovenia,2018-19,38.0,2.0,2.0,0.5009,26.0,,11.0,,294.0,1.0,,,2.0,1.0,1.0,16.0,4.0,36.0,,1.0,14.9842,2.0,,2.0,12.0,38.0,11.0,,1.0,,,285.0,5.0,82.0,18.0,,67.0,9.0,,,16.0,27.0,415.0,3.0,,138.0,,28.0,25.0,,0.0986,0.0,,7.0,44.0,,1.0,9.0,72.0,,,38.0,,,,719.0,,58.0,18.0,206.0,8.0,19.0,20.0,22.0,73.0,96.0,8.0,127.0,,,8.0,84.0,16.0,2.0,58.0,22.0,0.0,1.0,1.0,9.0,10.0,,5.0,,15.0,7.0,1.0196,2.0,,1.0,,,,,,,,,,,,,,,,,,,,,
79619,Jonathan Hogg,Midfielder,Huddersfield,38,England,2018-19,151.0,3.0,1.0,0.2811,77.0,6.0,29.0,,1545.0,,1.0,2.0,,,,34.0,4.0,121.0,,3.0,38.067,15.0,2.0,1.0,35.0,234.0,29.0,,1.0,4.0,,1524.0,4.0,320.0,40.0,,390.0,57.0,,,69.0,198.0,1923.0,,1.0,660.0,1.0,67.0,59.0,2.0,1.1419,1.0,,5.0,192.0,1.0,3.0,29.0,259.0,4.0,,65.0,3.0,1.0,2.0,2375.0,,152.0,60.0,1217.0,12.0,18.0,44.0,117.0,475.0,303.0,39.0,482.0,,1.0,37.0,628.0,40.0,1.0,238.0,31.0,1.0,4.0,9.0,7.0,72.0,,9.0,2.0,27.0,42.0,0.2793,8.0,,,,,,,,,,,,,,,,,,,,,,,
204380,Juninho Bacuna,Midfielder,Huddersfield,38,Curacao,2018-19,127.0,4.0,8.0,1.9174,47.0,6.0,21.0,,714.0,1.0,1.0,3.0,5.0,,,23.0,3.0,96.0,6.0,5.0,27.2459,18.0,4.0,1.0,22.0,121.0,21.0,,24.0,26.0,2.0,682.0,7.0,294.0,29.0,2.0,175.0,34.0,9.0,,58.0,88.0,1061.0,17.0,1.0,218.0,1.0,62.0,37.0,3.0,1.2569,0.0,0.0979,15.0,113.0,,6.0,16.0,175.0,14.0,16.0,40.0,,7.0,9.0,1415.0,,113.0,40.0,481.0,10.0,11.0,37.0,104.0,145.0,240.0,21.0,306.0,,7.0,18.0,330.0,34.0,1.0,200.0,17.0,0.0,6.0,27.0,1.0,22.0,,7.0,3.0,22.0,19.0,0.6297,4.0,1.0,,,,,,,,,,,,,,,2.0,,1.0,,,,,
