season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,crossNotClaimed,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,expectedAssists,expectedGoals,expectedGoalsOnTarget,fouls,goalAssist,goals,goalsPrevented,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2022-23,10385558,29,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,1.0,,1.0,17.0,,16.0,1.0,,1.0,,,,,,,3.0,4.0,1.0,,,0.254176,0.0423,0.0,,,,,,,1.0,3.0,,68.0,,,,,,,,14.0,,6.9,,,1.0,,,1.0,2.0,,2.0,,24.0,1.0,23.0,1,,38.0,3.0,,1.0,
2022-23,10385558,29,4,Newcastle_United,Home,823941,219168,Alexander Isak,alexander-isak,F,False,,,1.0,10.0,1.0,11.0,3.0,2.0,3.0,,,2.0,1.0,,,1.0,7.0,7.0,,,0.290315,0.3906,0.0506,1.0,,,,,,,3.0,,80.0,1.0,,,,,,,9.0,,7.2,,,,,,2.0,,,1.0,,14.0,2.0,16.0,3,2.0,30.0,1.0,2.0,1.0,1.0
2022-23,10385558,29,4,Newcastle_United,Home,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,1.0,2.0,3.0,,,3.0,,,,,,,,1.0,4.0,,,0.00138332,0.0,0.0,,,,,,,,,,22.0,,,,,,,,7.0,,6.7,,,,,,1.0,,,,,6.0,3.0,9.0,0,4.0,14.0,,,,2.0
2022-23,10385548,30,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,4.0,1.0,5.0,3.0,,4.0,1.0,,,,,,,8.0,2.0,,,0.231334,0.3233,,2.0,1.0,,,,,,3.0,,45.0,,,,,,,,11.0,,6.9,,,1.0,,,5.0,,,1.0,,8.0,2.0,10.0,1,,22.0,2.0,1.0,1.0,
2022-23,10385548,30,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,1.0,14.0,5.0,19.0,,,4.0,,,,,,,,2.0,,,,0.00868508,,,,,,,,,,,,45.0,,,,,,,,5.0,,6.5,,,,,,2.0,1.0,,1.0,,17.0,5.0,21.0,0,,25.0,,,,
2022-23,10385548,30,4,Newcastle_United,Away,823941,219168,Alexander Isak,alexander-isak,F,False,,,,12.0,2.0,14.0,1.0,2.0,2.0,,1.0,,2.0,,,3.0,9.0,4.0,,,0.0286527,0.3581,0.4952,3.0,,1.0,,,,,,,87.0,2.0,,,1.0,,,,12.0,,6.6,,,,,1.0,1.0,,,,,16.0,2.0,18.0,2,1.0,32.0,5.0,,1.0,
2022-23,10385548,30,4,Newcastle_United,Away,914902,232826,Anthony Gordon,anthony-gordon,F,True,,,,9.0,3.0,12.0,,,2.0,,,,2.0,,,,5.0,3.0,,,0.0270024,,,2.0,,,,,,,,,44.0,,,,,,,,2.0,,6.5,,,,,,1.0,1.0,,,,10.0,3.0,12.0,0,3.0,18.0,,,,3.0
2022-23,10385566,31,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,,1.0,1.0,,,,,,,,,,,2.0,,,,3.096e-05,0.0,0.0,1.0,,,,,,,,,34.0,,,,,,,,2.0,,6.3,,,,,,1.0,,,,1.0,1.0,1.0,2.0,0,,5.0,,,,
2022-23,10385566,31,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,,6.0,4.0,10.0,,,6.0,,,1.0,2.0,,,1.0,3.0,1.0,,,0.0117885,0.0863,0.0,,,,,,,1.0,,,56.0,,,,,,,,10.0,,6.6,,,1.0,,,,2.0,,1.0,,14.0,4.0,16.0,2,,26.0,,1.0,,
2022-23,10385566,31,4,Newcastle_United,Away,823941,219168,Alexander Isak,alexander-isak,F,False,,,,6.0,3.0,9.0,1.0,,,,,,1.0,,,,5.0,4.0,,,0.00557171,0.0846,0.1901,1.0,,,,,,,,,90.0,2.0,,,,,,,9.0,,6.7,,,,,,3.0,,,1.0,,8.0,3.0,11.0,2,1.0,27.0,3.0,2.0,1.0,
