season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,lastManTackle,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,penaltySave,penaltyWon,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2020-21,8897195,30,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,,4.0,,4.0,3.0,,1.0,,,,1.0,,,5.0,1.0,,,,,,,,,1.0,,19.0,,,,,,,,,2.0,,6.5,,,,,,2.0,,,,,4.0,,4.0,0,,8.0,1.0,,1.0,
2020-21,8897195,30,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,2.0,,1.0,15.0,6.0,19.0,1.0,,7.0,,,2.0,3.0,,1.0,8.0,10.0,,,1.0,,,,,,2.0,,83.0,,,,,,,,,18.0,,6.6,,,,,,6.0,5.0,,6.0,,25.0,8.0,28.0,2,5.0,56.0,1.0,1.0,4.0,3.0
2020-21,8897175,31,4,Newcastle_United,Away,18998,40142,Andy Carroll,andy-carroll,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897175,31,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,1.0,1.0,2.0,1.0,1.0,1.0,,,,,,,3.0,1.0,,,1.0,,,,,,,,33.0,,,,,,,,,6.0,,6.4,,,,,,1.0,,,,1.0,2.0,2.0,4.0,0,,10.0,3.0,,,
2020-21,8897175,31,4,Newcastle_United,Away,232118,104547,Dwight Gayle,dwight-gayle,F,False,,,,7.0,3.0,10.0,1.0,1.0,1.0,,1.0,1.0,,,,3.0,1.0,,,2.0,,,,,,,,57.0,1.0,,,,,,,,5.0,,6.4,,,1.0,,,,1.0,,,1.0,8.0,5.0,12.0,3,,18.0,2.0,,,
2020-21,8897175,31,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,,4.0,1.0,5.0,,,1.0,1.0,,1.0,,,1.0,2.0,2.0,,,,1.0,1.0,,,,2.0,,33.0,1.0,,,,,,,,3.0,,8.0,,,,,,2.0,,,1.0,,5.0,1.0,6.0,2,,14.0,,1.0,1.0,
2020-21,8897175,31,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,False,2.0,,2.0,14.0,13.0,25.0,,,8.0,1.0,,,2.0,,2.0,8.0,4.0,,,3.0,,1.0,,,,2.0,,90.0,1.0,1.0,,,,,,,26.0,,7.3,,,,,1.0,2.0,5.0,,8.0,,26.0,18.0,39.0,1,2.0,70.0,4.0,1.0,1.0,2.0
2020-21,8897127,32,4,Newcastle_United,Home,18998,40142,Andy Carroll,andy-carroll,F,True,,,1.0,1.0,,1.0,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,1.0,,1.0,,1.0,0,,1.0,,,,
2020-21,8897127,32,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,True,,,,3.0,3.0,6.0,,,,,,1.0,,,1.0,2.0,6.0,,,,,,,,,,,26.0,,,,,,,,,7.0,,6.7,,,,,1.0,3.0,,,,,5.0,4.0,9.0,1,2.0,23.0,2.0,2.0,2.0,
2020-21,8897127,32,4,Newcastle_United,Home,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897127,32,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,3.0,9.0,2.0,11.0,,1.0,3.0,,1.0,3.0,,,,1.0,6.0,,,1.0,,,,,,5.0,,64.0,2.0,,,,,,,,6.0,,7.7,,,,,,3.0,,,3.0,,13.0,3.0,16.0,5,1.0,29.0,1.0,2.0,3.0,
2020-21,8897127,32,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,4.0,8.0,9.0,17.0,,,4.0,,1.0,1.0,1.0,,,2.0,4.0,,,,,,,,,,,90.0,2.0,,,,,,,,9.0,,6.4,,,,,1.0,2.0,,,7.0,1.0,13.0,11.0,24.0,3,2.0,43.0,1.0,1.0,1.0,1.0
2020-21,8897149,33,4,Newcastle_United,Away,18998,40142,Andy Carroll,andy-carroll,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897149,33,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,True,,,,2.0,,2.0,,,,,1.0,,,,,2.0,,,,3.0,,,,,,,,30.0,1.0,,,,,,,,2.0,,6.2,,,,,,,,,,3.0,2.0,,2.0,1,,7.0,1.0,,,
2020-21,8897149,33,4,Newcastle_United,Away,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,1.0,,1.0,,1.0,,,,,,,,,1.0,,,,1.0,,,,,1.0,,12.0,,,,,,,,,,,6.9,,,,,,,,,,,1.0,,1.0,0,,2.0,,,,
2020-21,8897149,33,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,1.0,,1.0,12.0,6.0,17.0,1.0,,7.0,1.0,,,1.0,,6.0,13.0,12.0,,,1.0,,,,,,1.0,,90.0,,,,,,,,,27.0,,7.1,,,,,,12.0,2.0,,2.0,1.0,18.0,8.0,24.0,0,1.0,60.0,7.0,3.0,8.0,1.0
2020-21,8897149,33,4,Newcastle_United,Away,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,2.0,13.0,17.0,30.0,1.0,,9.0,,,1.0,1.0,,1.0,3.0,9.0,,,,,,,,2.0,1.0,,90.0,,,,,,,,,13.0,,7.4,,,,,1.0,2.0,5.0,,4.0,,20.0,19.0,34.0,1,4.0,72.0,,3.0,2.0,1.0
2020-21,8897166,34,4,Newcastle_United,Home,113956,75115,Callum Wilson,callum-wilson,F,False,,,,6.0,3.0,9.0,3.0,3.0,1.0,,,,,,,5.0,5.0,,,2.0,,,,,,,,90.0,,,,,,,,,3.0,,6.7,,,1.0,,1.0,,,,,1.0,7.0,3.0,10.0,1,1.0,19.0,2.0,1.0,,
2020-21,8897166,34,4,Newcastle_United,Home,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,,,,,,,,,,6.5,,,,,,,,,,,,,,0,,,,,,
2020-21,8897166,34,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,,14.0,7.0,21.0,1.0,,,,,,1.0,,,4.0,12.0,,,,,,,,,,,90.0,1.0,,,,,,,,7.0,,7.5,,,1.0,,,10.0,2.0,,,,19.0,7.0,24.0,2,1.0,44.0,,3.0,8.0,
2020-21,8897166,34,4,Newcastle_United,Home,372336,114243,Jacob Murphy,jacob-murphy,F,False,,,2.0,13.0,20.0,33.0,4.0,,4.0,,,,2.0,,,6.0,4.0,,,1.0,,,,,1.0,,,90.0,,,,,,,,,15.0,,6.3,,,,,2.0,1.0,2.0,,7.0,,22.0,23.0,43.0,0,2.0,66.0,1.0,1.0,1.0,1.0
2020-21,8897123,35,4,Newcastle_United,Away,18998,40142,Andy Carroll,andy-carroll,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897123,35,4,Newcastle_United,Away,113956,75115,Callum Wilson,callum-wilson,F,False,,,,4.0,2.0,6.0,9.0,1.0,5.0,1.0,1.0,1.0,1.0,,1.0,14.0,3.0,,,3.0,,2.0,,1.0,,1.0,,90.0,3.0,,,,,,,,7.0,,8.3,,,1.0,,1.0,1.0,,,,1.0,8.0,3.0,11.0,5,,22.0,1.0,1.0,1.0,
2020-21,8897123,35,4,Newcastle_United,Away,232118,104547,Dwight Gayle,dwight-gayle,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2020-21,8897123,35,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,2.0,13.0,8.0,21.0,,,3.0,,1.0,,,,2.0,3.0,6.0,,,,,,,,,1.0,,84.0,1.0,,,,,,,,9.0,,6.8,,,1.0,,,6.0,,,2.0,,16.0,9.0,25.0,2,1.0,41.0,1.0,,5.0,1.0
