season,matchId,gameweek,team_id,team,venue,playerId,pl_code,playerName,slug,position,substitute,accurateCross,accurateKeeperSweeper,accurateLongBalls,accurateOppositionHalfPasses,accurateOwnHalfPasses,accuratePass,aerialLost,aerialWon,ballRecovery,bigChanceCreated,bigChanceMissed,blockedScoringAttempt,challengeLost,clearanceOffLine,dispossessed,duelLost,duelWon,errorLeadToAGoal,errorLeadToAShot,fouls,goalAssist,goals,goodHighClaim,hitWoodwork,interceptionWon,keyPass,minutesPlayed,onTargetScoringAttempt,outfielderBlock,ownGoals,penaltyConceded,penaltyFaced,penaltyMiss,possessionLostCtrl,punches,rating,savedShotsFromInsideTheBox,saves,shotOffTarget,substitute.1,totalClearance,totalContest,totalCross,totalKeeperSweeper,totalLongBalls,totalOffside,totalOppositionHalfPasses,totalOwnHalfPasses,totalPass,totalShots,totalTackle,touches,unsuccessfulTouch,wasFouled,wonContest,wonTackle
2019-20,8243392,1,4,Newcastle_United,Home,335047,196118,Yoshinori Muto,yoshinori-muto,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243392,1,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,,6.0,2.0,8.0,,,3.0,,,,,,1.0,4.0,2.0,,,1.0,,,,,,,23.0,1.0,,,,,,8.0,,6.6,,,,,,4.0,1.0,,,,7.0,2.0,8.0,1,,20.0,4.0,,2.0,
2019-20,8243421,2,4,Newcastle_United,Away,335047,196118,Yoshinori Muto,yoshinori-muto,F,True,,,,4.0,1.0,5.0,1.0,,,,,,,,,1.0,,,,1.0,,,,,,,23.0,,,,,,,3.0,,6.4,,,,,,,,,,,4.0,1.0,5.0,0,,9.0,3.0,,,
2019-20,8243433,3,4,Newcastle_United,Away,335047,196118,Yoshinori Muto,yoshinori-muto,F,True,,,,,,,1.0,,1.0,,,,,,,2.0,,,,,,,,,,,9.0,,,,,,,3.0,,6.3,,,,,,1.0,,,,,1.0,,1.0,0,,3.0,1.0,,,
2019-20,8243433,3,4,Newcastle_United,Away,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,False,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,17.0,,,,,,,1.0,,6.5,,,,,,,,,,,,2.0,2.0,0,,3.0,1.0,,,
2019-20,8243438,4,4,Newcastle_United,Home,335047,196118,Yoshinori Muto,yoshinori-muto,F,True,,,,,2.0,2.0,,,1.0,,,,,,,,,,,,,,,,,,8.0,,,,,,,3.0,,6.6,,,1.0,,,,,,,,1.0,2.0,3.0,1,,8.0,2.0,,,
2019-20,8243442,5,4,Newcastle_United,Away,335047,196118,Yoshinori Muto,yoshinori-muto,F,True,,,,2.0,1.0,3.0,1.0,,1.0,,,,,,,1.0,2.0,,,,,,,,,,23.0,,,,,,,,,6.7,,,,,,2.0,,,,3.0,2.0,1.0,3.0,0,,5.0,,,2.0,
2019-20,8243462,6,4,Newcastle_United,Home,18998,40142,Andy Carroll,andy-carroll,F,True,,,,3.0,,3.0,1.0,1.0,,,,,,,1.0,2.0,2.0,,,,,,,,,1.0,8.0,,,,,,,2.0,,6.6,,,,,1.0,,,,,,4.0,,4.0,0,,8.0,,1.0,,
2019-20,8243462,6,4,Newcastle_United,Home,335047,196118,Yoshinori Muto,yoshinori-muto,F,True,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0,,,,,,
2019-20,8243462,6,4,Newcastle_United,Home,347010,170137,Allan Saint-Maximin,allan-saint-maximin,F,True,,,,3.0,1.0,4.0,,,4.0,,,,,,1.0,2.0,5.0,,,,,,,,,1.0,17.0,1.0,,,,,,8.0,,7.1,,,,,,4.0,4.0,,,,7.0,1.0,4.0,1,,18.0,1.0,2.0,3.0,
