playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,fiftyFifty,totalRedCards,blockedShots,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,successfulLayoffs,successfulFiftyFifty,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,cornersTakenInclShortCorners,aerialDuels,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,unsuccessfulLayoffs,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,successfulCornersIntoBox,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,unsuccessfulCornersIntoBox,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,goalAssists,throwInsToOppositionPlayer,cleanSheets,successfulLaunches,clearancesOffTheLine,catches,savesMade,savesMadeFromOutsideBox,gkSuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,hitWoodwork,setPiecesGoals,freekickTotal,attemptsFromSetPieces,secondGoalAssists,expectedGoalsFreekick,foulWonPenalty,ownGoalScored,headedGoals,penaltiesConceded,penaltiesSaved,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,goalkeeperSmother,drops,gkUnsuccessfulDistribution,penaltiesTaken,penaltyGoals
501770,Ben Nelson,Defender,Leicester,13,England,2021-22,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155569,Daniel Amartey,Defender,Leicester,13,Ghana,2021-22,63.0,,0.3924,34.0,0.0,,1.0,0.1672,26.0,2.0,,90.0,28.0,,17.0,23.0,142.0,,1535.0,,1.0,0.0,,5.0,,70.0,1.0,,,2119.0,,,37.0,73.0,7.0,24.0,40.0,1342.0,,6.0,4.0,40.1863,4.0,91.0,40.0,,26.0,358.0,8.0,0.0,136.0,8.0,0.0,480.0,145.0,28.0,1.0,,13.0,,1.0,389.0,33.0,,2.0,,66.0,33.0,0.0,1516.0,1.0,1.0,156.0,13.0,6.0,22.0,604.0,14.0,21.0,,51.0,93.0,1777.0,6.0,1.0,,29.0,1004.0,10.0,,0.0226,4.0,52.0,66.0,,3.0,5.0,8.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
220627,James Justin,Defender,Leicester,13,England,2021-22,51.0,3.0,0.6539,30.0,0.0,3.0,1.0,0.3038,22.0,2.0,,76.0,13.0,,17.0,11.0,108.0,12.0,558.0,,1.0,0.0,,2.0,,29.0,,3.0,1.0,997.0,1.0,,16.0,52.0,1.0,30.0,39.0,434.0,,16.0,1.0,18.011,9.0,32.0,13.0,3.0,35.0,125.0,12.0,0.0,103.0,12.0,0.0,195.0,62.0,13.0,,,9.0,,10.0,212.0,12.0,12.0,20.0,3.0,74.0,13.0,0.0,550.0,1.0,8.0,162.0,13.0,5.0,4.0,137.0,7.0,17.0,,16.0,101.0,835.0,87.0,1.0,,18.0,241.0,6.0,,0.3325,0.0,32.0,37.0,,15.0,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
93100,Jannik Vestergaard,Defender,Leicester,13,Denmark,2021-22,20.0,,0.056,12.0,0.0,,,,15.0,1.0,,22.0,10.0,,8.0,6.0,42.0,,377.0,,,0.0,,4.0,,23.0,,,,564.0,,,10.0,33.0,,5.0,20.0,310.0,,5.0,3.0,13.4339,1.0,35.0,16.0,,10.0,163.0,1.0,0.0,53.0,2.0,0.0,125.0,32.0,10.0,,,5.0,,,83.0,16.0,,,,30.0,13.0,0.0,368.0,1.0,,46.0,10.0,4.0,8.0,77.0,4.0,7.0,,25.0,12.0,465.0,,1.0,,6.0,252.0,3.0,1.0,0.1183,2.0,20.0,19.0,,,,1.0,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,
37642,Jonny Evans,Defender,Leicester,13,Northern Ireland,2021-22,41.0,,0.7033,36.0,0.0,,2.0,0.9816,24.0,3.0,1.0,83.0,18.0,,19.0,16.0,169.0,3.0,1007.0,1.0,,1.0,,2.0,,66.0,,,1.0,1350.0,1.0,,18.0,85.0,5.0,7.0,37.0,776.0,,12.0,2.0,19.4533,3.0,59.0,23.0,,23.0,314.0,11.0,0.0,126.0,4.0,0.0,391.0,105.0,18.0,,1.0,10.0,,1.0,236.0,18.0,3.0,1.0,,60.0,48.0,0.0,971.0,1.0,,179.0,14.0,2.0,13.0,261.0,15.0,20.0,,62.0,41.0,1179.0,8.0,4.0,,26.0,602.0,6.0,,0.5981,3.0,86.0,64.0,1.0,,1.0,6.0,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,
232620,Lewis Brunt,Defender,Leicester,13,England,2021-22,3.0,,0.0028,,0.0,,,,,,,,1.0,,,,,,21.0,,,0.0,,1.0,,1.0,,,,23.0,,,1.0,1.0,1.0,1.0,1.0,20.0,,1.0,,0.4552,,,1.0,,2.0,5.0,,0.0,4.0,1.0,0.0,,2.0,1.0,,,,,,11.0,,,2.0,,3.0,,0.0,21.0,,,3.0,,1.0,,11.0,,,,1.0,5.0,28.0,,,,,10.0,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244619,Luke Thomas,Defender,Leicester,13,England,2021-22,112.0,4.0,1.3043,52.0,0.0,2.0,,,50.0,2.0,3.0,145.0,22.0,,22.0,21.0,201.0,26.0,1021.0,,,0.0,1.0,1.0,2.0,56.0,,4.0,,1912.0,,,32.0,105.0,3.0,57.0,81.0,796.0,,16.0,5.0,37.6602,11.0,47.0,35.0,1.0,80.0,296.0,16.0,0.0,217.0,21.0,0.0,467.0,97.0,22.0,,,19.0,,8.0,379.0,32.0,29.0,28.0,1.0,161.0,24.0,0.0,1010.0,2.0,7.0,331.0,31.0,15.0,14.0,55.0,15.0,40.0,2.0,24.0,203.0,1597.0,183.0,1.0,1.0,28.0,445.0,13.0,,0.1462,2.0,56.0,67.0,1.0,34.0,5.0,5.0,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,
111931,Ricardo Pereira,Defender,Leicester,13,Portugal,2021-22,53.0,2.0,1.2075,26.0,0.0,4.0,2.0,0.6608,37.0,6.0,,90.0,14.0,,16.0,13.0,113.0,12.0,538.0,1.0,,0.0,2.0,1.0,,29.0,,2.0,1.0,992.0,1.0,,14.0,79.0,4.0,35.0,64.0,414.0,,19.0,3.0,13.8835,7.0,29.0,20.0,2.0,39.0,23.0,16.0,0.0,132.0,12.0,1.0,167.0,64.0,14.0,,,17.0,,8.0,211.0,16.0,12.0,14.0,2.0,103.0,15.0,0.0,535.0,4.0,4.0,162.0,20.0,11.0,1.0,228.0,6.0,17.0,,11.0,120.0,858.0,92.0,4.0,2.0,14.0,216.0,5.0,,0.6733,3.0,23.0,48.0,3.0,11.0,1.0,2.0,,,,,,,,1.0,,,,,,,,1.0,,,,,,,,,,,
40146,Ryan Bertrand,Defender,Leicester,13,England,2021-22,18.0,,0.1449,9.0,0.0,,,,8.0,,,23.0,4.0,,3.0,4.0,27.0,3.0,145.0,,,0.0,,,10.0,9.0,,2.0,,338.0,,,8.0,10.0,,12.0,9.0,115.0,2.0,4.0,1.0,4.4506,,6.0,7.0,,10.0,51.0,1.0,0.0,28.0,5.0,0.0,65.0,11.0,4.0,,,3.0,,,57.0,7.0,10.0,4.0,,19.0,1.0,0.0,139.0,,,52.0,5.0,,3.0,8.0,3.0,1.0,7.0,3.0,21.0,238.0,31.0,1.0,,2.0,63.0,2.0,,,1.0,4.0,12.0,,3.0,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
166477,Timothy Castagne,Defender,Leicester,13,Belgium,2021-22,93.0,10.0,1.0137,61.0,0.0,1.0,3.0,0.6786,67.0,6.0,,154.0,27.0,1.0,27.0,22.0,198.0,30.0,1102.0,1.0,1.0,0.0,,5.0,,77.0,,10.0,2.0,2126.0,2.0,,38.0,119.0,5.0,40.0,80.0,870.0,,21.0,2.0,27.6591,15.0,46.0,30.0,1.0,55.0,201.0,7.0,0.0,212.0,19.0,1.0,396.0,102.0,27.0,,1.0,36.0,,13.0,424.0,25.0,30.0,24.0,1.0,135.0,39.0,0.0,1092.0,3.0,12.0,305.0,31.0,6.0,9.0,329.0,15.0,29.0,,34.0,176.0,1638.0,163.0,2.0,,20.0,490.0,12.0,,0.7149,1.0,44.0,79.0,,22.0,4.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
