playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,penaltiesSaved,expectedAssists,totalRedCards,catches,totalTackles,savesMadeFromOutsideBox,unsuccessfulShortPasses,gamesPlayed,starts,totalUnsuccessfulPassesExclCrossesAndCorners,totalPasses,savesMadeCaught,aerialDuels,cleanSheets,penaltiesFaced,timePlayed,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,savesFromPenalty,punches,expectedGoalsOnTargetConceded,ownGoalScored,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,groundDuelsLost,rightsidePasses,savesMade,totalFoulsWon,duels,putthroughBlockedDistributionWon,goalkeeperSmother,forwardPasses,recoveries,appearances,drops,crossesNotClaimed,tacklesLost,successfulPassesOppositionHalf,goalsConcededInsideBox,groundDuels,aerialDuelsWon,straightRedCards,gkSuccessfulDistribution,openPlayPasses,cornersWon,totalLossesOfPossession,successfulDribbles,gkUnsuccessfulDistribution,savesMadeParried,leftsidePasses,successfulLongPasses,touches,substituteOff,unsuccessfulLaunches,successfulPassesOwnHalf,savesMadeFromInsideBox,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,substituteOn,successfulCrossesOpenPlay,shotsOnTargetIncGoals,expectedGoalsOnTarget,totalShots,throughBalls,unsuccessfulCrossesOpenPlay,successfulCrossesAndCorners,iboxTarget,shotsOnTargetInBox,aerialDuelsLost,penaltiesConceded,totalTouchesInOppositionBox,throwInsToOppositionPlayer,unsuccessfulDribbles,unsuccessfulCrossesAndCorners,shotsOffTargetIncWoodwork,tacklesWon,blocks,totalFoulsConceded,interceptions,backwardPasses,throwInsToOwnPlayer,foulAttemptedTackle,handballsConceded,expectedGoals,blockedShots,goalAssists,successfulLayoffs,offsides,oboxBlocked,cornersTakenInclShortCorners,shotsOnTargetOutsideBox,oboxTarget,redCards2ndYellow,unsuccessfulCornersIntoBox,shotsBlockedOutsideBox,shotsBlockedInBox,iboxBlocked,goals,rightFootGoals,headedGoals,hitWoodwork,clearancesOffTheLine,successfulCornersIntoBox,expectedGoalsFreekick,foulWonPenalty,unsuccessfulLayoffs,otherGoals,freekickTotal,attemptsFromSetPieces,leftFootGoals,setPiecesGoals,penaltiesTaken,penaltyGoals
40725,Danny Simpson,Defender,Scarborough Athletic,3368,England,2017-18,106.0,,0.2947,0.0,,38.0,,123.0,28.0,27.0,231.0,904.0,,86.0,5.0,,2313.0,97.0,8.0,38.0,57.0,622.0,,,33.7179,,4.0,16.0,94.0,41.0,60.0,55.0,,10.0,203.0,12.0,,389.0,130.0,28.0,,,16.0,302.0,33.0,117.0,40.0,0.0,,882.0,2.0,330.0,10.0,,,324.0,51.0,1519.0,7.0,65.0,378.0,,4.0,108.0,67.0,1.0,7.0,1.0,0.0424,3.0,2.0,16.0,7.0,1.0,1.0,46.0,1.0,10.0,48.0,7.0,16.0,2.0,22.0,19.0,21.0,34.0,136.0,218.0,16.0,1.0,0.1684,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
172850,Ben Chilwell,Defender,Chelsea,8,England,2017-18,129.0,,2.361,1.0,,36.0,,171.0,24.0,20.0,235.0,901.0,,128.0,4.0,,1852.0,156.0,6.0,77.0,89.0,639.0,,,23.8668,,19.0,6.0,62.0,30.0,68.0,273.0,,23.0,285.0,27.0,,358.0,129.0,24.0,,,10.0,390.0,24.0,157.0,67.0,0.0,,891.0,17.0,434.0,31.0,,,79.0,27.0,1554.0,3.0,39.0,293.0,,1.0,64.0,60.0,4.0,17.0,1.0,0.0229,4.0,,66.0,17.0,,,61.0,,18.0,39.0,21.0,67.0,3.0,26.0,4.0,13.0,28.0,191.0,169.0,5.0,1.0,0.2032,2.0,2.0,4.0,4.0,2.0,1.0,1.0,1.0,1.0,1.0,2.0,,,,,,,,,,,,,,,,,,
15033,Wes Morgan,Defender,Leicester City,13,Jamaica,2017-18,104.0,,0.2438,0.0,,35.0,,121.0,32.0,32.0,173.0,913.0,,151.0,5.0,,2818.0,147.0,11.0,18.0,54.0,695.0,,,43.0723,,5.0,12.0,143.0,52.0,46.0,203.0,,12.0,251.0,14.0,,390.0,99.0,32.0,,,10.0,208.0,41.0,100.0,93.0,0.0,,901.0,6.0,196.0,9.0,,,246.0,45.0,1259.0,1.0,33.0,532.0,,4.0,52.0,70.0,,,3.0,0.2375,12.0,,,,3.0,3.0,58.0,,29.0,,3.0,,9.0,25.0,27.0,31.0,31.0,74.0,1.0,17.0,1.0,1.6442,1.0,,,1.0,,,,,,,,1.0,1.0,,,,,,,,,,,,,,,,
95658,Harry Maguire,Defender,Manchester United,1,England,2017-18,136.0,,2.1516,0.0,,63.0,,209.0,38.0,38.0,376.0,1740.0,,182.0,9.0,,3420.0,263.0,12.0,21.0,144.0,1191.0,,,51.269,,14.0,17.0,176.0,60.0,73.0,534.0,,30.0,399.0,7.0,,775.0,269.0,38.0,,,17.0,552.0,48.0,217.0,119.0,0.0,,1696.0,9.0,459.0,51.0,,,353.0,173.0,2315.0,,76.0,814.0,,7.0,167.0,109.0,,2.0,8.0,1.9313,23.0,2.0,13.0,2.0,5.0,5.0,63.0,2.0,84.0,2.0,9.0,13.0,15.0,46.0,28.0,34.0,48.0,78.0,13.0,15.0,3.0,2.7951,7.0,4.0,,4.0,1.0,,1.0,1.0,,,1.0,6.0,6.0,2.0,1.0,1.0,2.0,,,,,,,,,,,,
60598,Aleksandar Dragovic,Defender,Crvena zvezda,214,Austria,2017-18,24.0,,0.0364,0.0,,13.0,,28.0,11.0,7.0,50.0,337.0,,22.0,3.0,,767.0,30.0,3.0,9.0,17.0,255.0,,,11.7769,,,4.0,42.0,14.0,15.0,69.0,,3.0,54.0,8.0,,129.0,50.0,11.0,,,3.0,90.0,11.0,32.0,13.0,0.0,,330.0,,63.0,1.0,,,116.0,32.0,465.0,1.0,15.0,197.0,,2.0,22.0,21.0,4.0,,,,,,1.0,,,,9.0,,2.0,8.0,,1.0,,10.0,8.0,7.0,16.0,23.0,14.0,3.0,,0.0694,1.0,,,,,,,,,,,1.0,1.0,,,,,2.0,,,,,,,,,,,
37402,Christian Fuchs,Defender,Leicester City,13,Austria,2017-18,91.0,,0.9153,0.0,,41.0,,153.0,25.0,21.0,232.0,896.0,,98.0,4.0,,1918.0,115.0,6.0,56.0,54.0,608.0,,,32.9833,1.0,17.0,15.0,70.0,35.0,54.0,317.0,,4.0,206.0,20.0,,410.0,132.0,25.0,,,14.0,352.0,29.0,108.0,61.0,0.0,,878.0,9.0,412.0,9.0,,,47.0,56.0,1516.0,1.0,41.0,322.0,,1.0,79.0,60.0,4.0,9.0,,,7.0,1.0,52.0,10.0,,,37.0,,4.0,83.0,6.0,61.0,7.0,27.0,3.0,12.0,58.0,122.0,168.0,6.0,,0.5373,4.0,1.0,2.0,,2.0,13.0,,,,6.0,2.0,2.0,2.0,,,,,,1.0,,,,,,,,,,
41321,Yohan Benalouane,Defender,Nottingham Forest,17,Tunisia,2017-18,5.0,,0.0045,0.0,,7.0,,7.0,1.0,1.0,10.0,27.0,,4.0,,,90.0,10.0,1.0,1.0,8.0,15.0,,,1.791,,,1.0,4.0,2.0,3.0,,,1.0,15.0,,,12.0,5.0,1.0,,,4.0,5.0,1.0,11.0,2.0,0.0,,25.0,1.0,14.0,,,,11.0,2.0,57.0,,2.0,12.0,,0.0,3.0,3.0,,,1.0,0.1089,2.0,,3.0,,1.0,1.0,2.0,,1.0,1.0,,3.0,1.0,3.0,1.0,1.0,1.0,4.0,7.0,,,0.056,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,
216554,Sam Hughes,Defender,Peterborough United,73,England,2017-18,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
155569,Daniel Amartey,Defender,Besiktas,378,Ghana,2017-18,21.0,,0.0645,1.0,,8.0,,28.0,8.0,6.0,51.0,250.0,,17.0,3.0,,488.0,29.0,1.0,5.0,19.0,188.0,,,7.2435,,,1.0,16.0,7.0,14.0,10.0,,7.0,50.0,4.0,,100.0,30.0,8.0,,,4.0,78.0,6.0,33.0,10.0,0.0,,249.0,1.0,81.0,4.0,,,105.0,11.0,378.0,2.0,10.0,121.0,,0.0,23.0,13.0,2.0,,,,,,,,,,7.0,,,20.0,1.0,,,4.0,3.0,5.0,7.0,35.0,40.0,3.0,,,,,1.0,,,,,,1.0,,,,,,,,,,,,,,,,,,,,
