playerId,playerName,position,team_name,team_id,nationality,season,duelsLost,successfulCrossesOpenPlay,expectedAssists,totalRedCards,blockedShots,shotsOnTargetIncGoals,overruns,expectedGoalsOnTarget,totalTackles,totalShots,throughBalls,unsuccessfulShortPasses,gamesPlayed,goalAssists,successfulLayoffs,starts,totalUnsuccessfulPassesExclCrossesAndCorners,unsuccessfulCrossesOpenPlay,totalPasses,goals,offsides,awayGoals,oboxBlocked,substituteOn,aerialDuels,cleanSheets,shotsOnTargetOutsideBox,successfulCrossesAndCorners,iboxTarget,timePlayed,shotsOnTargetInBox,aerialDuelsLost,duelsWon,goalsConcededOutsideBox,putthroughBlockedDistribution,groundDuelsWon,successfulShortPasses,totalTouchesInOppositionBox,penaltyGoalsConceded,expectedGoalsOnTargetConceded,keyPassesAttemptAssists,successfulLaunches,totalClearances,goalsConceded,shotsBlockedInBox,groundDuelsLost,rightsidePasses,totalFoulsWon,winningGoal,duels,putthroughBlockedDistributionWon,homeGoals,forwardPasses,recoveries,appearances,penaltiesTaken,oboxTarget,rightFootGoals,tacklesLost,leftFootGoals,unsuccessfulDribbles,successfulPassesOppositionHalf,goalsConcededInsideBox,unsuccessfulCrossesAndCorners,timesTackled,iboxBlocked,groundDuels,aerialDuelsWon,straightRedCards,openPlayPasses,shotsOffTargetIncWoodwork,cornersWon,totalLossesOfPossession,tacklesWon,successfulDribbles,blocks,leftsidePasses,totalFoulsConceded,interceptions,penaltyGoals,successfulLongPasses,backwardPasses,touches,throwInsToOwnPlayer,substituteOff,hitWoodwork,shotsBlockedOutsideBox,unsuccessfulLaunches,successfulPassesOwnHalf,foulAttemptedTackle,handballsConceded,expectedGoals,yellowCards,unsuccessfulLongPasses,unsuccessfulPassesOwnHalf,secondGoalAssists,cornersTakenInclShortCorners,successfulCornersIntoBox,throwInsToOppositionPlayer,unsuccessfulCornersIntoBox,expectedGoalsFreekick,freekickTotal,attemptsFromSetPieces,foulWonPenalty,penaltiesConceded,redCards2ndYellow,unsuccessfulLayoffs,ownGoalScored,setPiecesGoals,headedGoals,penaltiesSaved,catches,savesMadeFromOutsideBox,goalKicks,savesMadeCaught,penaltiesFaced,savesFromPenalty,punches,savesMade,goalkeeperSmother,crossesNotClaimed,lastPlayerTackle,gkSuccessfulDistribution,gkUnsuccessfulDistribution,savesMadeParried,savesMadeFromInsideBox,clearancesOffTheLine
172850,Ben Chilwell,Defender,Leicester,13,England,2019-20,148.0,15.0,3.1578,0.0,3.0,6.0,6.0,1.7725,43.0,13.0,3.0,251.0,27.0,3.0,,27.0,359.0,75.0,1654.0,3.0,1.0,2.0,3.0,,94.0,9.0,2.0,19.0,1.0,2375.0,1.0,38.0,147.0,2.0,69.0,91.0,1241.0,48.0,6.0,32.4417,31.0,8.0,54.0,26.0,,110.0,631.0,30.0,1.0,295.0,24.0,1.0,595.0,161.0,27.0,,2.0,1.0,17.0,2.0,31.0,719.0,24.0,84.0,53.0,,201.0,56.0,0.0,1625.0,7.0,24.0,586.0,26.0,19.0,6.0,86.0,29.0,28.0,,54.0,342.0,2417.0,230.0,2.0,1.0,3.0,46.0,595.0,11.0,1.0,0.9846,3.0,108.0,122.0,1.0,8.0,1.0,30.0,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,
37402,Christian Fuchs,Defender,Leicester,13,Austria,2019-20,36.0,1.0,0.335,0.0,1.0,1.0,,0.1412,14.0,4.0,,61.0,11.0,,,8.0,108.0,14.0,563.0,,1.0,,1.0,3.0,37.0,2.0,1.0,2.0,,769.0,,18.0,35.0,,16.0,16.0,429.0,1.0,1.0,10.4378,2.0,1.0,23.0,10.0,,18.0,214.0,,0.0,71.0,5.0,,231.0,45.0,11.0,,1.0,,5.0,,3.0,201.0,10.0,14.0,5.0,,34.0,19.0,0.0,552.0,3.0,3.0,156.0,9.0,2.0,3.0,39.0,2.0,17.0,,26.0,79.0,771.0,60.0,1.0,,1.0,22.0,256.0,1.0,,0.2266,0.0,47.0,36.0,,,,16.0,,0.1518,2.0,2.0,,,,,,,,,,,,,,,,,,,,,,,,
173810,Darnell Johnson,Defender,Leicester,13,England,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
213405,Filip Benkovic,Defender,Leicester,13,Croatia,2019-20,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
220627,James Justin,Defender,Leicester,13,England,2019-20,71.0,7.0,0.5418,0.0,1.0,,1.0,,36.0,6.0,,78.0,13.0,1.0,,11.0,119.0,30.0,682.0,,1.0,,,2.0,55.0,4.0,,7.0,,1010.0,,33.0,85.0,,32.0,63.0,543.0,18.0,3.0,12.0693,11.0,5.0,24.0,14.0,1.0,38.0,68.0,20.0,0.0,156.0,8.0,,244.0,64.0,13.0,,,,19.0,,9.0,312.0,14.0,30.0,21.0,1.0,101.0,22.0,0.0,673.0,6.0,13.0,195.0,17.0,8.0,7.0,239.0,8.0,11.0,,20.0,131.0,1000.0,95.0,,1.0,,30.0,258.0,6.0,,0.2948,1.0,41.0,37.0,1.0,,,6.0,,,,,,1.0,,,1.0,,,,,,,,,,,,,,,,,,,
37642,Jonny Evans,Defender,Leicester,13,Northern Ireland,2019-20,121.0,1.0,0.6818,1.0,1.0,8.0,,2.2445,48.0,22.0,1.0,177.0,38.0,1.0,,38.0,328.0,7.0,2491.0,1.0,2.0,1.0,,,198.0,11.0,,1.0,7.0,3385.0,7.0,71.0,207.0,2.0,22.0,80.0,2047.0,48.0,8.0,44.4765,7.0,18.0,171.0,40.0,1.0,50.0,653.0,27.0,0.0,328.0,15.0,0.0,855.0,230.0,38.0,,,,14.0,,2.0,676.0,38.0,7.0,5.0,1.0,130.0,127.0,1.0,2422.0,14.0,6.0,357.0,34.0,6.0,18.0,881.0,35.0,57.0,,116.0,102.0,2958.0,14.0,2.0,,,67.0,1488.0,20.0,,3.7541,8.0,151.0,128.0,,,,2.0,,,,,1.0,1.0,,,1.0,,1.0,,,,,,,,,,,,,,,,,
244619,Luke Thomas,Defender,Leicester,13,England,2019-20,,,0.6011,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.599,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
111931,Ricardo Pereira,Defender,Leicester,13,Portugal,2019-20,215.0,9.0,2.9877,0.0,3.0,5.0,11.0,0.8892,118.0,15.0,4.0,261.0,28.0,2.0,2.0,28.0,332.0,51.0,1572.0,3.0,,0.0,2.0,,90.0,10.0,1.0,9.0,1.0,2520.0,1.0,48.0,256.0,2.0,76.0,214.0,1181.0,64.0,5.0,32.6461,25.0,11.0,74.0,27.0,1.0,167.0,65.0,37.0,2.0,471.0,32.0,3.0,592.0,171.0,28.0,,1.0,2.0,50.0,1.0,41.0,739.0,25.0,51.0,72.0,1.0,381.0,42.0,0.0,1560.0,10.0,21.0,542.0,68.0,60.0,6.0,637.0,45.0,49.0,,59.0,278.0,2548.0,284.0,,,2.0,38.0,510.0,32.0,3.0,1.2415,1.0,71.0,109.0,,,,27.0,,,,,,1.0,,,,,,,,,,,,,,,,,3.0,,,,,
41727,Ryan Bennett,Defender,Leicester,13,England,2019-20,38.0,2.0,0.2709,0.0,,,,,9.0,1.0,,49.0,16.0,,,10.0,91.0,4.0,434.0,,,,,6.0,52.0,2.0,,2.0,,936.0,,24.0,38.0,1.0,12.0,10.0,320.0,7.0,1.0,7.7547,2.0,5.0,36.0,17.0,,14.0,43.0,1.0,,76.0,8.0,,214.0,54.0,16.0,,,,3.0,,,134.0,16.0,4.0,,,24.0,28.0,0.0,432.0,1.0,1.0,116.0,6.0,,9.0,144.0,7.0,16.0,,23.0,33.0,574.0,17.0,4.0,,,21.0,211.0,3.0,,0.0536,2.0,42.0,37.0,1.0,,,16.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,
15033,Wes Morgan,Defender,Leicester,13,Jamaica,2019-20,23.0,,0.0134,0.0,1.0,2.0,,0.7886,4.0,3.0,,21.0,11.0,,,4.0,27.0,,244.0,,,,,7.0,36.0,1.0,,,2.0,430.0,2.0,16.0,26.0,,3.0,6.0,210.0,5.0,1.0,4.6007,,,19.0,6.0,1.0,7.0,83.0,1.0,0.0,49.0,2.0,,68.0,16.0,11.0,,,,3.0,,,44.0,6.0,,1.0,1.0,13.0,20.0,0.0,241.0,1.0,,31.0,1.0,2.0,3.0,82.0,4.0,7.0,,7.0,11.0,298.0,,,,,6.0,173.0,2.0,,0.5445,0.0,6.0,14.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
